   Z  A  El   I0    Bn       D0        Derr    Nlow  Ulow   Ntop  Utop      dW      gamma      ainf     aerr    pairing   Ematch      E0         T
  36  84 Kr  4.5  10.521  2.000E+02  1.000E+02   4   2.095   26   3.476   1.22962   0.09889   9.54914   0.625   2.61861   8.74849   0.21126   0.96970
  36  85 Kr  0.0   7.121  1.000E+03  1.000E+02   7   1.417   19   2.135   0.71307   0.09850  12.44647   0.150   1.30158   4.82589   0.18910   0.67015
  37  86 Rb -2.5   8.651  1.700E+02  3.000E+01   5   0.873   16   1.309   0.00312   0.09812   9.91742   0.190   0.00000   5.89975  -1.95811   0.95936
  37  88 Rb -1.5   6.083  1.800E+03  3.000E+02   8   1.086   15   1.372  -0.44083   0.09737  10.55958   0.210   0.00000   5.08435  -1.48237   0.88338
  38  85 Sr  0.0   8.530  3.200E+02  1.200E+02   7   1.111   22   1.649   1.85920   0.09850  11.22776   0.505   1.30158   6.99570  -1.25164   0.83903
  38  87 Sr  0.0   8.428  2.600E+03  8.000E+02   7   1.770   18   2.536  -0.02788   0.09774  10.16436   0.365   1.28654   5.89476   0.00885   0.86306
  38  88 Sr  4.5  11.113  2.900E+02  8.000E+01   4   3.219   26   4.514  -1.51453   0.09737  10.26381   0.295   2.55841   7.81348   1.34367   0.93787
  38  89 Sr  0.0   6.359  2.370E+04  2.900E+03   7   2.079   15   2.930  -0.95346   0.09700  10.54754   0.165   1.27200   1.62528   1.49002   0.60946
  39  90 Y  -0.5   6.857  3.700E+03  4.000E+02   3   0.777   16   1.815  -1.29039   0.09664  10.15096   0.125   0.00000   4.04826  -0.70829   0.86355
  40  91 Zr  0.0   7.194  6.000E+03  1.400E+03   3   1.882   17   2.578  -1.22782   0.09629  11.52115   0.305   1.25794   6.50196  -0.21558   0.86439
  40  92 Zr  2.5   8.635  5.500E+02  1.000E+02   3   1.495   16   2.904  -0.00102   0.09594  11.49671   0.245   2.50217   8.07653   0.52153   0.85688
  40  93 Zr  0.0   6.734  3.500E+03  8.000E+02   8   1.463   18   2.075   0.48211   0.09559  11.72601   0.330   1.24434   5.47370  -0.09468   0.75140
  40  94 Zr  2.5   8.221  1.600E+02  1.500E+01   4   1.671   16   2.846   1.41776   0.09525  12.76019   0.145   2.47541   6.42910   1.04225   0.67388
  40  95 Zr  0.0   6.462  3.200E+03  8.000E+02   3   1.140   18   2.317   1.51116   0.09492  11.62265   0.385   1.23117   4.18474   0.47973   0.63793
