   Z  A  El   I0    Bn       D0        Derr    Nlow  Ulow   Ntop  Utop      dW      gamma      ainf     aerr    pairing
  46 106 Pd  2.5   9.561  1.030E+01  5.000E-01   6   1.562   28   2.500   2.34052   0.08669  12.31293   0.065   1.15540
  46 107 Pd  0.0   6.536  2.700E+02  9.000E+01   8   0.392   19   0.809   3.19274   0.08642  11.77894   0.475  -0.40838
  46 108 Pd  2.5   9.228  1.100E+01  9.000E-01   8   1.540   22   2.391   3.17786   0.08616  12.23825   0.115   1.20474
  46 109 Pd  0.0   6.154  1.820E+02  3.300E+01   8   0.291   16   0.434   3.82628   0.08589  11.77552   0.255  -0.90979
  46 111 Pd  0.0   5.726  1.500E+02  5.000E+01   7   0.275   15   0.585   4.15085   0.08537  13.27936   0.560  -0.34268
  47 108 Ag -0.5   7.271  2.200E+01  4.000E+00   3   0.156   28   0.534   2.52108   0.08616  12.63237   0.240  -1.05169
  47 110 Ag -0.5   6.809  1.510E+01  1.400E+00   6   0.199   18   0.381   3.37599   0.08563  13.30576   0.135  -0.88806
  48 107 Cd  0.0   7.924  1.350E+02  3.500E+01   6   0.702   16   1.060   0.34826   0.08642  12.67917   0.325  -0.35190
  48 109 Cd  0.0   7.327  1.200E+02  3.000E+01   5   0.463   17   1.106   1.59715   0.08589  13.05657   0.345  -0.11597
  48 111 Cd  0.0   6.976  1.550E+02  2.000E+01   4   0.417   27   1.151   2.37875   0.08537  12.73994   0.180  -0.23220
  48 112 Cd  0.5   9.394  2.000E+01  4.000E+00   6   1.469   27   2.507   2.41276   0.08512  13.11778   0.270   1.22978
  48 113 Cd  0.0   6.540  1.900E+02  2.500E+01   6   0.530   15   0.870   2.93438   0.08487  12.61013   0.190  -0.31172
  48 114 Cd  0.5   9.043  2.480E+01  2.600E+00   6   1.364   23   2.392   2.74087   0.08462  12.93371   0.145   1.20657
  48 115 Cd  0.0   6.141  2.350E+02  3.500E+01   8   0.474   16   0.896   3.11318   0.08437  13.24109   0.235  -0.06033
  48 117 Cd  0.0   5.777  3.900E+02  9.000E+01   6   0.338   15   0.691   2.92291   0.08389  12.77928   0.355  -0.42054
  49 114 In  4.5   7.274  1.300E+01  3.000E+00   6   0.536   15   0.729   2.25012   0.08462  12.57745   0.315  -0.65477
  49 116 In  4.5   6.785  9.500E+00  5.000E-01   8   0.373   15   0.557   2.59308   0.08413  13.52603   0.080  -0.57406
  50 113 Sn  0.0   7.743  1.570E+02  5.200E+01   4   0.738   17   1.540   0.75123   0.08487  13.36237   0.460   0.33394
  50 115 Sn  0.0   7.546  2.860E+02  1.060E+02   4   0.987   21   2.077   1.00591   0.08437  13.79266   0.550   0.79031
