    ;           ;     ;   ;           ;   ;  ;   4;      3.735;  0.000E+00; ; 0.000E+00  0.000E+00
 59 ;  8.248000 ;  4.0;  1;           ;  2;  ;    ;           ;       4+  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   5;      3.735;  0.000E+00; ; 0.000E+00  1.571E-03
    ;           ;     ;   ;           ;   ;  ;   4;      3.735;  0.000E+00; ; 0.000E+00  1.020E-03
 60 ;  8.275800 ;  4.0;  1;           ;  4;  ;    ;           ;       4+  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;  24;      1.456;  0.000E+00; ; 0.000E+00  2.490E-04
    ;           ;     ;   ;           ;   ;  ;   5;      3.764;  0.000E+00; ; 0.000E+00  1.582E-03
    ;           ;     ;   ;           ;   ;  ;   4;      3.764;  0.000E+00; ; 0.000E+00  1.030E-03
    ;           ;     ;   ;           ;   ;  ;   1;      8.275;  0.000E+00; ; 0.000E+00  0.000E+00
 61 ;  8.278200 ; -1.0;  0;           ;  1;  ;    ;           ;           ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   8;      3.133;  1.000E+00; ; 1.000E+00  0.000E+00
 62 ;  8.356000 ;  5.0; -1;           ;  0;  ;    ;           ;       5-  ;0;                                                                                                                                                                                                                              0.000000       
 63 ;  8.385000 ;  3.0; -1;           ;  0;  ;    ;           ;     (3-)  ;0;                                                                                                                                                                                                                              0.000000       
 64 ;  8.386100 ;  1.0; -1;  1.590E-16;  3;  ;    ;           ;       1-  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;  24;      1.564;  0.000E+00; ; 0.000E+00  1.474E-04
    ;           ;     ;   ;           ;   ;  ;   2;      4.554;  9.007E-02; ; 9.024E-02  1.880E-03
    ;           ;     ;   ;           ;   ;  ;   1;      8.385;  9.098E-01; ; 9.098E-01  0.000E+00
 65 ;  8.388000 ;  6.0;  1;           ;  0;  ;    ;           ;     (6)+  ;0;                                                                                                                                                                                                                              0.000000       
 66 ;  8.437000 ;  3.0; -1;           ;  0;  ;    ;           ;       3-  ;0;                                                                                                                                                                                                                              0.000000       
 67 ;  8.467000 ; -1.0;  0;           ;  2;  ;    ;           ;           ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   2;      4.635;  8.621E-01; ; 8.621E-01  0.000E+00
    ;           ;     ;   ;           ;   ;  ;   1;      8.466;  1.379E-01; ; 1.379E-01  0.000E+00
