id,num_round,max_depth,l2,max_bin,objective,mt_strategy,normalizer,train_mae,train_mse,train_evs,train_mae_m,train_r2,val_mae,val_mse,val_evs,val_mae_m,val_r2,test_mae,test_mse,test_evs,test_mae_m,test_r2,model_path,training_time,scaler_path
14,10,10,1,10000,rmse,one_hot,none,0.1989643812671553,0.1076943507754882,0.8313293982422134,0.1112966762119878,0.8313293187473625,0.1994354583493043,0.1076198714350486,0.8311484636172158,0.1117988592892474,0.8311484695828331,0.199848155611658,0.1082448138711725,0.8307543507172571,0.1117919118712753,0.830751346995219,E:\ML_Models_EXFOR\XGB_B1\XGB10_L1_MB10000_none_rmse_B1_v1\xgboost_model.joblib,4.946015119552612,none
15,10,10,1,20000,rmse,one_hot,none,0.2003601093748421,0.1088925635837051,0.8279761025656177,0.1115032157924901,0.8279760564009022,0.2008063894702545,0.1087090940044481,0.8281006019999617,0.1115506720640408,0.8281005589368906,0.2011205013191329,0.1091241492209541,0.8279852635186673,0.1116142941472963,0.8279814030094619,E:\ML_Models_EXFOR\XGB_B1\XGB10_L1_MB20000_none_rmse_B1_v1\xgboost_model.joblib,6.474039793014526,none
16,10,10,1,30000,rmse,one_hot,none,0.2023755616611483,0.1103690182616971,0.8245811118150024,0.1130645534434768,0.8245810704221562,0.2025297933971898,0.1101255075087574,0.8246581642071726,0.1130385553268075,0.8246581608274495,0.2032357443740584,0.1108945097759786,0.8241717207321779,0.1130893970222289,0.8241674679727162,E:\ML_Models_EXFOR\XGB_B1\XGB10_L1_MB30000_none_rmse_B1_v1\xgboost_model.joblib,7.953701972961426,none
17,10,20,1,300,rmse,one_hot,none,0.1602928609367124,0.0786837684131691,0.8875308610961553,0.0764789873839083,0.887530783164838,0.1629135390374369,0.0812046616687479,0.8835982839546122,0.0779752552822604,0.8835981147543511,0.1635924957848948,0.0815079610589259,0.8836383125349667,0.0781763967681301,0.8836363179974903,E:\ML_Models_EXFOR\XGB_B1\XGB20_L1_MB300_none_rmse_B1_v1\xgboost_model.joblib,54.25338983535767,none
18,10,20,1,10000,rmse,one_hot,none,0.10770942892396,0.0427003926769239,0.940837843054412,0.0472133074081188,0.9408377606151356,0.1204391868679092,0.0545689674361572,0.9242145802208896,0.0523876527133381,0.9242145434771456,0.1209774065999899,0.05462741027264,0.924286951927953,0.0524516624852375,0.9242859660029772,E:\ML_Models_EXFOR\XGB_B1\XGB20_L1_MB10000_none_rmse_B1_v1\xgboost_model.joblib,233.7942018508911,none
19,10,20,1,20000,rmse,one_hot,none,0.1046734202989268,0.0403276413296328,0.9441757845810046,0.0460122162932958,0.9441757206365282,0.1199514620081881,0.0539696206358855,0.925170094603667,0.0524036233842943,0.92517006827804,0.1208388458445053,0.0547866448974401,0.924095800199013,0.0521018217718059,0.9240948797093894,E:\ML_Models_EXFOR\XGB_B1\XGB20_L1_MB20000_none_rmse_B1_v1\xgboost_model.joblib,411.0901436805725,none
20,10,20,1,30000,rmse,one_hot,none,0.1042173813834806,0.0396642144476005,0.9450330349938828,0.045926847930482,0.9450329559565794,0.1206382295754493,0.0542899497570344,0.9246090633856724,0.0525884452952882,0.9246089112727908,0.1213233944980868,0.0548344467570674,0.9239535385108644,0.0525444747323885,0.9239522842320188,E:\ML_Models_EXFOR\XGB_B1\XGB20_L1_MB30000_none_rmse_B1_v1\xgboost_model.joblib,565.6585018634796,none
21,10,30,1,300,rmse,one_hot,none,0.1594697630770419,0.0783105730739037,0.8883346902018083,0.0754218101898125,0.888334697240422,0.1626716103782589,0.0813275675846088,0.883743773085091,0.0774952556433954,0.883743637641913,0.1634945622573886,0.0817546398478133,0.8835804884166363,0.0775755429343432,0.8835786811268332,E:\ML_Models_EXFOR\XGB_B1\XGB30_L1_MB300_none_rmse_B1_v1\xgboost_model.joblib,164.76905512809753,none
22,10,30,1,10000,rmse,one_hot,none,0.0881935136824255,0.0336964319769592,0.9544783727798796,0.0333090125449982,0.954478311462847,0.1147421308147943,0.0556226413503895,0.9247027219805248,0.0450913897507079,0.9247027202836334,0.1156601869965095,0.0565044075045785,0.9237293437981916,0.0451298545376036,0.9237283242520732,E:\ML_Models_EXFOR\XGB_B1\XGB30_L1_MB10000_none_rmse_B1_v1\xgboost_model.joblib,1458.1685163974762,none
23,10,30,1,20000,rmse,one_hot,none,0.079714853668447,0.0289647436401897,0.960999094185862,0.0288941878127045,0.9609989988878854,0.1143991310334347,0.0560673435313298,0.924465776510632,0.0440223913806983,0.9244656529256816,0.1154584743237519,0.0578306596237344,0.9222590081944756,0.044091008758608,0.9222574560419536,E:\ML_Models_EXFOR\XGB_B1\XGB30_L1_MB20000_none_rmse_B1_v1\xgboost_model.joblib,2741.146209716797,none
24,10,30,1,30000,rmse,one_hot,none,0.075596611278592,0.0264947039125823,0.9643794272681092,0.0268434961872857,0.9643793257300806,0.1150009833917889,0.0566785067790199,0.9236827773080905,0.0441641579059641,0.9236823557977158,0.1160086483644388,0.0579981730867252,0.9220548722612956,0.0440849762889141,0.922053426863064,E:\ML_Models_EXFOR\XGB_B1\XGB30_L1_MB30000_none_rmse_B1_v1\xgboost_model.joblib,4037.68999004364,none
