S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)",Element_w_A
3282.16,3.71,11880.06,12.45,17235.62,3.3,10984.46,4.94,8646.66,6.62,3145.09,4.76,141Xe
5498.74,12.2,8780.04,9.49,11538.12,9.33,11877.86,9.44,10358.77,9.61,3148.78,10.96,141Cs
4534.59,9.47,9971.49,9.75,4460.0,6.22,11679.1,6.18,8018.37,10.59,5886.01,6.01,141Ba
6687.08,4.29,6951.25,8.91,-2408.71,14.6,12692.92,4.23,10194.06,4.23,5601.7,10.08,141La
5428.14,0.1,8406.02,1.73,-9499.01,8.63,12504.1,1.73,5950.32,3.01,8475.12,1.62,141Ce
9398.87,6.12,5228.53,1.2,-16090.01,12.74,11643.02,7.23,6419.33,4.92,6149.94,3.19,141Pr
8005.04,4.75,6793.51,6.73,-20968.41,20.03,11336.97,8.3,3805.35,11.49,9024.69,5.67,141Nd
10380.53,27.98,3552.98,14.39,-25982.08,106.18,12201.83,30.94,6359.44,18.16,8257.4,17.88,141Pm
8549.29,15.14,5009.17,25.71,-30552.0,298.0,12277.38,16.05,3870.63,29.02,11730.8,14.41,141Sm
11011.01,53.07,1758.66,17.77,-35561.0,401.0,13165.4,16.68,6436.19,17.3,10661.26,30.48,141Eu
9513.27,34.23,3527.26,55.2,,,12884.62,23.74,3389.5,34.23,13919.94,23.02,141Gd
12129.88,807.38,47.54,108.91,,,13802.0,222.0,6123.0,222.0,12855.23,108.91,141Tb
10624.0,499.0,2189.0,854.0,,,13459.0,422.0,3150.0,422.0,16064.0,357.0,141Dy
13177.0,643.0,-1176.78,7.43,,,13988.0,643.0,5431.0,643.0,14950.0,499.0,141Ho
3954.0,643.0,14549.0,709.0,31472.0,503.0,8280.0,780.0,8283.0,643.0,-2283.0,709.0,142Te
2914.64,374.8,11572.0,548.0,25254.24,374.51,12517.05,379.63,10299.14,374.48,665.0,548.0,142I
5103.66,3.95,12591.95,16.06,19303.55,3.69,9087.38,12.41,8105.37,4.83,621.83,4.45,142Xe
4108.34,11.6,9606.22,7.63,13272.93,7.26,13182.71,7.44,9994.08,7.38,3602.81,8.12,142Cs
6180.95,7.96,10653.71,10.94,8107.72,6.06,9918.65,10.11,7722.71,6.7,3448.71,6.3,142Ba
5163.91,7.44,7580.57,8.24,1117.82,24.42,13955.93,10.1,9753.58,6.32,6323.1,7.05,142La
7171.59,2.52,8890.52,4.66,-5546.72,3.57,10493.49,2.93,7557.08,2.93,6026.96,2.53,142Ce
5843.15,0.08,5643.53,1.2,-12474.01,30.16,14999.42,1.21,8024.44,7.24,9085.14,2.02,142Pr
9828.67,3.15,7223.31,1.42,-18990.47,27.98,9448.91,6.2,3732.87,7.84,6644.28,7.27,142Nd
8690.44,27.42,4238.38,23.82,-24582.53,700.95,13827.67,23.85,5735.95,36.31,9323.16,24.85,142Pm
11123.88,8.95,5752.52,14.31,-28867.0,729.0,9938.05,24.44,3378.07,13.94,8673.87,27.76,142Sm
9459.16,32.69,2668.53,31.31,-34063.0,402.0,14853.27,32.64,5930.8,32.06,11833.41,33.08,142Eu
11806.61,34.23,4322.86,30.67,-38930.0,501.0,10737.23,58.63,3302.58,30.88,11067.11,29.99,142Gd
10090.0,708.42,624.26,700.84,,,15933.56,701.11,5936.0,727.0,14484.93,700.68,142Tb
12808.0,787.0,2868.0,736.0,,,11074.0,1082.0,2875.0,787.0,13158.0,754.0,142Dy
10957.0,567.0,-843.0,499.0,,,16290.0,566.0,5255.0,643.0,16526.0,499.0,142Ho
,,954.0,641.0,,,11940.0,709.0,,,15258.0,709.0,142Er
1979.0,711.0,,,33659.0,503.0,9543.0,709.0,8525.0,780.0,,,143Te
3932.0,425.0,11550.0,541.0,27541.0,200.0,10567.0,448.0,10810.0,210.0,-1045.0,629.0,143I
3044.55,5.38,12721.86,374.49,21403.8,5.29,10434.59,16.51,8267.4,12.97,2019.76,62.58,143Xe
5232.28,10.36,9734.84,8.04,15392.74,7.81,11232.6,8.11,10175.0,7.92,1577.11,14.28,143Cs
4166.25,8.98,10711.62,9.78,10065.04,6.89,11251.13,11.41,7976.96,10.63,4695.66,7.15,143Ba
6218.61,9.56,7618.22,9.42,4789.14,7.88,12271.92,9.05,9961.89,10.8,4524.99,11.0,143La
5144.8,0.09,8871.41,5.85,-2089.52,3.3,12035.77,4.66,7573.26,2.93,7309.08,8.28,143Ce
7352.09,1.92,5824.03,1.87,-8826.95,11.15,13075.48,2.01,9871.9,2.01,6894.03,2.48,143Pr
6123.57,0.07,7503.73,1.42,-15770.93,200.31,12724.22,1.42,5549.91,6.2,9720.26,1.58,143Nd
9889.92,23.78,4299.64,2.68,-22541.47,51.32,11942.79,4.13,6162.32,4.57,7373.84,6.76,143Pm
8602.0,3.58,5664.08,23.75,-27348.21,13.34,11716.58,14.25,3560.62,24.41,10388.16,4.44,143Sm
10999.15,32.1,2543.8,11.41,-32194.0,298.0,12403.41,13.91,6078.69,16.64,9618.81,26.62,143Eu
9343.1,202.24,4206.8,202.56,-36971.0,447.0,12405.13,200.7,3618.69,206.83,12871.04,200.69,143Gd
11930.99,702.43,748.64,58.36,,,13515.85,54.91,6227.14,58.36,12213.15,72.67,143Tb
10121.0,729.0,2898.4,700.68,,,13082.7,106.06,3177.39,800.59,15259.73,30.84,143Dy
12869.0,499.0,-783.0,787.0,,,14046.0,422.0,5647.0,499.0,14081.0,854.0,143Ho
11302.0,640.0,1299.0,566.0,,,13815.0,566.0,2863.0,642.0,17216.0,566.0,143Er
2721.0,448.0,12291.0,643.0,29570.0,401.0,11801.0,643.0,10071.0,566.0,-524.0,641.0,144I
4740.74,7.06,13531.0,200.0,23559.58,6.04,8608.5,374.5,7918.42,16.7,-739.0,401.0,144Xe
3667.16,21.51,10357.45,20.66,17479.16,20.32,12669.09,20.31,9790.0,20.34,2301.71,25.61,144Cs
5901.24,9.83,11380.58,10.41,11980.84,7.27,9458.23,10.03,7574.46,11.64,2076.58,7.7,144Ba
4749.45,14.87,8201.43,14.59,6566.44,13.27,13703.42,14.23,9747.03,13.99,5274.27,15.87,144La
6896.52,3.36,9549.33,7.84,1533.66,2.66,10303.16,6.71,7363.82,4.93,4947.16,6.04,144Ce
5753.59,2.76,6432.82,3.26,-5131.38,11.07,14493.48,3.26,9546.45,2.87,7827.52,4.85,144Pr
7817.04,0.05,7968.68,1.37,-11988.45,27.98,10750.33,1.42,7131.74,1.42,7331.36,1.58,144Nd
6526.76,1.53,4702.83,2.65,-19047.91,28.1,15244.69,2.65,7640.59,4.11,10245.95,3.0,144Pm
10519.7,2.35,6293.86,2.71,-25395.45,7.34,9887.31,23.64,3421.44,14.06,7873.5,3.24,144Sm
9449.15,15.4,3390.95,11.06,-31009.62,13.72,14078.14,11.14,5178.83,13.73,10550.19,17.65,144Eu
11599.52,202.24,4807.17,30.03,-35152.0,198.0,10264.77,41.11,3030.18,30.67,9820.81,29.22,144Gd
10020.31,58.36,1425.85,202.24,-40109.0,401.0,15302.14,39.52,5720.1,34.23,13203.85,30.67,144Tb
12472.46,14.88,3439.87,51.73,,,10700.24,700.59,2834.81,105.5,12300.54,21.02,144Dy
10633.0,298.0,-270.46,15.55,,,16221.0,729.0,5637.0,298.0,15577.73,105.6,144Ho
13419.0,445.0,1849.0,357.0,,,11354.0,446.0,2621.0,446.0,14421.0,357.0,144Er
,,-1712.0,16.0,,,16481.0,640.0,,,17752.0,566.0,144Tm
3731.0,643.0,,,31896.0,503.0,10049.0,711.0,10295.0,711.0,,,145I
2692.35,12.37,13502.0,401.0,25573.69,35.7,9848.0,201.0,8140.71,374.63,523.0,503.0,145Xe
4854.38,21.58,10471.09,10.51,19571.52,11.56,10859.26,10.19,10039.28,9.46,361.97,374.57,145Cs
3820.37,11.08,11533.79,21.84,13915.78,8.59,10870.14,11.37,7862.43,11.04,3359.86,8.9,145Ba
6056.98,17.83,8357.17,14.19,8432.16,12.59,11812.69,14.01,9871.0,13.62,3325.63,14.16,145La
4706.47,33.99,9506.34,36.29,3584.3,33.9,11815.3,34.68,7821.26,34.45,6421.64,34.41,145Ce
6946.74,7.44,6483.04,7.48,-1634.43,7.58,12691.54,7.38,9771.3,7.38,6044.69,9.39,145Pr
5755.31,0.23,7970.41,2.41,-8505.63,19.76,12347.1,1.39,7219.58,1.44,8747.64,2.21,145Nd
7922.7,1.53,4808.49,2.53,-14879.06,109.21,13445.57,2.53,9546.56,2.53,8166.4,2.89,145Pm
6757.1,0.3,6524.2,2.67,-22408.72,6.71,13020.14,2.72,5354.78,23.64,10945.06,0.85,145Sm
10443.69,11.15,3314.94,2.71,-28871.4,8.07,12236.45,3.58,5859.02,3.8,8796.94,23.79,145Eu
9238.13,34.2,4596.16,22.47,-33686.0,201.0,12025.79,22.56,3251.2,36.03,11706.55,19.95,145Gd
12091.55,112.69,1917.88,112.69,-38806.0,224.0,12553.7,228.12,5435.16,112.69,10571.46,113.26,145Tb
9743.83,9.69,3163.39,28.7,,,12887.39,51.65,3180.97,700.59,14363.32,28.7,145Dy
12581.91,11.29,-161.01,10.34,,,13759.64,15.02,5863.0,729.0,13085.81,700.6,145Ho
10704.0,280.0,1920.0,200.0,,,13518.0,359.0,2874.0,448.0,16526.0,756.0,145Er
13395.0,445.0,-1736.1,7.07,,,14388.0,445.0,5311.0,537.0,15314.0,446.0,145Tm
4532.93,26.67,14305.0,504.0,27680.45,29.2,8036.0,401.0,7540.0,202.0,-2031.0,504.0,146Xe
3327.27,9.52,11106.01,11.55,21370.63,34.94,12272.73,6.05,9756.56,5.48,966.0,200.0,146Cs
5502.23,22.52,12181.64,22.75,15978.78,20.91,9035.07,28.99,7592.48,22.19,902.19,21.38,146Ba
4286.28,35.78,8823.08,34.67,10404.03,33.89,13427.64,34.37,9750.97,34.29,4271.63,34.46,146La
6639.68,37.62,10089.04,20.41,5360.92,16.59,9925.07,20.81,7400.18,17.88,3948.21,17.65,146Ce
5126.38,35.53,6902.95,48.59,436.54,35.32,14461.67,34.92,9789.72,34.89,7136.91,35.58,146Pr
7565.23,0.09,8588.9,7.04,-4840.08,3.92,10535.46,2.41,7006.43,1.39,6327.21,2.21,146Nd
6258.15,4.8,5311.33,4.12,-11690.7,45.04,15004.45,4.11,9411.98,4.11,9260.34,4.33,146Pm
8416.31,2.85,7017.81,3.75,-18441.39,7.37,11130.59,3.83,6828.4,3.86,8652.33,2.81,146Sm
7197.35,6.53,3755.19,5.95,-25879.32,8.93,15558.8,5.95,7263.67,6.39,11489.51,6.5,146Eu
11230.78,20.13,5383.25,4.7,-31763.77,7.86,10244.16,11.47,3019.57,11.73,9077.77,4.5,146Gd
9446.52,118.03,2126.26,49.0,-36708.0,205.0,14706.7,52.85,5331.75,205.26,12124.09,46.19,146Tb
12383.64,9.35,3455.48,109.38,,,10524.07,28.74,2728.32,51.67,11322.78,200.41,146Dy
10189.43,9.95,284.59,9.27,,,16042.67,9.74,5794.78,14.61,14827.37,51.65,146Ho
13153.0,200.0,2490.88,10.02,,,10998.31,10.81,2590.0,298.0,13493.33,14.66,146Er
11544.0,280.0,-895.7,5.66,,,16263.0,280.0,5069.0,447.0,16639.0,359.0,146Tm
2476.0,202.0,,,29654.0,200.0,9290.0,541.0,7784.0,448.0,,,147Xe
4681.01,8.87,11254.09,25.63,23524.0,17.94,10284.07,13.97,9816.28,9.92,-994.0,401.0,147Cs
3388.26,28.73,12242.63,19.96,17882.72,19.8,10501.19,21.73,7871.38,28.2,2254.67,20.45,147Ba
5699.42,35.28,9020.27,23.45,12363.87,10.8,11548.59,13.66,9952.79,12.87,2239.36,22.8,147La
4449.82,18.42,10252.58,34.69,7252.46,8.67,11532.23,14.97,7699.82,15.52,5399.63,11.16,147Ce
6834.38,38.25,7097.65,22.74,2100.69,16.02,12333.76,37.41,9851.86,16.06,5051.99,20.46,147Pr
5292.2,0.09,8754.71,34.83,-2789.8,1.46,12190.0,7.04,7467.82,2.41,7931.52,2.55,147Nd
7659.27,4.13,5405.36,0.48,-8299.59,8.12,13100.5,0.47,9569.75,0.44,7354.66,2.44,147Pm
6341.36,2.83,7101.02,4.12,-15070.32,8.95,12711.93,2.54,7013.79,2.66,10128.0,0.35,147Sm
8498.53,6.35,3837.42,3.61,-21787.66,5.65,13817.37,2.37,9284.83,2.36,9517.74,3.15,147Eu
7342.48,4.03,5528.37,6.07,-28749.14,38.24,13345.37,2.97,5126.24,10.88,12254.99,1.23,147Gd
11050.37,45.52,1945.85,8.63,-34768.26,10.6,12894.46,21.31,5880.89,29.1,10522.87,13.46,147Tb
9712.44,11.1,3721.4,45.73,,,12903.18,109.53,3036.2,29.31,13209.87,29.31,147Dy
12590.19,8.27,491.14,8.36,,,13196.31,8.22,5677.05,8.74,12257.49,28.39,147Ho
10357.11,38.78,2658.56,38.76,,,13223.1,38.91,2865.76,39.12,15608.68,38.86,147Er
12990.0,200.0,-1058.64,3.2,,,13977.0,200.0,5497.0,196.0,14281.51,10.89,147Tm
4312.0,361.0,,,31798.0,300.0,,,7203.0,586.0,,,148Xe
3062.19,15.5,11840.0,201.0,25624.48,19.91,11754.81,27.51,9446.44,17.18,-325.0,503.0,148Cs
5401.02,66.1,12962.64,63.63,19814.26,63.12,8427.44,63.15,7324.73,63.73,-454.0,64.06,148Ba
4101.66,22.22,9733.68,27.73,14156.98,20.29,12949.16,28.54,9671.5,21.23,2992.08,21.48,148La
6455.83,14.1,11008.99,15.49,8937.86,11.26,9362.68,35.43,7300.96,16.61,2764.17,14.04,148Ce
5162.67,21.84,7810.5,17.31,3763.91,18.05,13810.77,22.18,9395.65,37.08,5946.29,19.41,148Pr
7332.56,1.66,9252.9,15.94,-1138.67,1.84,9983.82,34.87,7082.0,7.23,5305.43,33.93,148Nd
5894.77,5.65,6007.94,5.65,-6328.63,13.7,14770.96,5.65,9430.29,5.65,8406.63,9.03,148Pm
8141.23,0.26,7582.97,0.38,-11476.71,8.81,10828.85,4.12,6795.26,2.55,7742.09,0.42,148Sm
6825.89,10.25,4321.95,10.02,-18308.17,84.43,15407.78,10.39,9216.04,10.02,10614.54,10.26,148Eu
8983.7,1.23,6013.54,2.36,-24790.34,10.36,11559.02,5.95,6586.23,2.71,10028.39,0.3,148Gd
7865.73,14.85,2469.11,12.59,-31772.05,16.13,16259.51,13.09,7253.29,23.32,13100.83,12.79,148Tb
11734.83,12.43,4405.86,11.89,-37529.0,400.0,10614.87,45.7,3392.92,109.52,10713.17,21.55,148Dy
10305.38,83.98,1084.09,84.3,,,15274.57,84.1,5115.5,84.09,14043.65,137.65,148Ho
12942.5,39.54,3010.87,11.4,,,10470.04,12.18,2505.17,12.67,12410.01,12.15,148Er
10861.94,12.32,-553.81,39.54,,,16267.79,12.25,5339.0,201.0,16001.48,12.67,148Tm
,,1645.0,400.0,,,11436.0,447.0,2116.0,445.0,14556.0,447.0,148Yb
4411.0,400.0,11939.0,500.0,27789.0,400.0,9820.0,447.0,9569.0,400.0,,,149Cs
3597.89,442.32,13498.34,438.0,21255.16,437.81,9510.56,437.88,7054.12,437.81,481.04,438.47,149Ba
5582.5,201.21,9915.15,209.96,15844.34,200.28,10754.92,201.23,9591.23,201.35,736.86,200.28,149La
4342.82,15.18,11250.15,22.0,10465.82,10.33,10719.28,14.82,7244.42,35.14,3923.57,23.24,149Ce
6575.26,17.99,7929.93,14.93,5401.75,10.63,11685.33,13.08,9460.08,19.06,3657.32,35.04,149Pr
5038.79,0.07,9129.01,15.09,751.55,3.57,11779.41,15.94,7169.59,34.87,6906.33,16.44,149Nd
7269.86,5.88,5945.23,2.45,-4575.59,3.98,12793.3,2.05,9725.67,2.05,6263.15,34.88,149Pm
5870.79,0.89,7558.99,5.57,-9439.83,9.19,12617.33,0.95,7182.63,4.2,9436.53,0.96,149Sm
8213.1,10.7,4393.82,3.83,-14794.53,12.58,13536.05,3.83,9419.25,4.73,8659.6,5.6,149Eu
6929.0,3.13,6116.65,10.47,-21385.4,28.15,13128.55,3.86,6854.58,6.69,11515.7,4.19,149Gd
9022.9,12.93,2508.31,3.35,-27606.0,196.0,14579.08,3.56,9461.17,5.09,11275.27,6.82,149Tb
7907.68,12.09,4447.8,15.05,-34497.0,300.0,13757.56,12.2,4931.76,45.77,14036.28,9.9,149Dy
11726.74,84.69,1076.0,12.43,,,13260.27,14.9,5772.39,13.73,11763.43,46.42,149Ho
10333.94,29.76,3039.43,88.37,,,12726.28,28.39,2360.66,28.71,14459.7,28.74,149Er
13189.0,196.0,-307.0,196.0,,,13436.0,199.0,5303.0,196.0,13002.0,196.0,149Tm
10939.0,500.0,1722.0,300.0,,,13487.0,300.0,2721.0,361.0,16770.0,300.0,149Yb
2991.0,565.0,,,30131.0,400.0,11141.0,500.0,9054.0,447.0,,,150Cs
4851.0,531.0,13939.0,500.0,23780.0,300.0,7722.0,300.0,6884.0,300.0,-1894.0,361.0,150Ba
3981.37,479.31,10298.63,617.5,17467.17,435.93,12174.58,440.02,8998.12,435.92,1436.5,435.55,150La
6248.26,15.55,11915.91,200.6,12204.28,11.76,8572.69,22.71,6695.59,15.86,1063.58,22.95,150Ce
5332.43,13.37,8919.54,13.65,6491.75,10.96,12808.73,14.37,8577.47,12.44,4024.31,14.0,150Pr
7375.61,1.87,9929.36,9.96,2084.18,6.01,9566.48,15.07,6628.37,15.87,3980.54,8.66,150Nd
5604.2,20.09,6510.64,20.09,-2491.42,21.31,14521.66,20.09,9413.66,20.02,7493.33,25.53,150Pm
7986.72,0.38,8275.85,1.91,-7741.54,4.26,10525.38,5.58,6855.18,0.95,6742.01,0.96,150Sm
6422.44,7.21,4945.47,6.19,-12846.35,15.46,15254.84,6.19,9338.17,6.19,9896.43,6.19,150Eu
8708.24,6.75,6611.79,7.07,-17932.62,18.22,11246.2,11.65,6644.88,6.41,9148.82,6.01,150Gd
7688.37,8.05,3267.68,7.94,-24615.0,196.0,15874.41,7.33,9115.28,7.43,12085.44,7.65,150Tb
9685.01,10.0,5109.9,5.29,-30671.0,300.0,11938.29,13.17,6297.12,8.75,11693.75,4.28,150Dy
8370.62,18.55,1538.94,16.87,-37306.0,300.0,16624.48,16.63,7114.21,16.7,14443.19,16.25,150Ho
12161.01,32.81,3473.7,20.95,,,10870.65,85.58,2789.83,17.91,12011.13,19.34,150Er
10680.0,277.0,38.0,198.0,,,15699.0,196.0,4981.0,199.0,14913.0,196.0,150Tm
13511.0,424.0,2045.0,358.0,,,10837.0,300.0,2200.0,300.0,13616.0,302.0,150Yb
,,-1269.6,2.31,,,16401.0,500.0,,,16981.0,300.0,150Lu
4131.0,640.0,,,32550.0,500.0,,,9235.0,583.0,,,151Cs
3111.0,500.0,14059.0,565.0,26003.0,400.0,9021.0,565.0,6835.0,400.0,-693.0,500.0,151Ba
5251.68,615.85,10699.0,529.0,20075.73,435.5,10520.78,617.5,9147.46,440.02,-752.99,435.67,151La
4449.51,21.21,12384.06,435.83,13351.23,17.74,9705.67,201.04,6347.74,26.31,2015.09,65.52,151Ce
6550.47,14.73,9221.75,16.51,7873.22,11.69,10601.09,15.52,8482.83,16.15,1575.51,22.69,151Pr
5334.55,0.1,9931.48,9.09,3245.75,2.83,10807.18,9.96,6456.49,15.07,5101.82,11.25,151Nd
7860.24,20.49,6995.28,4.47,-1762.56,5.99,11700.21,4.85,8885.99,4.85,4795.76,15.72,151Pm
5596.46,0.11,8268.11,20.0,-5823.87,3.15,12198.78,1.91,7153.49,5.58,8478.12,1.87,151Sm
7931.94,6.18,4890.69,0.55,-11030.12,8.34,13193.69,0.66,9547.47,1.02,7859.26,5.61,151Eu
6496.12,6.61,6685.47,6.76,-15922.45,16.75,12963.18,4.67,6974.65,10.4,10793.93,2.91,151Gd
8589.1,8.31,3148.54,7.17,-20850.75,19.84,14214.31,5.04,9509.88,4.04,10322.23,10.76,151Tb
7514.12,5.03,4935.65,7.88,-27210.06,300.51,13447.07,4.44,6648.73,12.86,13163.32,2.91,151Dy
9748.17,16.36,1602.11,8.94,-33514.0,300.0,14783.98,12.33,9100.87,12.03,12560.75,14.96,151Ho
8506.29,23.81,3609.37,21.73,,,14091.1,20.37,4588.93,85.44,15239.67,18.64,151Er
12353.0,197.0,230.41,9.02,,,13679.67,34.03,5570.29,21.95,12864.8,86.05,151Tm
10975.0,425.0,2340.0,359.0,,,13051.0,359.0,2086.74,300.67,15583.05,300.67,151Yb
13540.0,424.0,-1240.97,1.82,,,13801.0,424.0,5086.0,500.0,14303.0,300.0,151Lu
2772.0,707.0,,,34828.0,501.0,,,,,,,152Cs
4842.0,565.0,14770.0,640.0,28439.0,400.0,7170.0,565.0,6404.0,565.0,,,152Ba
4051.0,529.0,11639.0,500.0,21964.0,301.0,11321.0,424.0,8694.0,531.0,-393.0,500.0,152La
5827.0,201.0,12959.0,479.0,15782.0,200.0,7860.0,479.0,6104.0,283.0,-214.0,481.0,152Ce
5049.75,21.89,9821.98,25.63,9130.19,18.58,11799.6,21.92,7775.91,21.18,2108.25,201.12,152Pr
7277.74,24.46,10658.75,27.1,4557.51,24.46,8861.88,26.08,5754.01,26.4,2166.91,26.54,152Nd
5939.44,26.27,7600.17,25.89,-537.27,47.65,13136.38,25.89,7985.34,25.95,5431.58,27.73,152Pm
8257.64,0.61,8665.51,4.52,-4644.73,4.55,9545.34,20.01,6165.71,2.0,5259.26,1.94,152Sm
6306.72,0.1,5600.95,0.54,-9283.48,12.58,14873.69,0.55,9111.54,0.67,8822.4,1.98,152Eu
8589.5,2.85,7343.03,0.7,-14206.54,8.9,10796.12,6.2,6598.25,3.8,8075.22,0.73,152Gd
7164.73,40.2,3817.15,40.1,-18996.64,67.23,15757.82,40.45,9274.15,40.13,11370.6,40.18,152Tb
9436.78,5.24,5783.34,5.94,-23847.49,149.78,11698.65,8.52,6234.85,5.49,10655.54,5.37,152Dy
8053.35,15.02,2141.34,12.92,-30183.0,196.0,16415.63,13.23,8955.19,15.1,13530.3,12.99,152Ho
10305.41,18.69,4166.61,12.11,,,12156.31,16.69,6010.26,12.43,12841.93,12.15,152Er
9018.83,57.41,742.96,56.48,,,16821.85,56.7,6885.4,60.83,15572.71,55.34,152Tm
12799.36,335.72,2786.6,150.96,,,10931.0,246.0,2476.0,246.0,13117.64,152.29,152Yb
11385.0,358.0,-831.0,359.0,,,15927.0,358.0,4640.0,358.0,16107.0,277.0,152Lu
2831.0,565.0,14828.0,640.0,30860.0,400.0,8471.0,640.0,6564.0,565.0,,,153Ba
4841.0,424.0,11638.0,500.0,24588.0,300.0,9591.0,500.0,8705.0,424.0,-2243.0,500.0,153La
4001.0,283.0,12909.0,361.0,17650.0,200.0,9111.0,479.0,6084.0,479.0,637.0,361.0,153Ce
5881.72,22.02,9877.0,201.0,11798.76,11.96,10367.39,21.32,8142.45,16.67,207.9,435.64,153Pr
5252.21,24.64,10861.2,18.74,5552.25,3.0,10160.14,11.97,5834.24,9.42,3162.96,12.01,153Nd
7464.96,27.43,7787.39,26.09,665.51,9.86,11005.97,9.11,7895.99,9.11,3299.06,12.78,153Pm
5868.4,0.13,8594.47,25.89,-3416.74,3.91,11537.18,4.52,5901.51,20.01,6766.47,0.66,153Sm
8550.28,0.12,5893.59,0.69,-8355.12,5.02,11919.86,0.55,8547.97,0.56,5876.32,20.01,153Eu
6246.95,0.13,7283.27,0.71,-12413.95,9.3,12481.11,0.71,6773.74,6.2,9814.99,0.64,153Gd
8667.74,40.18,3895.39,3.85,-17340.01,12.58,13586.21,4.75,9314.65,7.11,9125.3,7.25,153Tb
7096.39,5.88,5715.0,40.19,-21935.0,196.0,13191.37,5.54,6826.83,8.28,12267.39,7.13,153Dy
9478.65,13.47,2183.2,6.53,-26639.26,150.12,14451.11,5.67,9161.55,6.36,11740.02,8.79,153Ho
8039.54,12.23,4152.8,15.17,-33168.0,300.0,13864.94,12.41,6341.33,16.93,14487.4,10.1,153Er
10324.37,55.34,761.92,12.4,,,15003.76,20.37,8722.04,20.95,13618.95,18.55,153Tm
9009.0,246.0,2777.0,203.0,,,14275.0,197.0,4147.0,277.0,16270.0,196.0,153Yb
13022.0,247.0,-608.57,9.88,,,13880.3,335.87,5130.0,335.0,13764.0,247.0,153Lu
,,1167.0,358.0,,,13519.0,424.0,2204.0,424.0,16985.0,424.0,153Hf
4422.0,640.0,,,33005.0,503.0,6821.0,707.0,6273.0,707.0,,,154Ba
3541.0,424.0,12349.0,500.0,26982.0,303.0,10892.0,500.0,8274.0,500.0,-1654.0,583.0,154La
5381.0,283.0,13449.0,361.0,20236.0,200.0,7781.0,361.0,5955.0,479.0,-1633.0,447.0,154Ce
4607.83,113.63,10484.0,230.0,13633.14,113.01,11586.0,230.0,7984.13,114.39,851.76,449.9,154Pr
6566.0,52.71,11545.48,53.97,7880.98,52.63,8643.89,55.81,5818.71,53.91,1046.48,55.54,154Nd
5935.47,47.19,8470.65,46.41,1644.33,64.78,12348.24,52.37,7295.07,46.32,3914.06,47.76,154Pm
7966.81,0.85,9096.32,9.1,-2061.27,7.46,9509.82,25.9,5794.94,4.59,4134.21,1.06,154Sm
6442.22,0.24,6467.41,0.74,-7098.81,8.21,13735.29,0.72,7702.21,0.6,7294.34,4.52,154Eu
8894.72,0.17,7627.7,0.73,-11100.93,4.93,9893.11,0.72,5810.95,0.72,6516.73,0.65,154Gd
6914.28,45.46,4562.72,45.3,-15729.17,47.55,15261.42,45.3,8896.49,45.39,10142.95,45.3,154Tb
9322.28,8.34,6369.54,8.32,-20461.82,18.8,11033.82,40.68,6093.65,8.37,9441.23,7.9,154Dy
7698.53,9.51,2785.34,9.04,-24924.0,196.0,16189.37,9.26,8977.15,8.68,12630.59,9.07,154Ho
10207.73,10.39,4881.89,6.82,-29935.0,300.0,11710.56,13.46,5881.77,9.28,11793.79,5.59,154Er
8525.12,18.73,1247.5,17.13,,,16784.05,16.9,8703.21,21.89,14842.01,16.57,154Tm
10795.0,196.0,3247.72,21.02,,,12499.0,56.72,5704.73,8.85,13980.6,23.87,154Yb
9414.0,247.0,-204.06,13.96,,,17266.0,247.0,6691.0,359.0,16704.0,197.0,154Lu
13441.0,424.0,1586.0,335.0,,,11463.0,358.0,2302.0,424.0,14518.0,425.0,154Hf
4472.0,500.0,12399.0,640.0,29009.0,400.0,9250.0,565.0,8644.0,565.0,-3354.0,640.0,155La
3632.0,361.0,13539.0,424.0,22411.0,300.0,8990.0,424.0,6374.0,424.0,-423.0,500.0,155Ce
5381.61,114.31,10485.0,201.0,16402.82,17.25,10205.0,201.0,8429.0,201.0,-479.0,300.0,155Pr
4530.06,53.43,11467.72,113.38,9786.16,9.23,9995.55,14.99,6338.39,20.67,2343.0,200.0,155Nd
6499.27,46.57,8403.93,52.85,4310.12,10.92,11101.17,5.42,8073.53,24.94,2464.53,19.13,155Pm
5806.96,0.27,8967.81,46.3,-1035.27,9.65,11167.81,9.11,5927.42,25.9,5604.99,24.47,155Sm
8151.29,0.4,6651.89,1.17,-5778.55,17.48,11452.4,0.84,7808.57,0.83,5082.5,25.89,155Eu
6435.24,0.18,7620.73,0.77,-9860.69,6.04,12008.15,0.75,5682.43,0.74,8339.12,0.32,155Gd
9165.06,46.34,4833.07,9.79,-14624.14,13.95,12343.31,9.79,8320.92,9.79,7284.61,9.82,155Tb
6832.96,12.13,6288.22,46.31,-18652.94,19.21,12868.59,10.35,6425.42,41.14,11197.77,9.61,155Dy
9471.54,19.29,2934.6,18.96,-23494.49,25.99,13814.21,17.89,8942.39,18.04,10323.78,43.65,155Ho
7675.49,7.59,4858.85,10.08,-28039.0,298.0,13513.72,7.65,6259.64,13.91,13555.09,7.33,155Er
10270.1,17.44,1309.86,10.75,-32698.0,300.0,14553.5,13.55,8738.52,13.27,12625.26,15.97,155Tm
