S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)",Element_w_A
5885.15,15.18,13113.02,15.42,-27303.13,1001.47,8707.74,15.02,9714.24,15.0,-10147.2,25.98,17N
4143.08,0.0,13781.64,2.3,,,9800.6,0.0,1191.87,0.0,1817.75,0.0,17O
16799.87,8.32,600.27,0.25,,,9806.9,0.55,-1192.02,0.25,4734.69,0.25,17F
15557.65,20.48,1468.78,8.33,,,10644.5,14.0,-10599.9,41.12,14139.07,0.36,17Ne
,,-3897.47,1001.57,,,5668.65,1003.57,,,8855.21,1002.2,17Na
-5.0,5.0,,,50919.52,204.17,5056.31,263.01,6830.87,263.01,,,18B
4183.95,34.66,26086.02,206.3,19601.65,30.0,-1482.44,38.78,825.08,36.64,-19260.15,168.49,18C
2828.23,23.87,15207.7,25.42,-11924.82,95.7,10129.84,18.91,8104.08,18.59,-10198.67,28.06,18N
8045.37,0.0,15941.86,15.0,,,4244.08,2.3,3979.8,0.0,-5009.56,0.8,18O
9149.91,0.53,5607.09,0.46,,,16320.92,0.46,2881.56,0.67,6418.08,0.46,18F
19254.15,0.51,3923.06,0.44,,,5348.17,8.33,-6385.08,14.0,8108.41,0.61,18Ne
18206.54,1005.75,-1248.57,93.88,,,11762.02,96.09,-10313.33,115.15,14117.64,94.92,18Na
93.71,563.64,,,61257.69,525.36,,,7187.17,550.9,,,19B
576.83,93.7,26667.85,226.64,30661.7,98.39,-591.76,226.58,165.3,101.41,-19386.98,192.79,19C
5328.2,24.78,16351.95,34.19,2926.89,19.5,5535.19,23.89,7026.2,16.79,-15609.83,29.54,19N
3955.64,2.64,17069.28,18.76,-28495.53,50.07,6173.59,15.23,2513.01,3.5,-4714.87,4.44,19O
10431.87,0.46,7993.6,0.0,,,10032.13,0.0,8113.61,0.0,-1524.95,2.3,19F
11636.88,0.4,6410.03,0.49,,,10511.15,0.3,-4064.15,8.32,12135.45,0.16,19Ne
20179.91,94.47,-322.81,10.54,,,7139.75,10.54,-6193.33,23.03,7895.54,13.42,19Na
,,498.57,106.37,,,7365.98,1002.6,,,13488.01,54.03,19Mg
-608.0,957.0,,,68467.0,800.0,,,,,,,20B
2981.51,250.74,29555.65,573.75,44545.49,230.62,-3578.27,308.01,-1348.7,307.97,,,20C
2161.1,80.58,17936.23,126.11,14915.89,78.9,7558.04,84.41,5598.65,80.78,-16303.42,218.82,20N
7608.0,2.78,19349.08,16.43,-13681.52,2.06,1393.81,18.59,790.15,15.03,-11589.32,17.39,20O
6601.34,0.03,10639.29,2.64,,,11476.16,0.03,5655.36,0.03,-2241.14,15.0,20F
16865.3,0.16,12843.46,0.0,,,2795.76,0.46,-4129.58,0.25,-586.77,0.0,20Ne
14150.1,10.59,2190.42,1.13,,,12243.8,1.17,-4785.79,1.17,10545.3,1.14,20Na
22422.01,50.04,2740.67,10.7,,,3150.51,93.9,-12831.47,1001.36,6623.65,1.9,20Mg
-809.0,1204.0,,,77377.0,900.0,,,,,,,21B
-68.0,639.0,30096.0,998.0,51375.0,596.0,-3416.0,795.0,-1285.0,630.0,,,21C
4605.9,155.54,19560.62,266.75,27416.54,134.05,3528.97,166.28,5176.7,137.36,-20914.32,244.24,21N
3805.45,12.03,20993.43,79.8,-2841.81,12.02,2916.56,20.32,-187.08,22.11,-11210.83,32.31,21O
8101.46,1.8,11132.75,2.01,-27038.0,596.0,7330.34,3.19,5599.27,1.8,-7514.37,18.66,21F
6761.16,0.04,13003.28,0.05,,,6466.47,0.04,-1740.83,0.46,697.44,0.04,21Ne
17106.55,1.12,2431.67,0.1,,,6774.12,0.19,-2638.19,0.38,2588.66,0.47,21Na
14645.16,2.01,3235.73,1.35,,,8685.27,10.56,-9270.08,93.88,11232.64,0.84,21Mg
,,-2223.0,596.0,,,5872.0,598.0,,,7598.0,604.0,21Al
103.0,640.0,31008.0,929.0,61635.92,231.49,-4128.0,833.0,-1294.99,574.1,,,22C
