N,Z,A,EL,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,Element_w_A,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
3,2,5,He,-n,11231.233,20.0,5512.132,4.0,-447.654,53.852,5012057.223999999,21.47,5He,19842.62,20.0,,,735.0,20.0,-25907.0,2003.0,,,-22163.27,213.07,-735.0,20.0,20678.86,101.98,,,6992.23,20.0,2959.57,20.0,,,-20678.86,735.0,-19078.8639,-16854.2979,-16854.2949,,,-19842.62,735.0,-1230.0005,-20678.86,735.0,2959.566,-22945.6165,-11360.825099999998,-11360.823500000002,,-20678.86,-18454.294,735.0,-10597.068900000002,,6992.229,-15185.385600000001,-466.246,21312.6194,-864.9951000000001
2,3,5,Li,-p,11678.886,50.0,5266.132,10.0,-25460.0,2003.0,5012537.8,53.677,5Li,33131.0,2001.0,17848.86,50.0,1965.0,50.0,,,-20231.21,111.8,,,21715.62,217.94,-1965.0,50.0,,,7458.47,50.0,,,4189.57,50.0,1965.0,-21715.62,-18612.6239,-16388.0579,,-16388.0494,-17848.86,-33131.0,1965.0,-26242.3465,1965.0,-21715.62,-19491.054,,-24649.2051,-10894.5835,-19448.8635,1965.0,4189.566,-21715.62,-10130.8289,-10130.8196,-15458.391,7458.4744,-25478.592,-1138.0005999999994,21778.8649
1,4,5,Be,x,37139.0,2003.0,18.0,401.0,,,5039870.0,2150.0,5Be,,,-7630.0,2003.0,,,,,27425.0,2003.0,,,,,-4527.0,2014.0,,,19183.0,2830.0,,,,,4527.0,,-6888.0939,-4663.527900000001,,,7630.0,,,,4527.0,,,,,829.9464999999982,28207.3465,4527.0,6751.566,,1593.7010999999984,15348.0404,,10020.4744,,,24340.8649
5,1,6,H,-3n,41875.721,254.127,961.6389999999999,42.354,24283.626,254.127,6044955.437000001,272.816,6H,-1111.96,273.09,,,,,27788.84,254.13,,,22573.17,254.91,-911.96,269.41,,,-5444.0,2019.0,,,,,,,,911.96,,,,,,1111.96,,23501.2795,,911.96,3136.526,21790.8235,9593.7549,,,,,911.96,,,7169.189,,24265.034,21489.5794,
4,2,6,He,Other,17592.095,0.053,4878.519,0.009000000000000001,3505.216,0.053,6018885.891,0.057,6He,975.45,0.05,,,,,-782.94,5.45,,,-2158.11,50.0,1710.45,20.0,22589.32,89.44,,,3681.77,100.0,7506.34,0.05,,,-22589.32,-1710.45,-22389.3239,-20164.7579,-12307.5249,,,-975.45,,2722.8695,-22589.32,-1710.45,514.1159999999998,-2940.4565000000002,7506.344900000001,-14671.283500000001,,-22589.32,-20364.754,-1710.45,-13907.528900000001,,4546.779,-17095.8456,3486.624,18867.1694,-2775.455099999999
3,3,6,Li,Other,14086.87895,0.00144,5332.331,0.0,-4288.154,5.4479999999999995,6015122.88742,0.00155,6Li,27378.94,212.13,25112.19,100.0,-1473.76,0.0,-33233.0,2003.0,-26094.54,89.44,-31123.0,2003.0,5663.32,50.0,4433.32,20.0,,,22372.77,0.0,4019.72,0.0,4783.47,0.0,-4433.32,-5663.32,-3698.3238999999994,-1473.7579000000005,-15794.144900000001,-15794.149399999998,-25112.19,-27378.94,-1473.76,-5070.5005,-4433.32,-5663.32,-3438.754,-31905.3465,-18897.145099999998,4019.7164999999986,-25312.1935,-4433.32,-2208.754,-5663.32,4783.471099999999,-17394.149599999997,593.9090000000006,1060.1544000000004,-4306.746,14914.2994,15380.5449
2,4,6,Be,-,18375.033,5.4479999999999995,4487.247,0.9079999999999999,-28945.0,2003.0,6019726.409,5.848,6Be,,,-1372.18,5.45,,,,,-145.17,20.73,,,26835.0,2003.0,592.82,50.3,,,3762.65,212.2,-5428.0,2000.0,9090.22,5.45,-592.82,-26835.0,-22308.4439,-20083.8779,-25241.8649,-11487.3994,1372.18,,,-29727.3465,-592.82,-26835.0,-24610.434,,,-14590.403500000002,637.1765,-592.82,1631.7459999999996,-26835.0,-13826.648900000002,9090.2204,-20577.771,4900.6544,-28963.592,-6257.3806,19221.0449
1,5,6,B,x,47320.0,2003.0,-467.0,334.0,,,6050800.0,2150.0,6B,,,-7419.0,2014.0,,,,,28352.0,2003.0,,,,,-2892.0,2832.0,,,,,,,24299.0,2830.0,2892.0,,,,,3721.3806000000004,7419.0,,,,2892.0,,,,,,29134.3465,2892.0,5116.566,,,15137.0404,,8385.4744,,,22705.8649
6,1,7,H,-nn,49135.0,1004.0,940.0,143.0,23062.0,1004.0,7052749.0,1078.0,7H,-100.0,1000.0,,,,,34228.0,1004.0,,,23472.0,1004.0,812.0,1036.0,,,21459.0,1004.0,,,,,,,,-812.0,,,,,,100.0,,22279.6535,,-812.0,1412.5659999999998,22689.6535,8581.7949,,,,,-812.0,,,5445.229,,23043.408,19765.6194,
5,2,7,He,-n,26073.126,7.559,4123.057,1.08,11166.021,7.559,7027990.654,8.115,7He,1300.74,21.38,,,,,10304.13,7.56,,,3914.93,7.56,-409.71,7.56,23091.56,254.24,,,3891.49,89.76,6316.05,100.29,,,-23091.56,409.71,-22179.603900000002,-19955.037900000003,-13497.814900000001,,,-1300.74,,10383.674500000001,-23091.56,409.71,2634.276,3132.5834999999997,7181.054900000001,-14461.563500000002,,-23091.56,-20866.994000000002,409.71,-13697.808900000002,,6666.939,-17598.085600000002,11147.429,20987.3294,-3277.695100000001
4,3,7,Li,Other,14907.105290000001,0.004229999999999999,5606.439,0.001,-861.893,0.071,7016003.436660001,0.00454,7Li,12914.42,50.0,32563.28,89.44,-2467.62,0.0,-12769.44,25.15,-34257.59,254.13,-11539.24,5.45,7251.09,0.0,9973.96,0.05,,,14386.68,20.0,17346.24,0.0,-4067.62,100.0,-9973.96,-7251.09,-11684.4139,-9459.8479,-2467.624899999999,-24645.2394,-32563.28,-12914.42,-2467.62,-1644.2395000000001,-9973.96,-7251.09,-5026.524,-12321.5865,-4432.625099999999,-3966.3735000000015,-33475.2435,-9973.96,-7749.393999999999,-7251.09,-3202.6189000000013,-24845.2396,-993.8609999999999,-4480.485599999999,-880.485,13326.5294,9839.904900000001
3,4,7,Be,Other,15768.999,0.071,5371.548000000001,0.01,-11907.551000000001,25.15,7016928.717,0.076,7Be,37512.0,2003.0,10040.18,20.0,-1587.13,0.07,,,-9112.07,0.09,-39622.0,2003.0,10677.35,5.45,5606.85,0.07,,,14800.92,50.0,-4690.13,212.13,18990.48,0.07,-5606.85,-10677.35,-11270.1739,-9045.6079,-24503.9949,-1587.1394,-10040.18,-37512.0,-1587.13,-12689.897500000001,-5606.85,-10677.35,-8452.784,-40404.3465,-29030.2051,-3552.1335000000017,-8329.7235,-5606.85,-3382.2840000000006,-10677.35,-2788.3789000000015,-2322.1396000000004,-4420.121,-113.3756000000003,-11926.143000000002,9900.2694,14207.0149
2,5,7,B,p4n,27676.55,25.15,3558.705,3.593,,,7029712.0,27.0,7B,,,-1419.72,55.97,-3415.0,2000.0,,,6300.7,25.15,,,27715.0,2003.0,-2012.55,25.73,,,1249.0,2003.0,,,7999.76,213.62,2012.55,-27715.0,-24822.0939,-22597.5279,,-12577.8594,1419.72,,-3415.0,,2012.55,-27715.0,-25490.434,,,-17104.0535,7083.0464999999995,2012.55,4237.116,-27715.0,-16340.298900000002,9137.7604,-21457.771,7506.0244,,-7137.3806,21826.4149
6,2,8,He,Other,31609.681,0.08900000000000001,3924.52,0.011000000000000001,10663.878,0.1,8033934.39,0.095,8He,2125.05,0.1,,,,,26668.01,0.1,,,8631.26,0.09,2534.76,7.56,24814.0,1004.0,-3454.59,18.24,444.77,254.13,3581.29,89.44,,,-24814.0,-2534.76,-25626.3239,-23401.7579,-16232.5749,,,-2125.05,,9881.531500000001,-24814.0,-2534.76,-310.1940000000004,7848.913500000001,6356.744900000001,-17908.2835,,-24814.0,-22589.434,-2534.76,-17144.5289,,3722.469,-19320.5256,10645.286,18042.8594,-5000.1350999999995
5,3,8,Li,Other,20945.804,0.047,5159.712,0.006,16004.133,0.059000000000000004,8022486.246,0.05,8Li,9283.71,0.05,35507.86,254.13,-6100.24,100.0,-1975.76,1.0,-35478.0,1004.0,-2894.51,0.09,2032.62,0.05,12416.29,7.56,,,14064.51,0.07,14578.63,20.0,-6300.24,89.44,-12416.29,-2032.62,-12006.5839,-9782.0179,-5235.234900000001,-26877.8594,-35507.86,-9283.71,-6100.24,15221.7865,-12416.29,-2032.62,191.9459999999999,-3676.8565000000003,-801.9150999999983,-4288.543500000002,-34695.6535,-12416.29,-10191.724000000002,-2032.62,-3524.7889000000014,-27789.819600000003,4224.609,-6922.815600000001,15985.541,18544.9994,7397.5749
4,4,8,Be,-a,4941.670999999999,0.035,7062.435,0.004,-17979.896,1.0,8005305.102000001,0.037000000000000005,8Be,29576.0,5.45,27228.37,0.06,91.84,0.04,-30122.6,18.24,-28420.43,7.56,-30806.2,25.15,18898.64,0.08,17254.4,0.04,,,1565.6,0.04,-1873.16,50.0,-643.16,20.0,-17254.4,-18898.64,-24505.4939,-22280.927900000002,-21687.0249,-21220.7794,-27228.37,-29576.0,91.84,-18762.2425,-17254.4,-18898.64,-16674.074,-31588.5465,-21094.2051,-16787.453500000003,-27638.0835,-17254.4,-15029.834000000003,-18898.64,-16023.698900000001,-19510.329599999997,-12641.411,-11760.925600000002,-17998.488,1678.9794000000002,2559.464899999999
3,5,8,B,Other,22921.567000000003,1.0,4717.155,0.125,-12142.701000000001,18.27,8024607.316000001,1.073,8B,40541.0,2003.0,5743.25,1.0,-4826.54,212.13,,,725.49,1.0,,,12826.3,25.17,136.4,1.0,,,15257.34,5.54,-9353.0,2003.0,16889.08,50.01,-136.4,-12826.3,-10813.7539,-8589.1879,-29166.8649,-3688.539399999998,-5743.25,-40541.0,-4826.54,-12925.0475,-136.4,-12826.3,-10601.734,,-32059.2051,-3095.7135000000017,1507.8365,-136.4,2088.1659999999997,-12826.3,-2331.9589000000014,1974.7903999999999,-6569.070999999999,5357.0744,-12161.293000000001,7751.3194,19677.4649
2,6,8,C,Other,35064.268,18.243,3101.5240000000003,2.28,,,8037643.042,19.584,8C,,,-2111.29,19.04,,,,,12006.3,18.24,,,,,-98.75,31.07,,,-1545.0,2003.0,,,3572.0,2003.0,98.75,,-27616.0939,-25391.5279,,-17005.6194,2111.29,,,,98.75,,,,,-19898.0535,12788.646499999999,98.75,2323.316,,-19134.2989,9829.330399999999,,5592.2244,,,19912.6149
7,2,9,He,Other,40935.826,46.816,3349.0370000000003,5.202000000000001,15980.923999999999,46.817,9043946.419,50.25899999999999,9He,1279.93,47.42,,,,,29587.37,46.82,,,11918.7,46.82,-1254.83,46.82,,,12024.85,46.87,2512.0,1005.0,3924.16,258.4,,,,1254.83,-23559.0939,-21334.5279,-15889.7049,,,-1279.93,,15198.5775,,1254.83,3479.3959999999997,11136.353500000001,7201.8649000000005,-15841.053500000002,,,,1254.83,-15077.298900000002,,7512.059,,15962.331999999999,21832.449399999998,
6,3,9,Li,-3n,24954.902000000002,0.18600000000000003,5037.768,0.021,13606.448999999999,0.201,9026790.191,0.2,9Li,6094.84,0.19,38758.0,1004.0,-10362.46,89.44,12538.41,0.92,,,11941.91,0.19,4062.22,0.19,13943.75,0.21,,,9592.58,7.56,12226.86,0.19,-11274.42,254.13,-13943.75,-4062.22,-16478.513899999998,-14253.947900000001,-7587.0049,-31852.0394,-38758.0,-6094.84,-10362.46,12824.102499999999,-13943.75,-4062.22,-1837.654,11159.5635,2386.9549000000006,-8760.473500000002,,-13943.75,-11719.184000000001,-4062.22,-7996.718900000002,-31039.959600000002,2195.0090000000005,-8450.2756,13587.856999999998,16515.3994,5870.1149000000005
5,4,9,Be,Other,11348.453000000001,0.077,6462.668000000001,0.009000000000000001,-1068.035,0.899,9012183.066,0.08199999999999999,9Be,20563.18,0.1,29302.61,7.56,-2307.7,20.0,-17562.52,2.14,-27550.2,0.12,-19644.43,1.0,1664.54,0.08,16886.32,0.09,,,7152.15,0.08,2125.63,0.08,-597.24,0.09,-16886.32,-1664.54,-18918.9439,-16694.3779,-17688.2349,-21174.8594,-29302.61,-20563.18,-2307.7,-1850.3815,-16886.32,-1664.54,560.0259999999998,-20426.7765,-12081.3851,-11200.903500000002,-26767.8535,-16886.32,-14661.754,-1664.54,-10437.148900000002,-21584.569600000003,4592.689,-11392.8456,-1086.6270000000002,18913.0794,2927.544900000001
4,5,9,B,-,12416.488000000001,0.903,6257.07,0.1,-16494.484,2.319,9013329.649,0.9690000000000001,9B,31402.7,25.17,17068.56,0.9,-1687.31,50.01,,,-15818.29,0.9,-30719.1,18.27,18576.4,1.35,-185.85,0.9,,,7358.3,0.91,-1094.49,5.52,3976.01,0.9,185.85,-18576.4,-18712.7939,-16488.2279,-20908.354900000002,-16601.6094,-17068.56,-31402.7,-1687.31,-17276.8305,185.85,-18576.4,-16351.834000000003,-31501.4465,-22920.9051,-10994.753500000003,-15035.943500000001,185.85,2410.4159999999997,-18576.4,-10230.998900000002,-9350.519600000001,-12319.171000000002,5679.3244,-16513.076,2001.2193999999981,19999.7149
3,6,9,C,-pp,28910.972,2.137,4337.423,0.237,,,9031037.207,2.293,9C,,,1435.97,2.14,-10653.0,2003.0,,,16680.33,2.14,,,14224.61,18.37,1299.57,2.36,,,11945.23,25.24,-13545.0,2003.0,16182.34,5.85,-1299.57,-14224.61,-14125.8639,-11901.297900000001,-33358.8649,-4395.279399999999,-1435.97,,-10653.0,,-1299.57,-14224.61,-12000.044000000002,,,-6407.823500000002,17462.6765,-1299.57,924.9959999999999,-14224.61,-5644.068900000002,6282.0704,-7967.381,4193.9044,,6353.009399999999,18514.2949
8,2,10,He,-nn,49197.143,92.848,2995.134,9.285,16144.518999999998,93.715,10052815.308,99.676,10He,-1444.83,92.85,,,,,36589.66,92.85,,,16170.92,92.85,-190.0,103.98,,,33498.47,92.85,,,4926.0,1008.0,,,,190.0,,,-14887.8649,,,1444.83,,15362.172499999999,,190.0,2414.566,15388.5735,9926.6249,,,,,190.0,,,6447.229,,16125.926999999998,20767.6194,
7,3,10,Li,-n,33052.623999999996,12.720999999999998,4531.351,1.272,20445.136000000002,12.722000000000001,10035483.453,13.655999999999999,10Li,4035.81,12.72,,,-11248.01,254.45,21002.01,12.72,,,13632.85,12.72,-26.4,12.72,15172.17,48.51,-5747.4,400.2,12153.75,12.72,11843.55,14.8,-10436.0,1004.0,-15172.17,26.4,-13917.3439,-11692.777900000001,-7970.314900000001,-31013.6194,,-4035.81,-11248.01,19662.789500000003,-15172.17,26.4,2250.966,12850.5035,4445.984900000001,-6199.303500000002,,-15172.17,-12947.604,26.4,-5435.548900000002,,6283.629,-9678.6956,20426.544,20604.0194,4641.6949
6,4,10,Be,Other,12607.488000000001,0.081,6497.63,0.008,556.878,0.08199999999999999,10013534.695,0.086,10Be,8476.82,0.09,33580.13,0.12,-7409.52,0.1,-3091.18,0.11,-35617.31,46.82,-7880.32,0.9,6812.28,0.05,19636.39,0.2,,,2372.49,0.09,2564.44,0.08,-7819.24,7.56,-19636.39,-6812.28,-23698.603900000002,-21474.037900000003,-17249.4249,-28396.8594,-33580.13,-8476.82,-7409.52,-225.46849999999995,-19636.39,-6812.28,-4587.714,-8662.6665,4.974900000001071,-15980.563500000002,-34834.9635,-19636.39,-17411.824,-6812.28,-15216.808900000002,-25862.0896,-555.0509999999995,-14142.9156,538.2860000000001,13765.3394,177.47490000000107
5,5,10,B,Other,12050.608999999999,0.015,6475.0830000000005,0.002,-3648.062,0.069,10012936.862,0.016,10B,27013.59,1.0,23473.14,0.05,-4461.19,0.01,-26749.42,400.0,-20193.26,0.19,-24931.68,2.14,8437.2,0.9,6586.81,0.08,,,17819.74,0.04,1145.67,0.07,2789.91,0.02,-6586.81,-8437.2,-8251.353899999998,-6026.787899999999,-18668.194900000002,-17787.7094,-23473.14,-27013.59,-4461.19,-4430.4085,-6586.81,-8437.2,-6212.634000000001,-25714.0265,-18531.7951,-533.3135000000002,-19410.9135,-6586.81,-4362.244000000001,-8437.2,230.4411,-15755.0996,-2179.9710000000005,-1093.3356000000003,-3666.654,12140.419399999999,13227.0549
4,6,10,C,Other,15698.671999999999,0.07,6032.0419999999995,0.006999999999999999,-23101.355,400.0,10016853.218,0.075,10C,35508.23,18.24,3820.94,0.08,-5101.28,5.45,,,-2938.75,0.1,,,21283.62,2.14,4006.79,0.91,,,3487.91,1.0,-7113.82,25.15,5576.07,0.1,-4006.79,-21283.62,-22583.1839,-20358.6179,-26927.6849,-15001.5494,-3820.94,-35508.23,-5101.28,-23883.7015,-4006.79,-21283.62,-19059.054,,-27026.435100000002,-14865.143500000002,-2156.4035,-4006.79,-1782.2240000000002,-21283.62,-14101.388900000002,3897.1004,-15026.391,1486.6844,-23119.947,-706.0005999999994,15807.0749
3,7,10,N,--,38800.026,400.0,3643.672,40.0,,,10041653.543,429.417,10N,,,-1300.52,400.0,-10945.0,2042.0,,,19094.57,400.0,,,,,-2600.08,400.01,,,14446.56,400.42,,,16769.88,400.79,2600.08,,-11624.5339,-9399.967900000001,,-3807.7393999999986,1300.52,,-10945.0,,2600.08,,,,,-3906.4935000000023,19876.9165,2600.08,4824.646,,-3142.738900000002,9018.5604,,8093.5544,,,22413.944900000002
8,3,11,Li,x,40728.254,0.615,4155.380999999999,0.055999999999999994,20551.087,0.659,11043723.580999998,0.66,11Li,369.28,0.64,,,-10832.0,1004.0,32060.55,0.61,,,20049.45,0.62,395.69,12.74,15757.86,92.85,16424.69,46.16,10503.23,46.82,13982.63,0.62,,,-15757.86,-395.69,-15567.8639,-13343.297900000001,-5831.234900000001,,,-369.28,-10832.0,19768.7405,-15757.86,-395.69,1828.8759999999997,19267.1035,8112.514900000001,-7849.823500000002,,-15757.86,-13533.294000000002,-395.69,-7086.068900000002,,5861.539000000001,-10264.385600000001,20532.495,20181.9294,4056.0049
7,4,11,Be,Other,20177.167,0.23800000000000002,5952.54,0.022000000000000002,11509.46,0.23800000000000002,11021661.080999998,0.255,11Be,7313.92,0.25,35336.6,46.82,-8320.87,7.56,9527.77,0.25,-36308.95,92.85,55.24,0.24,501.64,0.25,20164.43,12.72,,,5933.07,0.3,4095.42,0.24,-5786.11,0.25,-20164.43,-501.64,-20138.0239,-17913.4579,-15718.4449,-26363.7294,-35336.6,-7313.92,-8320.87,10727.1135,-20164.43,-501.64,1722.926,-727.1065,1167.8749000000007,-12419.983500000002,-35526.6035,-20164.43,-17939.864,-501.64,-11656.228900000002,-27618.5596,5755.589,-14670.955600000001,11490.867999999999,20075.9794,-350.5650999999998
6,5,11,B,Other,8667.707,0.012,6927.732,0.001,-1981.6889999999999,0.061,11009305.166,0.013000000000000001,11B,19891.42,0.9,30865.14,0.19,-8664.31,0.01,-15635.85,46.15,-31673.89,12.72,-15102.28,0.07,11454.22,0.02,11228.75,0.08,,,8030.06,0.08,8590.09,0.04,-6631.7,0.05,-11228.75,-11454.22,-18041.0339,-15816.4679,-11223.7749,-27209.3194,-30865.14,-19891.42,-8664.31,-2764.0355,-11228.75,-11454.22,-9229.653999999999,-15884.6265,-11409.625099999997,-10322.9935,-30891.5435,-11228.75,-9004.184000000001,-11454.22,-9559.2389,-23147.0996,-5196.990999999999,-5735.2756,-2000.281,9123.3994,8585.1149
5,6,11,C,Other,10649.396,0.06,6676.456,0.005,-13654.163,46.153999999999996,11011432.597000001,0.064,11C,34404.21,2.14,15277.0,0.1,-7544.52,0.09,,,-9247.06,0.1,-36221.95,400.0,13120.59,0.09,8690.18,0.06,,,8943.71,0.9,-7408.12,1.0,11354.13,0.07,-8690.18,-13120.59,-17127.3839,-14902.817900000002,-27221.9849,-9223.4894,-15277.0,-34404.21,-7544.52,-14436.5095,-8690.18,-13120.59,-10896.024000000001,-37004.2965,-25922.4151,-9409.343500000003,-8464.7135,-8690.18,-6465.6140000000005,-13120.59,-8645.588900000002,-7558.9596,-6863.361,-3196.7056000000002,-13672.755000000001,7457.029399999999,11123.6849
4,7,11,N,-p,24303.558999999997,46.153999999999996,5364.045999999999,4.196000000000001,,,11026090.945,49.548,11N,,,2690.87,46.16,-5797.91,52.56,,,4963.98,46.15,,,22567.78,402.65,-1315.92,46.15,,,6103.39,46.2,-5896.65,49.63,7028.39,46.16,1315.92,-22567.78,-19967.7039,-17743.1379,-25710.514900000002,-13549.2294,-2690.87,,-5797.91,,1315.92,-22567.78,-20343.214,,,-12249.663500000002,5746.326499999999,1315.92,3540.486,-22567.78,-11485.908900000002,5027.1704,-16310.551,6809.3944,,-1990.1605999999992,21129.7849
9,3,12,Li,-n,49009.570999999996,30.006,3791.6,2.501,23931.812,30.066999999999997,12052613.941,32.213,12Li,185.69,32.59,,,,,35640.17,30.04,,,20761.09,30.01,-210.0,30.0,,,31671.5,30.02,10523.23,97.58,12937.8,55.61,,,,210.0,-15547.8639,-13323.297900000001,-6876.064900000001,,,-185.69,,23149.465500000002,,210.0,2434.566,19978.7435,8296.1049,-7829.823500000002,,,,210.0,-7066.068900000002,,6467.229,,23913.22,20787.6194,
8,4,12,Be,Other,25077.76,1.909,5720.722,0.159,11708.363000000001,2.3209999999999997,12026922.082999999,2.048,12Be,3672.36,1.91,38697.32,92.87,-8956.84,1.91,25077.76,1.91,,,8338.74,1.91,3170.72,1.92,22939.47,2.01,-6836.85,24.08,2735.94,12.86,4986.91,1.92,-10211.66,46.86,-22939.47,-3170.72,-23335.1539,-21110.587900000002,-14826.9549,-30789.2794,-38697.32,-3672.36,-8956.84,10926.016500000002,-22939.47,-3170.72,-946.154,7556.3935,4809.4349,-15617.113500000001,,-22939.47,-20714.904000000002,-3170.72,-14853.358900000001,-30979.2796,3086.5090000000005,-17445.995600000002,11689.771,17406.8994,-3125.6051000000007
