   Z  A  El   I0    Bn       D0        Derr    Nlow  Ulow   Ntop  Utop    ctable    deltac    ptable 
  37  86 Rb -2.5   8.651  1.700E+02  3.000E+01   5   0.873   16   1.309  -0.23529   0.06050  -0.15086
  37  88 Rb -1.5   6.083  1.800E+03  3.000E+02   8   1.086   15   1.372  -0.11656   0.06850   0.01464
  38  85 Sr  0.0   8.530  3.200E+02  1.200E+02   7   1.111   22   1.649   0.14608   0.13000  -0.69135
  38  87 Sr  0.0   8.428  2.600E+03  8.000E+02   7   1.770   18   2.536   0.05673   0.10900  -0.16856
  38  88 Sr  4.5  11.113  2.900E+02  8.000E+01   4   3.219   26   4.514  -0.25825   0.08500  -0.12635
  38  89 Sr  0.0   6.359  2.370E+04  2.900E+03   7   2.079   15   2.930   0.58472   0.12600   1.35344
  39  90 Y  -0.5   6.857  3.700E+03  4.000E+02   3   0.777   16   1.815  -0.21026   0.04300   0.28070
  40  91 Zr  0.0   7.194  6.000E+03  1.400E+03   3   1.882   17   2.578  -0.05246   0.09100   0.28299
  40  92 Zr  2.5   8.635  5.500E+02  1.000E+02   3   1.495   16   2.904  -0.24399   0.06500   0.59802
  40  93 Zr  0.0   6.734  3.500E+03  8.000E+02   8   1.463   18   2.075   0.00843   0.09600   0.82593
  40  94 Zr  2.5   8.221  1.600E+02  1.500E+01   4   1.671   16   2.846   0.13997   0.03650   1.33871
  40  95 Zr  0.0   6.462  3.200E+03  8.000E+02   3   1.140   18   2.317   0.33046   0.10800   0.82251
  41  94 Nb  4.5   7.228  8.000E+01  1.000E+01   8   0.334   19   0.933  -0.23738   0.04750   0.00681
  42  93 Mo  0.0   8.070  2.700E+03  5.000E+02   8   2.146   16   2.425  -0.06734   0.06750   0.25866
  42  95 Mo  0.0   7.369  1.320E+03  1.800E+02   8   1.074   20   1.660   0.00000   0.05150   0.00000
  42  96 Mo  2.5   9.154  1.050E+02  1.000E+01   6   1.628   15   2.441  -0.40706   0.06850   0.90150
  42  97 Mo  0.0   6.821  1.050E+03  2.000E+02   6   0.753   20   1.321  -0.09348   0.07250  -0.33026
  42  98 Mo  2.5   8.643  7.500E+01  2.000E+01   4   1.510   18   2.344  -0.26297   0.09500   0.31192
  42  99 Mo  0.0   5.925  1.000E+03  2.000E+02   3   0.351   15   0.905   0.02291   0.08050  -0.56178
  42 101 Mo  0.0   5.398  8.000E+02  1.500E+02   2   0.057   22   0.626  -0.18619   0.07600  -0.94831
  43 100 Tc  4.5   6.764  1.200E+01  1.300E+00   8   0.300   17   0.457  -0.14280   0.04050  -0.56288
  44 100 Ru  2.5   9.673  2.500E+01  4.000E+00   6   1.865   28   2.517   0.01596   0.05350   0.33071
  44 102 Ru  2.5   9.220  1.800E+01  3.000E+00   7   1.603   19   2.303  -0.10882   0.05850   0.70943
  44 103 Ru  0.0   6.232  5.500E+02  1.500E+02   7   0.298   16   0.555  -0.54818   0.13350  -0.77398
  44 105 Ru  0.0   5.910  3.000E+02  7.500E+01   8   0.246   21   0.671  -0.35587   0.10300  -0.28791
  45 104 Rh -0.5   6.999  3.200E+01  4.000E+00   8   0.213   15   0.359  -0.05300   0.04650  -0.55364
  46 105 Pd  0.0   7.094  2.400E+02  3.000E+01   4   0.345   17   0.808  -0.13161   0.04600  -0.63609
