#           Level density parameters for the EGSM model
#  Z  A  Sym Io   Bn       Do            dDo           Esh          +da      a       -da   
#                [MeV]    [keV]         [keV]         [MeV]         [1/MeV] [1/MeV] [1/MeV]
#-----------------------------------------------------------------------------------------------------
  56 135 Ba  0.0  6.972   0.37100E+00   0.36000E-01  -0.10620E+01  0.1224  8.7006  0.1083  
  56 136 Ba  1.5  9.107   0.40000E-01   0.60000E-02  -0.20480E+01  0.1606  8.4120  0.1373  
  56 137 Ba  0.0  6.906   0.12100E+01   0.11900E+00  -0.29350E+01  0.1004  7.1996  0.0889  
  56 138 Ba  1.5  8.611   0.26000E+00   0.50000E-01  -0.38760E+01  0.1750  6.8534  0.1414  
  56 139 Ba  0.0  4.723   0.18700E+02   0.29000E+01  -0.30170E+01  0.2075  6.1422  0.1703  
  57 139 La  5.0  8.778   0.32000E-01   0.60000E-02  -0.29010E+01  0.1636  7.2793  0.1333  
  57 140 La  3.5  5.161   0.22000E+00   0.40000E-01  -0.21450E+01  0.2364  7.5830  0.1908  
  58 137 Ce  0.0  7.481   0.50000E-01   0.20000E-01   0.40000E-01  0.6877 10.7932  0.4399  
  58 141 Ce  0.0  5.428   0.31000E+01   0.50000E+00  -0.17470E+01  0.2389  7.8382  0.1971  
  58 142 Ce  3.5  7.169   0.65000E-01   0.20000E-01  -0.10350E+01  0.5146  9.3748  0.3641  
  58 143 Ce  0.0  5.144   0.11000E+01   0.50000E+00  -0.35900E+00  1.0103 10.2090  0.6002  
  59 142 Pr  2.5  5.842   0.11000E+00   0.20000E-01  -0.10420E+01  0.2347  8.1817  0.1896  
  60 143 Nd  0.0  6.123   0.86000E+00   0.80000E-01  -0.94800E+00  0.1323  8.7646  0.1165  
  60 144 Nd  3.5  7.816   0.35000E-01   0.50000E-02  -0.24700E+00  0.2041  9.4373  0.1730  
  60 145 Nd  0.0  5.756   0.45000E+00   0.50000E-01   0.46400E+00  0.1871 10.6568  0.1638  
  60 146 Nd  3.5  7.565   0.17000E-01   0.30000E-02   0.97800E+00  0.2917 11.0995  0.2411  
  60 147 Nd  0.0  5.291   0.29000E+00   0.50000E-01   0.17350E+01  0.3511 12.9217  0.2887  
  60 148 Nd  2.5  7.333   0.35000E-02   0.17000E-02   0.20590E+01  1.1943 14.9609  0.6953  
  60 151 Nd  0.0  5.334   0.16500E+00   0.15000E-01   0.24630E+01  0.1848 14.1726  0.1673  
  61 148 Pm  3.5  5.897   0.52000E-02   0.12000E-02   0.21760E+01  0.4123 12.6363  0.3240  
  62 145 Sm  0.0  6.757   0.67000E+00   0.60000E-01  -0.58700E+00  0.1141  8.3512  0.1015  
  62 148 Sm  3.5  8.142   0.51000E-02   0.50000E-03   0.14770E+01  0.1537 11.9633  0.1375  
  62 149 Sm  0.0  5.871   0.10000E+00   0.20000E-01   0.22860E+01  0.3989 13.5264  0.3227  
  62 150 Sm  3.5  7.985   0.21000E-02   0.30000E-03   0.25730E+01  0.2533 13.9478  0.2179  
  62 151 Sm  0.0  5.596   0.46000E-01   0.80000E-02   0.32440E+01  0.3868 16.1980  0.3207  
  62 152 Sm  2.5  8.258   0.10400E-02   0.15000E-03   0.28430E+01  0.2576 15.0141  0.2220  
  62 153 Sm  0.0  5.867   0.48000E-01   0.50000E-02   0.28470E+01  0.2073 15.1071  0.1862  
  62 155 Sm  0.0  5.807   0.11400E+00   0.15000E-01   0.20140E+01  0.2524 13.3943  0.2196  
  63 152 Eu  2.5  6.306   0.73000E-03   0.70000E-04   0.35590E+01  0.1693 15.8546  0.1590  
  63 153 Eu  3.0  8.550   0.35000E-03   0.50000E-04   0.31660E+01  0.2246 13.9706  0.1918  
  63 154 Eu  2.5  6.442   0.11000E-02   0.20000E-03   0.29050E+01  0.3262 14.6697  0.2684  
  63 155 Eu  3.0  8.151   0.92000E-03   0.12000E-03   0.25070E+01  0.2003 13.1351  0.1785  
  63 156 Eu  2.5  6.337   0.43000E-02   0.15000E-02   0.19620E+01  0.6543 12.5181  0.4472  
  64 153 Gd  0.0  6.247   0.14000E-01   0.30000E-02   0.34000E+01  0.4608 16.5387  0.3680  
  64 155 Gd  0.0  6.435   0.14500E-01   0.15000E-02   0.30090E+01  0.1989 15.7828  0.1781  
  64 156 Gd  1.5  8.536   0.17000E-02   0.20000E-03   0.25200E+01  0.1948 14.1623  0.1756  
  64 157 Gd  0.0  6.360   0.30000E-01   0.60000E-02   0.22490E+01  0.3921 14.4253  0.3176  
  64 158 Gd  1.5  7.937   0.49000E-02   0.50000E-03   0.19600E+01  0.1738 13.5938  0.1558  
  64 159 Gd  0.0  5.943   0.82000E-01   0.60000E-02   0.17280E+01  0.1343 13.5604  0.1242  
  64 161 Gd  0.0  5.635   0.20000E+00   0.20000E-01   0.12500E+01  0.1861 12.6207  0.1663  
  65 160 Tb  1.5  6.375   0.42000E-02   0.30000E-03   0.17470E+01  0.1150 13.0825  0.1047  
  66 157 Dy  0.0  6.969   0.28000E-02   0.30000E-03   0.30700E+01  0.2051 17.3170  0.1828  
  66 159 Dy  0.0  6.831   0.22000E-01   0.11000E-01   0.25040E+01  1.1686 13.9114  0.6654  
  66 161 Dy  0.0  6.454   0.27000E-01   0.50000E-02   0.20030E+01  0.3561 14.3218  0.2923  
  66 162 Dy  2.5  8.196   0.24000E-02   0.20000E-03   0.16460E+01  0.1348 13.4488  0.1237  
  66 163 Dy  0.0  6.271   0.62000E-01   0.50000E-02   0.12970E+01  0.1411 13.1282  0.1300  
  66 164 Dy  2.5  7.658   0.68000E-02   0.60000E-03   0.11000E+01  0.1473 12.7672  0.1339  
  66 165 Dy  0.0  5.715   0.15000E+00   0.10000E-01   0.94300E+00  0.1219 12.8525  0.1114  
  67 166 Ho  3.5  6.244   0.42000E-02   0.50000E-03   0.81900E+00  0.1904 12.1113  0.1664  
  68 163 Er  0.0  6.902   0.80000E-02   0.20000E-02   0.24410E+01  0.5003 15.4616  0.3820  
  68 165 Er  0.0  6.649   0.21000E-01   0.40000E-02   0.18520E+01  0.3609 14.2532  0.2942  
  68 167 Er  0.0  6.436   0.38000E-01   0.30000E-02   0.10920E+01  0.1372 13.5246  0.1267  
  68 168 Er  3.5  7.771   0.42000E-02   0.30000E-03   0.96800E+00  0.1162 12.8076  0.1066  
  68 169 Er  0.0  6.003   0.10000E+00   0.10000E-01   0.73500E+00  0.1797 12.8088  0.1603  
  68 171 Er  0.0  5.682   0.14700E+00   0.20000E-01   0.50300E+00  0.2569 12.8657  0.2233  
  69 170 Tm  0.5  6.593   0.85000E-02   0.70000E-03   0.66600E+00  0.1264 12.4728  0.1151  
  69 171 Tm  1.0  7.486   0.39000E-02   0.10000E-02   0.73900E+00  0.4491 13.1037  0.3418  
  70 169 Yb  0.0  6.867   0.80000E-02   0.30000E-02   0.16670E+01  0.8150 15.3300  0.5420  
  70 170 Yb  3.5  8.470   0.16000E-02   0.40000E-03   0.13960E+01  0.4361 13.0228  0.3338  
  70 171 Yb  0.0  6.614   0.33000E-01   0.60000E-02   0.11080E+01  0.3318 13.3842  0.2734  
  70 172 Yb  0.5  8.020   0.58000E-02   0.50000E-03   0.91600E+00  0.1441 13.9455  0.1328  
  70 173 Yb  0.0  6.367   0.70000E-01   0.30000E-02   0.52200E+00  0.0698 12.5386  0.0695  
  70 174 Yb  2.5  7.464   0.78000E-02   0.90000E-03   0.52700E+00  0.1979 12.7992  0.1756  
  70 175 Yb  0.0  5.822   0.16200E+00   0.18000E-01   0.33400E+00  0.2014 12.3359  0.1780  
  70 177 Yb  0.0  5.567   0.18500E+00   0.20000E-01   0.31600E+00  0.2037 12.7424  0.1804  
  71 176 Lu  3.5  6.288   0.30000E-02   0.40000E-03   0.47400E+00  0.2175 12.5487  0.1897  
  71 177 Lu  7.0  7.072   0.27500E-02   0.85000E-03   0.78900E+00  0.5797 12.3740  0.4120  
  72 175 Hf  0.0  6.709   0.18000E-01   0.50000E-02   0.13110E+01  0.5535 14.2668  0.4103  
  72 177 Hf  0.0  6.377   0.30000E-01   0.70000E-02   0.93400E+00  0.4604 14.0951  0.3587  
  72 178 Hf  3.5  7.626   0.24000E-02   0.30000E-03   0.95700E+00  0.2216 14.0386  0.1964  
  72 179 Hf  0.0  6.099   0.57000E-01   0.60000E-02   0.68500E+00  0.1937 13.6062  0.1731  
  72 180 Hf  4.5  7.388   0.46000E-02   0.30000E-03   0.60200E+00  0.1103 13.0796  0.1038  
  72 181 Hf  0.0  5.695   0.94000E-01   0.15000E-01   0.40500E+00  0.3151 13.6824  0.2663  
  73 181 Ta  1.0  7.577   0.12000E-02   0.20000E-03   0.52500E+00  0.2895 14.7394  0.2433  
  73 182 Ta  3.5  6.063   0.42000E-02   0.30000E-03   0.22500E+00  0.1147 12.4685  0.1056  
  73 183 Ta  3.0  6.934   0.35000E-02   0.70000E-03   0.52000E+00  0.3552 13.0845  0.2870  
  74 181 W   0.0  6.681   0.20000E-01   0.70000E-02   0.65300E+00  0.7247 13.9945  0.4965  
  74 183 W   0.0  6.191   0.60000E-01   0.60000E-02   0.24300E+00  0.1783 13.1845  0.1606  
  74 184 W   0.5  7.411   0.12000E-01   0.10000E-02   0.31300E+00  0.1464 13.9672  0.1344  
  74 185 W   0.0  5.753   0.70000E-01   0.70000E-02   0.25400E+00  0.1916 14.0478  0.1723  
  74 187 W   0.0  5.467   0.85000E-01   0.80000E-02   0.12100E+00  0.1874 14.4702  0.1692  
  75 186 Re  2.5  6.180   0.31000E-02   0.30000E-03   0.41000E-01  0.1594 13.1446  0.1439  
  75 188 Re  2.5  5.871   0.41000E-02   0.30000E-03  -0.15500E+00  0.1247 13.3180  0.1126  
  76 187 Os  0.0  6.293   0.29000E-01   0.30000E-02   0.17800E+00  0.1909 14.1960  0.1693  
  76 188 Os  0.5  7.989   0.40000E-02   0.60000E-03  -0.15800E+00  0.2615 14.3270  0.2248  
  76 189 Os  0.0  5.920   0.47000E-01   0.60000E-02  -0.19400E+00  0.2437 14.2007  0.2139  
  76 190 Os  1.5  7.791   0.34000E-02   0.40000E-03  -0.66200E+00  0.2007 13.7634  0.1778  
  76 191 Os  0.0  5.758   0.70000E-01   0.10000E-01  -0.84800E+00  0.2745 13.7008  0.2349  
  76 193 Os  0.0  5.585   0.11500E+00   0.10000E-01  -0.17200E+01  0.1593 12.9727  0.1435  
  77 192 Ir  1.5  6.198   0.25000E-02   0.50000E-03  -0.97500E+00  0.3555 13.8688  0.2883  
  77 193 Ir  4.0  7.771   0.70000E-03   0.20000E-03  -0.14790E+01  0.4915 13.0638  0.3616  
  77 194 Ir  1.5  6.067   0.70000E-02   0.20000E-02  -0.20310E+01  0.5094 12.2638  0.3749  
