  ZZ   NN   BETA    GAMMA   SPH2    OCT0    OCT1    OCT2    OCT3 
  72   96   0.941   0.875   0.000
  72   98   0.880   0.961   0.000
  72   100  0.871   1.075   0.000   0.000   0.000   0.000  -1.64
  72   102  0.828   1.227   0.000  -1.3     0.000  -1.31    0.000
  72   104  1.150   1.341   0.000  -1.6     1.722   1.248   
  72   106  1.199   1.175   0.000  -1.7     1.310   1.260   1.803
  72   108  1.102   1.200   0.000   0.000   0.000   0.000   1.35
  72   110  1.034   0.818   0.000
  74   96  -0.953   0.937   0.000   0.000   0.000   0.000   1.314
  74   102  1.040   1.128   0.000   0.000   0.000   0.000   1.179   
  74   104  0.997   1.111   0.000   0.000   0.000  -1.05    0.000
  74   106  1.516   1.117   0.000   0.000  -1.58    1.006   0.000
  74   108  1.136   1.221   0.000   0.000   0.000   1.289   0.000
  74   110  1.002   0.903   0.000   0.000  -1.28    1.130   0.000
  74   112  0.882   0.738   0.000  -1.2    -1.45    0.953  -1.66
  76   96   0.758  -0.703   0.000   0.000   0.000   0.000  -1.47
  76   98   0.545   0.846   0.000   0.000   0.000   0.000  -1.42
  76   100  0.601   0.864   0.000   0.000   0.000   0.000  -1.35
  76   102  0.650   0.864   0.000   0.000   0.000   0.000   1.302
  76   104  0.736   0.831   0.000   0.000   0.000   0.000   1.375
  76   106 -1.16    0.890   0.000   0.000   0.000   0.000  -1.47
  76   108  1.042   0.943   0.000   0.000   0.000   0.000   1.544
  76   110  1.061   0.768   0.000   0.000   0.000   0.000  -1.48
  76   112  1.086   0.633   0.000   0.000   0.000   1.462  -1.41
  76   114  0.912   0.558   0.000   0.000   0.000  -1.57    1.387
  76   116  0.956   0.489   0.000   0.000   0.000  -1.87    1.341
  76   118  0.696   0.656   0.000
  78   98   0.443
  78   100  0.422   
  78   102  0.479   0.861
  78   104  0.499   0.855   0.000   0.000   0.000   0.000  -1.6
  78   106  0.491   0.844   0.000   0.000   0.000   0.000  -1.6
  78   108  0.471   0.798   0.000   0.000   0.000   0.000   1.408
  78   110  0.799   0.606   0.000   0.000   0.000   0.000   1.350
  78   112  0.921   0.598   0.000   0.000   0.000   0.000   1.353
  78   114  1.195   0.612   0.000   0.000   0.000   0.000   1.378
  78   116  1.267   0.622   0.000   0.000   0.000   0.000   1.432
  78   118  1.135   0.689   0.000   0.000   0.000   0.000   1.447
  78   120  0.915   0.775   0.000   0.000   0.000   0.000  -1.367
  78   122  1.118   0.868   0.000
  80   100         -0.797   0.000   0.000   0.000   0.000  -1.4
  80   102          0.548
  80   104  0.375   
  80   106  0.523   1.097   0.000   0.000   0.000   0.000  -1.23
  80   108  0.825  -1.23    0.000   0.000   0.000   0.000  -1.72  
  80   110  1.279   1.100   0.000   0.000   0.000   0.000  -1.7
  80   112          1.113   0.000   0.000   0.000   0.000  -1.8
  80   114  1.500   1.073   0.000   0.000   0.000   0.000  -1.7
  80   116  1.319  -1.03    0.000   0.000   0.000   0.000  -1.7
  80   118  1.401   1.088   0.000   0.000   0.000   0.000   1.93
  80   120  1.029   1.573   0.000   0.000   0.000   0.000   2.151
  80   122  0.000   0.000   0.000   0.000   0.000   0.000   2.356  !sph2=0.440 canceled
  80   124  0.000   0.000   0.437   0.000   0.000   0.000   2.675
  80   126  0.000   0.000   1.069
  82   114  0.000   0.000   1.049
  82   116  0.000   0.000   1.064   0.000   0.000   0.000  -1.82
  82   118  0.000   0.000   1.027   0.000   0.000   0.000  -2.55
  82   120  0.000   0.000   0.961   0.000   0.000   0.000  -2.51
  82   122  0.000   0.000   0.899   0.000   0.000   0.000   2.620
  82   124  0.000   0.000   0.803   0.000   0.000   0.000   2.647
  82   126  0.000   0.000   4.085   0.000   0.000   0.000   2.615
  82   128  0.000   0.000   0.800   0.000   0.000   0.000   1.870
  82   130  0.000   0.000  -0.805   0.000   0.000   0.000  -1.820
  82   132  0.000   0.000  -0.836
  84   120  0.000   0.000   0.684
  84   122  0.000   0.000   0.700   0.000   0.000   0.000  -2.3
  84   124  0.000   0.000   0.686   0.000   0.000   0.000  -2.4
  84   126  0.000   0.000   1.181   0.000   0.000   0.000   2.387
  84   128  0.000   0.000   0.727   0.000   0.000   0.000  -2.4
  84   130  0.000   0.000   0.609   0.000   0.000   0.000   1.27
  84   132  0.000   0.000   0.550
  86   122  0.000   0.000   0.635
  86   124  0.000   0.000   0.644
  86   126  0.000   0.000   1.274
  86   128  0.000   0.000   0.695
  86   130  0.000   0.000   0.462
  88   124  0.000   0.000   0.629
  88   126  0.000   0.000   1.382
  88   128  0.000   0.000   0.688
  88   130  0.000   0.000   0.389
  88   134  0.914   1.172   0.000   0.24   -1.18   -1.31   -1.4
  88   136  0.916   0.966   0.000   0.21    1.053  -1.43   -1.4
  88   138  0.824   1.122   0.000   0.24    1.05   -1.07   -1.1
  88   140  0.721   0.846   0.000   0.46   -1.08   -1.11   -1.18
  90   138  0.832   0.969   0.000   0.31            1.122   0.968
  90   140  0.635   0.781   0.000   0.50    0.952   1.079   
  90   142  0.730   0.785   0.000   0.70    1.077           1.106
  90   144 -0.810  -1.15                                   -0.67
  92   140  0.691   0.866   0.000   0.55   -1.17    1.02    1.211
  92   142  0.810   0.927   0.000   0.77    1.237   0.989   1.312
  92   144  0.919   0.958   0.000   0.68    0.966   1.111
  92   146  0.927   1.060   0.000   0.67    0.930   1.128
  94   144  0.941   1.029   0.000   0.59    0.962   0.985   1.202
  94   146  0.860   1.137   0.000   0.55    0.938   1.241   0.000
  94   148  0.956   1.039   0.000   0.77            1.151   1.019
  94   150          1.015          -0.7    -1.1    -0.9
  94   152  0.991
  96   148  0.985                                          -0.97
  96   150  1.175   1.124   0.000   1.23    1.079   0.842  -1.5
  96   152  1.084   1.049   0.000
  98   152  1.154   1.032   0.000           1.176   0.872   1.247
  98   154          0.805   0.000                   0.831
 100   154          0.693   0.000
 100   156          0.682   0.000                   0.881
