Energy,Data
3.06E-06,53.9188
3.06E-06,55.5275
3.06E-06,55.7914
3.07E-06,57.9542
3.07E-06,58.2252
3.07E-06,58.4414
3.07E-06,59.9921
3.08E-06,61.2508
3.08E-06,62.2344
3.09E-06,64.218
3.10E-06,68.8315
3.10E-06,72.0997
3.11E-06,72.7571
3.11E-06,75.2454
3.11E-06,75.857
3.12E-06,78.0837
3.12E-06,78.6214
3.13E-06,80.3841
3.13E-06,80.4853
3.13E-06,81.572
3.13E-06,81.7618
3.14E-06,82.4176
3.14E-06,82.6954
3.14E-06,82.7384
3.14E-06,83.1412
3.14E-06,83.2651
3.15E-06,83.3349
3.15E-06,83.3734
3.15E-06,83.3544
3.15E-06,83.1589
3.16E-06,82.9429
3.16E-06,82.8231
3.16E-06,82.2803
3.16E-06,81.9751
3.17E-06,81.3199
3.17E-06,80.5612
3.17E-06,79.6803
3.18E-06,78.7414
3.18E-06,77.6805
3.18E-06,77.5974
3.18E-06,77.4584
3.18E-06,76.5645
3.18E-06,75.3411
3.19E-06,73.2345
3.19E-06,72.7855
3.20E-06,69.566
3.21E-06,63.9359
3.21E-06,62.0529
3.22E-06,60.9686
3.22E-06,58.4309
3.22E-06,58.4309
3.23E-06,55.0478
3.23E-06,55.0478
3.23E-06,52.7109
3.24E-06,51.9793
3.24E-06,50.5519
3.24E-06,49.2203
3.25E-06,48.5737
3.25E-06,46.7752
3.25E-06,46.7752
3.26E-06,45.1631
3.26E-06,45.1631
3.26E-06,44.1059
3.26E-06,43.7201
3.27E-06,42.4332
3.27E-06,42.4332
3.28E-06,41.2945
3.28E-06,41.2945
3.28E-06,39.9866
3.28E-06,39.9866
3.29E-06,38.8945
3.29E-06,38.8945
3.30E-06,37.9934
3.30E-06,37.9934
3.31E-06,37.2614
3.31E-06,37.2614
3.32E-06,36.6796
3.32E-06,36.6796
3.32E-06,36.2322
3.32E-06,36.2322
3.33E-06,35.9062
3.33E-06,35.9062
3.34E-06,35.7021
3.34E-06,35.6503
