#  Theoretical Giant Dipole Resonance parameters
#  Z   A El    Eta    E1     W1     E2     W2
#                   [MeV]  [MeV]  [MeV]  [MeV] 
#--------------------------------------------------
  22  42 Ti  1.000  20.38   8.44  20.38   8.44
  22  43 Ti  1.000  20.30   8.99  20.30   8.99
  22  44 Ti  1.184  18.17   5.72  21.22  10.20
  22  45 Ti  1.266  17.30   5.28  21.50  10.01
  22  46 Ti  1.255  17.33   5.21  21.37   9.81
  22  47 Ti  1.263  17.17   5.03  21.30   9.45
  22  48 Ti  1.223  17.47   4.91  21.02   8.62
  22  49 Ti  1.000  19.76   7.05  19.76   7.05
  22  50 Ti  1.115  18.37   4.88  20.29   7.31
  22  51 Ti  1.117  19.55   6.23  19.55   6.23
  22  52 Ti  1.111  19.45   6.27  19.45   6.27
  22  53 Ti  1.098  19.34   6.40  19.34   6.40
  22  54 Ti  1.000  19.24   6.62  19.24   6.62
  22  55 Ti  1.000  19.13   6.93  19.13   6.93
  22  56 Ti  1.000  19.02   7.23  19.02   7.23
  22  57 Ti  1.075  18.91   7.64  18.91   7.64
  22  58 Ti  1.095  18.80   7.68  18.80   7.68
  22  59 Ti  1.102  18.68   7.78  18.68   7.78
  22  60 Ti  1.000  18.57   8.28  18.57   8.28
  22  61 Ti  1.041  18.46   7.96  18.46   7.96
  22  62 Ti  1.000  18.35   7.52  18.35   7.52
  22  63 Ti  1.000  18.23   7.40  18.23   7.40
  22  64 Ti  1.255  15.66   4.40  19.31   7.95
  22  65 Ti  1.338  14.91   4.05  19.50   7.92
  22  66 Ti  1.216  15.80   4.46  18.91   7.74
  22  67 Ti  1.248  15.43   4.38  18.91   7.83
  22  68 Ti  1.198  15.76   4.57  18.59   7.95
  22  69 Ti  1.182  15.79   4.57  18.41   7.84
  22  70 Ti  1.155  15.92   4.40  18.18   7.09
  22  71 Ti  1.000  17.32   5.98  17.32   5.98
  23  42 V   1.209  17.96   5.55  21.37  10.04
  23  43 V   1.198  18.02   5.55  21.27   9.82
  23  44 V   1.236  17.59   5.44  21.38  10.04
  23  45 V   1.266  17.25   5.25  21.44   9.95
  23  46 V   1.328  16.64   4.92  21.61   9.86
  23  47 V   1.310  16.73   4.88  21.46   9.57
  23  48 V   1.319  16.59   4.70  21.41   9.18
  23  49 V   1.296  16.72   4.55  21.23   8.45
  23  50 V   1.255  17.00   4.55  20.95   7.95
  23  51 V   1.191  17.52   4.59  20.57   7.38
  23  52 V   1.198  17.37   4.58  20.50   7.48
  23  53 V   1.208  17.19   4.52  20.45   7.49
  23  54 V   1.149  17.67   4.81  20.07   7.61
  23  55 V   1.075  19.18   6.54  19.18   6.54
  23  56 V   1.095  19.08   6.81  19.08   6.81
  23  57 V   1.149  17.40   5.02  19.76   8.23
  23  58 V   1.140  17.39   5.28  19.61   8.79
  23  59 V   1.149  17.20   5.33  19.54   9.11
  23  60 V   1.107  18.66   7.92  18.66   7.92
  23  61 V   1.263  15.98   4.92  19.81   9.52
  23  62 V   1.319  15.43   4.63  19.92   9.39
  23  63 V   1.342  15.15   4.43  19.88   8.97
  23  64 V   1.352  14.99   4.17  19.80   8.31
  23  65 V   1.319  15.15   4.15  19.56   7.91
  23  66 V   1.352  14.81   4.01  19.56   7.84
  23  67 V   1.287  15.22   4.23  19.21   7.85
  23  68 V   1.266  15.29   4.35  19.00   7.91
  23  69 V   1.263  15.23   4.30  18.89   7.89
  23  70 V   1.230  15.41   4.37  18.64   7.80
  23  71 V   1.208  15.50   4.16  18.44   7.00
  23  72 V   1.223  15.29   3.92  18.39   6.49
  24  43 Cr  1.172  18.17   5.50  21.02   9.50
  24  44 Cr  1.140  18.46   5.61  20.82   9.36
  24  45 Cr  1.209  17.72   5.43  21.09   9.76
  24  46 Cr  1.263  17.16   5.12  21.28   9.71
  24  47 Cr  1.342  16.41   4.73  21.53   9.51
  24  48 Cr  1.329  16.47   4.66  21.40   9.20
  24  49 Cr  1.329  16.41   4.48  21.32   8.63
  24  50 Cr  1.280  16.77   4.46  21.04   8.04
  24  51 Cr  1.230  17.15   4.52  20.74   7.65
  24  52 Cr  1.191  17.44   4.50  20.47   7.16
  24  53 Cr  1.182  17.45   4.54  20.34   7.24
  24  54 Cr  1.195  17.24   4.46  20.31   7.23
  24  55 Cr  1.155  17.54   4.69  20.03   7.41
  24  56 Cr  1.149  17.52   4.76  19.90   7.51
  24  57 Cr  1.128  17.64   4.92  19.70   7.74
  24  58 Cr  1.155  17.29   4.87  19.73   7.95
  24  59 Cr  1.140  17.34   5.13  19.56   8.44
  24  60 Cr  1.155  17.11   5.24  19.53   9.00
  24  61 Cr  1.115  17.41   5.48  19.23   9.05
  24  62 Cr  1.182  16.68   5.12  19.44   9.07
  24  63 Cr  1.329  15.34   4.50  19.93   9.11
  24  64 Cr  1.329  15.25   4.43  19.82   8.93
  24  65 Cr  1.362  14.91   4.11  19.83   8.30
  24  66 Cr  1.329  15.08   4.10  19.60   7.88
  24  67 Cr  1.318  15.08   4.10  19.45   7.85
  24  68 Cr  1.280  15.30   4.26  19.20   7.95
  24  69 Cr  1.255  15.40   4.38  18.99   7.97
  24  70 Cr  1.230  15.52   4.36  18.78   7.73
  24  71 Cr  1.208  15.62   4.34  18.58   7.49
  24  72 Cr  1.189  15.70   4.12  18.39   6.69
  24  73 Cr  1.000  17.40   5.83  17.40   5.83
  24  74 Cr  1.000  17.30   5.29  17.30   5.29
  24  75 Cr  1.108  17.19   5.31  17.19   5.31
  24  76 Cr  1.140  15.74   4.10  17.75   6.21
  24  77 Cr  1.149  15.57   4.26  17.69   6.76
  24  78 Cr  1.134  15.61   4.25  17.51   6.64
  24  79 Cr  1.111  16.78   5.56  16.78   5.56
  25  46 Mn  1.216  17.52   5.27  20.96   9.48
  25  47 Mn  1.280  16.88   4.97  21.19   9.63
  25  48 Mn  1.319  16.49   4.73  21.29   9.34
  25  49 Mn  1.329  16.36   4.50  21.26   8.72
  25  50 Mn  1.318  16.40   4.39  21.15   8.32
  25  51 Mn  1.257  16.87   4.42  20.82   7.76
  25  52 Mn  1.242  16.94   4.38  20.67   7.46
  25  53 Mn  1.215  17.12   4.34  20.48   7.06
  25  54 Mn  1.215  17.05   4.35  20.39   7.10
  25  55 Mn  1.206  17.06   4.34  20.26   7.05
  25  56 Mn  1.189  17.15   4.48  20.10   7.26
  25  57 Mn  1.195  17.01   4.51  20.04   7.43
  25  58 Mn  1.182  17.06   4.62  19.88   7.58
  25  59 Mn  1.195  16.85   4.58  19.85   7.71
  25  60 Mn  1.177  16.94   4.77  19.67   8.09
  25  61 Mn  1.195  16.69   4.85  19.66   8.53
  25  62 Mn  1.195  16.61   5.01  19.56   8.99
  25  63 Mn  1.318  15.48   4.54  19.96   9.18
  25  64 Mn  1.318  15.40   4.51  19.86   9.09
  25  65 Mn  1.318  15.32   4.44  19.76   8.90
  25  66 Mn  1.327  15.17   4.32  19.69   8.73
  25  67 Mn  1.318  15.16   4.25  19.55   8.34
  25  68 Mn  1.318  15.08   4.22  19.45   8.27
  25  69 Mn  1.280  15.29   4.35  19.20   8.23
  25  70 Mn  1.263  15.34   4.34  19.02   7.96
  25  71 Mn  1.242  15.44   4.29  18.84   7.70
  25  72 Mn  1.215  15.57   4.18  18.63   7.09
  25  73 Mn  1.215  15.49   3.96  18.52   6.50
  25  74 Mn  1.206  15.48   3.85  18.38   6.14
  25  75 Mn  1.077  17.32   5.04  17.32   5.04
  25  76 Mn  1.140  15.87   3.97  17.90   5.85
  25  77 Mn  1.182  15.42   3.89  17.97   6.06
  25  78 Mn  1.155  15.56   4.13  17.76   6.48
  25  79 Mn  1.168  15.36   4.12  17.70   6.66
  25  80 Mn  1.155  15.38   4.05  17.55   6.38
  25  81 Mn  1.107  16.73   5.35  16.73   5.35
  25  82 Mn  1.062  16.64   5.24  16.64   5.24
  26  47 Fe  1.172  17.80   5.15  20.59   8.67
  26  48 Fe  1.208  17.41   4.99  20.72   8.78
  26  49 Fe  1.280  16.72   4.64  20.98   8.65
  26  50 Fe  1.249  16.94   4.59  20.79   8.17
  26  51 Fe  1.257  16.82   4.43  20.76   7.82
  26  52 Fe  1.257  16.76   4.29  20.69   7.38
  26  53 Fe  1.189  17.34   4.44  20.32   7.08
  26  54 Fe  1.155  17.60   4.42  20.09   6.68
  26  55 Fe  1.161  17.47   4.41  20.04   6.75
  26  56 Fe  1.195  17.08   4.28  20.12   6.77
  26  57 Fe  1.143  17.51   4.52  19.79   6.88
  26  58 Fe  1.161  17.26   4.50  19.80   7.04
  26  59 Fe  1.134  17.45   4.65  19.58   7.16
  26  60 Fe  1.161  17.11   4.57  19.63   7.29
  26  61 Fe  1.168  16.97   4.65  19.57   7.61
  26  62 Fe  1.161  16.95   4.78  19.45   7.89
  26  63 Fe  1.143  17.05   4.93  19.27   8.09
  26  64 Fe  1.161  16.80   4.96  19.27   8.42
  26  65 Fe  1.071  18.36   7.70  18.36   7.70
  26  66 Fe  1.000  18.27   7.60  18.27   7.60
  26  67 Fe  1.000  18.18   7.82  18.18   7.82
  26  68 Fe  1.293  15.34   4.33  19.43   8.33
  26  69 Fe  1.301  15.19   4.24  19.37   8.23
  26  70 Fe  1.242  15.60   4.44  19.04   8.08
  26  71 Fe  1.223  15.68   4.42  18.86   7.79
  26  72 Fe  1.208  15.72   4.27  18.70   7.24
  26  73 Fe  1.189  15.80   4.12  18.52   6.65
  26  74 Fe  1.161  15.96   4.03  18.31   6.16
