#  Theoretical Giant Dipole Resonance parameters
#  Z   A El    Eta    E1     W1     E2     W2
#                   [MeV]  [MeV]  [MeV]  [MeV] 
#--------------------------------------------------
  74 203 W   1.063  13.49   3.86  13.49   3.86
  74 204 W   1.063  13.46   3.95  13.46   3.95
  74 205 W   1.093  13.44   4.00  13.44   4.00
  74 206 W   1.117  13.41   4.07  13.41   4.07
  74 207 W   1.147  13.39   4.13  13.39   4.13
  74 208 W   1.153  12.22   2.89  13.93   4.12
  74 209 W   1.178  12.03   2.88  13.98   4.25
  74 210 W   1.184  11.97   2.91  13.98   4.38
  74 211 W   1.209  11.79   2.89  14.03   4.48
  74 212 W   1.216  11.72   2.92  14.02   4.62
  74 213 W   1.255  11.45   2.86  14.11   4.75
  74 214 W   1.255  11.43   2.93  14.09   4.96
  74 215 W   1.287  11.22   2.95  14.15   5.25
  74 216 W   1.296  11.14   2.93  14.15   5.30
  74 217 W   1.296  11.12   2.90  14.12   5.23
  74 218 W   1.280  11.19   2.84  14.05   4.95
  74 219 W   1.305  11.03   2.74  14.09   4.79
  74 220 W   1.293  11.08   2.73  14.03   4.72
  74 221 W   1.301  11.01   2.69  14.03   4.64
  74 222 W   1.301  10.98   2.65  14.00   4.54
  74 223 W   1.301  10.96   2.64  13.97   4.53
  74 224 W   1.278  11.07   2.67  13.87   4.51
  74 225 W   1.278  11.05   2.67  13.85   4.51
  74 226 W   1.278  11.03   2.67  13.82   4.51
  74 227 W   1.257  11.12   2.69  13.73   4.45
  74 228 W   1.257  11.10   2.68  13.70   4.43
  74 229 W   1.265  11.03   2.65  13.70   4.42
  74 230 W   1.246  11.12   2.66  13.61   4.33
  74 231 W   1.246  11.10   2.65  13.59   4.32
  75 164 Re  1.168  13.04   3.50  15.04   5.65
  75 165 Re  1.168  13.03   3.53  15.02   5.72
  75 166 Re  1.177  12.94   3.38  15.04   5.44
  75 167 Re  1.195  12.80   3.30  15.08   5.34
  75 168 Re  1.206  12.71   3.24  15.09   5.29
  75 169 Re  1.206  12.69   3.22  15.07   5.23
  75 170 Re  1.206  12.68   3.21  15.05   5.20
  75 171 Re  1.213  12.61   3.17  15.05   5.15
  75 172 Re  1.213  12.59   3.16  15.03   5.15
  75 173 Re  1.213  12.57   3.15  15.01   5.13
  75 174 Re  1.241  12.37   3.06  15.08   5.06
  75 175 Re  1.220  12.49   3.09  14.99   5.03
  75 176 Re  1.333  11.75   2.83  15.32   5.06
  75 177 Re  1.227  12.40   3.03  14.97   4.92
  75 178 Re  1.235  12.33   3.00  14.97   4.89
  75 179 Re  1.235  12.31   2.98  14.95   4.86
  75 180 Re  1.246  12.22   2.95  14.96   4.85
  75 181 Re  1.215  12.41   3.01  14.84   4.81
  75 182 Re  1.215  12.39   3.03  14.81   4.86
  75 183 Re  1.215  12.37   3.05  14.79   4.93
  75 184 Re  1.201  12.44   3.09  14.72   4.98
  75 185 Re  1.190  12.49   3.23  14.66   5.30
  75 186 Re  1.190  12.47   3.21  14.63   5.27
  75 187 Re  1.190  12.45   3.15  14.61   5.08
  75 188 Re  1.174  12.54   3.03  14.53   4.63
  75 189 Re  1.168  12.56   2.98  14.48   4.43
  75 190 Re  1.158  12.61   2.96  14.43   4.32
  75 191 Re  1.152  12.63   2.94  14.38   4.21
  75 192 Re  1.191  12.34   2.93  14.50   4.39
  75 193 Re  1.191  12.32   2.87  14.47   4.24
  75 194 Re  1.160  12.51   2.90  14.34   4.11
  75 195 Re  1.153  12.54   2.86  14.29   3.97
  75 196 Re  1.150  12.54   2.84  14.25   3.89
  75 197 Re  1.095  13.66   3.93  13.66   3.93
  75 198 Re  1.095  13.64   3.83  13.64   3.83
  75 199 Re  1.000  13.61   3.80  13.61   3.80
  75 200 Re  1.000  13.59   3.70  13.59   3.70
  75 201 Re  1.005  13.56   3.60  13.56   3.60
  75 202 Re  1.000  13.54   3.69  13.54   3.69
  75 203 Re  1.001  13.51   3.76  13.51   3.76
  75 204 Re  1.063  13.48   3.81  13.48   3.81
  75 205 Re  1.000  13.46   3.98  13.46   3.98
  75 206 Re  1.093  13.43   3.95  13.43   3.95
  75 207 Re  1.093  13.41   4.05  13.41   4.05
  75 208 Re  1.128  13.38   4.11  13.38   4.11
  75 209 Re  1.147  13.36   4.18  13.36   4.18
  75 210 Re  1.178  12.03   2.86  13.98   4.20
  75 211 Re  1.184  11.97   2.89  13.97   4.32
  75 212 Re  1.191  11.90   2.91  13.97   4.44
  75 213 Re  1.191  11.88   2.94  13.94   4.54
  75 214 Re  1.216  11.70   2.93  13.99   4.66
  75 215 Re  1.223  11.63   2.95  13.99   4.82
  75 216 Re  1.263  11.36   2.94  14.08   5.06
  75 217 Re  1.263  11.34   3.00  14.06   5.25
  75 218 Re  1.272  11.27   2.97  14.05   5.27
  75 219 Re  1.280  11.20   2.93  14.05   5.23
  75 220 Re  1.305  11.03   2.80  14.09   4.99
  75 221 Re  1.293  11.08   2.77  14.03   4.86
  75 222 Re  1.293  11.06   2.74  14.00   4.75
  75 223 Re  1.301  10.99   2.68  14.00   4.65
  75 224 Re  1.301  10.96   2.67  13.97   4.62
  75 225 Re  1.265  11.15   2.73  13.84   4.60
  75 226 Re  1.278  11.06   2.70  13.85   4.60
  75 227 Re  1.257  11.15   2.73  13.76   4.56
  75 228 Re  1.257  11.13   2.71  13.74   4.54
  75 229 Re  1.257  11.11   2.71  13.71   4.52
  75 230 Re  1.235  11.22   2.73  13.61   4.46
  75 231 Re  1.235  11.19   2.72  13.59   4.45
  75 232 Re  1.235  11.17   2.72  13.56   4.45
  75 233 Re  1.215  11.27   2.74  13.47   4.36
  75 234 Re  1.222  11.20   2.73  13.47   4.43
  75 235 Re  1.215  11.22   2.79  13.42   4.56
  75 236 Re  1.201  11.28   2.78  13.35   4.44
  75 237 Re  1.190  12.63   4.91  12.63   4.91
  75 238 Re  1.190  12.61   4.90  12.61   4.90
  75 239 Re  1.190  12.58   4.65  12.58   4.65
  75 240 Re  1.174  12.55   4.49  12.55   4.49
  76 163 Os  1.149  13.18   3.25  14.97   4.79
  76 164 Os  1.155  13.12   3.32  14.98   5.05
  76 165 Os  1.161  13.06   3.49  14.98   5.55
  76 166 Os  1.168  13.00   3.49  14.99   5.62
  76 167 Os  1.168  12.98   3.51  14.97   5.69
  76 168 Os  1.177  12.90   3.35  14.98   5.36
  76 169 Os  1.195  12.75   3.29  15.03   5.33
  76 170 Os  1.184  12.82   3.27  14.97   5.23
  76 171 Os  1.206  12.65   3.21  15.02   5.21
  76 172 Os  1.191  12.74   3.23  14.95   5.17
  76 173 Os  1.213  12.57   3.16  15.00   5.15
  76 174 Os  1.213  12.55   3.15  14.98   5.13
  76 175 Os  1.319  11.85   2.90  15.30   5.17
  76 176 Os  1.249  12.27   3.02  15.06   5.04
  76 177 Os  1.286  12.02   2.95  15.15   5.11
  76 178 Os  1.257  12.19   2.98  15.04   4.99
  76 179 Os  1.295  11.93   2.91  15.13   5.06
  76 180 Os  1.208  12.47   3.05  14.84   4.86
  76 181 Os  1.235  12.27   3.00  14.90   4.91
  76 182 Os  1.208  12.44   3.05  14.79   4.87
  76 183 Os  1.215  12.37   3.05  14.79   4.93
  76 184 Os  1.208  12.40   3.12  14.75   5.09
  76 185 Os  1.190  12.50   3.22  14.66   5.28
  76 186 Os  1.184  12.52   3.24  14.62   5.28
  76 187 Os  1.184  12.50   3.22  14.59   5.23
  76 188 Os  1.184  12.48   3.09  14.57   4.84
  76 189 Os  1.168  12.57   3.00  14.49   4.48
  76 190 Os  1.152  12.66   2.99  14.41   4.36
  76 191 Os  1.152  12.64   2.94  14.39   4.23
  76 192 Os  1.191  12.35   2.95  14.50   4.45
  76 193 Os  1.188  12.35   2.90  14.47   4.30
  76 194 Os  1.160  12.52   2.92  14.35   4.17
  76 195 Os  1.153  12.55   2.89  14.30   4.03
  76 196 Os  1.150  12.55   2.84  14.27   3.90
  76 197 Os  1.146  12.56   2.82  14.23   3.82
  76 198 Os  1.095  13.65   3.86  13.65   3.86
  76 199 Os  1.095  13.62   3.77  13.62   3.77
  76 200 Os  1.000  13.60   3.72  13.60   3.72
  76 201 Os  1.035  13.58   3.63  13.58   3.63
  76 202 Os  1.005  13.55   3.54  13.55   3.54
  76 203 Os  1.000  13.53   3.63  13.53   3.63
  76 204 Os  1.005  13.51   3.70  13.51   3.70
  76 205 Os  1.027  13.48   3.77  13.48   3.77
  76 206 Os  1.001  13.46   3.87  13.46   3.87
  76 207 Os  1.001  13.43   3.97  13.43   3.97
  76 208 Os  1.000  13.41   4.09  13.41   4.09
  76 209 Os  1.128  13.38   4.05  13.38   4.05
  76 210 Os  1.128  13.35   4.14  13.35   4.14
  76 211 Os  1.168  12.09   2.86  13.94   4.12
  76 212 Os  1.160  12.13   2.91  13.89   4.23
  76 213 Os  1.184  11.94   2.89  13.95   4.34
  76 214 Os  1.209  11.76   2.87  13.99   4.42
  76 215 Os  1.248  11.49   2.81  14.09   4.50
  76 216 Os  1.255  11.43   2.82  14.08   4.64
  76 217 Os  1.279  11.26   2.83  14.12   4.81
  76 218 Os  1.263  11.34   2.93  14.06   5.04
  76 219 Os  1.296  11.12   2.91  14.12   5.20
  76 220 Os  1.296  11.10   2.88  14.09   5.15
  76 221 Os  1.305  11.03   2.85  14.09   5.16
  76 222 Os  1.293  11.08   2.87  14.04   5.14
  76 223 Os  1.293  11.06   2.79  14.01   4.93
  76 224 Os  1.293  11.04   2.75  13.98   4.79
  76 225 Os  1.301  10.97   2.71  13.98   4.76
  76 226 Os  1.265  11.15   2.77  13.85   4.71
  76 227 Os  1.278  11.06   2.72  13.85   4.69
  76 228 Os  1.249  11.20   2.77  13.74   4.65
  76 229 Os  1.257  11.13   2.75  13.74   4.65
  76 230 Os  1.257  11.11   2.74  13.71   4.64
  76 231 Os  1.257  11.09   2.73  13.69   4.59
  76 232 Os  1.235  11.20   2.76  13.59   4.57
  76 233 Os  1.235  11.18   2.77  13.57   4.59
  76 234 Os  1.215  11.27   2.80  13.48   4.54
  76 235 Os  1.222  11.20   2.78  13.47   4.57
  76 236 Os  1.215  11.23   2.79  13.43   4.56
  76 237 Os  1.215  11.21   2.79  13.40   4.57
  76 238 Os  1.190  11.33   2.79  13.30   4.41
  76 239 Os  1.190  12.62   4.64  12.62   4.64
  76 240 Os  1.190  12.59   4.49  12.59   4.49
  76 241 Os  1.174  12.56   4.38  12.56   4.38
  77 172 Ir  1.177  12.82   3.35  14.89   5.40
  77 173 Ir  1.184  12.76   3.31  14.89   5.36
  77 174 Ir  1.257  12.25   3.10  15.12   5.28
  77 175 Ir  1.241  12.34   3.11  15.05   5.24
  77 176 Ir  1.265  12.16   3.04  15.10   5.20
  77 177 Ir  1.249  12.25   3.05  15.03   5.15
  77 178 Ir  1.257  12.18   3.02  15.04   5.12
  77 179 Ir  1.249  12.22   3.03  14.99   5.11
  77 180 Ir  1.257  12.15   3.00  14.99   5.09
  77 181 Ir  1.257  12.13   2.99  14.97   5.07
  77 182 Ir  1.235  12.25   3.05  14.88   5.09
  77 183 Ir  1.235  12.24   3.06  14.86   5.14
  77 184 Ir  1.235  12.22   3.12  14.83   5.31
  77 185 Ir  1.177  12.59   3.35  14.62   5.53
  77 186 Ir  1.177  12.57   3.34  14.60   5.50
  77 187 Ir  1.171  12.60   3.37  14.55   5.52
  77 188 Ir  1.177  12.53   3.19  14.55   5.08
  77 189 Ir  1.152  12.69   3.13  14.44   4.74
  77 190 Ir  1.146  12.71   3.08  14.40   4.55
  77 191 Ir  1.195  12.35   3.03  14.55   4.69
  77 192 Ir  1.195  12.33   2.97  14.52   4.51
  77 193 Ir  1.191  12.34   2.91  14.49   4.34
  77 194 Ir  1.157  12.56   2.95  14.35   4.21
  77 195 Ir  1.153  12.56   2.90  14.31   4.07
  77 196 Ir  1.150  12.56   2.86  14.28   3.95
  77 197 Ir  1.146  12.57   2.82  14.24   3.82
  77 198 Ir  1.098  13.66   3.88  13.66   3.88
  77 199 Ir  1.091  13.64   3.80  13.64   3.80
  77 200 Ir  1.095  13.61   3.71  13.61   3.71
  77 201 Ir  1.001  13.59   3.67  13.59   3.67
  77 202 Ir  1.000  13.57   3.59  13.57   3.59
  77 203 Ir  1.005  13.54   3.51  13.54   3.51
  77 204 Ir  1.000  13.52   3.59  13.52   3.59
  77 205 Ir  1.005  13.50   3.66  13.50   3.66
  77 206 Ir  1.005  13.47   3.74  13.47   3.74
  77 207 Ir  1.001  13.45   3.82  13.45   3.82
  77 208 Ir  1.003  13.42   3.90  13.42   3.90
  77 209 Ir  1.003  13.40   3.99  13.40   3.99
  77 210 Ir  1.003  13.38   4.09  13.38   4.09
  77 211 Ir  1.123  13.35   4.09  13.35   4.09
  77 212 Ir  1.147  13.32   4.18  13.32   4.18
  77 213 Ir  1.153  12.16   2.90  13.86   4.16
  77 214 Ir  1.178  11.98   2.88  13.92   4.27
  77 215 Ir  1.184  11.92   2.90  13.92   4.37
  77 216 Ir  1.209  11.74   2.87  13.97   4.45
  77 217 Ir  1.216  11.67   2.89  13.96   4.55
  77 218 Ir  1.279  11.26   2.79  14.12   4.68
  77 219 Ir  1.287  11.19   2.79  14.12   4.75
  77 220 Ir  1.287  11.17   2.83  14.10   4.91
  77 221 Ir  1.296  11.10   2.88  14.09   5.15
  77 222 Ir  1.305  11.03   2.86  14.09   5.17
  77 223 Ir  1.305  11.01   2.84  14.07   5.14
  77 224 Ir  1.293  11.06   2.86  14.01   5.15
  77 225 Ir  1.293  11.04   2.84  13.98   5.09
  77 226 Ir  1.293  11.02   2.80  13.95   4.98
  77 227 Ir  1.301  10.95   2.76  13.95   4.93
  77 228 Ir  1.278  11.06   2.78  13.86   4.88
  77 229 Ir  1.249  11.21   2.83  13.75   4.83
  77 230 Ir  1.249  11.18   2.83  13.72   4.83
  77 231 Ir  1.227  11.29   2.85  13.63   4.80
  77 232 Ir  1.235  11.23   2.84  13.63   4.82
  77 233 Ir  1.235  11.20   2.85  13.60   4.86
  77 234 Ir  1.235  11.18   2.83  13.57   4.80
  77 235 Ir  1.235  11.16   2.81  13.55   4.74
  77 236 Ir  1.222  11.21   2.80  13.48   4.64
  77 237 Ir  1.215  11.23   2.82  13.44   4.63
  77 238 Ir  1.215  11.21   2.77  13.41   4.49
  77 239 Ir  1.215  11.19   2.71  13.38   4.32
  77 240 Ir  1.190  11.32   2.68  13.28   4.09
  77 241 Ir  1.190  12.60   4.38  12.60   4.38
  77 242 Ir  1.158  11.48   2.68  13.13   3.90
  77 243 Ir  1.158  11.45   2.65  13.10   3.82
  77 244 Ir  1.158  11.43   2.63  13.07   3.76
  77 245 Ir  1.121  11.65   2.65  12.93   3.61
  77 246 Ir  1.121  11.62   2.62  12.90   3.54
  77 247 Ir  1.157  11.37   2.65  13.00   3.76
  77 248 Ir  1.153  11.37   2.62  12.96   3.66
  78 165 Pt  1.000  14.31   4.65  14.31   4.65
  78 166 Pt  1.091  14.29   4.74  14.29   4.74
  78 167 Pt  1.099  14.27   4.98  14.27   4.98
  78 168 Pt  1.128  13.23   3.51  14.77   5.34
  78 169 Pt  1.128  13.21   3.65  14.76   5.70
  78 170 Pt  1.134  13.15   3.65  14.76   5.76
  78 171 Pt  1.161  12.94   3.62  14.84   5.95
  78 172 Pt  1.161  12.92   3.53  14.83   5.72
  78 173 Pt  1.168  12.86   3.47  14.83   5.63
  78 174 Pt  1.168  12.85   3.45  14.81   5.58
  78 175 Pt  1.301  11.94   3.01  15.22   5.38
  78 176 Pt  1.301  11.93   2.98  15.21   5.29
  78 177 Pt  1.310  11.86   2.95  15.21   5.27
  78 178 Pt  1.319  11.79   2.92  15.22   5.25
  78 179 Pt  1.319  11.77   2.92  15.20   5.26
  78 180 Pt  1.286  11.96   2.98  15.08   5.23
  78 181 Pt  1.286  11.94   2.97  15.06   5.22
  78 182 Pt  1.286  11.93   2.97  15.03   5.22
  78 183 Pt  1.257  12.09   3.07  14.92   5.32
  78 184 Pt  1.265  12.03   3.10  14.93   5.49
  78 185 Pt  1.235  12.20   3.23  14.81   5.67
  78 186 Pt  1.208  12.36   3.30  14.70   5.65
  78 187 Pt  1.208  12.34   3.30  14.68   5.64
  78 188 Pt  1.198  12.39   3.29  14.63   5.44
  78 189 Pt  1.198  12.37   3.18  14.61   5.14
  78 190 Pt  1.191  12.40   3.11  14.56   4.89
  78 191 Pt  1.191  12.38   3.04  14.54   4.70
  78 192 Pt  1.160  12.58   3.07  14.41   4.55
  78 193 Pt  1.160  12.56   3.01  14.39   4.38
  78 194 Pt  1.153  12.59   2.96  14.34   4.22
  78 195 Pt  1.153  12.57   2.91  14.32   4.09
  78 196 Pt  1.150  12.57   2.87  14.28   3.97
  78 197 Pt  1.102  13.69   4.00  13.69   4.00
  78 198 Pt  1.098  13.67   3.89  13.67   3.89
  78 199 Pt  1.095  13.65   3.81  13.65   3.81
  78 200 Pt  1.020  13.62   3.79  13.62   3.79
  78 201 Pt  1.001  13.60   3.71  13.60   3.71
  78 202 Pt  1.001  13.58   3.62  13.58   3.62
  78 203 Pt  1.000  13.56   3.54  13.56   3.54
  78 204 Pt  1.005  13.53   3.47  13.53   3.47
  78 205 Pt  1.000  13.51   3.54  13.51   3.54
  78 206 Pt  1.005  13.49   3.61  13.49   3.61
  78 207 Pt  1.005  13.46   3.69  13.46   3.69
  78 208 Pt  1.001  13.44   3.76  13.44   3.76
  78 209 Pt  1.001  13.42   3.84  13.42   3.84
  78 210 Pt  1.001  13.39   3.93  13.39   3.93
  78 211 Pt  1.020  13.37   4.01  13.37   4.01
  78 212 Pt  1.020  13.35   4.10  13.35   4.10
  78 213 Pt  1.048  13.32   4.20  13.32   4.20
  78 214 Pt  1.117  13.29   4.25  13.29   4.25
  78 215 Pt  1.147  13.27   4.30  13.27   4.30
  78 216 Pt  1.178  11.95   2.88  13.89   4.27
  78 217 Pt  1.248  11.49   2.76  14.08   4.37
  78 218 Pt  1.266  11.35   2.73  14.10   4.38
  78 219 Pt  1.279  11.26   2.72  14.12   4.48
  78 220 Pt  1.279  11.24   2.74  14.09   4.55
  78 221 Pt  1.287  11.17   2.75  14.09   4.66
  78 222 Pt  1.287  11.15   2.79  14.07   4.77
  78 223 Pt  1.296  11.08   2.82  14.07   4.96
  78 224 Pt  1.280  11.16   2.89  14.00   5.13
  78 225 Pt  1.305  10.99   2.83  14.04   5.09
  78 226 Pt  1.293  11.04   2.83  13.98   5.06
  78 227 Pt  1.293  11.02   2.83  13.96   5.07
  78 228 Pt  1.265  11.16   2.87  13.85   5.04
  78 229 Pt  1.265  11.14   2.87  13.83   5.05
  78 230 Pt  1.249  11.21   2.89  13.75   5.04
  78 231 Pt  1.257  11.14   2.86  13.75   5.01
  78 232 Pt  1.257  11.12   2.85  13.72   4.98
  78 233 Pt  1.257  11.10   2.84  13.70   4.95
  78 234 Pt  1.235  11.21   2.86  13.60   4.88
  78 235 Pt  1.235  11.19   2.84  13.58   4.82
  78 236 Pt  1.235  11.16   2.82  13.55   4.76
  78 237 Pt  1.246  11.07   2.75  13.56   4.62
  78 238 Pt  1.215  11.24   2.75  13.44   4.43
  78 239 Pt  1.215  11.22   2.71  13.41   4.30
  78 240 Pt  1.215  11.19   2.67  13.39   4.19
  78 241 Pt  1.190  11.32   2.68  13.29   4.07
  78 242 Pt  1.184  11.34   2.67  13.24   4.02
  78 243 Pt  1.184  11.32   2.65  13.22   3.96
  78 244 Pt  1.158  11.46   2.65  13.11   3.82
  78 245 Pt  1.158  11.44   2.63  13.08   3.77
  78 246 Pt  1.160  11.40   2.69  13.07   3.87
  78 247 Pt  1.160  11.38   2.65  13.04   3.77
  78 248 Pt  1.157  11.38   2.61  13.01   3.67
  78 249 Pt  1.153  11.38   2.59  12.97   3.58
  78 250 Pt  1.150  11.38   2.56  12.93   3.50
  78 251 Pt  1.150  11.36   2.53  12.91   3.42
  78 252 Pt  1.150  11.34   2.50  12.88   3.35
  78 253 Pt  1.098  12.34   3.70  12.34   3.70
  79 174 Au  1.169  12.83   3.61  14.80   5.97
  79 175 Au  1.172  12.79   3.51  14.79   5.78
  79 176 Au  1.175  12.75   3.46  14.79   5.66
  79 177 Au  1.175  12.73   3.43  14.77   5.58
  79 178 Au  1.175  12.72   3.42  14.75   5.57
  79 179 Au  1.175  12.70   3.42  14.73   5.56
  79 180 Au  1.206  12.47   3.31  14.82   5.56
  79 181 Au  1.203  12.48   3.34  14.79   5.57
  79 182 Au  1.206  12.44   3.33  14.78   5.60
  79 183 Au  1.203  12.44   3.36  14.75   5.67
  79 184 Au  1.203  12.43   3.43  14.73   5.86
  79 185 Au  1.203  12.41   3.40  14.71   5.79
  79 186 Au  1.203  12.39   3.40  14.69   5.78
  79 187 Au  1.198  12.41   3.40  14.65   5.75
  79 188 Au  1.198  12.39   3.26  14.63   5.36
  79 189 Au  1.195  12.40   3.17  14.60   5.08
  79 190 Au  1.191  12.40   3.11  14.56   4.87
  79 191 Au  1.160  12.60   3.13  14.43   4.70
  79 192 Au  1.191  12.36   2.98  14.52   4.53
  79 193 Au  1.160  12.56   3.01  14.39   4.39
  79 194 Au  1.160  12.54   2.95  14.37   4.25
  79 195 Au  1.153  12.57   2.91  14.32   4.10
  79 196 Au  1.153  12.55   2.87  14.30   3.98
  79 197 Au  1.153  12.53   2.82  14.28   3.87
  79 198 Au  1.102  13.67   3.90  13.67   3.90
  79 199 Au  1.091  13.65   3.82  13.65   3.82
  79 200 Au  1.095  13.63   3.73  13.63   3.73
  79 201 Au  1.005  13.61   3.74  13.61   3.74
  79 202 Au  1.001  13.59   3.64  13.59   3.64
  79 203 Au  1.005  13.57   3.56  13.57   3.56
  79 204 Au  1.020  13.54   3.49  13.54   3.49
  79 205 Au  1.005  13.52   3.43  13.52   3.43
  79 206 Au  1.000  13.50   3.50  13.50   3.50
  79 207 Au  1.005  13.48   3.56  13.48   3.56
  79 208 Au  1.005  13.45   3.63  13.45   3.63
  79 209 Au  1.005  13.43   3.71  13.43   3.71
  79 210 Au  1.000  13.41   3.80  13.41   3.80
  79 211 Au  1.000  13.39   3.87  13.39   3.87
  79 212 Au  1.000  13.36   3.95  13.36   3.95
  79 213 Au  1.000  13.34   4.04  13.34   4.04
  79 214 Au  1.000  13.32   4.11  13.32   4.11
  79 215 Au  1.000  13.29   4.19  13.29   4.19
  79 216 Au  1.054  13.27   4.32  13.27   4.32
  79 217 Au  1.000  13.25   4.57  13.25   4.57
  79 218 Au  1.153  12.09   2.95  13.78   4.31
  79 219 Au  1.178  11.91   2.91  13.83   4.37
  79 220 Au  1.266  11.33   2.72  14.08   4.37
  79 221 Au  1.255  11.38   2.77  14.02   4.50
  79 222 Au  1.279  11.22   2.73  14.06   4.53
  79 223 Au  1.263  11.29   2.80  14.00   4.66
  79 224 Au  1.287  11.13   2.77  14.04   4.72
  79 225 Au  1.305  11.01   2.79  14.07   4.90
  79 226 Au  1.293  11.06   2.81  14.01   4.98
  79 227 Au  1.293  11.04   2.83  13.98   5.06
  79 228 Au  1.293  11.02   2.85  13.96   5.12
  79 229 Au  1.265  11.16   2.89  13.85   5.10
  79 230 Au  1.265  11.14   2.89  13.83   5.11
  79 231 Au  1.278  11.04   2.84  13.84   5.09
  79 232 Au  1.278  11.02   2.84  13.81   5.09
  79 233 Au  1.257  11.12   2.86  13.72   5.02
  79 234 Au  1.257  11.10   2.85  13.70   5.00
  79 235 Au  1.257  11.08   2.82  13.67   4.92
  79 236 Au  1.235  11.19   2.80  13.58   4.71
  79 237 Au  1.235  11.17   2.75  13.56   4.54
  79 238 Au  1.246  11.08   2.68  13.56   4.40
  79 239 Au  1.215  11.24   2.70  13.45   4.28
  79 240 Au  1.215  11.22   2.68  13.42   4.20
  79 241 Au  1.215  11.20   2.65  13.39   4.12
  79 242 Au  1.190  11.33   2.66  13.29   4.03
  79 243 Au  1.177  11.39   2.70  13.23   4.04
  79 244 Au  1.171  11.41   2.69  13.18   3.98
  79 245 Au  1.160  11.46   2.74  13.13   3.99
  79 246 Au  1.160  11.43   2.69  13.10   3.88
  79 247 Au  1.160  11.41   2.65  13.08   3.77
  79 248 Au  1.157  11.41   2.62  13.04   3.68
  79 249 Au  1.153  11.41   2.60  13.00   3.59
  79 250 Au  1.153  11.39   2.56  12.98   3.51
  79 251 Au  1.150  11.39   2.53  12.94   3.43
  79 252 Au  1.150  11.37   2.51  12.92   3.36
  79 253 Au  1.102  12.38   3.69  12.38   3.69
  79 254 Au  1.102  12.35   3.63  12.35   3.63
  79 255 Au  1.095  12.33   3.58  12.33   3.58
  79 256 Au  1.095  12.31   3.53  12.31   3.53
  79 257 Au  1.000  12.28   3.58  12.28   3.58
  79 258 Au  1.085  12.26   3.44  12.26   3.44
  79 259 Au  1.000  12.23   3.46  12.23   3.46
  79 260 Au  1.000  12.21   3.41  12.21   3.41
  79 261 Au  1.000  12.19   3.37  12.19   3.37
  79 262 Au  1.016  12.16   3.32  12.16   3.32
  79 263 Au  1.000  12.14   3.28  12.14   3.28
  79 264 Au  1.000  12.11   3.31  12.11   3.31
  80 175 Hg  1.160  12.86   3.60  14.74   5.88
  80 176 Hg  1.160  12.85   3.61  14.72   5.91
  80 177 Hg  1.169  12.77   3.58  14.73   5.93
  80 178 Hg  1.169  12.75   3.54  14.71   5.83
  80 179 Hg  1.165  12.76   3.54  14.68   5.80
  80 180 Hg  1.165  12.75   3.54  14.67   5.80
  80 181 Hg  1.169  12.71   3.54  14.66   5.82
  80 182 Hg  1.165  12.72   3.58  14.63   5.93
  80 183 Hg  1.165  12.70   3.56  14.61   5.87
  80 184 Hg  1.165  12.68   3.52  14.59   5.78
  80 185 Hg  1.165  12.67   3.51  14.57   5.75
  80 186 Hg  1.160  12.68   3.52  14.53   5.72
  80 187 Hg  1.160  12.67   3.44  14.51   5.52
  80 188 Hg  1.160  12.65   3.33  14.49   5.22
  80 189 Hg  1.160  12.63   3.25  14.47   5.00
  80 190 Hg  1.157  12.64   3.18  14.44   4.81
  80 191 Hg  1.157  12.62   3.12  14.42   4.65
  80 192 Hg  1.153  12.63   3.07  14.39   4.48
  80 193 Hg  1.153  12.61   3.01  14.37   4.35
  80 194 Hg  1.150  12.61   2.97  14.33   4.21
  80 195 Hg  1.150  12.60   2.92  14.31   4.09
  80 196 Hg  1.150  12.58   2.87  14.29   3.97
  80 197 Hg  1.146  12.58   2.84  14.26   3.86
  80 198 Hg  1.025  13.68   4.02  13.68   4.02
  80 199 Hg  1.020  13.66   3.93  13.66   3.93
  80 200 Hg  1.020  13.64   3.82  13.64   3.82
  80 201 Hg  1.020  13.62   3.74  13.62   3.74
  80 202 Hg  1.005  13.60   3.66  13.60   3.66
  80 203 Hg  1.005  13.58   3.58  13.58   3.58
  80 204 Hg  1.000  13.55   3.51  13.55   3.51
  80 205 Hg  1.016  13.53   3.45  13.53   3.45
  80 206 Hg  1.005  13.51   3.39  13.51   3.39
  80 207 Hg  1.000  13.49   3.45  13.49   3.45
  80 208 Hg  1.005  13.46   3.51  13.46   3.51
  80 209 Hg  1.005  13.44   3.58  13.44   3.58
  80 210 Hg  1.005  13.42   3.64  13.42   3.64
  80 211 Hg  1.005  13.40   3.71  13.40   3.71
  80 212 Hg  1.005  13.38   3.79  13.38   3.79
  80 213 Hg  1.001  13.35   3.86  13.35   3.86
  80 214 Hg  1.001  13.33   3.93  13.33   3.93
  80 215 Hg  1.001  13.31   4.01  13.31   4.01
  80 216 Hg  1.000  13.29   4.09  13.29   4.09
  80 217 Hg  1.025  13.26   4.20  13.26   4.20
  80 218 Hg  1.020  13.24   4.36  13.24   4.36
  80 219 Hg  1.020  13.22   4.52  13.22   4.52
  80 220 Hg  1.020  13.19   4.69  13.19   4.69
  80 221 Hg  1.266  11.32   2.69  14.07   4.28
  80 222 Hg  1.266  11.30   2.70  14.04   4.32
