 Z=  97 A= 208  Bk beta2= 0.41 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   1.800   7.584134E-02   6.088334E-02
   1.900   7.612924E-02   6.117909E-02
   2.000   7.645352E-02   6.152216E-02
   2.100   7.680623E-02   6.189916E-02
   2.200   7.724002E-02   6.237264E-02
   2.300   7.769398E-02   6.286702E-02
   2.400   7.817481E-02   6.338899E-02
   2.500   7.865862E-02   6.391529E-02
   2.600   7.912635E-02   6.441863E-02
   2.700   7.958776E-02   6.491547E-02
   2.800   7.997755E-02   6.533511E-02
   2.900   8.036924E-02   6.575747E-02
   3.000   8.069169E-02   6.611348E-02
   3.100   8.096602E-02   6.642340E-02
   3.200   8.113396E-02   6.664410E-02
   3.300   8.126830E-02   6.683683E-02
   3.400   8.136743E-02   6.700515E-02
   3.500   8.136525E-02   6.710234E-02
   3.600   8.131790E-02   6.717869E-02
   3.700   8.121030E-02   6.722706E-02
   3.800   8.110284E-02   6.727547E-02
   3.900   8.094095E-02   6.732759E-02
   4.000   8.077503E-02   6.738511E-02
   4.100   8.060887E-02   6.749056E-02
   4.200   8.044306E-02   6.759618E-02
   4.300   8.029663E-02   6.774282E-02
   4.400   8.016341E-02   6.791767E-02
   4.500   8.004946E-02   6.812010E-02
   4.600   7.994155E-02   6.833154E-02
   4.700   7.982792E-02   6.853651E-02
   4.800   7.969800E-02   6.872200E-02
   4.900   7.950914E-02   6.883939E-02
   5.000   7.923345E-02   6.886147E-02
   5.100   7.892094E-02   6.884206E-02
   5.200   7.842140E-02   6.862765E-02
   5.300   7.781300E-02   6.829800E-02
   5.400   7.696740E-02   6.772859E-02
   5.500   7.589119E-02   6.692961E-02
   5.600   7.472746E-02   6.603965E-02
   5.700   7.318728E-02   6.478152E-02
   5.800   7.147300E-02   6.335100E-02
   5.900   6.939239E-02   6.156899E-02
   6.000   6.700972E-02   5.949779E-02
   6.100   6.455722E-02   5.735431E-02
   6.200   6.165439E-02   5.478688E-02
   6.300   5.861700E-02   5.209100E-02
   6.400   5.523633E-02   4.907414E-02
   6.500   5.164103E-02   4.585868E-02
   6.600   4.811421E-02   4.270313E-02
   6.700   4.428278E-02   3.927060E-02
   6.800   4.050900E-02   3.589100E-02
   6.900   3.662629E-02   3.241675E-02
   7.000   3.279250E-02   2.898999E-02
   7.100   2.923507E-02   2.581398E-02
   7.200   2.569134E-02   2.265690E-02
   7.300   2.242400E-02   1.975100E-02
   7.400   1.933027E-02   1.700587E-02
   7.500   1.650140E-02   1.450195E-02
   7.600   1.402684E-02   1.231504E-02
   7.700   1.176860E-02   1.032421E-02
   7.800   9.817400E-03   8.607400E-03
   7.900   8.110213E-03   7.109301E-03
   8.000   6.655562E-03   5.835441E-03
   8.100   5.446076E-03   4.776868E-03
   8.200   4.422975E-03   3.883856E-03
   8.300   3.582100E-03   3.150400E-03
   8.400   2.890095E-03   2.547662E-03
   8.500   2.327751E-03   2.058204E-03
   8.600   1.873420E-03   1.662066E-03
   8.700   1.506507E-03   1.342674E-03
   8.800   1.211500E-03   1.085200E-03
   8.900   9.749870E-04   8.786581E-04
   9.000   7.852153E-04   7.125204E-04
   9.100   6.325801E-04   5.781823E-04
   9.200   5.100822E-04   4.701613E-04
   9.300   4.113800E-04   3.826000E-04
   9.400   3.318857E-04   3.117716E-04
   9.500   2.677153E-04   2.542532E-04
   9.600   2.159392E-04   2.074167E-04
   9.700   1.741194E-04   1.693971E-04
   9.800   1.403800E-04   1.384300E-04
   9.900   1.132128E-04   1.133266E-04
  10.000   9.138142E-05   9.298680E-05
  10.100   7.378732E-05   7.637308E-05
  10.200   5.972149E-05   6.302152E-05
  10.300   4.840900E-05   5.214400E-05
  10.400   3.937647E-05   4.339742E-05
  10.500   3.212849E-05   3.630653E-05
  10.600   2.624991E-05   3.044308E-05
  10.700   2.153893E-05   2.571842E-05
  10.800   1.770000E-05   2.179700E-05
  10.900   1.457998E-05   1.857484E-05
  11.000   1.201653E-05   1.588106E-05
  11.100   9.906138E-06   1.359733E-05
