 Z=  96 A= 206  Cm beta2= 0.39 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  17.500   3.137639E-10   1.137378E-08
  17.600   2.970993E-10   1.059088E-08
  17.700   2.813199E-10   9.861863E-09
  17.800   2.663785E-10   9.183029E-09
  17.900   2.522307E-10   8.550922E-09
  18.000   2.388342E-10   7.962326E-09
  18.100   2.261493E-10   7.414245E-09
  18.200   2.175816E-10   6.944492E-09
  18.300   2.118937E-10   6.533574E-09
  18.400   2.063545E-10   6.146971E-09
  18.500   2.009601E-10   5.783243E-09
  18.600   1.957068E-10   5.441038E-09
  18.700   1.905907E-10   5.119082E-09
  18.800   1.856085E-10   4.816177E-09
  18.900   1.807564E-10   4.531195E-09
  19.000   1.760312E-10   4.263076E-09
  19.100   1.714295E-10   4.010822E-09
  19.200   1.669481E-10   3.773495E-09
  19.300   1.625839E-10   3.550210E-09
  19.400   1.702972E-10   3.355335E-09
  19.500   1.843386E-10   3.177662E-09
  19.600   1.995378E-10   3.009396E-09
  19.700   2.159902E-10   2.850041E-09
  19.800   2.337991E-10   2.699124E-09
  19.900   2.530764E-10   2.556198E-09
 Z=  96 A= 208  Cm beta2= 0.41 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.815102E-02   6.544994E-02
   0.100   7.806995E-02   6.528135E-02
   0.200   7.798897E-02   6.511320E-02
   0.300   7.790806E-02   6.494547E-02
   0.400   7.778431E-02   6.468914E-02
   0.500   7.763111E-02   6.437250E-02
   0.600   7.743909E-02   6.397650E-02
   0.700   7.723549E-02   6.355811E-02
   0.800   7.702724E-02   6.313066E-02
   0.900   7.680547E-02   6.267424E-02
   1.000   7.659692E-02   6.224033E-02
   1.100   7.640479E-02   6.183351E-02
   1.200   7.621314E-02   6.142935E-02
   1.300   7.609563E-02   6.114572E-02
   1.400   7.599759E-02   6.089298E-02
   1.500   7.601081E-02   6.080958E-02
   1.600   7.602403E-02   6.072629E-02
   1.700   7.613036E-02   6.077555E-02
   1.800   7.629309E-02   6.090485E-02
   1.900   7.657039E-02   6.118342E-02
   2.000   7.687774E-02   6.150121E-02
   2.100   7.721844E-02   6.185864E-02
   2.200   7.763527E-02   6.230655E-02
   2.300   7.807546E-02   6.277814E-02
   2.400   7.854164E-02   6.327605E-02
   2.500   7.901059E-02   6.377792E-02
   2.600   7.946573E-02   6.425747E-02
   2.700   7.991148E-02   6.472712E-02
   2.800   8.029475E-02   6.512805E-02
   2.900   8.067987E-02   6.553146E-02
   3.000   8.099029E-02   6.586397E-02
   3.100   8.126199E-02   6.615986E-02
   3.200   8.142104E-02   6.636213E-02
   3.300   8.155728E-02   6.654567E-02
   3.400   8.164873E-02   6.669914E-02
   3.500   8.165092E-02   6.679218E-02
   3.600   8.160002E-02   6.686343E-02
   3.700   8.149778E-02   6.691352E-02
   3.800   8.139490E-02   6.696376E-02
   3.900   8.123386E-02   6.702231E-02
   4.000   8.107266E-02   6.709158E-02
   4.100   8.090975E-02   6.720770E-02
   4.200   8.074717E-02   6.732402E-02
   4.300   8.060577E-02   6.748877E-02
   4.400   8.047391E-02   6.767556E-02
   4.500   8.036105E-02   6.789260E-02
   4.600   8.025129E-02   6.811504E-02
   4.700   8.013319E-02   6.832746E-02
   4.800   7.999425E-02   6.851441E-02
   4.900   7.980236E-02   6.863873E-02
   5.000   7.950931E-02   6.865069E-02
   5.100   7.917294E-02   6.861439E-02
   5.200   7.866933E-02   6.839947E-02
   5.300   7.801873E-02   6.803085E-02
   5.400   7.716952E-02   6.745812E-02
   5.500   7.605378E-02   6.661812E-02
   5.600   7.484608E-02   6.568281E-02
   5.700   7.330278E-02   6.441844E-02
   5.800   7.151982E-02   6.292004E-02
   5.900   6.944123E-02   6.113427E-02
   6.000   6.700466E-02   5.900754E-02
   6.100   6.449702E-02   5.680876E-02
   6.200   6.159999E-02   5.424393E-02
   6.300   5.848631E-02   5.147675E-02
   6.400   5.511957E-02   4.847383E-02
   6.500   5.147535E-02   4.521789E-02
   6.600   4.790435E-02   4.202879E-02
   6.700   4.409460E-02   3.862629E-02
   6.800   4.026640E-02   3.521107E-02
   6.900   3.641496E-02   3.178089E-02
   7.000   3.256170E-02   2.835705E-02
   7.100   2.899261E-02   2.519314E-02
   7.200   2.548368E-02   2.209215E-02
   7.300   2.220395E-02   1.920218E-02
   7.400   1.914712E-02   1.651795E-02
   7.500   1.632714E-02   1.405056E-02
   7.600   1.386572E-02   1.190321E-02
   7.700   1.163858E-02   9.968349E-03
   7.800   9.697574E-03   8.288311E-03
   7.900   8.015926E-03   6.837941E-03
   8.000   6.575691E-03   5.600681E-03
   8.100   5.380082E-03   4.575961E-03
   8.200   4.372582E-03   3.715870E-03
