 Z=  57 A= 112  La beta2= 0.27 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.100   7.171397E-02   6.649513E-02
   0.200   7.195752E-02   6.670831E-02
   0.300   7.230847E-02   6.701642E-02
   0.400   7.279923E-02   6.744880E-02
   0.500   7.344327E-02   6.802146E-02
   0.600   7.412635E-02   6.863136E-02
   0.700   7.489821E-02   6.932675E-02
   0.800   7.571728E-02   7.007831E-02
   0.900   7.654560E-02   7.084097E-02
   1.000   7.736257E-02   7.161053E-02
   1.100   7.812288E-02   7.234498E-02
   1.200   7.886854E-02   7.307226E-02
   1.300   7.950150E-02   7.371747E-02
   1.400   8.003604E-02   7.428774E-02
   1.500   8.050141E-02   7.480531E-02
   1.600   8.084367E-02   7.522436E-02
   1.700   8.107380E-02   7.555309E-02
   1.800   8.119424E-02   7.579287E-02
   1.900   8.123307E-02   7.596474E-02
   2.000   8.117477E-02   7.605519E-02
   2.100   8.101082E-02   7.605627E-02
   2.200   8.081550E-02   7.603040E-02
   2.300   8.055618E-02   7.594961E-02
   2.400   8.024527E-02   7.582188E-02
   2.500   7.993200E-02   7.569087E-02
   2.600   7.960430E-02   7.554408E-02
   2.700   7.929165E-02   7.540686E-02
   2.800   7.898389E-02   7.527239E-02
   2.900   7.871464E-02   7.516690E-02
   3.000   7.847457E-02   7.508490E-02
   3.100   7.825288E-02   7.501766E-02
   3.200   7.805407E-02   7.496866E-02
   3.300   7.785763E-02   7.492200E-02
   3.400   7.765360E-02   7.486991E-02
   3.500   7.741799E-02   7.479104E-02
   3.600   7.710821E-02   7.464894E-02
   3.700   7.671470E-02   7.443347E-02
   3.800   7.618605E-02   7.409741E-02
   3.900   7.552904E-02   7.364455E-02
   4.000   7.471740E-02   7.305073E-02
   4.100   7.363698E-02   7.220950E-02
   4.200   7.237437E-02   7.119474E-02
   4.300   7.083714E-02   6.991979E-02
   4.400   6.909687E-02   6.844756E-02
   4.500   6.712689E-02   6.675059E-02
   4.600   6.479508E-02   6.470032E-02
   4.700   6.226724E-02   6.245013E-02
   4.800   5.944341E-02   5.990253E-02
   4.900   5.645451E-02   5.717785E-02
   5.000   5.328807E-02   5.426124E-02
   5.100   4.982333E-02   5.103454E-02
   5.200   4.628751E-02   4.771350E-02
   5.300   4.260125E-02   4.421783E-02
   5.400   3.893158E-02   4.070736E-02
   5.500   3.528359E-02   3.718602E-02
   5.600   3.158618E-02   3.358433E-02
   5.700   2.805379E-02   3.011141E-02
   5.800   2.463687E-02   2.671866E-02
   5.900   2.146305E-02   2.353638E-02
   6.000   1.852574E-02   2.056017E-02
   6.100   1.578825E-02   1.775615E-02
   6.200   1.335332E-02   1.523157E-02
   6.300   1.117670E-02   1.294725E-02
   6.400   9.292595E-03   1.094299E-02
   6.500   7.668130E-03   9.190033E-03
   6.600   6.269845E-03   7.659781E-03
   6.700   5.101940E-03   6.360188E-03
   6.800   4.126290E-03   5.256497E-03
   6.900   3.326655E-03   4.334845E-03
   7.000   2.672839E-03   3.566647E-03
   7.100   2.140758E-03   2.929783E-03
   7.200   1.712576E-03   2.405993E-03
   7.300   1.368391E-03   1.976089E-03
   7.400   1.093123E-03   1.624070E-03
   7.500   8.730389E-04   1.335867E-03
   7.600   6.973564E-04   1.100621E-03
   7.700   5.571596E-04   9.079198E-04
   7.800   4.452681E-04   7.503016E-04
   7.900   3.559092E-04   6.208634E-04
   8.000   2.845341E-04   5.145304E-04
   8.100   2.275477E-04   4.273649E-04
   8.200   1.820501E-04   3.555270E-04
   8.300   1.457498E-04   2.964363E-04
   8.400   1.167785E-04   2.476099E-04
   8.500   9.365784E-05   2.072560E-04
   8.600   7.526856E-05   1.740418E-04
   8.700   6.058737E-05   1.464785E-04
   8.800   4.888539E-05   1.236634E-04
   8.900   3.951128E-05   1.046357E-04
   9.000   3.199575E-05   8.876131E-05
   9.100   2.596978E-05   7.555671E-05
   9.200   2.110276E-05   6.445318E-05
   9.300   1.716769E-05   5.513761E-05
   9.400   1.396989E-05   4.725791E-05
   9.500   1.136926E-05   4.059158E-05
   9.600   9.248941E-06   3.496847E-05
   9.700   7.522185E-06   3.018109E-05
   9.800   6.115299E-06   2.611710E-05
   9.900   4.972131E-06   2.264148E-05
  10.000   4.043791E-06   1.966894E-05
  10.100   3.293837E-06   1.713243E-05
  10.200   2.687550E-06   1.494486E-05
  10.300   2.199201E-06   1.305994E-05
  10.400   1.804220E-06   1.142070E-05
  10.500   1.486177E-06   9.980774E-06
  10.600   1.231553E-06   8.686680E-06
  10.700   1.020553E-06   7.560377E-06
  10.800   8.457036E-07   6.580108E-06
  10.900   7.008106E-07   5.726940E-06
  11.000   5.807419E-07   4.984393E-06
  11.100   4.812444E-07   4.338123E-06
  11.200   3.987936E-07   3.775648E-06
  11.300   3.296843E-07   3.271249E-06
  11.400   2.714169E-07   2.811791E-06
  11.500   2.234475E-07   2.416866E-06
  11.600   1.839560E-07   2.077410E-06
  11.700   1.514442E-07   1.785631E-06
  11.800   1.246784E-07   1.534833E-06
  11.900   1.026431E-07   1.319261E-06
  12.000   8.450223E-08   1.133967E-06
  12.100   6.956755E-08   9.746975E-07
  12.200   5.727239E-08   8.377981E-07
  12.300   4.784875E-08   7.099779E-07
  12.400   4.038632E-08   5.957538E-07
  12.500   3.408771E-08   4.999065E-07
  12.600   2.877143E-08   4.194795E-07
  12.700   2.428427E-08   3.519919E-07
