 Z= 106 A= 234  Sg beta2= 0.00 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  19.400   5.161752E-10   6.534713E-10
  19.500   4.997725E-10   5.846873E-10
  19.600   4.838910E-10   5.231435E-10
  19.700   4.685142E-10   4.680778E-10
  19.800   4.722571E-10   4.444151E-10
  19.900   5.206463E-10   4.815334E-10
 Z= 106 A= 242  Sg beta2= 0.40 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.689359E-02   6.116361E-02
   0.100   7.717944E-02   6.101213E-02
   0.200   7.746636E-02   6.086102E-02
   0.300   7.775434E-02   6.071028E-02
   0.400   7.811987E-02   6.051493E-02
   0.500   7.863647E-02   6.023326E-02
   0.600   7.919592E-02   5.991952E-02
   0.700   7.982445E-02   5.955306E-02
   0.800   8.045797E-02   5.918883E-02
   0.900   8.108133E-02   5.880722E-02
   1.000   8.170297E-02   5.841972E-02
   1.100   8.222311E-02   5.807352E-02
   1.200   8.270882E-02   5.774299E-02
   1.300   8.318484E-02   5.742190E-02
   1.400   8.346592E-02   5.722069E-02
   1.500   8.372653E-02   5.703874E-02
   1.600   8.379257E-02   5.702605E-02
   1.700   8.385865E-02   5.701336E-02
   1.800   8.385391E-02   5.708696E-02
   1.900   8.375140E-02   5.728019E-02
   2.000   8.361288E-02   5.755562E-02
   2.100   8.343206E-02   5.792908E-02
   2.200   8.325164E-02   5.830498E-02
   2.300   8.307779E-02   5.877506E-02
   2.400   8.290605E-02   5.927505E-02
   2.500   8.280125E-02   5.980557E-02
   2.600   8.271129E-02   6.034671E-02
   2.700   8.263728E-02   6.088713E-02
   2.800   8.266074E-02   6.139766E-02
   2.900   8.270281E-02   6.189467E-02
   3.000   8.283034E-02   6.231347E-02
   3.100   8.295806E-02   6.273511E-02
   3.200   8.311771E-02   6.309564E-02
   3.300   8.330946E-02   6.339399E-02
   3.400   8.349896E-02   6.362428E-02
   3.500   8.368659E-02   6.379585E-02
   3.600   8.387464E-02   6.396788E-02
   3.700   8.400661E-02   6.405161E-02
   3.800   8.412957E-02   6.412099E-02
   3.900   8.415509E-02   6.414578E-02
   4.000   8.416964E-02   6.416556E-02
   4.100   8.415967E-02   6.418750E-02
   4.200   8.406280E-02   6.421706E-02
   4.300   8.394580E-02   6.426362E-02
   4.400   8.377083E-02   6.435913E-02
   4.500   8.359623E-02   6.445478E-02
   4.600   8.339981E-02   6.459768E-02
   4.700   8.318783E-02   6.477510E-02
   4.800   8.296472E-02   6.497817E-02
   4.900   8.273502E-02   6.519749E-02
   5.000   8.250595E-02   6.541755E-02
   5.100   8.224418E-02   6.560992E-02
   5.200   8.194870E-02   6.575629E-02
   5.300   8.160167E-02   6.583182E-02
   5.400   8.118452E-02   6.581182E-02
   5.500   8.067435E-02   6.567392E-02
   5.600   8.006535E-02   6.541167E-02
   5.700   7.926551E-02   6.492547E-02
   5.800   7.831510E-02   6.427098E-02
   5.900   7.716795E-02   6.340169E-02
   6.000   7.581772E-02   6.232012E-02
   6.100   7.426828E-02   6.103283E-02
   6.200   7.237779E-02   5.941064E-02
   6.300   7.026606E-02   5.757683E-02
   6.400   6.788055E-02   5.548506E-02
   6.500   6.525061E-02   5.317124E-02
   6.600   6.240719E-02   5.066680E-02
   6.700   5.920228E-02   4.784484E-02
   6.800   5.583603E-02   4.489169E-02
   6.900   5.227410E-02   4.178086E-02
   7.000   4.859554E-02   3.858704E-02
   7.100   4.485862E-02   3.536421E-02
   7.200   4.096025E-02   3.202774E-02
   7.300   3.712534E-02   2.877341E-02
   7.400   3.334213E-02   2.559277E-02
   7.500   2.969695E-02   2.255921E-02
   7.600   2.623562E-02   1.970963E-02
   7.700   2.290381E-02   1.699895E-02
   7.800   1.984394E-02   1.454064E-02
   7.900   1.703567E-02   1.231386E-02
   8.000   1.451299E-02   1.034197E-02
   8.100   1.227378E-02   8.617126E-03
   8.200   1.027928E-02   7.104447E-03
   8.300   8.560534E-03   5.822101E-03
   8.400   7.083426E-03   4.738344E-03
   8.500   5.834500E-03   3.837796E-03
   8.600   4.785870E-03   3.094908E-03
   8.700   3.908400E-03   2.484668E-03
   8.800   3.185931E-03   1.991302E-03
   8.900   2.592376E-03   1.593402E-03
   9.000   2.108333E-03   1.274759E-03
   9.100   1.714148E-03   1.019847E-03
   9.200   1.394471E-03   8.167935E-04
   9.300   1.135309E-03   6.548888E-04
   9.400   9.252533E-04   5.257943E-04
   9.500   7.547628E-04   4.226179E-04
   9.600   6.161842E-04   3.400154E-04
   9.700   5.035018E-04   2.738143E-04
   9.800   4.115767E-04   2.205726E-04
   9.900   3.365091E-04   1.777155E-04
  10.000   2.751284E-04   1.431806E-04
  10.100   2.249208E-04   1.153511E-04
  10.200   1.838585E-04   9.296019E-05
  10.300   1.503293E-04   7.497572E-05
  10.400   1.229617E-04   6.054659E-05
  10.500   1.006667E-04   4.900452E-05
  10.600   8.250214E-05   3.976251E-05
  10.700   6.778963E-05   3.243492E-05
  10.800   5.582606E-05   2.657256E-05
  10.900   4.610971E-05   2.189220E-05
  11.000   3.819558E-05   1.813215E-05
  11.100   3.172887E-05   1.509461E-05
  11.200   2.646069E-05   1.265154E-05
  11.300   2.211359E-05   1.064117E-05
  11.400   1.852052E-05   8.983003E-06
  11.500   1.552590E-05   7.595281E-06
  11.600   1.302298E-05   6.428701E-06
  11.700   1.091764E-05   5.438646E-06
  11.800   9.143591E-06   4.595386E-06
  11.900   7.645983E-06   3.875243E-06
  12.000   6.383041E-06   3.261117E-06
  12.100   5.328232E-06   2.742841E-06
  12.200   4.457611E-06   2.311161E-06
  12.300   3.729246E-06   1.947421E-06
  12.400   3.119896E-06   1.640927E-06
  12.500   2.610111E-06   1.382671E-06
  12.600   2.183625E-06   1.165061E-06
  12.700   1.826825E-06   9.816984E-07
  12.800   1.528326E-06   8.271945E-07
  12.900   1.278601E-06   6.970071E-07
  13.000   1.082365E-06   5.910839E-07
  13.100   9.314100E-07   5.057489E-07
