 Z=  59 A= 116  Pr beta2= 0.45 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
 Z=  59 A= 117  Pr beta2= 0.46 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.211961E-02   6.692381E-02
   0.100   7.234154E-02   6.711340E-02
   0.200   7.256415E-02   6.730353E-02
   0.300   7.287607E-02   6.757116E-02
   0.400   7.331461E-02   6.794884E-02
   0.500   7.390769E-02   6.846443E-02
   0.600   7.452618E-02   6.900373E-02
   0.700   7.524087E-02   6.963473E-02
   0.800   7.600032E-02   7.031558E-02
   0.900   7.677629E-02   7.101340E-02
   1.000   7.754674E-02   7.172442E-02
   1.100   7.828186E-02   7.241714E-02
   1.200   7.899068E-02   7.309612E-02
   1.300   7.962365E-02   7.372303E-02
   1.400   8.017586E-02   7.429206E-02
   1.500   8.062543E-02   7.478471E-02
   1.600   8.100399E-02   7.522257E-02
   1.700   8.127780E-02   7.557871E-02
   1.800   8.139122E-02   7.580753E-02
   1.900   8.147587E-02   7.601337E-02
   2.000   8.143148E-02   7.611380E-02
   2.100   8.127888E-02   7.612524E-02
   2.200   8.110108E-02   7.611565E-02
   2.300   8.082746E-02   7.602469E-02
   2.400   8.051227E-02   7.589671E-02
   2.500   8.017041E-02   7.574438E-02
   2.600   7.981044E-02   7.557429E-02
   2.700   7.944583E-02   7.539692E-02
   2.800   7.908921E-02   7.522158E-02
   2.900   7.874840E-02   7.505669E-02
   3.000   7.843019E-02   7.490725E-02
   3.100   7.815331E-02   7.478890E-02
   3.200   7.788300E-02   7.467521E-02
   3.300   7.763900E-02   7.458198E-02
   3.400   7.739130E-02   7.448484E-02
   3.500   7.714333E-02   7.438685E-02
   3.600   7.685072E-02   7.425137E-02
   3.700   7.648134E-02   7.404917E-02
   3.800   7.600687E-02   7.375415E-02
   3.900   7.546839E-02   7.340162E-02
   4.000   7.472697E-02   7.286773E-02
   4.100   7.385694E-02   7.221486E-02
   4.200   7.272284E-02   7.132027E-02
   4.300   7.135922E-02   7.020952E-02
   4.400   6.987045E-02   6.897663E-02
   4.500   6.803627E-02   6.741501E-02
   4.600   6.602481E-02   6.567739E-02
   4.700   6.366038E-02   6.359658E-02
   4.800   6.103953E-02   6.125852E-02
   4.900   5.832428E-02   5.881374E-02
   5.000   5.525706E-02   5.601519E-02
   5.100   5.208286E-02   5.309279E-02
   5.200   4.862546E-02   4.987392E-02
   5.300   4.503743E-02   4.650202E-02
   5.400   4.150879E-02   4.315823E-02
   5.500   3.781249E-02   3.962067E-02
   5.600   3.420976E-02   3.614275E-02
   5.700   3.057351E-02   3.259853E-02
   5.800   2.706066E-02   2.914160E-02
   5.900   2.380892E-02   2.590892E-02
   6.000   2.067135E-02   2.275883E-02
   6.100   1.781479E-02   1.985891E-02
   6.200   1.516179E-02   1.713600E-02
   6.300   1.278687E-02   1.466875E-02
   6.400   1.072399E-02   1.249556E-02
   6.500   8.894294E-03   1.054350E-02
   6.600   7.333987E-03   8.853173E-03
   6.700   5.993880E-03   7.380245E-03
   6.800   4.871689E-03   6.126274E-03
   6.900   3.946446E-03   5.072426E-03
   7.000   3.179469E-03   4.183946E-03
   7.100   2.555253E-03   3.445821E-03
   7.200   2.047638E-03   2.833932E-03
   7.300   1.638860E-03   2.330502E-03
   7.400   1.310760E-03   1.916491E-03
   7.500   1.047788E-03   1.577603E-03
   7.600   8.374632E-04   1.299584E-03
   7.700   6.695011E-04   1.072488E-03
   7.800   5.353354E-04   8.863996E-04
   7.900   4.281074E-04   7.332702E-04
   8.000   3.424419E-04   6.078872E-04
   8.100   2.739352E-04   5.045317E-04
   8.200   2.192064E-04   4.196902E-04
   8.300   1.754898E-04   3.497632E-04
   8.400   1.405311E-04   2.918209E-04
   8.500   1.126720E-04   2.441617E-04
   8.600   9.040559E-05   2.046171E-04
   8.700   7.268796E-05   1.720295E-04
   8.800   5.855588E-05   1.450127E-04
   8.900   4.722805E-05   1.224370E-04
   9.000   3.819883E-05   1.037549E-04
   9.100   3.093947E-05   8.809750E-05
   9.200   2.511827E-05   7.506718E-05
   9.300   2.041552E-05   6.412570E-05
