 Z=  75 A= 156  Re beta2= 0.00 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   5.600   5.831908E-02   5.378973E-02
   5.700   5.496438E-02   5.081756E-02
   5.800   5.142489E-02   4.766475E-02
   5.900   4.762181E-02   4.425927E-02
   6.000   4.393407E-02   4.094584E-02
   6.100   4.008832E-02   3.747603E-02
   6.200   3.624637E-02   3.399549E-02
   6.300   3.246246E-02   3.055512E-02
   6.400   2.871003E-02   2.713199E-02
   6.500   2.527809E-02   2.398904E-02
   6.600   2.197659E-02   2.095438E-02
   6.700   1.891934E-02   1.813401E-02
   6.800   1.612852E-02   1.554775E-02
   6.900   1.358450E-02   1.318137E-02
   7.000   1.139523E-02   1.113318E-02
   7.100   9.454802E-03   9.309619E-03
   7.200   7.785681E-03   7.731647E-03
   7.300   6.365070E-03   6.380149E-03
   7.400   5.164350E-03   5.230816E-03
   7.500   4.180366E-03   4.280203E-03
   7.600   3.364970E-03   3.486694E-03
   7.700   2.700437E-03   2.834383E-03
   7.800   2.161486E-03   2.300232E-03
   7.900   1.726923E-03   1.865562E-03
   8.000   1.379143E-03   1.513042E-03
   8.100   1.100782E-03   1.227955E-03
   8.200   8.787506E-04   9.976379E-04
   8.300   7.014362E-04   8.113041E-04
   8.400   5.599096E-04   6.606796E-04
   8.500   4.469473E-04   5.382925E-04
   8.600   3.568091E-04   4.392304E-04
   8.700   2.848226E-04   3.587855E-04
   8.800   2.272757E-04   2.933032E-04
   8.900   1.812826E-04   2.400467E-04
   9.000   1.445924E-04   1.965564E-04
   9.100   1.153539E-04   1.612057E-04
   9.200   9.208969E-05   1.324444E-04
   9.300   7.357584E-05   1.090082E-04
   9.400   5.889167E-05   8.998850E-05
   9.500   4.717588E-05   7.437695E-05
   9.600   3.789234E-05   6.170787E-05
   9.700   3.050782E-05   5.136537E-05
   9.800   2.461126E-05   4.289141E-05
   9.900   1.989523E-05   3.595615E-05
  10.000   1.609209E-05   3.018299E-05
  10.100   1.303126E-05   2.543069E-05
  10.200   1.055351E-05   2.148069E-05
  10.300   8.539663E-06   1.818027E-05
  10.400   6.896879E-06   1.541976E-05
  10.500   5.566132E-06   1.308779E-05
  10.600   4.482610E-06   1.112980E-05
  10.700   3.605255E-06   9.477901E-06
  10.800   2.896192E-06   8.081339E-06
  10.900   2.326860E-06   6.902650E-06
  11.000   1.870280E-06   5.899826E-06
  11.100   1.506881E-06   5.052922E-06
  11.200   1.232556E-06   4.342633E-06
  11.300   1.010902E-06   3.734512E-06
  11.400   8.291091E-07   3.211549E-06
  11.500   6.800084E-07   2.761819E-06
  11.600   5.577208E-07   2.375067E-06
  11.700   4.574245E-07   2.042474E-06
  11.800   3.751648E-07   1.756456E-06
  11.900   3.076980E-07   1.510490E-06
  12.000   2.497126E-07   1.296671E-06
  12.100   2.009388E-07   1.111535E-06
  12.200   1.616915E-07   9.528322E-07
  12.300   1.301100E-07   8.167887E-07
  12.400   1.046969E-07   7.001691E-07
  12.500   8.424754E-08   6.002003E-07
  12.600   6.779233E-08   5.145049E-07
  12.700   5.455115E-08   4.410449E-07
  12.800   4.389623E-08   3.780733E-07
  12.900   3.532243E-08   3.240928E-07
  13.000   2.875011E-08   2.795447E-07
  13.100   2.431374E-08   2.461694E-07
  13.200   2.056195E-08   2.167789E-07
  13.300   1.738908E-08   1.908974E-07
  13.400   1.470581E-08   1.681059E-07
  13.500   1.243659E-08   1.480355E-07
  13.600   1.051753E-08   1.303613E-07
  13.700   8.894594E-09   1.147973E-07
  13.800   7.522090E-09   1.010915E-07
  13.900   6.361374E-09   8.902203E-08
  14.000   5.379765E-09   7.839356E-08
  14.100   4.234656E-09   6.885488E-08
