 Z=  73 A= 144  Ta beta2= 0.46 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   8.035484E-02   7.210146E-02
   0.100   8.028456E-02   7.206562E-02
   0.200   8.021434E-02   7.202979E-02
   0.300   8.013636E-02   7.199032E-02
   0.400   8.001043E-02   7.192834E-02
   0.500   7.986840E-02   7.186397E-02
   0.600   7.971608E-02   7.179807E-02
   0.700   7.956759E-02   7.174222E-02
   0.800   7.942275E-02   7.169588E-02
   0.900   7.932343E-02   7.169828E-02
   1.000   7.922510E-02   7.170162E-02
   1.100   7.919259E-02   7.176563E-02
   1.200   7.919914E-02   7.186468E-02
   1.300   7.926172E-02   7.201368E-02
   1.400   7.934490E-02   7.218110E-02
   1.500   7.948645E-02   7.240027E-02
   1.600   7.966384E-02   7.265351E-02
   1.700   7.985494E-02   7.292016E-02
   1.800   8.005265E-02   7.319759E-02
   1.900   8.025095E-02   7.347978E-02
   2.000   8.041897E-02   7.374548E-02
   2.100   8.058678E-02   7.401175E-02
   2.200   8.068460E-02   7.423142E-02
   2.300   8.073668E-02   7.441947E-02
   2.400   8.073811E-02   7.457226E-02
   2.500   8.069918E-02   7.469583E-02
   2.600   8.059476E-02   7.477156E-02
   2.700   8.040520E-02   7.478381E-02
   2.800   8.020096E-02   7.478477E-02
   2.900   7.993499E-02   7.473820E-02
   3.000   7.963882E-02   7.466739E-02
   3.100   7.930551E-02   7.456563E-02
   3.200   7.897125E-02   7.446194E-02
   3.300   7.862247E-02   7.434443E-02
   3.400   7.828213E-02   7.423061E-02
   3.500   7.794791E-02   7.411935E-02
   3.600   7.762482E-02   7.401452E-02
   3.700   7.731266E-02   7.391605E-02
   3.800   7.700246E-02   7.381297E-02
   3.900   7.669353E-02   7.370988E-02
   4.000   7.635295E-02   7.357512E-02
   4.100   7.595826E-02   7.338984E-02
   4.200   7.548613E-02   7.313336E-02
   4.300   7.494244E-02   7.281058E-02
   4.400   7.425188E-02   7.235250E-02
   4.500   7.344306E-02   7.178435E-02
   4.600   7.240033E-02   7.099936E-02
   4.700   7.116509E-02   7.003247E-02
   4.800   6.976523E-02   6.890742E-02
   4.900   6.809051E-02   6.751987E-02
   5.000   6.622841E-02   6.594865E-02
   5.100   6.402295E-02   6.404386E-02
   5.200   6.158568E-02   6.190547E-02
   5.300   5.897780E-02   5.958834E-02
   5.400   5.608249E-02   5.697948E-02
   5.500   5.304461E-02   5.421132E-02
   5.600   4.970733E-02   5.113062E-02
   5.700   4.624427E-02   4.790040E-02
   5.800   4.274495E-02   4.460392E-02
   5.900   3.912370E-02   4.115697E-02
   6.000   3.554874E-02   3.772029E-02
   6.100   3.190954E-02   3.418410E-02
   6.200   2.838639E-02   3.072505E-02
   6.300   2.505215E-02   2.741572E-02
   6.400   2.186000E-02   2.421258E-02
   6.500   1.891855E-02   2.122660E-02
   6.600   1.616368E-02   1.839639E-02
   6.700   1.368943E-02   1.582090E-02
   6.800   1.150589E-02   1.351540E-02
   6.900   9.574469E-03   1.144733E-02
   7.000   7.912986E-03   9.640121E-03
   7.100   6.476735E-03   8.053572E-03
   7.200   5.270479E-03   6.697176E-03
   7.300   4.267985E-03   5.547980E-03
   7.400   3.437835E-03   4.578333E-03
   7.500   2.759972E-03   3.769514E-03
   7.600   2.207404E-03   3.096839E-03
   7.700   1.762605E-03   2.542825E-03
   7.800   1.405698E-03   2.087281E-03
   7.900   1.120172E-03   1.714267E-03
   8.000   8.922911E-04   1.408671E-03
   8.100   7.107194E-04   1.159226E-03
   8.200   5.661298E-04   9.551597E-04
   8.300   4.509717E-04   7.878992E-04
   8.400   3.592158E-04   6.509189E-04
   8.500   2.860865E-04   5.383194E-04
   8.600   2.277916E-04   4.459701E-04
   8.700   1.813555E-04   3.699375E-04
   8.800   1.443712E-04   3.072125E-04
   8.900   1.149563E-04   2.555818E-04
   9.000   9.155782E-05   2.129200E-04
   9.100   7.300786E-05   1.778398E-04
   9.200   5.829796E-05   1.488662E-04
   9.300   4.661242E-05   1.248609E-04
   9.400   3.735734E-05   1.050636E-04
   9.500   2.999080E-05   8.861128E-05
   9.600   2.414446E-05   7.503235E-05
   9.700   1.946936E-05   6.371553E-05
   9.800   1.571988E-05   5.423948E-05
   9.900   1.270416E-05   4.632495E-05
  10.000   1.026900E-05   3.965377E-05
  10.100   8.295690E-06   3.405755E-05
  10.200   6.694410E-06   2.931389E-05
  10.300   5.396367E-06   2.527673E-05
  10.400   4.342535E-06   2.184503E-05
  10.500   3.490412E-06   1.890770E-05
  10.600   2.802660E-06   1.640129E-05
  10.700   2.251229E-06   1.424658E-05
  10.800   1.809236E-06   1.238916E-05
  10.900   1.457812E-06   1.078616E-05
  11.000   1.184762E-06   9.389817E-06
  11.100   9.717947E-07   8.169934E-06
  11.200   7.971093E-07   7.108533E-06
  11.300   6.538246E-07   6.185024E-06
  11.400   5.362960E-07   5.381494E-06
  11.500   4.398939E-07   4.682354E-06
  11.600   3.608206E-07   4.074044E-06
  11.700   2.959611E-07   3.544763E-06
  11.800   2.415711E-07   3.079420E-06
  11.900   1.945357E-07   2.663696E-06
  12.000   1.566584E-07   2.304095E-06
  12.100   1.261560E-07   1.993041E-06
  12.200   1.015927E-07   1.723979E-06
  12.300   8.181194E-08   1.491241E-06
  12.400   6.588265E-08   1.289922E-06
  12.500   5.305489E-08   1.115782E-06
  12.600   4.272477E-08   9.651506E-07
  12.700   3.440599E-08   8.348546E-07
  12.800   2.781664E-08   7.222346E-07
  12.900   2.354960E-08   6.256738E-07
  13.000   1.993713E-08   5.420229E-07
  13.100   1.687880E-08   4.695559E-07
  13.200   1.428961E-08   4.067776E-07
  13.300   1.209760E-08   3.523925E-07
  13.400   1.024185E-08   3.052786E-07
  13.500   8.670760E-09   2.644637E-07
  13.600   7.340677E-09   2.291056E-07
  13.700   6.214627E-09   1.984748E-07
  13.800   5.261311E-09   1.719393E-07
  13.900   4.166427E-09   1.439554E-07
  14.000   3.229774E-09   1.192204E-07
  14.100   2.503689E-09   9.873548E-08
  14.200   1.940836E-09   8.177034E-08
  14.300   1.504517E-09   6.772023E-08
  14.400   1.166287E-09   5.608426E-08
  14.500   9.040945E-10   4.644763E-08
  14.600   7.008453E-10   3.846681E-08
  14.700   5.432885E-10   3.185728E-08
  14.800   4.211520E-10   2.638343E-08
  14.900   3.466157E-10   2.234260E-08
