 Z=  95 A= 204  Am beta2= 0.30 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  17.500   3.007340E-10   1.067288E-08
  17.600   2.823928E-10   1.060385E-08
  17.700   2.651701E-10   1.053526E-08
  17.800   2.489979E-10   1.046712E-08
  17.900   2.338120E-10   1.039942E-08
  18.000   2.195522E-10   1.033215E-08
  18.100   2.061621E-10   1.026532E-08
  18.200   1.999352E-10   1.024910E-08
  18.300   1.946710E-10   1.023910E-08
  18.400   1.895454E-10   1.022912E-08
  18.500   1.845548E-10   1.021915E-08
  18.600   1.796955E-10   1.020918E-08
  18.700   1.749642E-10   1.019923E-08
  18.800   1.703575E-10   1.018928E-08
  18.900   1.658721E-10   1.017935E-08
  19.000   1.615047E-10   1.016942E-08
  19.100   1.572524E-10   1.015951E-08
  19.200   1.531120E-10   1.014960E-08
  19.300   1.495530E-10   1.012027E-08
  19.400   1.618111E-10   9.484092E-09
  19.500   1.750739E-10   8.887905E-09
  19.600   1.894237E-10   8.329196E-09
  19.700   2.049497E-10   7.805608E-09
  19.800   2.217484E-10   7.314934E-09
  19.900   2.399239E-10   6.855105E-09
 Z=  95 A= 206  Am beta2= 0.41 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.866732E-02   6.596211E-02
   0.100   7.858666E-02   6.579149E-02
   0.200   7.850610E-02   6.562132E-02
   0.300   7.842561E-02   6.545159E-02
   0.400   7.830112E-02   6.519054E-02
   0.500   7.814835E-02   6.487145E-02
   0.600   7.795513E-02   6.446841E-02
   0.700   7.775145E-02   6.404503E-02
   0.800   7.754213E-02   6.361042E-02
   0.900   7.731929E-02   6.314692E-02
   1.000   7.711026E-02   6.270753E-02
   1.100   7.691569E-02   6.229299E-02
   1.200   7.672176E-02   6.188143E-02
   1.300   7.660404E-02   6.159501E-02
   1.400   7.650881E-02   6.134480E-02
   1.500   7.651324E-02   6.125092E-02
   1.600   7.651767E-02   6.115719E-02
   1.700   7.662423E-02   6.121196E-02
   1.800   7.677503E-02   6.133084E-02
   1.900   7.704865E-02   6.161348E-02
   2.000   7.733987E-02   6.191965E-02
   2.100   7.767322E-02   6.227722E-02
   2.200   7.807067E-02   6.271313E-02
   2.300   7.849520E-02   6.317704E-02
   2.400   7.894044E-02   6.366274E-02
   2.500   7.938671E-02   6.414968E-02
   2.600   7.982105E-02   6.461615E-02
   2.700   8.023716E-02   6.506263E-02
   2.800   8.060113E-02   6.545044E-02
   2.900   8.096674E-02   6.584056E-02
   3.000   8.124427E-02   6.614401E-02
   3.100   8.149911E-02   6.642539E-02
   3.200   8.162377E-02   6.659720E-02
   3.300   8.174499E-02   6.676638E-02
   3.400   8.180216E-02   6.689063E-02
   3.500   8.179226E-02   6.696764E-02
   3.600   8.171300E-02   6.701514E-02
   3.700   8.159986E-02   6.704815E-02
   3.800   8.147597E-02   6.708250E-02
   3.900   8.130492E-02   6.712263E-02
   4.000   8.113256E-02   6.718306E-02
   4.100   8.095770E-02   6.727842E-02
   4.200   8.078322E-02   6.737391E-02
   4.300   8.063355E-02   6.753119E-02
   4.400   8.048872E-02   6.769929E-02
   4.500   8.036339E-02   6.790098E-02
   4.600   8.023825E-02   6.810327E-02
   4.700   8.009983E-02   6.829070E-02
   4.800   7.993282E-02   6.844514E-02
   4.900   7.972370E-02   6.855038E-02
   5.000   7.939266E-02   6.852214E-02
   5.100   7.900315E-02   6.843023E-02
   5.200   7.848721E-02   6.820159E-02
   5.300   7.775414E-02   6.775015E-02
   5.400   7.689171E-02   6.716488E-02
   5.500   7.570630E-02   6.625673E-02
   5.600   7.441068E-02   6.523684E-02
   5.700   7.286641E-02   6.397088E-02
   5.800   7.096353E-02   6.235738E-02
   5.900   6.888656E-02   6.057261E-02
   6.000   6.636922E-02   5.836977E-02
   6.100   6.376478E-02   5.608057E-02
   6.200   6.089442E-02   5.353910E-02
   6.300   5.766001E-02   5.065899E-02
   6.400   5.432967E-02   4.768956E-02
   6.500   5.063124E-02   4.438328E-02
   6.600   4.699903E-02   4.113892E-02
   6.700   4.325979E-02   3.780088E-02
   6.800   3.936568E-02   3.432868E-02
   6.900   3.559533E-02   3.097330E-02
   7.000   3.174871E-02   2.755846E-02
   7.100   2.818704E-02   2.440562E-02
   7.200   2.477779E-02   2.139754E-02
   7.300   2.151038E-02   1.852383E-02
   7.400   1.854893E-02   1.592925E-02
   7.500   1.578083E-02   1.351310E-02
   7.600   1.336946E-02   1.141589E-02
   7.700   1.122496E-02   9.558667E-03
   7.800   9.328534E-03   7.923085E-03
   7.900   7.713508E-03   6.535387E-03
   8.000   6.319819E-03   5.343548E-03
   8.100   5.165617E-03   4.359430E-03
   8.200   4.200764E-03   3.539840E-03
   8.300   3.400438E-03   2.862875E-03
   8.400   2.747645E-03   2.312134E-03
   8.500   2.215061E-03   1.864708E-03
   8.600   1.785286E-03   1.503982E-03
