 Z= 110 A= 250  10 beta2= 0.41 nrho= 200
  10.200   2.086787E-04   1.158475E-04
  10.300   1.701973E-04   9.351101E-05
  10.400   1.388212E-04   7.554716E-05
  10.500   1.132421E-04   6.107930E-05
  10.600   9.249023E-05   4.953446E-05
  10.700   7.563073E-05   4.027652E-05
  10.800   6.200294E-05   3.292825E-05
  10.900   5.096238E-05   2.705868E-05
  11.000   4.197007E-05   2.232079E-05
  11.100   3.471264E-05   1.855431E-05
  11.200   2.878757E-05   1.549717E-05
  11.300   2.397003E-05   1.303512E-05
  11.400   2.000361E-05   1.100722E-05
  11.500   1.671949E-05   9.319993E-06
  11.600   1.399507E-05   7.912778E-06
  11.700   1.171904E-05   6.723724E-06
  11.800   9.804434E-06   5.710009E-06
  11.900   8.189198E-06   4.840611E-06
  12.000   6.831415E-06   4.097892E-06
  12.100   5.683530E-06   3.458543E-06
  12.200   4.730334E-06   2.918038E-06
  12.300   3.940156E-06   2.462640E-06
  12.400   3.281974E-06   2.078312E-06
  12.500   2.733738E-06   1.753964E-06
  12.600   2.277081E-06   1.480234E-06
  12.700   1.896707E-06   1.249224E-06
  12.800   1.579872E-06   1.054266E-06
  12.900   1.315963E-06   8.897339E-07
  13.000   1.096138E-06   7.508791E-07
  13.100   9.297836E-07   6.407233E-07
  13.200   7.984137E-07   5.508141E-07
  13.300   6.856052E-07   4.735213E-07
  13.400   5.887355E-07   4.070745E-07
  13.500   5.055526E-07   3.499519E-07
  13.600   4.341227E-07   3.008450E-07
  13.700   3.727851E-07   2.586291E-07
  13.800   3.201140E-07   2.223370E-07
  13.900   2.748849E-07   1.911377E-07
  14.000   2.360462E-07   1.643163E-07
  14.100   2.026950E-07   1.412587E-07
  14.200   1.728543E-07   1.218465E-07
  14.300   1.461177E-07   1.055520E-07
  14.400   1.235167E-07   9.143647E-08
  14.500   1.044115E-07   7.920865E-08
  14.600   8.826149E-08   6.861605E-08
  14.700   7.460949E-08   5.944001E-08
  14.800   6.306913E-08   5.149108E-08
  14.900   5.331380E-08   4.460516E-08
  15.000   4.506739E-08   3.864010E-08
  15.100   3.809651E-08   3.347275E-08
  15.200   3.220387E-08   2.899643E-08
  15.300   2.743060E-08   2.524250E-08
  15.400   2.449241E-08   2.265388E-08
  15.500   2.186894E-08   2.033073E-08
  15.600   1.952648E-08   1.824581E-08
  15.700   1.743493E-08   1.637470E-08
  15.800   1.556741E-08   1.469548E-08
  15.900   1.389993E-08   1.318846E-08
  16.000   1.241106E-08   1.183598E-08
  16.100   1.108166E-08   1.062220E-08
  16.200   9.894668E-09   9.532898E-09
  16.300   8.834814E-09   8.555300E-09
  16.400   7.888485E-09   7.677954E-09
  16.500   6.882153E-09   6.891814E-09
  16.600   5.942292E-09   6.186662E-09
  16.700   5.130783E-09   5.553659E-09
  16.800   4.430098E-09   4.985424E-09
  16.900   3.825101E-09   4.475328E-09
  17.000   3.302726E-09   4.017425E-09
  17.100   2.851690E-09   3.606372E-09
  17.200   2.462249E-09   3.237378E-09
  17.300   2.125992E-09   2.906138E-09
  17.400   1.835656E-09   2.608790E-09
  17.500   1.584969E-09   2.341865E-09
  17.600   1.375604E-09   2.109276E-09
  17.700   1.319766E-09   2.026853E-09
  17.800   1.266194E-09   1.947651E-09
  17.900   1.214797E-09   1.871544E-09
  18.000   1.165486E-09   1.798411E-09
  18.100   1.118177E-09   1.728136E-09
  18.200   1.072789E-09   1.660606E-09
  18.300   1.029242E-09   1.595716E-09
  18.400   9.874635E-10   1.533361E-09
  18.500   9.473806E-10   1.473443E-09
  18.600   9.089248E-10   1.415866E-09
  18.700   8.720300E-10   1.360539E-09
  18.800   8.361861E-10   1.298487E-09
  18.900   7.992743E-10   1.190021E-09
  19.000   7.639919E-10   1.090615E-09
  19.100   7.302670E-10   9.995134E-10
  19.200   6.980307E-10   9.160214E-10
  19.300   6.672175E-10   8.395037E-10
  19.400   6.377645E-10   7.693778E-10
  19.500   6.096116E-10   7.051097E-10
  19.600   5.827015E-10   6.462100E-10
  19.700   5.569793E-10   5.922304E-10
  19.800   5.323925E-10   5.427598E-10
  19.900   5.088911E-10   4.974217E-10
 Z= 110 A= 251  10 beta2= 0.39 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.456472E-02   5.907205E-02
   0.100   7.484785E-02   5.894161E-02
   0.200   7.513206E-02   5.881145E-02
   0.300   7.541735E-02   5.868159E-02
   0.400   7.576594E-02   5.852084E-02
   0.500   7.627872E-02   5.827990E-02
   0.600   7.682466E-02   5.801957E-02
   0.700   7.744997E-02   5.770925E-02
   0.800   7.808037E-02   5.740059E-02
   0.900   7.870604E-02   5.708353E-02
   1.000   7.932890E-02   5.676034E-02
   1.100   7.988047E-02   5.646954E-02
   1.200   8.037661E-02   5.620375E-02
   1.300   8.087584E-02   5.593921E-02
   1.400   8.121186E-02   5.577851E-02
   1.500   8.151752E-02   5.563778E-02
   1.600   8.165485E-02   5.564886E-02
   1.700   8.176131E-02   5.568777E-02
   1.800   8.184978E-02   5.575082E-02
   1.900   8.180667E-02   5.598953E-02
   2.000   8.175594E-02   5.625116E-02
   2.100   8.165236E-02   5.666688E-02
   2.200   8.154890E-02   5.708567E-02
   2.300   8.145520E-02   5.755496E-02
   2.400   8.137596E-02   5.809960E-02
   2.500   8.133393E-02   5.866284E-02
   2.600   8.134604E-02   5.925134E-02
   2.700   8.135815E-02   5.984573E-02
   2.800   8.144844E-02   6.041877E-02
   2.900   8.157536E-02   6.098443E-02
   3.000   8.176783E-02   6.148466E-02
   3.100   8.199048E-02   6.195668E-02
   3.200   8.221373E-02   6.243233E-02
   3.300   8.248270E-02   6.278116E-02
   3.400   8.275429E-02   6.312690E-02
   3.500   8.300189E-02   6.334032E-02
   3.600   8.324939E-02   6.355001E-02
   3.700   8.347656E-02   6.373196E-02
   3.800   8.363889E-02   6.382616E-02
   3.900   8.377050E-02   6.390477E-02
   4.000   8.380867E-02   6.393596E-02
   4.100   8.384686E-02   6.396717E-02
   4.200   8.382207E-02   6.399805E-02
   4.300   8.374037E-02   6.402862E-02
   4.400   8.361741E-02   6.409097E-02
   4.500   8.345805E-02   6.418157E-02
   4.600   8.329898E-02   6.427229E-02
   4.700   8.311479E-02   6.442866E-02
   4.800   8.292485E-02   6.460132E-02
   4.900   8.272911E-02   6.481229E-02
   5.000   8.253239E-02   6.503280E-02
   5.100   8.233371E-02   6.525199E-02
   5.200   8.210970E-02   6.544985E-02
   5.300   8.184908E-02   6.559775E-02
   5.400   8.153155E-02   6.567100E-02
   5.500   8.115817E-02   6.567100E-02
   5.600   8.067122E-02   6.553250E-02
   5.700   8.008696E-02   6.527801E-02
   5.800   7.930592E-02   6.480247E-02
   5.900   7.835480E-02   6.414390E-02
   6.000   7.724505E-02   6.331546E-02
   6.100   7.588204E-02   6.222980E-02
   6.200   7.432939E-02   6.095296E-02
   6.300   7.243034E-02   5.934185E-02
   6.400   7.028246E-02   5.749596E-02
   6.500   6.792514E-02   5.545393E-02
   6.600   6.525293E-02   5.312541E-02
   6.700   6.238785E-02   5.062609E-02
   6.800   5.915999E-02   4.780841E-02
   6.900   5.574406E-02   4.483380E-02
   7.000   5.221236E-02   4.176968E-02
   7.100   4.848816E-02   3.855373E-02
   7.200   4.473374E-02   3.533069E-02
   7.300   4.082159E-02   3.199428E-02
   7.400   3.695363E-02   2.872149E-02
   7.500   3.320351E-02   2.557574E-02
   7.600   2.953482E-02   2.252694E-02
   7.700   2.607311E-02   1.967840E-02
   7.800   2.274371E-02   1.696916E-02
   7.900   1.967737E-02   1.450382E-02
   8.000   1.689752E-02   1.229659E-02
   8.100   1.437455E-02   1.031954E-02
   8.200   1.214528E-02   8.596943E-03
   8.300   1.016201E-02   7.086926E-03
   8.400   8.451545E-03   5.804686E-03
   8.500   6.991376E-03   4.727426E-03
   8.600   5.750628E-03   3.827202E-03
   8.700   4.712104E-03   3.086246E-03
   8.800   3.844112E-03   2.477770E-03
   8.900   3.129958E-03   1.985767E-03
   9.000   2.544565E-03   1.589341E-03
   9.100   2.067160E-03   1.271722E-03
   9.200   1.678990E-03   1.017693E-03
   9.300   1.364600E-03   8.153952E-04
   9.400   1.110016E-03   6.541243E-04
   9.500   9.036690E-04   5.253639E-04
   9.600   7.365351E-04   4.225595E-04
   9.700   6.007485E-04   3.401718E-04
   9.800   4.904440E-04   2.741219E-04
   9.900   4.005158E-04   2.209664E-04
  10.000   3.271319E-04   1.781487E-04
  10.100   2.671679E-04   1.436100E-04
  10.200   2.181613E-04   1.157624E-04
  10.300   1.781084E-04   9.333541E-05
  10.400   1.454309E-04   7.531419E-05
  10.500   1.187739E-04   6.082936E-05
  10.600   9.710245E-05   4.925796E-05
  10.700   7.946497E-05   3.998403E-05
  10.800   6.519924E-05   3.263376E-05
  10.900   5.362838E-05   2.676473E-05
  11.000   4.421770E-05   2.205370E-05
  11.100   3.659160E-05   1.829547E-05
  11.200   3.036256E-05   1.525286E-05
  11.300   2.529829E-05   1.280855E-05
  11.400   2.112723E-05   1.079855E-05
  11.500   1.767764E-05   9.134085E-06
  11.600   1.481041E-05   7.743987E-06
  11.700   1.241308E-05   6.571571E-06
  11.800   1.039773E-05   5.573998E-06
  11.900   8.698528E-06   4.720486E-06
  12.000   7.266805E-06   3.990823E-06
  12.100   6.056669E-06   3.364031E-06
  12.200   5.047907E-06   2.833391E-06
  12.300   4.211458E-06   2.387166E-06
  12.400   3.513611E-06   2.011216E-06
  12.500   2.931398E-06   1.694474E-06
  12.600   2.445660E-06   1.427614E-06
  12.700   2.040409E-06   1.202782E-06
  12.800   1.702309E-06   1.013359E-06
  12.900   1.420233E-06   8.537668E-07
  13.000   1.184897E-06   7.193088E-07
  13.100   1.003320E-06   6.117173E-07
  13.200   8.624608E-07   5.251834E-07
  13.300   7.413775E-07   4.508906E-07
  13.400   6.372934E-07   3.871073E-07
  13.500   5.478220E-07   3.323468E-07
  13.600   4.709117E-07   2.853328E-07
  13.700   4.047991E-07   2.449694E-07
  13.800   3.479682E-07   2.103159E-07
  13.900   2.991159E-07   1.805645E-07
  14.000   2.571222E-07   1.550217E-07
  14.100   2.210241E-07   1.330922E-07
  14.200   1.890714E-07   1.145071E-07
  14.300   1.601619E-07   9.893789E-08
  14.400   1.356728E-07   8.548557E-08
  14.500   1.149281E-07   7.386233E-08
  14.600   9.735530E-08   6.381947E-08
  14.700   8.246943E-08   5.514211E-08
  14.800   6.985966E-08   4.764458E-08
  14.900   5.917794E-08   4.116648E-08
  15.000   5.012949E-08   3.556918E-08
  15.100   4.246457E-08   3.073293E-08
  15.200   3.597163E-08   2.655426E-08
  15.300   3.050800E-08   2.296298E-08
  15.400   2.722467E-08   2.057699E-08
  15.500   2.429470E-08   1.843892E-08
  15.600   2.168005E-08   1.652300E-08
  15.700   1.934680E-08   1.480616E-08
  15.800   1.726466E-08   1.326771E-08
  15.900   1.540661E-08   1.188912E-08
  16.000   1.374852E-08   1.065377E-08
  16.100   1.226888E-08   9.546776E-09
  16.200   1.094848E-08   8.554808E-09
  16.300   9.770180E-09   7.665912E-09
  16.400   8.718694E-09   6.869377E-09
  16.500   7.637443E-09   6.147182E-09
  16.600   6.596601E-09   5.495184E-09
  16.700   5.697606E-09   4.912341E-09
  16.800   4.921128E-09   4.391316E-09
  16.900   4.250469E-09   3.925554E-09
  17.000   3.671209E-09   3.509192E-09
  17.100   3.170891E-09   3.136991E-09
  17.200   2.738757E-09   2.804268E-09
  17.300   2.365515E-09   2.506835E-09
  17.400   2.043139E-09   2.240949E-09
  17.500   1.764697E-09   2.003264E-09
  17.600   1.524202E-09   1.790789E-09
  17.700   1.444947E-09   1.714936E-09
  17.800   1.381254E-09   1.652426E-09
  17.900   1.320368E-09   1.592194E-09
  18.000   1.262166E-09   1.534158E-09
  18.100   1.206529E-09   1.478237E-09
  18.200   1.153345E-09   1.424354E-09
  18.300   1.102506E-09   1.372436E-09
  18.400   1.053907E-09   1.322410E-09
  18.500   1.007451E-09   1.274208E-09
  18.600   9.630424E-10   1.227762E-09
  18.700   9.205914E-10   1.183010E-09
  18.800   8.799964E-10   1.139583E-09
  18.900   8.383075E-10   1.040738E-09
  19.000   7.985936E-10   9.504667E-10
  19.100   7.607611E-10   8.680253E-10
  19.200   7.247209E-10   7.927347E-10
  19.300   6.903880E-10   7.239746E-10
  19.400   6.576816E-10   6.611787E-10
  19.500   6.265247E-10   6.038295E-10
  19.600   5.968437E-10   5.514547E-10
  19.700   5.685689E-10   5.036227E-10
  19.800   5.416336E-10   4.599396E-10
  19.900   5.159743E-10   4.200454E-10
 Z= 110 A= 252  10 beta2= 0.38 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.436143E-02   5.875982E-02
   0.100   7.464729E-02   5.862887E-02
   0.200   7.493424E-02   5.849821E-02
   0.300   7.522231E-02   5.836785E-02
   0.400   7.557242E-02   5.820739E-02
   0.500   7.608913E-02   5.796592E-02
   0.600   7.663836E-02   5.770574E-02
   0.700   7.726935E-02   5.739449E-02
   0.800   7.790552E-02   5.708492E-02
   0.900   7.853710E-02   5.676743E-02
   1.000   7.916544E-02   5.644369E-02
   1.100   7.972512E-02   5.615166E-02
   1.200   8.022686E-02   5.588596E-02
   1.300   8.073175E-02   5.562152E-02
   1.400   8.107751E-02   5.545894E-02
   1.500   8.138804E-02   5.531948E-02
   1.600   8.153559E-02   5.532781E-02
   1.700   8.164662E-02   5.536921E-02
   1.800   8.174456E-02   5.542822E-02
   1.900   8.170554E-02   5.566991E-02
   2.000   8.166131E-02   5.592820E-02
   2.100   8.156375E-02   5.634789E-02
   2.200   8.146630E-02   5.677072E-02
   2.300   8.137822E-02   5.723894E-02
   2.400   8.130664E-02   5.778676E-02
   2.500   8.126869E-02   5.835152E-02
   2.600   8.128993E-02   5.894264E-02
   2.700   8.131118E-02   5.953975E-02
   2.800   8.140557E-02   6.011709E-02
   2.900   8.154274E-02   6.068486E-02
   3.000   8.174095E-02   6.119186E-02
   3.100   8.197486E-02   6.166464E-02
   3.200   8.220945E-02   6.214107E-02
   3.300   8.248671E-02   6.249825E-02
   3.400   8.276938E-02   6.284437E-02
   3.500   8.302831E-02   6.306592E-02
   3.600   8.328549E-02   6.327511E-02
   3.700   8.352798E-02   6.346454E-02
   3.800   8.369854E-02   6.355859E-02
   3.900   8.384721E-02   6.364180E-02
   4.000   8.389335E-02   6.367439E-02
   4.100   8.393951E-02   6.370699E-02
   4.200   8.393179E-02   6.374002E-02
   4.300   8.385771E-02   6.377355E-02
   4.400   8.374928E-02   6.383495E-02
   4.500   8.359898E-02   6.393049E-02
   4.600   8.344896E-02   6.402618E-02
   4.700   8.327781E-02   6.418178E-02
   4.800   8.309872E-02   6.436107E-02
   4.900   8.291563E-02   6.457550E-02
   5.000   8.273125E-02   6.480404E-02
   5.100   8.254729E-02   6.503339E-02
   5.200   8.233728E-02   6.523835E-02
   5.300   8.209525E-02   6.539968E-02
   5.400   8.180067E-02   6.549222E-02
   5.500   8.143927E-02   6.549869E-02
   5.600   8.097867E-02   6.538376E-02
   5.700   8.041889E-02   6.514958E-02
   5.800   7.966321E-02   6.469597E-02
   5.900   7.874822E-02   6.407106E-02
   6.000   7.764278E-02   6.324463E-02
   6.100   7.631653E-02   6.219460E-02
   6.200   7.479069E-02   6.094421E-02
   6.300   7.291811E-02   5.935974E-02
   6.400   7.081135E-02   5.755487E-02
   6.500   6.844141E-02   5.550574E-02
   6.600   6.580548E-02   5.321586E-02
   6.700   6.295989E-02   5.074037E-02
   6.800   5.974653E-02   4.794338E-02
   6.900   5.635876E-02   4.500238E-02
   7.000   5.279164E-02   4.191743E-02
   7.100   4.908419E-02   3.872781E-02
   7.200   4.532528E-02   3.551301E-02
   7.300   4.140134E-02   3.218017E-02
   7.400   3.752965E-02   2.891892E-02
   7.500   3.372289E-02   2.574097E-02
   7.600   3.003857E-02   2.269493E-02
   7.700   2.654596E-02   1.983736E-02
   7.800   2.318142E-02   1.711576E-02
   7.900   2.008407E-02   1.464141E-02
   8.000   1.724712E-02   1.240486E-02
   8.100   1.469144E-02   1.041767E-02
   8.200   1.242560E-02   8.681414E-03
   8.300   1.040617E-02   7.157690E-03
   8.400   8.663591E-03   5.863946E-03
   8.500   7.167151E-03   4.771544E-03
   8.600   5.900331E-03   3.862761E-03
   8.700   4.838024E-03   3.114029E-03
   8.800   3.948989E-03   2.498937E-03
   8.900   3.216592E-03   2.001410E-03
   9.000   2.615100E-03   1.600284E-03
   9.100   2.124982E-03   1.279330E-03
   9.200   1.726444E-03   1.022925E-03
   9.300   1.403433E-03   8.188524E-04
   9.400   1.141586E-03   6.561556E-04
   9.500   9.294293E-04   5.264581E-04
   9.600   7.575231E-04   4.229591E-04
   9.700   6.179999E-04   3.401880E-04
   9.800   5.046323E-04   2.738867E-04
   9.900   4.121413E-04   2.205434E-04
  10.000   3.366462E-04   1.775981E-04
  10.100   2.749721E-04   1.430075E-04
  10.200   2.245902E-04   1.151563E-04
  10.300   1.833993E-04   9.274235E-05
  10.400   1.497587E-04   7.472962E-05
  10.500   1.223065E-04   6.027221E-05
  10.600   9.998179E-05   4.872454E-05
  10.700   8.182340E-05   3.948950E-05
  10.800   6.712901E-05   3.217637E-05
  10.900   5.519241E-05   2.633374E-05
  11.000   4.550233E-05   2.166901E-05
  11.100   3.763630E-05   1.793832E-05
  11.200   3.122330E-05   1.493090E-05
  11.300   2.601028E-05   1.251920E-05
  11.400   2.171405E-05   1.053662E-05
  11.500   1.816671E-05   8.901637E-06
  11.600   1.521648E-05   7.535618E-06
  11.700   1.275469E-05   6.387353E-06
  11.800   1.068538E-05   5.411294E-06
  11.900   8.940309E-06   4.577069E-06
  12.000   7.467526E-06   3.862887E-06
  12.100   6.224850E-06   3.251560E-06
  12.200   5.186082E-06   2.733575E-06
  12.300   4.325280E-06   2.299055E-06
  12.400   3.607357E-06   1.933604E-06
  12.500   3.008596E-06   1.626244E-06
  12.600   2.509220E-06   1.367742E-06
  12.700   2.092732E-06   1.150330E-06
  12.800   1.745374E-06   9.674769E-07
  12.900   1.455672E-06   8.136898E-07
  13.000   1.214055E-06   6.843482E-07
  13.100   1.024566E-06   5.799611E-07
  13.200   8.804289E-07   4.972563E-07
  13.300   7.565690E-07   4.263456E-07
  13.400   6.501340E-07   3.655470E-07
  13.500   5.586723E-07   3.134185E-07
  13.600   4.800776E-07   2.687238E-07
  13.700   4.125397E-07   2.304027E-07
  13.800   3.545031E-07   1.975464E-07
  13.900   3.046311E-07   1.693755E-07
  14.000   2.617752E-07   1.452219E-07
  14.100   2.249484E-07   1.245126E-07
  14.200   1.926395E-07   1.068806E-07
  14.300   1.630195E-07   9.211507E-08
  14.400   1.379538E-07   7.938937E-08
  14.500   1.167422E-07   6.842173E-08
  14.600   9.879204E-08   5.896927E-08
  14.700   8.360190E-08   5.082266E-08
  14.800   7.074737E-08   4.380151E-08
  14.900   5.986934E-08   3.775034E-08
  15.000   5.066391E-08   3.253513E-08
  15.100   4.287388E-08   2.804040E-08
  15.200   3.628165E-08   2.416662E-08
  15.300   3.070303E-08   2.082800E-08
  15.400   2.726151E-08   1.857412E-08
  15.500   2.432535E-08   1.662223E-08
  15.600   2.170543E-08   1.487546E-08
  15.700   1.936767E-08   1.331225E-08
  15.800   1.728171E-08   1.191331E-08
  15.900   1.542041E-08   1.066139E-08
  16.000   1.375957E-08   9.541019E-09
  16.100   1.227762E-08   8.538388E-09
  16.200   1.095528E-08   7.641119E-09
  16.300   9.775355E-09   6.838141E-09
  16.400   8.722514E-09   6.119546E-09
  16.500   7.667082E-09   5.464934E-09
  16.600   6.613829E-09   4.867483E-09
  16.700   5.705265E-09   4.335348E-09
  16.800   4.921513E-09   3.861389E-09
  16.900   4.245428E-09   3.439244E-09
  17.000   3.662219E-09   3.063251E-09
  17.100   3.159127E-09   2.728363E-09
  17.200   2.725147E-09   2.430086E-09
  17.300   2.350784E-09   2.164418E-09
  17.400   2.027849E-09   1.927794E-09
  17.500   1.749276E-09   1.717039E-09
  17.600   1.508972E-09   1.529325E-09
  17.700   1.413176E-09   1.453082E-09
  17.800   1.353409E-09   1.405151E-09
  17.900   1.296170E-09   1.358802E-09
  18.000   1.241351E-09   1.313981E-09
  18.100   1.188851E-09   1.270639E-09
  18.200   1.138571E-09   1.228726E-09
  18.300   1.090418E-09   1.188196E-09
  18.400   1.044301E-09   1.149003E-09
  18.500   1.000135E-09   1.111103E-09
  18.600   9.578361E-10   1.074453E-09
  18.700   9.173265E-10   1.039012E-09
  18.800   8.785302E-10   1.004739E-09
  18.900   8.377210E-10   9.229453E-10
  19.000   7.982651E-10   8.410398E-10
  19.100   7.606675E-10   7.664029E-10
  19.200   7.248408E-10   6.983896E-10
  19.300   6.907014E-10   6.364120E-10
  19.400   6.581700E-10   5.799345E-10
  19.500   6.271708E-10   5.284690E-10
  19.600   5.976316E-10   4.815707E-10
  19.700   5.694837E-10   4.388344E-10
  19.800   5.426615E-10   3.998907E-10
  19.900   5.171026E-10   3.644029E-10
 Z= 110 A= 253  10 beta2= 0.36 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.418919E-02   5.842147E-02
   0.100   7.447272E-02   5.829113E-02
   0.200   7.475733E-02   5.816108E-02
   0.300   7.504303E-02   5.803132E-02
   0.400   7.538896E-02   5.787244E-02
   0.500   7.590238E-02   5.763233E-02
   0.600   7.644711E-02   5.737430E-02
   0.700   7.707434E-02   5.706470E-02
   0.800   7.770672E-02   5.675677E-02
   0.900   7.833579E-02   5.644144E-02
   1.000   7.896229E-02   5.611981E-02
   1.100   7.952399E-02   5.582958E-02
   1.200   8.002637E-02   5.556737E-02
   1.300   8.053194E-02   5.530639E-02
   1.400   8.088724E-02   5.514471E-02
   1.500   8.120344E-02   5.500938E-02
   1.600   8.136547E-02   5.501765E-02
   1.700   8.148648E-02   5.506409E-02
   1.800   8.159965E-02   5.512159E-02
   1.900   8.157517E-02   5.536935E-02
   2.000   8.154777E-02   5.562750E-02
   2.100   8.146800E-02   5.605372E-02
   2.200   8.138831E-02   5.648320E-02
   2.300   8.131762E-02   5.695328E-02
   2.400   8.126614E-02   5.750801E-02
   2.500   8.124444E-02   5.807808E-02
   2.600   8.128684E-02   5.867542E-02
   2.700   8.132926E-02   5.927891E-02
   2.800   8.143816E-02   5.986362E-02
   2.900   8.159503E-02   6.043598E-02
   3.000   8.180663E-02   6.095264E-02
   3.100   8.205833E-02   6.142908E-02
   3.200   8.231080E-02   6.190924E-02
   3.300   8.260019E-02   6.227682E-02
   3.400   8.289726E-02   6.262514E-02
   3.500   8.316902E-02   6.285612E-02
   3.600   8.343674E-02   6.306569E-02
   3.700   8.369529E-02   6.326322E-02
   3.800   8.387247E-02   6.335707E-02
   3.900   8.403620E-02   6.344440E-02
   4.000   8.408481E-02   6.347620E-02
   4.100   8.413344E-02   6.350801E-02
   4.200   8.413667E-02   6.354007E-02
   4.300   8.406323E-02   6.357254E-02
   4.400   8.396072E-02   6.362839E-02
   4.500   8.380879E-02   6.372415E-02
   4.600   8.365713E-02   6.382006E-02
   4.700   8.348651E-02   6.396946E-02
   4.800   8.330524E-02   6.414985E-02
   4.900   8.312073E-02   6.436103E-02
   5.000   8.293453E-02   6.459046E-02
   5.100   8.274874E-02   6.482070E-02
   5.200   8.253982E-02   6.502994E-02
   5.300   8.230148E-02   6.519948E-02
