 Z=  69 A= 136  Tm beta2= 0.40 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   4.000   7.566835E-02   7.310820E-02
   4.100   7.518265E-02   7.282032E-02
   4.200   7.464296E-02   7.248303E-02
   4.300   7.393145E-02   7.199168E-02
   4.400   7.310628E-02   7.139607E-02
   4.500   7.204341E-02   7.058277E-02
   4.600   7.077018E-02   6.957312E-02
   4.700   6.937606E-02   6.844681E-02
   4.800   6.765884E-02   6.701500E-02
   4.900   6.577148E-02   6.541514E-02
   5.000   6.354030E-02   6.348274E-02
   5.100   6.105690E-02   6.129844E-02
   5.200   5.846861E-02   5.899795E-02
   5.300   5.553140E-02   5.634794E-02
   5.400   5.247993E-02   5.356516E-02
   5.500   4.913465E-02   5.047691E-02
   5.600   4.564570E-02   4.722180E-02
   5.700   4.219307E-02   4.397067E-02
   5.800   3.855815E-02   4.051061E-02
   5.900   3.500171E-02   3.709214E-02
   6.000   3.138791E-02   3.358194E-02
   6.100   2.787849E-02   3.013781E-02
   6.200   2.461046E-02   2.689581E-02
   6.300   2.144043E-02   2.371736E-02
   6.400   1.854143E-02   2.077630E-02
   6.500   1.583131E-02   1.799413E-02
   6.600   1.339234E-02   1.545820E-02
   6.700   1.126274E-02   1.321161E-02
   6.800   9.363497E-03   1.118057E-02
   6.900   7.738518E-03   9.414548E-03
   7.000   6.334970E-03   7.866066E-03
   7.100   5.155016E-03   6.541516E-03
   7.200   4.179266E-03   5.424255E-03
   7.300   3.367309E-03   4.477740E-03
   7.400   2.706056E-03   3.690292E-03
   7.500   2.166885E-03   3.035218E-03
   7.600   1.732336E-03   2.495302E-03
   7.700   1.383618E-03   2.051003E-03
   7.800   1.103966E-03   1.686740E-03
   7.900   8.808064E-04   1.388319E-03
   8.000   7.026992E-04   1.144356E-03
   8.100   5.606240E-04   9.445186E-04
   8.200   4.472909E-04   7.802590E-04
   8.300   3.568084E-04   6.456855E-04
   8.400   2.846682E-04   5.349729E-04
   8.500   2.270735E-04   4.440540E-04
   8.600   1.811253E-04   3.691153E-04
   8.700   1.444751E-04   3.071081E-04
   8.800   1.152721E-04   2.560580E-04
   8.900   9.203453E-05   2.138395E-04
   9.000   7.357974E-05   1.790664E-04
   9.100   5.891686E-05   1.503065E-04
   9.200   4.722491E-05   1.263625E-04
   9.300   3.794955E-05   1.066125E-04
   9.400   3.055038E-05   9.015850E-05
   9.500   2.465758E-05   7.653607E-05
   9.600   1.993063E-05   6.515862E-05
   9.700   1.612454E-05   5.557431E-05
