 Z= 109 A= 248  Mt beta2= 0.39 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  15.500   2.410968E-08   1.811649E-08
  15.600   2.150933E-08   1.622557E-08
  15.700   1.918944E-08   1.453201E-08
  15.800   1.711976E-08   1.301522E-08
  15.900   1.527331E-08   1.165675E-08
  16.000   1.362601E-08   1.044006E-08
  16.100   1.215637E-08   9.350373E-09
  16.200   1.084525E-08   8.374420E-09
  16.300   9.675531E-09   7.500333E-09
  16.400   8.631976E-09   6.717479E-09
  16.500   7.506304E-09   6.012670E-09
  16.600   6.489851E-09   5.381072E-09
  16.700   5.611039E-09   4.815819E-09
  16.800   4.851231E-09   4.309943E-09
  16.900   4.194310E-09   3.857207E-09
  17.000   3.626345E-09   3.452028E-09
  17.100   3.135290E-09   3.089411E-09
  17.200   2.710730E-09   2.764885E-09
  17.300   2.343662E-09   2.474449E-09
  17.400   2.026299E-09   2.214521E-09
  17.500   1.751911E-09   1.981898E-09
  17.600   1.541955E-09   1.796932E-09
  17.700   1.471311E-09   1.727997E-09
  17.800   1.403903E-09   1.661707E-09
  17.900   1.339584E-09   1.597960E-09
  18.000   1.278211E-09   1.536658E-09
  18.100   1.219650E-09   1.477708E-09
  18.200   1.163772E-09   1.421019E-09
  18.300   1.110454E-09   1.366505E-09
  18.400   1.059579E-09   1.314083E-09
  18.500   1.011035E-09   1.263671E-09
  18.600   9.647146E-10   1.215194E-09
  18.700   9.205164E-10   1.168576E-09
  18.800   8.777468E-10   1.107854E-09
  18.900   8.355324E-10   1.013243E-09
  19.000   7.953483E-10   9.267111E-10
  19.100   7.570968E-10   8.475694E-10
  19.200   7.206850E-10   7.751864E-10
  19.300   6.860243E-10   7.089850E-10
  19.400   6.530306E-10   6.484372E-10
  19.500   6.216238E-10   5.930603E-10
  19.600   5.917274E-10   5.424126E-10
  19.700   5.632688E-10   4.960902E-10
  19.800   5.361789E-10   4.537238E-10
  19.900   5.103919E-10   4.149755E-10
 Z= 109 A= 250  Mt beta2= 0.37 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.494312E-02   5.919524E-02
   0.100   7.522642E-02   5.906234E-02
   0.200   7.551079E-02   5.892973E-02
   0.300   7.579624E-02   5.879742E-02
   0.400   7.614617E-02   5.863290E-02
   0.500   7.665776E-02   5.838758E-02
   0.600   7.720381E-02   5.812154E-02
   0.700   7.782888E-02   5.780475E-02
   0.800   7.845902E-02   5.748969E-02
   0.900   7.908411E-02   5.716513E-02
   1.000   7.970660E-02   5.683413E-02
   1.100   8.025495E-02   5.653665E-02
   1.200   8.075043E-02   5.626312E-02
   1.300   8.124896E-02   5.599092E-02
   1.400   8.157942E-02   5.582579E-02
   1.500   8.188421E-02   5.567777E-02
   1.600   8.201468E-02   5.568659E-02
   1.700   8.211983E-02   5.571821E-02
   1.800   8.220208E-02   5.578023E-02
   1.900   8.215684E-02   5.601106E-02
   2.000   8.210177E-02   5.627120E-02
   2.100   8.199616E-02   5.667907E-02
   2.200   8.189069E-02   5.708988E-02
   2.300   8.179548E-02   5.755549E-02
   2.400   8.171311E-02   5.809063E-02
   2.500   8.167215E-02   5.864532E-02
   2.600   8.168134E-02   5.922314E-02
   2.700   8.169054E-02   5.980665E-02
   2.800   8.178304E-02   6.036666E-02
   2.900   8.190619E-02   6.092112E-02
   3.000   8.210070E-02   6.140429E-02
   3.100   8.232048E-02   6.186454E-02
   3.200   8.254188E-02   6.232531E-02
   3.300   8.280968E-02   6.265847E-02
   3.400   8.307755E-02   6.298916E-02
   3.500   8.332144E-02   6.318827E-02
   3.600   8.356605E-02   6.338801E-02
   3.700   8.378462E-02   6.355285E-02
   3.800   8.394436E-02   6.363926E-02
   3.900   8.406432E-02   6.370626E-02
   4.000   8.409961E-02   6.373199E-02
   4.100   8.413491E-02   6.375773E-02
   4.200   8.409704E-02   6.378399E-02
   4.300   8.401066E-02   6.381061E-02
   4.400   8.387610E-02   6.387430E-02
   4.500   8.371094E-02   6.396177E-02
   4.600   8.354611E-02   6.404936E-02
   4.700   8.335201E-02   6.421039E-02
   4.800   8.315470E-02   6.438092E-02
   4.900   8.294962E-02   6.459263E-02
   5.000   8.274413E-02   6.480957E-02
   5.100   8.253425E-02   6.502292E-02
   5.200   8.230268E-02   6.521727E-02
   5.300   8.202971E-02   6.535430E-02
   5.400   8.169541E-02   6.541017E-02
   5.500   8.131551E-02   6.540487E-02
   5.600   8.080887E-02   6.524368E-02
   5.700   8.020788E-02   6.496868E-02
   5.800   7.940844E-02   6.447050E-02
   5.900   7.842671E-02   6.377658E-02
   6.000   7.731664E-02   6.294342E-02
   6.100   7.592038E-02   6.181961E-02
   6.200   7.434538E-02   6.051682E-02
   6.300   7.242338E-02   5.887939E-02
   6.400   7.023401E-02   5.699167E-02
   6.500   6.788411E-02   5.495499E-02
   6.600   6.517045E-02   5.258854E-02
   6.700   6.228424E-02   5.007172E-02
   6.800   5.903659E-02   4.723978E-02
   6.900   5.558163E-02   4.423727E-02
   7.000   5.206975E-02   4.119975E-02
   7.100   4.831385E-02   3.796918E-02
   7.200   4.455269E-02   3.475550E-02
   7.300   4.063674E-02   3.143461E-02
   7.400   3.675107E-02   2.816833E-02
   7.500   3.303148E-02   2.507124E-02
   7.600   2.935508E-02   2.204112E-02
   7.700   2.590506E-02   1.922916E-02
   7.800   2.259014E-02   1.655909E-02
   7.900   1.952946E-02   1.412563E-02
   8.000   1.677815E-02   1.196790E-02
   8.100   1.426426E-02   1.002500E-02
   8.200   1.205240E-02   8.341349E-03
   8.300   1.008518E-02   6.867454E-03
   8.400   8.385955E-03   5.615713E-03
   8.500   6.941921E-03   4.570146E-03
   8.600   5.710474E-03   3.694582E-03
   8.700   4.682203E-03   2.976663E-03
   8.800   3.822367E-03   2.387655E-03
   8.900   3.114133E-03   1.911654E-03
   9.000   2.533773E-03   1.528754E-03
   9.100   2.060168E-03   1.222246E-03
   9.200   1.675275E-03   9.775576E-04
   9.300   1.363065E-03   7.827642E-04
   9.400   1.109932E-03   6.275208E-04
   9.500   9.043896E-04   5.035132E-04
   9.600   7.379459E-04   4.047032E-04
   9.700   6.026358E-04   3.255935E-04
   9.800   4.925331E-04   2.621630E-04
   9.900   4.026264E-04   2.111150E-04
  10.000   3.291706E-04   1.700164E-04
  10.100   2.691193E-04   1.369151E-04
  10.200   2.200338E-04   1.102626E-04
  10.300   1.798613E-04   8.881715E-05
  10.400   1.470452E-04   7.160098E-05
  10.500   1.202375E-04   5.776124E-05
  10.600   9.843610E-05   4.673724E-05
  10.700   8.068540E-05   3.791549E-05
  10.800   6.630612E-05   3.092676E-05
  10.900   5.462857E-05   2.535562E-05
  11.000   4.509471E-05   2.086802E-05
  11.100   3.738013E-05   1.730755E-05
  11.200   3.106778E-05   1.442207E-05
  11.300   2.592319E-05   1.210305E-05
  11.400   2.167797E-05   1.019624E-05
  11.500   1.815550E-05   8.612563E-06
  11.600   1.522803E-05   7.293724E-06
  11.700   1.277875E-05   6.181398E-06
  11.800   1.071585E-05   5.234647E-06
  11.900   8.972925E-06   4.424385E-06
  12.000   7.505078E-06   3.733889E-06
  12.100   6.262499E-06   3.140880E-06
  12.200   5.229243E-06   2.641657E-06
  12.300   4.370908E-06   2.222752E-06
  12.400   3.653461E-06   1.870276E-06
  12.500   3.053777E-06   1.573695E-06
  12.600   2.552526E-06   1.324144E-06
  12.700   2.133550E-06   1.114166E-06
  12.800   1.783347E-06   9.374854E-07
  12.900   1.490626E-06   7.888224E-07
  13.000   1.245952E-06   6.637338E-07
  13.100   1.059598E-06   5.647559E-07
  13.200   9.116936E-07   4.841757E-07
  13.300   7.844341E-07   4.150928E-07
  13.400   6.749383E-07   3.558667E-07
  13.500   5.807265E-07   3.050912E-07
  13.600   4.996653E-07   2.615603E-07
  13.700   4.299191E-07   2.242405E-07
  13.800   3.699085E-07   1.922456E-07
  13.900   3.182746E-07   1.648157E-07
  14.000   2.738479E-07   1.412995E-07
  14.100   2.356227E-07   1.211387E-07
  14.200   2.015795E-07   1.041316E-07
  14.300   1.712119E-07   8.981492E-08
  14.400   1.454191E-07   7.746662E-08
  14.500   1.235120E-07   6.681605E-08
  14.600   1.049052E-07   5.762977E-08
  14.700   8.910140E-08   4.970649E-08
  14.800   7.567845E-08   4.287254E-08
  14.900   6.427763E-08   3.697816E-08
  15.000   5.459433E-08   3.189418E-08
  15.100   4.636980E-08   2.750918E-08
  15.200   3.938427E-08   2.372705E-08
  15.300   3.367851E-08   2.056850E-08
  15.400   3.003366E-08   1.839688E-08
  15.500   2.678328E-08   1.645453E-08
  15.600   2.388467E-08   1.471725E-08
  15.700   2.129976E-08   1.316340E-08
  15.800   1.899461E-08   1.177361E-08
  15.900   1.693892E-08   1.053055E-08
  16.000   1.510571E-08   9.418729E-09
  16.100   1.347090E-08   8.424297E-09
  16.200   1.201302E-08   7.534858E-09
  16.300   1.071292E-08   6.739325E-09
  16.400   9.553515E-09   6.027786E-09
  16.500   8.342074E-09   5.379075E-09
  16.600   7.215984E-09   4.795280E-09
  16.700   6.241905E-09   4.274844E-09
  16.800   5.399315E-09   3.810892E-09
  16.900   4.670466E-09   3.397293E-09
  17.000   4.040004E-09   3.028582E-09
  17.100   3.494647E-09   2.699888E-09
  17.200   3.022908E-09   2.406867E-09
  17.300   2.614848E-09   2.145648E-09
  17.400   2.261872E-09   1.912779E-09
  17.500   1.956544E-09   1.705184E-09
  17.600   1.700290E-09   1.526009E-09
  17.700   1.616601E-09   1.472120E-09
  17.800   1.537032E-09   1.420134E-09
  17.900   1.461379E-09   1.369983E-09
  18.000   1.389450E-09   1.321604E-09
  18.100   1.321062E-09   1.274933E-09
  18.200   1.256039E-09   1.229910E-09
  18.300   1.194217E-09   1.186477E-09
  18.400   1.135437E-09   1.144578E-09
  18.500   1.079551E-09   1.104159E-09
  18.600   1.026415E-09   1.065167E-09
  18.700   9.758953E-10   1.027552E-09
  18.800   9.275542E-10   9.833215E-10
  18.900   8.798723E-10   8.970505E-10
  19.000   8.346415E-10   8.183485E-10
  19.100   7.917359E-10   7.465513E-10
  19.200   7.510358E-10   6.810531E-10
  19.300   7.124281E-10   6.213014E-10
  19.400   6.758049E-10   5.667920E-10
  19.500   6.410645E-10   5.170649E-10
  19.600   6.081099E-10   4.717006E-10
  19.700   5.768493E-10   4.303163E-10
  19.800   5.471958E-10   3.925628E-10
  19.900   5.190666E-10   3.581216E-10
 Z= 109 A= 251  Mt beta2= 0.35 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.474355E-02   5.888464E-02
   0.100   7.502886E-02   5.875160E-02
   0.200   7.531526E-02   5.861887E-02
   0.300   7.560275E-02   5.848643E-02
   0.400   7.595404E-02   5.832244E-02
   0.500   7.647083E-02   5.807647E-02
   0.600   7.702110E-02   5.781056E-02
   0.700   7.765150E-02   5.749322E-02
   0.800   7.828707E-02   5.717763E-02
   0.900   7.891782E-02   5.685301E-02
   1.000   7.954569E-02   5.652180E-02
   1.100   8.010213E-02   5.622356E-02
   1.200   8.060303E-02   5.595078E-02
   1.300   8.110706E-02   5.567931E-02
   1.400   8.144722E-02   5.551202E-02
   1.500   8.175690E-02   5.536479E-02
   1.600   8.189763E-02   5.537083E-02
   1.700   8.200740E-02   5.540497E-02
   1.800   8.209915E-02   5.546327E-02
   1.900   8.205904E-02   5.569749E-02
   2.000   8.201140E-02   5.595457E-02
   2.100   8.191150E-02   5.636555E-02
   2.200   8.181171E-02   5.677956E-02
   2.300   8.172222E-02   5.724358E-02
   2.400   8.164799E-02   5.778220E-02
   2.500   8.161162E-02   5.833876E-02
   2.600   8.163033E-02   5.891960E-02
   2.700   8.164905E-02   5.950623E-02
   2.800   8.174622E-02   6.007034E-02
   2.900   8.188017E-02   6.062644E-02
   3.000   8.208086E-02   6.111619E-02
   3.100   8.231230E-02   6.157723E-02
   3.200   8.254440E-02   6.204175E-02
   3.300   8.282140E-02   6.238008E-02
   3.400   8.310104E-02   6.271524E-02
   3.500   8.335596E-02   6.291807E-02
   3.600   8.361081E-02   6.311711E-02
   3.700   8.384490E-02   6.328901E-02
   3.800   8.401274E-02   6.337520E-02
   3.900   8.414960E-02   6.344667E-02
   4.000   8.419217E-02   6.347346E-02
   4.100   8.423476E-02   6.350026E-02
   4.200   8.421339E-02   6.352826E-02
   4.300   8.413420E-02   6.355733E-02
   4.400   8.401358E-02   6.361993E-02
   4.500   8.385642E-02   6.371237E-02
   4.600   8.369956E-02   6.380493E-02
   4.700   8.351822E-02   6.396487E-02
   4.800   8.333128E-02   6.414155E-02
