 Z=  65 A= 128  Tb beta2= 0.44 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   4.300   7.293073E-02   7.121459E-02
   4.400   7.183622E-02   7.034937E-02
   4.500   7.049287E-02   6.925392E-02
   4.600   6.906744E-02   6.807784E-02
   4.700   6.728850E-02   6.657132E-02
   4.800   6.532267E-02   6.488288E-02
   4.900   6.304527E-02   6.289360E-02
   5.000   6.047030E-02   6.061251E-02
   5.100   5.785318E-02   5.827554E-02
   5.200   5.485780E-02   5.556352E-02
   5.300   5.173823E-02   5.271223E-02
   5.400   4.837294E-02   4.960150E-02
   5.500   4.482388E-02   4.628798E-02
   5.600   4.138453E-02   4.305015E-02
   5.700   3.774117E-02   3.958321E-02
   5.800   3.417476E-02   3.615743E-02
   5.900   3.059773E-02   3.268675E-02
   6.000   2.709819E-02   2.925648E-02
   6.100   2.389386E-02   2.608167E-02
   6.200   2.077180E-02   2.295550E-02
   6.300   1.791979E-02   2.006621E-02
   6.400   1.528039E-02   1.736027E-02
   6.500   1.289527E-02   1.488435E-02
   6.600   1.083777E-02   1.271607E-02
   6.700   8.997659E-03   1.074998E-02
   6.800   7.426175E-03   9.044237E-03
   6.900   6.077015E-03   7.556747E-03
   7.000   4.940856E-03   6.282549E-03
   7.100   4.007051E-03   5.213252E-03
   7.200   3.228826E-03   4.306266E-03
   7.300   2.595729E-03   3.552466E-03
   7.400   2.080271E-03   2.925841E-03
   7.500   1.664519E-03   2.409238E-03
   7.600   1.331075E-03   1.983781E-03
   7.700   1.063354E-03   1.634632E-03
   7.800   8.496066E-04   1.348396E-03
   7.900   6.787643E-04   1.113864E-03
   8.000   5.423266E-04   9.216239E-04
   8.100   4.333261E-04   7.630576E-04
   8.200   3.462058E-04   6.330438E-04
   8.300   2.766670E-04   5.259209E-04
   8.400   2.210793E-04   4.376846E-04
   8.500   1.766854E-04   3.649149E-04
   8.600   1.412168E-04   3.044679E-04
   8.700   1.129326E-04   2.546572E-04
   8.800   9.039974E-05   2.133857E-04
   8.900   7.246566E-05   1.792698E-04
   9.000   5.820218E-05   1.510326E-04
   9.100   4.678321E-05   1.273877E-04
   9.200   3.770794E-05   1.078465E-04
   9.300   3.044952E-05   9.152950E-05
   9.400   2.464089E-05   7.793721E-05
   9.500   1.996924E-05   6.656808E-05
   9.600   1.619172E-05   5.692665E-05
   9.700   1.313735E-05   4.885506E-05
   9.800   1.065936E-05   4.201529E-05
   9.900   8.642370E-06   3.622886E-05
  10.000   6.999438E-06   3.131156E-05
  10.100   5.666364E-06   2.708620E-05
  10.200   4.580873E-06   2.349060E-05
  10.300   3.703354E-06   2.040267E-05
  10.400   2.994509E-06   1.775181E-05
  10.500   2.425296E-06   1.546661E-05
  10.600   1.965730E-06   1.348254E-05
  10.700   1.599170E-06   1.176520E-05
  10.800   1.313388E-06   1.024237E-05
  10.900   1.082173E-06   8.909474E-06
  11.000   8.916626E-07   7.750036E-06
  11.100   7.346904E-07   6.741482E-06
  11.200   6.053523E-07   5.864177E-06
  11.300   4.987834E-07   5.101040E-06
