 Z= 105 A= 232  Db beta2= 0.00 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  19.200   5.590398E-10   7.025802E-10
  19.300   5.393152E-10   6.290172E-10
  19.400   5.202866E-10   5.631566E-10
  19.500   5.019293E-10   5.041919E-10
  19.600   4.842197E-10   4.514010E-10
  19.700   4.671350E-10   4.041375E-10
  19.800   4.794516E-10   3.965166E-10
  19.900   5.282935E-10   4.320778E-10
 Z= 105 A= 234  Db beta2=-0.28 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.863263E-02   6.365449E-02
   0.100   7.892111E-02   6.349648E-02
   0.200   7.921065E-02   6.333885E-02
   0.300   7.950125E-02   6.318162E-02
   0.400   7.988259E-02   6.297022E-02
   0.500   8.040282E-02   6.267701E-02
   0.600   8.097463E-02   6.234132E-02
   0.700   8.160619E-02   6.195748E-02
   0.800   8.224267E-02   6.157600E-02
   0.900   8.286122E-02   6.116930E-02
   1.000   8.347966E-02   6.075963E-02
   1.100   8.396423E-02   6.039625E-02
   1.200   8.443580E-02   6.003995E-02
   1.300   8.485166E-02   5.971779E-02
   1.400   8.510371E-02   5.948768E-02
   1.500   8.527888E-02   5.931922E-02
   1.600   8.529670E-02   5.927446E-02
   1.700   8.531453E-02   5.922973E-02
   1.800   8.520142E-02   5.932635E-02
   1.900   8.503060E-02   5.948595E-02
   2.000   8.478335E-02   5.978125E-02
   2.100   8.451292E-02   6.012054E-02
   2.200   8.424200E-02   6.047667E-02
   2.300   8.396256E-02   6.093998E-02
   2.400   8.369741E-02   6.141417E-02
   2.500   8.348852E-02   6.192273E-02
   2.600   8.328014E-02   6.243549E-02
   2.700   8.313315E-02   6.293428E-02
   2.800   8.303477E-02   6.342245E-02
   2.900   8.300702E-02   6.385736E-02
   3.000   8.302142E-02   6.426096E-02
   3.100   8.303583E-02   6.466711E-02
   3.200   8.312963E-02   6.495756E-02
   3.300   8.322554E-02   6.524082E-02
   3.400   8.333839E-02   6.541031E-02
   3.500   8.345139E-02   6.558024E-02
   3.600   8.354701E-02   6.570879E-02
   3.700   8.361851E-02   6.577977E-02
   3.800   8.364608E-02   6.582621E-02
   3.900   8.362789E-02   6.584706E-02
   4.000   8.360969E-02   6.586791E-02
   4.100   8.350588E-02   6.589350E-02
   4.200   8.338736E-02   6.591991E-02
   4.300   8.319812E-02   6.599806E-02
   4.400   8.300325E-02   6.608074E-02
   4.500   8.279559E-02   6.618360E-02
   4.600   8.255518E-02   6.633734E-02
   4.700   8.230420E-02   6.650292E-02
   4.800   8.203340E-02   6.669001E-02
   4.900   8.176349E-02   6.687762E-02
   5.000   8.146098E-02   6.704053E-02
   5.100   8.112206E-02   6.716384E-02
   5.200   8.073774E-02   6.722893E-02
