 Z=  78 A= 162  Pt beta2= 0.06 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   1.100   8.199820E-02   6.890350E-02
   1.200   8.150612E-02   6.878527E-02
   1.300   8.112839E-02   6.875272E-02
   1.400   8.080984E-02   6.876444E-02
   1.500   8.057831E-02   6.883513E-02
   1.600   8.045641E-02   6.898111E-02
   1.700   8.048068E-02   6.921779E-02
   1.800   8.053792E-02   6.947577E-02
   1.900   8.067115E-02   6.977583E-02
   2.000   8.085600E-02   7.010509E-02
   2.100   8.109122E-02   7.045016E-02
   2.200   8.132852E-02   7.079733E-02
   2.300   8.155441E-02   7.112303E-02
   2.400   8.176747E-02   7.143375E-02
   2.500   8.191741E-02   7.168613E-02
   2.600   8.206762E-02   7.193941E-02
   2.700   8.212531E-02   7.211445E-02
   2.800   8.214305E-02   7.225622E-02
   2.900   8.208400E-02   7.233371E-02
   3.000   8.201885E-02   7.240600E-02
   3.100   8.186977E-02   7.240600E-02
   3.200   8.169837E-02   7.238338E-02
   3.300   8.149910E-02   7.233245E-02
   3.400   8.129809E-02   7.227733E-02
   3.500   8.108991E-02   7.220775E-02
   3.600   8.090010E-02   7.214477E-02
   3.700   8.072254E-02   7.208618E-02
   3.800   8.056049E-02   7.203494E-02
   3.900   8.042319E-02   7.199553E-02
   4.000   8.029253E-02   7.195388E-02
   4.100   8.016413E-02   7.191152E-02
   4.200   8.001239E-02   7.184594E-02
   4.300   7.980962E-02   7.173374E-02
   4.400   7.954384E-02   7.156737E-02
   4.500   7.912736E-02   7.127410E-02
   4.600   7.862474E-02   7.090856E-02
   4.700   7.796606E-02   7.041209E-02
   4.800   7.704752E-02   6.969500E-02
   4.900   7.597048E-02   6.884174E-02
   5.000   7.454969E-02   6.769297E-02
   5.100   7.298815E-02   6.641864E-02
   5.200   7.116529E-02   6.491333E-02
   5.300   6.896319E-02   6.306995E-02
   5.400   6.657972E-02   6.105691E-02
   5.500   6.378404E-02   5.866598E-02
   5.600   6.089046E-02   5.617430E-02
   5.700   5.776076E-02   5.345569E-02
   5.800   5.429431E-02   5.041472E-02
   5.900   5.075886E-02   4.729191E-02
   6.000   4.693384E-02   4.388453E-02
   6.100   4.318735E-02   4.052888E-02
   6.200   3.939648E-02   3.711140E-02
   6.300   3.551042E-02   3.358522E-02
   6.400   3.178763E-02   3.018946E-02
   6.500   2.807593E-02   2.678368E-02
   6.600   2.465995E-02   2.363392E-02
   6.700   2.144548E-02   2.065436E-02
   6.800   1.841260E-02   1.782917E-02
   6.900   1.569835E-02   1.528735E-02
   7.000   1.321386E-02   1.294920E-02
   7.100   1.106860E-02   1.091866E-02
   7.200   9.192027E-03   9.132334E-03
   7.300   7.558518E-03   7.568894E-03
   7.400   6.184921E-03   6.245254E-03
   7.500   5.020075E-03   5.116062E-03
   7.600   4.064338E-03   4.182101E-03
   7.700   3.276033E-03   3.405921E-03
   7.800   2.630167E-03   2.765352E-03
   7.900   2.108508E-03   2.243116E-03
   8.000   1.687317E-03   1.818053E-03
   8.100   1.349976E-03   1.473812E-03
   8.200   1.079693E-03   1.195182E-03
   8.300   8.635859E-04   9.703098E-04
   8.400   6.909683E-04   7.884228E-04
   8.500   5.531137E-04   6.416289E-04
   8.600   4.428150E-04   5.224726E-04
   8.700   3.545792E-04   4.258825E-04
   8.800   2.839159E-04   3.475251E-04
   8.900   2.273458E-04   2.837724E-04
   9.000   1.820386E-04   2.319803E-04
   9.100   1.457827E-04   1.897496E-04
   9.200   1.167819E-04   1.553686E-04
   9.300   9.363989E-05   1.274587E-04
   9.400   7.515243E-05   1.047089E-04
   9.500   6.045850E-05   8.629512E-05
   9.600   4.869978E-05   7.123295E-05
   9.700   3.931809E-05   5.896827E-05
   9.800   3.184706E-05   4.901888E-05
   9.900   2.584416E-05   4.085112E-05
  10.000   2.103665E-05   3.419951E-05
  10.100   1.713740E-05   2.867949E-05
  10.200   1.398039E-05   2.412238E-05
  10.300   1.141136E-05   2.035430E-05
  10.400   9.312950E-06   1.720183E-05
