 Z= 104 A= 230  Rf beta2= 0.00 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  17.200   5.285178E-10   3.803103E-09
  17.300   4.355267E-10   3.409775E-09
  17.400   4.126657E-10   3.132646E-09
  17.500   4.251666E-10   2.920491E-09
  17.600   4.380461E-10   2.722703E-09
  17.700   4.513158E-10   2.538311E-09
  17.800   4.649875E-10   2.366406E-09
  17.900   4.790734E-10   2.206143E-09
  18.000   4.935859E-10   2.056735E-09
  18.100   5.085381E-10   1.917444E-09
  18.200   5.239432E-10   1.787587E-09
  18.300   5.398150E-10   1.666525E-09
  18.400   5.561676E-10   1.553661E-09
  18.500   5.730156E-10   1.448441E-09
  18.600   5.621362E-10   1.308106E-09
  18.700   5.476507E-10   1.176065E-09
  18.800   5.335385E-10   1.057353E-09
  18.900   5.197900E-10   9.506229E-10
  19.000   5.063957E-10   8.546666E-10
  19.100   4.933466E-10   7.683961E-10
  19.200   4.806337E-10   6.908339E-10
  19.300   4.682484E-10   6.211008E-10
  19.400   4.561823E-10   5.584066E-10
  19.500   4.444271E-10   5.020408E-10
  19.600   4.329748E-10   4.513646E-10
  19.700   4.218176E-10   4.058036E-10
  19.800   4.544668E-10   4.220312E-10
  19.900   5.039108E-10   4.575290E-10
 Z= 104 A= 232  Rf beta2= 0.06 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.931860E-02   6.421803E-02
   0.100   7.961218E-02   6.405584E-02
   0.200   7.990684E-02   6.389407E-02
   0.300   8.020259E-02   6.373270E-02
   0.400   8.059403E-02   6.351307E-02
   0.500   8.112324E-02   6.321087E-02
   0.600   8.170714E-02   6.286323E-02
   0.700   8.234920E-02   6.246882E-02
   0.800   8.299630E-02   6.207689E-02
   0.900   8.362490E-02   6.165679E-02
   1.000   8.425444E-02   6.123466E-02
   1.100   8.474123E-02   6.086158E-02
   1.200   8.522120E-02   6.049377E-02
   1.300   8.563263E-02   6.016696E-02
   1.400   8.588837E-02   5.992709E-02
   1.500   8.605151E-02   5.976069E-02
   1.600   8.606826E-02   5.970852E-02
   1.700   8.608501E-02   5.965640E-02
   1.800   8.595292E-02   5.976112E-02
   1.900   8.577466E-02   5.991516E-02
   2.000   8.550864E-02   6.021997E-02
   2.100   8.522660E-02   6.055538E-02
   2.200   8.494208E-02   6.091805E-02
   2.300   8.464593E-02   6.137792E-02
   2.400   8.437023E-02   6.185182E-02
   2.500   8.414303E-02   6.235557E-02
   2.600   8.391645E-02   6.286341E-02
   2.700   8.376282E-02   6.335291E-02
   2.800   8.364637E-02   6.383466E-02
   2.900   8.361403E-02   6.425187E-02
   3.000   8.361137E-02   6.464757E-02
   3.100   8.361796E-02   6.503221E-02
   3.200   8.369802E-02   6.531156E-02
   3.300   8.378197E-02   6.556906E-02
   3.400   8.388239E-02   6.572831E-02
   3.500   8.398293E-02   6.588795E-02
   3.600   8.406030E-02   6.599188E-02
   3.700   8.411959E-02   6.605221E-02
   3.800   8.412056E-02   6.608057E-02
   3.900   8.408858E-02   6.609084E-02
   4.000   8.405536E-02   6.610118E-02
   4.100   8.391902E-02   6.611626E-02
   4.200   8.377534E-02   6.613630E-02
   4.300   8.355482E-02   6.620707E-02
   4.400   8.333487E-02   6.627792E-02
   4.500   8.309053E-02   6.638067E-02
   4.600   8.281804E-02   6.652055E-02
   4.700   8.252585E-02   6.667705E-02
   4.800   8.221720E-02   6.684785E-02
   4.900   8.190970E-02   6.701908E-02
   5.000   8.155839E-02   6.715740E-02
   5.100   8.116770E-02   6.724715E-02
   5.200   8.072213E-02   6.726455E-02
   5.300   8.020314E-02   6.718336E-02
   5.400   7.959361E-02   6.698425E-02
   5.500   7.888664E-02   6.665972E-02
   5.600   7.799235E-02   6.610983E-02
   5.700   7.695376E-02   6.539145E-02
   5.800   7.572340E-02   6.445492E-02
   5.900   7.429946E-02   6.330971E-02
   6.000   7.268295E-02   6.195905E-02
   6.100   7.073724E-02   6.027424E-02
   6.200   6.858131E-02   5.838109E-02
   6.300   6.615788E-02   5.622855E-02
   6.400   6.350437E-02   5.386042E-02
   6.500   6.064664E-02   5.130401E-02
   6.600   5.744119E-02   4.843385E-02
   6.700   5.408676E-02   4.543738E-02
   6.800   5.054394E-02   4.228344E-02
   6.900   4.690123E-02   3.905382E-02
   7.000   4.321008E-02   3.579662E-02
   7.100   3.937206E-02   3.242951E-02
   7.200   3.560824E-02   2.914891E-02
   7.300   3.190183E-02   2.594111E-02
   7.400   2.834549E-02   2.288503E-02
   7.500   2.497785E-02   2.001347E-02
   7.600   2.174716E-02   1.728256E-02
   7.700   1.879062E-02   1.480550E-02
   7.800   1.608460E-02   1.255986E-02
   7.900   1.366365E-02   1.057018E-02
   8.000   1.152116E-02   8.827149E-03
   8.100   9.619862E-03   7.297255E-03
   8.200   7.987552E-03   5.998086E-03
   8.300   6.588996E-03   4.897678E-03
   8.400   5.410893E-03   3.981411E-03
   8.500   4.424925E-03   3.223413E-03
   8.600   3.602713E-03   2.599090E-03
   8.700   2.927904E-03   2.092507E-03
