 Z=  79 A= 164  Au beta2= 0.06 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  17.300   9.990281E-11   1.936325E-09
  17.400   8.349755E-11   1.771652E-09
  17.500   8.000275E-11   1.683963E-09
  17.600   7.849521E-11   1.611247E-09
  17.700   7.701607E-11   1.541671E-09
  17.800   7.556481E-11   1.475100E-09
  17.900   7.414090E-11   1.411403E-09
  18.000   7.274381E-11   1.350457E-09
  18.100   7.137305E-11   1.292142E-09
  18.200   7.002813E-11   1.236346E-09
  18.300   6.870854E-11   1.182959E-09
  18.400   6.741382E-11   1.131877E-09
  18.500   6.614350E-11   1.083001E-09
  18.600   6.710897E-11   1.029304E-09
  18.700   7.141037E-11   9.689817E-10
  18.800   7.598748E-11   9.121945E-10
  18.900   8.085795E-11   8.587353E-10
  19.000   8.604061E-11   8.084090E-10
  19.100   9.155545E-11   7.610322E-10
  19.200   9.742377E-11   7.164318E-10
  19.300   1.036682E-10   6.744453E-10
  19.400   1.103129E-10   6.349194E-10
  19.500   1.173835E-10   5.977099E-10
  19.600   1.249073E-10   5.626811E-10
  19.700   1.329134E-10   5.297051E-10
  19.800   1.392728E-10   5.019391E-10
  19.900   1.439507E-10   4.784109E-10
 Z=  79 A= 166  Au beta2= 0.09 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   8.637688E-02   7.176153E-02
   0.100   8.617072E-02   7.163392E-02
   0.200   8.596506E-02   7.150653E-02
   0.300   8.575989E-02   7.137937E-02
   0.400   8.538073E-02   7.114701E-02
   0.500   8.495072E-02   7.088614E-02
   0.600   8.442714E-02   7.057396E-02
   0.700   8.390205E-02   7.026143E-02
   0.800   8.331124E-02   6.992524E-02
   0.900   8.273297E-02   6.960733E-02
   1.000   8.216993E-02   6.931320E-02
   1.100   8.163000E-02   6.903841E-02
   1.200   8.117695E-02   6.884310E-02
   1.300   8.082180E-02   6.872463E-02
   1.400   8.054661E-02   6.866924E-02
   1.500   8.033455E-02   6.866095E-02
   1.600   8.026195E-02   6.875796E-02
   1.700   8.031097E-02   6.894139E-02
   1.800   8.042000E-02   6.916797E-02
   1.900   8.058461E-02   6.943237E-02
   2.000   8.082264E-02   6.974675E-02
   2.100   8.110021E-02   7.008375E-02
   2.200   8.138891E-02   7.042794E-02
   2.300   8.166713E-02   7.076037E-02
   2.400   8.193702E-02   7.108347E-02
   2.500   8.213472E-02   7.134675E-02
   2.600   8.232609E-02   7.160529E-02
   2.700   8.244250E-02   7.180288E-02
   2.800   8.251851E-02   7.196776E-02
   2.900   8.247919E-02   7.204052E-02
   3.000   8.243990E-02   7.211335E-02
   3.100   8.231784E-02   7.211776E-02
   3.200   8.216452E-02   7.209584E-02
   3.300   8.195561E-02   7.202610E-02
   3.400   8.174723E-02   7.195643E-02
   3.500   8.151814E-02   7.186602E-02
   3.600   8.129268E-02   7.177684E-02
   3.700   8.107990E-02   7.169508E-02
   3.800   8.086909E-02   7.161439E-02
   3.900   8.068961E-02   7.155520E-02
   4.000   8.051319E-02   7.149736E-02
   4.100   8.034108E-02   7.144150E-02
   4.200   8.016261E-02   7.137968E-02
   4.300   7.995100E-02   7.128800E-02
   4.400   7.966228E-02   7.113062E-02
