 Z=  64 A= 126  Gd beta2= 0.42 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  10.600   1.913394E-06   1.220914E-05
  10.700   1.560629E-06   1.064040E-05
  10.800   1.287482E-06   9.243476E-06
  10.900   1.062143E-06   8.029950E-06
  11.000   8.762428E-07   6.975740E-06
  11.100   7.228797E-07   6.059932E-06
  11.200   5.963587E-07   5.264356E-06
  11.300   4.919819E-07   4.573227E-06
  11.400   4.058735E-07   3.972832E-06
  11.500   3.347170E-07   3.450254E-06
  11.600   2.725200E-07   2.965087E-06
  11.700   2.218804E-07   2.548143E-06
  11.800   1.806506E-07   2.189829E-06
  11.900   1.470822E-07   1.881900E-06
  12.000   1.197514E-07   1.617272E-06
  12.100   9.749924E-08   1.389855E-06
  12.200   7.938196E-08   1.194416E-06
  12.300   6.463123E-08   1.026460E-06
  12.400   5.262147E-08   8.821218E-07
  12.500   4.293828E-08   7.576454E-07
  12.600   3.625108E-08   6.450171E-07
  12.700   3.060534E-08   5.491317E-07
  12.800   2.583887E-08   4.675001E-07
  12.900   2.181472E-08   3.980036E-07
  13.000   1.841730E-08   3.388381E-07
  13.100   1.554899E-08   2.884679E-07
  13.200   1.312739E-08   2.455855E-07
  13.300   1.108293E-08   2.090778E-07
  13.400   9.356879E-09   1.779972E-07
  13.500   7.899640E-09   1.515369E-07
  13.600   6.295079E-09   1.233935E-07
  13.700   5.006248E-09   1.003196E-07
  13.800   3.981286E-09   8.156034E-08
  13.900   3.166172E-09   6.630899E-08
  14.000   2.517942E-09   5.390956E-08
  14.100   2.002427E-09   4.382876E-08
  14.200   1.592458E-09   3.563301E-08
  14.300   1.266424E-09   2.896983E-08
  14.400   1.007141E-09   2.355262E-08
  14.500   8.009422E-10   1.914841E-08
  14.600   7.036091E-10   1.772533E-08
  14.700   6.400986E-10   1.717358E-08
  14.800   5.823208E-10   1.663901E-08
  14.900   5.297582E-10   1.612107E-08
  15.000   4.819402E-10   1.561926E-08
  15.100   4.384384E-10   1.513307E-08
  15.200   3.988632E-10   1.466202E-08
  15.300   3.628602E-10   1.420562E-08
  15.400   3.301070E-10   1.376344E-08
  15.500   3.003103E-10   1.333501E-08
  15.600   2.596867E-10   1.330620E-08
  15.700   2.035840E-10   1.405530E-08
  15.800   1.596018E-10   1.484656E-08
  15.900   1.251214E-10   1.568237E-08
  16.000   9.809021E-11   1.656523E-08
  16.100   7.689882E-11   1.749779E-08
  16.200   6.028561E-11   1.848286E-08
  16.300   4.726152E-11   1.952338E-08
  16.400   3.705115E-11   2.062247E-08
  16.500   2.904662E-11   2.178345E-08
  16.600   2.277140E-11   2.300978E-08
  16.700   2.204710E-11   2.347569E-08
  16.800   2.329716E-11   2.360886E-08
  16.900   2.461809E-11   2.374277E-08
  17.000   2.601392E-11   2.387745E-08
  17.100   2.748889E-11   2.401289E-08
  17.200   2.904750E-11   2.414910E-08
  17.300   3.069447E-11   2.428609E-08
  17.400   3.243483E-11   2.442385E-08
  17.500   3.427387E-11   2.456239E-08
  17.600   3.621717E-11   2.470171E-08
  17.700   3.827066E-11   2.484183E-08
  17.800   4.095712E-11   2.381048E-08
  17.900   4.401110E-11   2.247257E-08
  18.000   4.729280E-11   2.120983E-08
  18.100   5.081920E-11   2.001805E-08
  18.200   5.460855E-11   1.889324E-08
  18.300   5.868046E-11   1.783163E-08
  18.400   6.305598E-11   1.682967E-08
  18.500   6.775777E-11   1.588401E-08
  18.600   7.281015E-11   1.499148E-08
  18.700   7.823926E-11   1.414911E-08
  18.800   8.407319E-11   1.335407E-08
  18.900   8.892062E-11   1.216134E-08
  19.000   9.163505E-11   1.044538E-08
  19.100   9.443233E-11   8.971547E-09
  19.200   9.731500E-11   7.705668E-09
  19.300   1.002857E-10   6.618404E-09
  19.400   1.033470E-10   5.684552E-09
  19.500   1.065018E-10   4.882466E-09
  19.600   1.097530E-10   4.193553E-09
  19.700   1.131033E-10   3.601846E-09
  19.800   1.165559E-10   3.093628E-09
  19.900   1.201140E-10   2.657119E-09
 Z=  64 A= 128  Gd beta2= 0.39 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.573536E-02   6.816564E-02
   0.100   7.585016E-02   6.828700E-02
   0.200   7.596514E-02   6.840859E-02
   0.300   7.611502E-02   6.856694E-02
   0.400   7.634094E-02   6.880538E-02
   0.500   7.665306E-02   6.913406E-02
   0.600   7.697863E-02   6.947705E-02
   0.700   7.737995E-02   6.989881E-02
   0.800   7.781547E-02   7.035699E-02
   0.900   7.828136E-02   7.084779E-02
   1.000   7.876109E-02   7.135466E-02
   1.100   7.925341E-02   7.187674E-02
   1.200   7.973085E-02   7.238997E-02
   1.300   8.020566E-02   7.290219E-02
   1.400   8.063346E-02   7.337576E-02
   1.500   8.100309E-02   7.380080E-02
   1.600   8.134330E-02   7.420170E-02
   1.700   8.160307E-02   7.453504E-02
   1.800   8.179403E-02   7.481083E-02
   1.900   8.188760E-02   7.500501E-02
   2.000   8.194207E-02   7.516745E-02
   2.100   8.190107E-02   7.525155E-02
   2.200   8.175269E-02   7.524883E-02
   2.300   8.158598E-02   7.523103E-02
   2.400   8.132419E-02   7.513846E-02
   2.500   8.101514E-02   7.500935E-02
   2.600   8.066310E-02   7.484708E-02
   2.700   8.028969E-02   7.466896E-02
   2.800   7.989286E-02   7.447366E-02
   2.900   7.948584E-02   7.427547E-02
   3.000   7.908220E-02   7.407928E-02
   3.100   7.869625E-02   7.390132E-02
   3.200   7.833535E-02   7.374504E-02
   3.300   7.798920E-02   7.360114E-02
   3.400   7.766740E-02   7.347924E-02
   3.500   7.735960E-02   7.336932E-02
   3.600   7.705819E-02   7.326348E-02
   3.700   7.674901E-02   7.314969E-02
   3.800   7.640320E-02   7.300177E-02
   3.900   7.600545E-02   7.280594E-02
   4.000   7.548294E-02   7.249548E-02
   4.100   7.490894E-02   7.213616E-02
   4.200   7.417558E-02   7.162904E-02
   4.300   7.325491E-02   7.094607E-02
   4.400   7.216432E-02   7.010248E-02
   4.500   7.077235E-02   6.897419E-02
   4.600   6.929094E-02   6.775571E-02
   4.700   6.752027E-02   6.625920E-02
   4.800   6.546795E-02   6.448878E-02
   4.900   6.319624E-02   6.250034E-02
   5.000   6.055314E-02   6.014574E-02
   5.100   5.786485E-02   5.773200E-02
   5.200   5.488395E-02   5.502297E-02
   5.300   5.166723E-02   5.206732E-02
   5.400   4.831542E-02   4.896030E-02
   5.500   4.470170E-02   4.557710E-02
   5.600   4.120279E-02   4.227740E-02
   5.700   3.758677E-02   3.883663E-02
   5.800   3.395004E-02   3.534488E-02
   5.900   3.040143E-02   3.191002E-02
   6.000   2.687257E-02   2.846418E-02
   6.100   2.364892E-02   2.528751E-02
   6.200   2.056639E-02   2.222153E-02
   6.300   1.769668E-02   1.934040E-02
   6.400   1.509302E-02   1.669832E-02
   6.500   1.271493E-02   1.426012E-02
   6.600   1.066967E-02   1.213634E-02
   6.700   8.862517E-03   1.023821E-02
   6.800   7.301962E-03   8.577347E-03
   6.900   5.977398E-03   7.147335E-03
   7.000   4.856244E-03   5.920244E-03
   7.100   3.936895E-03   4.895865E-03
   7.200   3.174908E-03   4.033251E-03
   7.300   2.552219E-03   3.316020E-03
   7.400   2.046762E-03   2.722610E-03
   7.500   1.638675E-03   2.234938E-03
   7.600   1.311486E-03   1.834851E-03
   7.700   1.048918E-03   1.507303E-03
   7.800   8.389853E-04   1.239815E-03
   7.900   6.709059E-04   1.020651E-03
   8.000   5.366847E-04   8.418570E-04
   8.100   4.293445E-04   6.948292E-04
   8.200   3.435113E-04   5.744608E-04
   8.300   2.748665E-04   4.757287E-04
   8.400   2.198980E-04   3.943820E-04
   8.500   1.759867E-04   3.276673E-04
   8.600   1.408727E-04   2.724510E-04
   8.700   1.128387E-04   2.270265E-04
   8.800   9.050007E-05   1.896060E-04
   8.900   7.264714E-05   1.586393E-04
   9.000   5.846350E-05   1.331905E-04
   9.100   4.709096E-05   1.119576E-04
   9.200   3.802339E-05   9.441449E-05
   9.300   3.077175E-05   7.986769E-05
   9.400   2.493800E-05   6.771642E-05
   9.500   2.024782E-05   5.762469E-05
   9.600   1.644573E-05   4.909343E-05
   9.700   1.336587E-05   4.194995E-05
   9.800   1.086083E-05   3.593680E-05
   9.900   8.818034E-06   3.084036E-05
  10.000   7.151854E-06   2.654089E-05
  10.100   5.798460E-06   2.286095E-05
  10.200   4.696776E-06   1.973624E-05
  10.300   3.804201E-06   1.707224E-05
  10.400   3.081608E-06   1.478715E-05
  10.500   2.501744E-06   1.283293E-05
  10.600   2.033126E-06   1.114271E-05
  10.700   1.657658E-06   9.686594E-06
  10.800   1.366266E-06   8.398935E-06
  10.900   1.127530E-06   7.280230E-06
  11.000   9.305100E-07   6.310533E-06
  11.100   7.679163E-07   5.469995E-06
  11.200   6.337337E-07   4.741413E-06
  11.300   5.229975E-07   4.109876E-06
  11.400   4.316110E-07   3.562457E-06
  11.500   3.561930E-07   3.087952E-06
  11.600   2.905811E-07   2.652564E-06
  11.700   2.366360E-07   2.275407E-06
  11.800   1.927055E-07   1.951876E-06
  11.900   1.569306E-07   1.674347E-06
  12.000   1.277971E-07   1.436279E-06
  12.100   1.040721E-07   1.232060E-06
  12.200   8.475155E-08   1.056879E-06
  12.300   6.901779E-08   9.066057E-07
  12.400   5.620493E-08   7.776992E-07
  12.500   4.577073E-08   6.671214E-07
  12.600   3.850042E-08   5.694875E-07
  12.700   3.251748E-08   4.858440E-07
  12.800   2.746429E-08   4.144856E-07
  12.900   2.319636E-08   3.536080E-07
  13.000   1.959167E-08   3.016719E-07
  13.100   1.654714E-08   2.573638E-07
  13.200   1.397573E-08   2.195635E-07
  13.300   1.180391E-08   1.873151E-07
  13.400   9.969591E-09   1.598032E-07
  13.500   8.420325E-09   1.363321E-07
  13.600   6.785283E-09   1.142364E-07
  13.700   5.395725E-09   9.523774E-08
  13.800   4.290734E-09   7.939876E-08
  13.900   3.412034E-09   6.619395E-08
  14.000   2.713284E-09   5.518524E-08
  14.100   2.157630E-09   4.600738E-08
  14.200   1.715769E-09   3.835590E-08
  14.300   1.364397E-09   3.197693E-08
  14.400   1.084982E-09   2.665885E-08
  14.500   8.627882E-10   2.222522E-08
  14.600   7.381353E-10   2.013809E-08
  14.700   6.719010E-10   1.958286E-08
  14.800   6.116100E-10   1.904295E-08
  14.900   5.567291E-10   1.851791E-08
  15.000   5.067727E-10   1.800736E-08
  15.100   4.612991E-10   1.751088E-08
  15.200   4.199058E-10   1.702809E-08
  15.300   3.822269E-10   1.655861E-08
  15.400   3.479289E-10   1.610207E-08
  15.500   3.167086E-10   1.565812E-08
  15.600   2.828907E-10   1.534966E-08
  15.700   2.221485E-10   1.589682E-08
  15.800   1.744489E-10   1.646348E-08
  15.900   1.369913E-10   1.705034E-08
  16.000   1.075765E-10   1.765811E-08
  16.100   8.447775E-11   1.828756E-08
  16.200   6.633871E-11   1.893944E-08
  16.300   5.209449E-11   1.961456E-08
  16.400   4.090878E-11   2.031374E-08
  16.500   3.212486E-11   2.103784E-08
  16.600   2.522702E-11   2.178776E-08
  16.700   2.280749E-11   2.217399E-08
  16.800   2.403482E-11   2.214269E-08
  16.900   2.532819E-11   2.211144E-08
  17.000   2.669116E-11   2.208022E-08
  17.100   2.812748E-11   2.204906E-08
  17.200   2.964109E-11   2.201793E-08
  17.300   3.123615E-11   2.198685E-08
  17.400   3.291704E-11   2.195582E-08
  17.500   3.468839E-11   2.192483E-08
  17.600   3.655506E-11   2.189388E-08
  17.700   3.852217E-11   2.186297E-08
  17.800   4.103014E-11   2.115167E-08
  17.900   4.414225E-11   1.986234E-08
  18.000   4.749041E-11   1.865159E-08
  18.100   5.109252E-11   1.751465E-08
  18.200   5.496786E-11   1.644701E-08
  18.300   5.913713E-11   1.544446E-08
  18.400   6.362264E-11   1.450301E-08
  18.500   6.844838E-11   1.361896E-08
  18.600   7.364014E-11   1.278879E-08
  18.700   7.922570E-11   1.200923E-08
  18.800   8.523491E-11   1.127718E-08
  18.900   9.122273E-11   1.047539E-08
  19.000   9.406599E-11   9.005639E-09
  19.100   9.699787E-11   7.742102E-09
  19.200   1.000211E-10   6.655846E-09
  19.300   1.031386E-10   5.721997E-09
  19.400   1.063533E-10   4.919172E-09
  19.500   1.096681E-10   4.228987E-09
  19.600   1.130863E-10   3.635639E-09
  19.700   1.166110E-10   3.125540E-09
  19.800   1.202456E-10   2.687011E-09
  19.900   1.239934E-10   2.310010E-09
 Z=  64 A= 129  Gd beta2= 0.42 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   8.275122E-02   6.895326E-02
   0.100   8.274261E-02   6.906096E-02
   0.200   8.273399E-02   6.916882E-02
   0.300   8.272421E-02   6.930826E-02
   0.400   8.271176E-02   6.952008E-02
   0.500   8.270303E-02   6.981189E-02
   0.600   8.269492E-02   7.011802E-02
   0.700   8.269891E-02   7.049339E-02
   0.800   8.271294E-02   7.090200E-02
   0.900   8.273777E-02   7.134159E-02
   1.000   8.277137E-02   7.179493E-02
   1.100   8.281525E-02   7.226350E-02
   1.200   8.286943E-02   7.272163E-02
   1.300   8.292344E-02   7.318047E-02
   1.400   8.297326E-02   7.359943E-02
   1.500   8.300861E-02   7.397503E-02
   1.600   8.303446E-02   7.432241E-02
   1.700   8.303265E-02   7.461104E-02
   1.800   8.300310E-02   7.484547E-02
   1.900   8.292304E-02   7.499330E-02
   2.000   8.282766E-02   7.511866E-02
   2.100   8.267531E-02   7.515952E-02
   2.200   8.246502E-02   7.512696E-02
   2.300   8.223774E-02   7.507226E-02
   2.400   8.195444E-02   7.495489E-02
   2.500   8.163727E-02   7.480260E-02
   2.600   8.128380E-02   7.461551E-02
   2.700   8.091791E-02   7.441821E-02
   2.800   8.053065E-02   7.420377E-02
   2.900   8.013281E-02   7.399251E-02
   3.000   7.973602E-02   7.378204E-02
   3.100   7.935008E-02   7.359461E-02
   3.200   7.897892E-02   7.342852E-02
   3.300   7.862131E-02   7.328162E-02
   3.400   7.827686E-02   7.315353E-02
   3.500   7.794348E-02   7.304208E-02
   3.600   7.760890E-02   7.293659E-02
   3.700   7.727112E-02   7.282759E-02
   3.800   7.689765E-02   7.268896E-02
   3.900   7.646072E-02   7.249244E-02
   4.000   7.592090E-02   7.219960E-02
   4.100   7.534001E-02   7.186630E-02
   4.200   7.457346E-02   7.135363E-02
   4.300   7.367870E-02   7.071738E-02
   4.400   7.256419E-02   6.986754E-02
   4.500   7.120566E-02   6.878034E-02
   4.600   6.976711E-02   6.760971E-02
   4.700   6.798128E-02   6.610086E-02
   4.800   6.601054E-02   6.440621E-02
