 Z= 102 A= 226  No beta2= 0.07 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   3.500   8.448716E-02   6.625240E-02
   3.600   8.455851E-02   6.634294E-02
   3.700   8.462100E-02   6.642448E-02
   3.800   8.456522E-02   6.645139E-02
   3.900   8.450948E-02   6.647830E-02
   4.000   8.440414E-02   6.650473E-02
   4.100   8.422966E-02   6.653048E-02
   4.200   8.401113E-02   6.658111E-02
   4.300   8.375128E-02   6.665532E-02
   4.400   8.349224E-02   6.672961E-02
   4.500   8.319011E-02   6.686116E-02
   4.600   8.288466E-02   6.699862E-02
   4.700   8.255168E-02   6.716062E-02
   4.800   8.222004E-02   6.732301E-02
   4.900   8.187224E-02   6.746914E-02
   5.000   8.149466E-02   6.758294E-02
   5.100   8.106940E-02   6.762745E-02
   5.200   8.056042E-02   6.755657E-02
   5.300   8.001744E-02   6.743676E-02
   5.400   7.933952E-02   6.713892E-02
   5.500   7.853913E-02   6.668977E-02
   5.600   7.757395E-02   6.604255E-02
   5.700   7.637696E-02   6.513677E-02
   5.800   7.510243E-02   6.414076E-02
   5.900   7.353233E-02   6.282955E-02
   6.000   7.174354E-02   6.129313E-02
   6.100   6.968283E-02   5.948669E-02
   6.200   6.728465E-02   5.735464E-02
   6.300   6.481999E-02   5.515828E-02
   6.400   6.198348E-02   5.261678E-02
   6.500   5.893305E-02   4.988421E-02
   6.600   5.563481E-02   4.693328E-02
   6.700   5.205954E-02   4.374412E-02
   6.800   4.854968E-02   4.062575E-02
   6.900   4.479976E-02   3.731027E-02
   7.000   4.102066E-02   3.398668E-02
   7.100   3.721007E-02   3.065609E-02
   7.200   3.338412E-02   2.733543E-02
   7.300   2.982851E-02   2.426974E-02
   7.400   2.632298E-02   2.127020E-02
   7.500   2.303099E-02   1.847517E-02
   7.600   1.995050E-02   1.588162E-02
   7.700   1.709483E-02   1.349837E-02
   7.800   1.458992E-02   1.142573E-02
   7.900   1.231104E-02   9.558908E-03
   8.000   1.031415E-02   7.938351E-03
   8.100   8.573181E-03   6.540297E-03
   8.200   7.072611E-03   5.347989E-03
   8.300   5.819561E-03   4.361807E-03
   8.400   4.756727E-03   3.534607E-03
   8.500   3.874485E-03   2.855151E-03
   8.600   3.146023E-03   2.300023E-03
   8.700   2.549298E-03   1.850149E-03
   8.800   2.064565E-03   1.487773E-03
   8.900   1.670750E-03   1.196474E-03
   9.000   1.352183E-03   9.628443E-04
   9.100   1.095146E-03   7.758573E-04
   9.200   8.877951E-04   6.262331E-04
   9.300   7.199559E-04   5.057709E-04
   9.400   5.844742E-04   4.091845E-04
   9.500   4.746807E-04   3.312979E-04
   9.600   3.856652E-04   2.684815E-04
   9.700   3.133157E-04   2.176896E-04
   9.800   2.545221E-04   1.765395E-04
