Level_Number,Level_Energy,Spin,Parity,Element_w_A,Target_Protons,Target_Neutrons,Atomic_Mass_Micro
23, 12.963000 ,  3.0, -1,14C,6,8,14003241.98843
24, 13.500000 ,  3.0, -1,14C,6,8,14003241.98843
25, 13.700000 ,  2.0, -1,14C,6,8,14003241.98843
26, 14.050000 ,  2.0, -1,14C,6,8,14003241.98843
1,  0.000000 ,  1.0,  1,14N,7,7,14007000.0
2,  2.312798 ,  0.0,  1,14N,7,7,14007000.0
3,  3.948100 ,  1.0,  1,14N,7,7,14007000.0
4,  4.915100 ,  0.0, -1,14N,7,7,14007000.0
5,  5.105890 ,  2.0, -1,14N,7,7,14007000.0
6,  5.691440 ,  1.0, -1,14N,7,7,14007000.0
7,  5.834250 ,  3.0, -1,14N,7,7,14007000.0
8,  6.203500 ,  1.0,  1,14N,7,7,14007000.0
9,  6.446170 ,  3.0,  1,14N,7,7,14007000.0
10,  7.029120 ,  2.0,  1,14N,7,7,14007000.0
11,  7.966900 ,  2.0, -1,14N,7,7,14007000.0
12,  8.062000 ,  1.0, -1,14N,7,7,14007000.0
13,  8.490000 ,  4.0, -1,14N,7,7,14007000.0
14,  8.618000 ,  0.0,  1,14N,7,7,14007000.0
15,  8.776000 ,  0.0, -1,14N,7,7,14007000.0
16,  8.907000 ,  3.0, -1,14N,7,7,14007000.0
17,  8.964000 ,  5.0,  1,14N,7,7,14007000.0
18,  8.980000 ,  2.0,  1,14N,7,7,14007000.0
19,  9.129000 ,  3.0,  1,14N,7,7,14007000.0
20,  9.172250 ,  2.0,  1,14N,7,7,14007000.0
21,  9.388000 ,  2.0, -1,14N,7,7,14007000.0
22,  9.509000 ,  2.0, -1,14N,7,7,14007000.0
23,  9.703000 ,  1.0,  1,14N,7,7,14007000.0
24, 10.079000 ,  3.0,  1,14N,7,7,14007000.0
25, 10.101000 ,  2.0,  1,14N,7,7,14007000.0
26, 10.226000 ,  1.0, -1,14N,7,7,14007000.0
27, 10.432000 ,  2.0,  1,14N,7,7,14007000.0
28, 10.534000 ,  1.0, -1,14N,7,7,14007000.0
29, 10.812000 ,  5.0,  1,14N,7,7,14007000.0
30, 11.000000 ,  2.0, -1,14N,7,7,14007000.0
31, 11.050000 ,  3.0,  1,14N,7,7,14007000.0
32, 11.070000 ,  1.0,  1,14N,7,7,14007000.0
33, 11.210000 ,  1.0, -1,14N,7,7,14007000.0
34, 11.240000 ,  3.0, -1,14N,7,7,14007000.0
35, 11.270000 ,  2.0, -1,14N,7,7,14007000.0
36, 11.357000 ,  1.0,  1,14N,7,7,14007000.0
37, 11.513500 ,  2.0,  1,14N,7,7,14007000.0
38, 11.676000 ,  1.0, -1,14N,7,7,14007000.0
39, 11.741000 ,  1.0, -1,14N,7,7,14007000.0
40, 11.761000 ,  3.0, -1,14N,7,7,14007000.0
41, 11.807000 ,  1.0,  1,14N,7,7,14007000.0
42, 11.874000 ,  1.0, -1,14N,7,7,14007000.0
43, 12.200000 ,  1.0, -1,14N,7,7,14007000.0
44, 12.408000 ,  4.0, -1,14N,7,7,14007000.0
45, 12.418000 ,  3.0, -1,14N,7,7,14007000.0
46, 12.495000 ,  1.0,  1,14N,7,7,14007000.0
47, 12.594000 ,  3.0,  1,14N,7,7,14007000.0
48, 12.690000 ,  3.0, -1,14N,7,7,14007000.0
49, 12.708000 ,  1.0, -1,14N,7,7,14007000.0
50, 12.789000 ,  4.0,  1,14N,7,7,14007000.0
51, 12.813000 ,  4.0, -1,14N,7,7,14007000.0
52, 12.826000 ,  1.0, -1,14N,7,7,14007000.0
53, 12.857000 ,  2.0, -1,14N,7,7,14007000.0
54, 12.883000 ,  3.0, -1,14N,7,7,14007000.0
55, 12.922000 ,  4.0,  1,14N,7,7,14007000.0
56, 13.007000 ,  1.0, -1,14N,7,7,14007000.0
57, 13.167000 ,  1.0,  1,14N,7,7,14007000.0
58, 13.192000 ,  3.0,  1,14N,7,7,14007000.0
59, 13.243000 ,  2.0, -1,14N,7,7,14007000.0
60, 13.300000 ,  2.0, -1,14N,7,7,14007000.0
61, 13.656000 ,  3.0,  1,14N,7,7,14007000.0
62, 13.714000 ,  3.0,  1,14N,7,7,14007000.0
63, 13.740000 ,  1.0,  1,14N,7,7,14007000.0
64, 13.770000 ,  1.0,  1,14N,7,7,14007000.0
1,  0.000000 ,  0.5, -1,15N,7,8,15000108.89894
2,  5.270155 ,  2.5,  1,15N,7,8,15000108.89894
3,  5.298822 ,  0.5,  1,15N,7,8,15000108.89894
4,  6.323780 ,  1.5, -1,15N,7,8,15000108.89894
5,  7.155050 ,  2.5,  1,15N,7,8,15000108.89894
6,  7.300830 ,  1.5,  1,15N,7,8,15000108.89894
7,  7.567100 ,  3.5,  1,15N,7,8,15000108.89894
8,  8.312620 ,  0.5,  1,15N,7,8,15000108.89894
9,  8.571400 ,  1.5,  1,15N,7,8,15000108.89894
10,  9.049710 ,  0.5,  1,15N,7,8,15000108.89894
11,  9.151900 ,  1.5, -1,15N,7,8,15000108.89894
12,  9.154900 ,  2.5,  1,15N,7,8,15000108.89894
13,  9.222100 ,  0.5, -1,15N,7,8,15000108.89894
14,  9.760000 ,  2.5, -1,15N,7,8,15000108.89894
15,  9.829000 ,  3.5, -1,15N,7,8,15000108.89894
16,  9.925000 ,  1.5, -1,15N,7,8,15000108.89894
17, 10.066000 ,  1.5,  1,15N,7,8,15000108.89894
18, 10.449700 ,  2.5, -1,15N,7,8,15000108.89894
19, 10.533300 ,  2.5,  1,15N,7,8,15000108.89894
20, 10.693200 ,  4.5,  1,15N,7,8,15000108.89894
21, 10.701900 ,  1.5, -1,15N,7,8,15000108.89894
22, 10.804000 ,  1.5,  1,15N,7,8,15000108.89894
23, 11.235000 ,  1.5,  1,15N,7,8,15000108.89894
24, 11.292800 ,  0.5, -1,15N,7,8,15000108.89894
25, 11.437600 ,  0.5,  1,15N,7,8,15000108.89894
26, 11.615000 ,  0.5,  1,15N,7,8,15000108.89894
27, 11.763000 ,  1.5,  1,15N,7,8,15000108.89894
28, 11.876000 ,  1.5, -1,15N,7,8,15000108.89894
29, 11.942000 ,  4.5, -1,15N,7,8,15000108.89894
30, 11.965000 ,  0.5, -1,15N,7,8,15000108.89894
31, 12.095000 ,  2.5,  1,15N,7,8,15000108.89894
32, 12.145000 ,  1.5, -1,15N,7,8,15000108.89894
33, 12.327000 ,  2.5,  1,15N,7,8,15000108.89894
34, 12.493000 ,  2.5,  1,15N,7,8,15000108.89894
35, 12.522000 ,  2.5,  1,15N,7,8,15000108.89894
36, 12.551000 ,  4.5,  1,15N,7,8,15000108.89894
37, 12.920000 ,  1.5, -1,15N,7,8,15000108.89894
38, 12.940000 ,  2.5,  1,15N,7,8,15000108.89894
39, 13.004000 ,  5.5, -1,15N,7,8,15000108.89894
40, 13.149000 ,  1.5,  1,15N,7,8,15000108.89894
41, 13.174000 ,  4.5,  1,15N,7,8,15000108.89894
42, 13.362000 ,  1.5, -1,15N,7,8,15000108.89894
43, 13.390000 ,  1.5,  1,15N,7,8,15000108.89894
44, 13.537000 ,  1.5, -1,15N,7,8,15000108.89894
