Energy,Data
407.931,0.177181
408.32,0.164222
408.709,0.152648
409.033,0.143921
409.358,0.13593
409.682,0.128592
410.006,0.121839
410.33,0.115611
410.817,0.107137
411.303,0.0995751
411.692,0.0940962
412.081,0.0890633
412.47,0.0844271
412.859,0.0801454
413.443,0.0743117
414.026,0.0690972
414.415,0.0659232
414.934,0.0620245
415.453,0.0584658
415.972,0.0552086
416.49,0.0522197
417.009,0.0494704
417.528,0.0469356
418.306,0.0434885
418.89,0.0411501
419.538,0.0387697
420.186,0.0365932
420.835,0.0345979
421.483,0.0327641
422.132,0.0310749
422.78,0.0295153
423.753,0.0273912
424.5,0.0259144
425.248,0.024558
425.995,0.0233096
427.116,0.0216104
428.237,0.0200911
429.358,0.0187298
430.489,0.0174946
431.626,0.0163759
432.763,0.0153639
433.899,0.0144454
435.036,0.0136092
436.178,0.0128424
437.331,0.0121343
438.484,0.011485
439.637,0.0108883
441.174,0.0101648
442.722,0.00950927
444.28,0.00891359
445.839,0.00837434
447.398,0.00788458
448.968,0.00743537
450.548,0.00702257
452.129,0.00664677
453.71,0.00630069
455.302,0.00597944
456.905,0.00568132
459.309,0.00527635
461.725,0.00491384
464.164,0.00458668
466.602,0.00429311
469.064,0.00402625
471.537,0.00378402
474.009,0.00356443
476.517,0.00336204
479.025,0.00317827
482.283,0.00296244
485.455,0.00277356
488.597,0.00260547
491.709,0.00245494
494.822,0.00231821
497.934,0.00219358
501.047,0.00207979
505.715,0.00192678
510.773,0.00178031
514.267,0.0016898
517.882,0.00160397
521.522,0.00152517
525.188,0.00145162
528.88,0.00138331
534.456,0.00129011
539.512,0.00121447
545.016,0.00114082
548.833,0.00109369
552.705,0.00104885
556.576,0.0010076
563.815,0.000936861
569.781,0.000884881
575.574,0.00083898
581.421,0.000796609
587.552,0.000755929
594.94,0.000711295
603.334,0.000666002
610.218,0.000632256
618.827,0.000594104
627.557,0.000559364
636.411,0.00052739
645.39,0.000497931
652.625,0.000476233
663.83,0.000445752
672.275,0.000424754
681.759,0.000403235
691.377,0.000383182
705.849,0.000355884
720.857,0.000330957
736.147,0.000308373
746.533,0.000294439
757.065,0.000281341
773.162,0.000263183
789.562,0.000246465
800.701,0.000236107
817.726,0.000221594
838.753,0.000205593
854.315,0.000194874
875.065,0.000181956
895.815,0.000170349
921.27,0.000157668
942.503,0.000148155
961.956,0.00014026
988.241,0.000130628
1001.39,0.000126167
1020.32,0.000120087
1046.25,0.000112551
1072.19,0.000105727
1098.13,9.95E-05
1124.07,9.39E-05
1150,8.87E-05
1175.94,8.40E-05
1210.36,7.83E-05
1236.03,7.44E-05
1262.31,7.07E-05
1289.09,6.73E-05
1314.84,6.42E-05
1350.12,6.03E-05
1386.37,5.67E-05
1419.32,5.37E-05
1449.43,5.12E-05
1480.24,4.87E-05
1522.31,4.57E-05
1565.56,4.29E-05
1609.33,4.04E-05
1650.3,3.82E-05
1691.27,3.62E-05
1732.24,3.44E-05
1773.22,3.27E-05
1814.19,3.11E-05
1855.16,2.97E-05
1896.13,2.84E-05
1937.11,2.72E-05
1978.08,2.61E-05
2033.19,2.47E-05
2089.08,2.34E-05
2148.45,2.22E-05
2206.04,2.11E-05
2258.56,2.03E-05
2311.09,1.95E-05
2363.61,1.88E-05
2416.13,1.81E-05
2468.66,1.76E-05
2521.18,1.70E-05
2573.7,1.66E-05
2626.23,1.62E-05
2678.75,1.59E-05
2731.27,1.56E-05
2789.21,1.54E-05
2836.32,1.52E-05
2896.48,1.51E-05
2920.76,1.51E-05
2987.26,1.51E-05
3037.14,1.52E-05
3087.01,1.54E-05
3136.89,1.57E-05
3186.76,1.61E-05
3220.01,1.64E-05
3253.26,1.67E-05
3286.51,1.72E-05
3319.76,1.77E-05
3353.01,1.82E-05
3386.26,1.89E-05
3419.51,1.97E-05
3452.76,2.06E-05
3486.01,2.17E-05
3510.95,2.26E-05
3535.89,2.36E-05
3560.82,2.47E-05
3585.76,2.60E-05
3612.36,2.76E-05
3632.31,2.89E-05
3648.94,3.01E-05
3668.89,3.17E-05
3687.31,3.33E-05
3712.64,3.58E-05
3733.13,3.82E-05
3747.19,3.99E-05
3761.26,4.19E-05
3775.32,4.40E-05
3789.39,4.63E-05
3801.92,4.86E-05
3814.46,5.11E-05
3826.99,5.38E-05
3839.53,5.67E-05
3851.8,5.99E-05
3864.06,6.34E-05
3876.33,6.72E-05
3888.6,7.14E-05
3901.57,7.64E-05
3914.54,8.20E-05
3923.76,8.64E-05
3932.99,9.11E-05
3941.87,9.61E-05
3950.75,0.000101593
3961.47,0.000108859
3969.51,0.000114875
3977,0.000120962
3986.61,0.000129559
3993.91,0.000136746
4001.39,0.00014478
4008.87,0.000153576
4016.35,0.00016323
4023.83,0.00017386
4031.31,0.000185603
4039.24,0.000199462
4047.17,0.000214971
