id,max_depth,mss,msl,mt_strategy,normalizer,train_mae,train_mse,train_evs,train_mae_m,train_r2,val_mae,val_mse,val_evs,val_mae_m,val_r2,test_mae,test_mse,test_evs,test_mae_m,test_r2,model_path,training_time,scaler_path
32,70,10,3,one_hot,standard,0.0825286383231064,0.0305406244635286,0.959334131617496,0.0295829735848205,0.959334131617496,0.1212304858115091,0.0599916898058238,0.9206500332037836,0.0460802216539001,0.9206498923001604,0.1221677629979055,0.0611653488269697,0.9186154935792984,0.0460905382902903,0.918614487377797,E:\ML_Models_EXFOR\DT_B0\DT70_MSS10_MSL3_standard_one_hot_B0_v1\DT70_MSS10_MSL3_standard_one_hot_B0_v1.joblib,35.09835624694824,E:\ML_Models_EXFOR\DT_B0\DT70_MSS10_MSL3_standard_one_hot_B0_v1\scaler.pkl
33,70,10,5,one_hot,standard,0.0884002051278355,0.0341861688726093,0.9542579270901552,0.0326335450143735,0.9542579270901552,0.119344316905724,0.0579988903880815,0.9229446943202984,0.0462326326418503,0.9229435560591006,0.1199392729922947,0.0586666063787503,0.921644504983484,0.0462250038143146,0.9216440292821838,E:\ML_Models_EXFOR\DT_B0\DT70_MSS10_MSL5_standard_one_hot_B0_v1\DT70_MSS10_MSL5_standard_one_hot_B0_v1.joblib,34.959142208099365,E:\ML_Models_EXFOR\DT_B0\DT70_MSS10_MSL5_standard_one_hot_B0_v1\scaler.pkl
34,70,10,7,one_hot,standard,0.0944827755851296,0.0381081299653275,0.9487412404380376,0.035972323704515,0.9487412404380376,0.118902761386221,0.0575105187592373,0.9231923884008622,0.04675366275203,0.9231918837698144,0.1197513165818403,0.0585873973323608,0.9211911033164636,0.0467325869423064,0.921190285315146,E:\ML_Models_EXFOR\DT_B0\DT70_MSS10_MSL7_standard_one_hot_B0_v1\DT70_MSS10_MSL7_standard_one_hot_B0_v1.joblib,34.51721978187561,E:\ML_Models_EXFOR\DT_B0\DT70_MSS10_MSL7_standard_one_hot_B0_v1\scaler.pkl
36,70,15,1,one_hot,standard,0.0799907125848171,0.028394003762077,0.9623001865481736,0.0293321518141679,0.9623001865481736,0.122083068241852,0.0631317402856703,0.916757292577091,0.0461540918936843,0.91675520076031,0.1233049278652526,0.0646279296382692,0.9143280815372214,0.0461150296207124,0.9143280812886124,E:\ML_Models_EXFOR\DT_B0\DT70_MSS15_MSL1_standard_one_hot_B0_v1\DT70_MSS15_MSL1_standard_one_hot_B0_v1.joblib,34.98107481002808,E:\ML_Models_EXFOR\DT_B0\DT70_MSS15_MSL1_standard_one_hot_B0_v1\scaler.pkl
37,70,15,3,one_hot,standard,0.0881214271967314,0.0333371682743026,0.9554445286440052,0.0329180986977948,0.9554445286440052,0.1202567926007993,0.0584705468506367,0.922296577040052,0.0464949200515016,0.922296323940159,0.1212790932677162,0.0598107795847739,0.9200677823390732,0.0465092758919363,0.9200671252444852,E:\ML_Models_EXFOR\DT_B0\DT70_MSS15_MSL3_standard_one_hot_B0_v1\DT70_MSS15_MSL3_standard_one_hot_B0_v1.joblib,34.36035776138306,E:\ML_Models_EXFOR\DT_B0\DT70_MSS15_MSL3_standard_one_hot_B0_v1\scaler.pkl
38,70,15,5,one_hot,standard,0.0915834963688432,0.035782428034537,0.9520196081582432,0.0346210611984734,0.9520196081582432,0.1193143041305419,0.05751845269262,0.9233870252412568,0.0467841786654164,0.923385957714195,0.1199787272072788,0.0581653924721242,0.9221183889885778,0.0466697946976608,0.922118084099665,E:\ML_Models_EXFOR\DT_B0\DT70_MSS15_MSL5_standard_one_hot_B0_v1\DT70_MSS15_MSL5_standard_one_hot_B0_v1.joblib,34.651426792144775,E:\ML_Models_EXFOR\DT_B0\DT70_MSS15_MSL5_standard_one_hot_B0_v1\scaler.pkl
39,70,15,7,one_hot,standard,0.0948081133280425,0.0382735557854627,0.9485072705188176,0.0361819051755168,0.9485072705188176,0.1189882610381901,0.0575525664280212,0.923102680113068,0.0468009987376186,0.92310214139713,0.1198651567174924,0.0586390303223007,0.921109347659973,0.0468530407563327,0.9211085377972048,E:\ML_Models_EXFOR\DT_B0\DT70_MSS15_MSL7_standard_one_hot_B0_v1\DT70_MSS15_MSL7_standard_one_hot_B0_v1.joblib,35.036187410354614,E:\ML_Models_EXFOR\DT_B0\DT70_MSS15_MSL7_standard_one_hot_B0_v1\scaler.pkl
40,70,15,10,one_hot,standard,0.1006935670612854,0.0423458697193811,0.9427145764015872,0.0393421255245307,0.9427145764015872,0.1195993432023328,0.0575472501082214,0.9226165192967992,0.0477405251930887,0.9226163603244376,0.1203950921055808,0.058273108673624,0.9210779053218728,0.0477863584787832,0.921077081263161,E:\ML_Models_EXFOR\DT_B0\DT70_MSS15_MSL10_standard_one_hot_B0_v1\DT70_MSS15_MSL10_standard_one_hot_B0_v1.joblib,33.74177861213684,E:\ML_Models_EXFOR\DT_B0\DT70_MSS15_MSL10_standard_one_hot_B0_v1\scaler.pkl
41,80,2,1,one_hot,standard,0.0265183915787932,0.0111503692115034,0.9855265941077596,0.0,0.9855265941077596,0.1341968180296316,0.0792579884552985,0.8981128520237909,0.0475155782469532,0.8981102945833961,0.1356786360136534,0.0814732760976792,0.8949348966710093,0.0478499582971495,0.8949346668147006,E:\ML_Models_EXFOR\DT_B0\DT80_MSS2_MSL1_standard_one_hot_B0_v1\DT80_MSS2_MSL1_standard_one_hot_B0_v1.joblib,37.40074610710144,E:\ML_Models_EXFOR\DT_B0\DT80_MSS2_MSL1_standard_one_hot_B0_v1\scaler.pkl
46,80,5,1,one_hot,standard,0.0524582680948057,0.0168273888116506,0.9779955590334598,0.014064997341606,0.9779955590334598,0.1296661169042223,0.0731417626201627,0.905225248714883,0.0465555193136569,0.905223317034294,0.1308961943391473,0.0748399052700582,0.9025944252847352,0.0466729773902123,0.9025944234953728,E:\ML_Models_EXFOR\DT_B0\DT80_MSS5_MSL1_standard_one_hot_B0_v1\DT80_MSS5_MSL1_standard_one_hot_B0_v1.joblib,36.1024067401886,E:\ML_Models_EXFOR\DT_B0\DT80_MSS5_MSL1_standard_one_hot_B0_v1\scaler.pkl
