#Constant Temperature fit results; RIPL II discrete level library; February 2005 by T. Belgya 
#  Z   A El         T        dT        U0       dU0NlevNmax  N0  Nc     Umax       Uc     Chi Fit Flag NoX  Xm  EX   sigma
#               [MeV]     [MeV]     [MeV]     [MeV]                    [MeV]    [MeV]                         [MeV]       
#-------------------------------------------------------------------------------------------------------------------------
   3   8 Li   0.00000   0.00000   0.00000   1.00000  11   1   1   5  0.00000  5.40000                  0             0.000
   4   8 Be   0.00000   0.00000   0.00000   1.00000  28   1   1  15  0.00000 20.90000                  0             0.000
   5   8 B    0.00000   0.00000   0.00000   1.00000   5   1   1   5  0.00000 10.61900                  0             0.000
   6   8 C    0.00000   0.00000   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   2   9 He   7.36088   5.21299   0.00000   1.00000   6   1   1   2  0.00000  1.10000                  0             0.000
   3   9 Li   7.36088   5.21299   0.00000   1.00000   8   1   1   1  0.00000  0.00000                  0             0.000
   4   9 Be   7.36088   5.21299  -6.22956  13.92280  33  31   7   5 22.40000  3.04900  1.522E-02 *     0             2.121
   5   9 B    7.36088   5.21299  -3.97486  14.70673  22  20  14   1 17.63800  0.00000  8.074E-03       0             2.078
   6   9 C    7.36088   5.21299   0.00000   1.00000   4   1   1   1  0.00000  0.00000                  0             0.000
   2  10 He   6.40134   3.92442   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
   3  10 Li   6.40134   3.92442   0.00000   1.00000  12   1   1   1  0.00000  0.00000                  0             0.000
   4  10 Be   6.40134   3.92442  -5.13819   9.39072  41  17   7   8 13.85000  7.54200  5.380E-03 *     0             2.173
   5  10 B    6.40134   3.92442 -11.17210  11.46892  41  24  14  12  8.07000  6.12910  1.295E-02 *     0             1.771
   6  10 C    6.40134   3.92442   0.00000   1.00000   8   1   1   2  0.00000  3.35370                  0             0.000
   7  10 N    6.40134   3.92442   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
   3  11 Li   5.63138   2.96367   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   4  11 Be   5.63138   2.96367   0.00000   1.00000  15   1   1   2  0.00000  0.32004                  0             0.000
   5  11 B    5.63138   2.96367  -4.74966   7.69814  41  23   7   8 12.00000  7.97784  9.420E-03 *     0             2.006
   6  11 C    5.63138   2.96367  -4.90312   7.15723  36  17   7  13 10.08300  9.20000  1.089E-02 *     0             1.967
   7  11 N    5.63138   2.96367   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   4  12 Be   5.00372   2.24229   0.00000   1.00000   5   1   1   2  0.00000  2.10200                  0             0.000
   5  12 B    5.00372   2.24229  -7.39436   7.14885  50  39  14  16 10.90000  7.06000  4.600E-03 *     0             1.760
   6  12 C    5.00372   2.24229   2.48104   5.53824  56  19   7   4 18.35000  9.64100  1.171E-02 *     0             1.550
   7  12 N    5.00372   2.24229   0.00000   1.00000  19   1   1   5  0.00000  2.43900                  0             0.000
   8  12 O    5.00372   2.24229   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   4  13 Be   4.48550   1.69955   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   5  13 B    4.48550   1.69955  -4.77271   4.54148  23  15  14   1  7.51600  0.00000  1.598E-02       0             0.000
   6  13 C    4.48550   1.69955  -1.50675   4.74501  73  29   8   5 13.57000  6.86400  3.720E-03 *     0             1.965
   7  13 N    4.48550   1.69955  -1.59176   4.19591  54  19   7  12 11.74000  9.47600  4.940E-03 *     0             1.825
   8  13 O    4.48550   1.69955   0.00000   1.00000   4   1   1   1  0.00000  0.00000                  0             0.000
   4  14 Be   4.05313   1.29289   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   5  14 B    4.05313   1.29289   0.00000   1.00000   7   1   1   1  0.00000  0.00000                  0             0.000
   6  14 C    4.05313   1.29289   0.21231   3.45333  46  26   7  11 14.05000 10.42500  6.370E-03 *     0             1.950
   7  14 N    4.05313   1.29289  -3.06258   4.71575 120  64  20  23 13.77000  9.70300  1.490E-03 *     0             1.971
   8  14 O    4.05313   1.29289   0.00000   1.00000  18   1   1   7  0.00000  7.76800                  0             0.000
   5  15 B    3.68930   0.99194   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   6  15 C    3.68930   0.99194  -2.48537   2.44358  31  18   7   6  7.41400  4.78000  1.899E-02 *     0             2.205
   7  15 N    3.68930   0.99194  -0.43149   3.38367 113  56  13  22 14.40000 10.80400  1.560E-03 *     0             1.930
   8  15 O    3.68930   0.99194  -0.85698   3.30702  85  44  16  12 13.02500  8.92200  2.650E-03 *     0             1.788
   9  15 F    3.68930   0.99194   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
   5  16 B    3.38102   0.77455   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   6  16 C    3.38102   0.77455   0.00000   1.00000   7   1   1   2  0.00000  1.76600                  0             0.000
   7  16 N    3.38102   0.77455  -4.19299   2.46078  66  33  17   4  7.67400  0.39727  2.110E-03 *     0             2.017
   8  16 O    3.38102   0.77455   2.76939   2.14142 134  29   7  12 14.10000 11.09670  3.050E-03 *     0             1.775
   9  16 F    3.38102   0.77455  -3.15381   2.03167  28  24   7   8  7.50000  4.65400  5.839E-02   F   0             1.876
  10  16 Ne   3.38102   0.77455   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
   5  17 B    3.11835   0.62356   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   6  17 C    3.11835   0.62356   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
   7  17 N    3.11835   0.62356  -3.02390   1.69159  35  30   7   7  8.14000  3.20420  8.320E-03 *     0             1.841
   8  17 O    3.11835   0.62356  -1.92453   2.03368 118  47  12   9 10.04500  5.69730  4.130E-03 *     0             2.047
   9  17 F    3.11835   0.62356  -2.07453   2.07042  77  37  20   9  9.45000  5.67200  2.990E-03 *     0             1.787
  10  17 Ne   3.11835   0.62356   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   6  18 C    2.89362   0.52408   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
   7  18 N    2.89362   0.52408   0.00000   1.00000   8   1   1   1  0.00000  0.00000                  0             0.000
   8  18 O    2.89362   0.52408  -0.89951   1.46647 119  32   7  12  9.10000  6.19822  5.560E-03 *     0             2.006
   9  18 F    2.89362   0.52408  -4.17571   1.94362  99  76  18  24  8.23800  5.29760  3.780E-03 *     0             2.096
  10  18 Ne   2.89362   0.52408  -1.28286   1.20472  22  14   7   8  6.35300  4.59000  2.808E-02       0             1.860
   7  19 N    2.70084   0.46186   0.00000   1.00000   6   1   1   1  0.00000  0.00000                  0             0.000
   8  19 O    2.70084   0.46186  -2.39625   1.27351  55  28   8   5  6.58300  2.77900  6.560E-03 *     0             2.162
   9  19 F    2.70084   0.46186  -2.65552   1.52627 191  67   7  16  8.65000  5.10660  5.920E-03 *     0             2.375
  10  19 Ne   2.70084   0.46186  -2.35962   1.23898  69  27   7   8  6.43700  4.03290  1.101E-02 *     0             2.308
   6  20 C    2.53527   0.42347   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   7  20 N    2.53527   0.42347   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   8  20 O    2.53527   0.42347  -0.22299   0.92263  21  11   7   6  5.61400  4.85000  4.136E-02       0             1.917
   9  20 F    2.53527   0.42347  -4.41714   1.63427 153 108  14   8  7.42000  1.84380  6.170E-03 *     0             1.792
  10  20 Ne   2.53527   0.42347   1.50992   1.32222 233  49   7   6 11.32000  5.78770  3.600E-03 *     0             2.354
  11  20 Na   2.53527   0.42347  -3.22773   1.03786  25  19   7   8  4.15000  2.05700  5.164E-02   F   0             1.858
  12  20 Mg   2.53527   0.42347   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   7  21 N    2.39316   0.39780   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   8  21 O    2.39316   0.39780   0.00000   1.00000   6   1   1   1  0.00000  0.00000                  0             0.000
   9  21 F    2.39316   0.39780  -2.23656   1.04524  37  26   7   4  5.59200  1.73040  9.710E-03 *     0             1.753
  10  21 Ne   2.39316   0.39780  -1.48482   1.34031 117  71   7  14  8.68000  5.33520  4.400E-03 *     0             2.602
  11  21 Na   2.39316   0.39780  -1.38775   1.09943  64  26   9  11  6.46800  4.29430  4.950E-03 *     0             2.076
  12  21 Mg   2.39316   0.39780  -1.89540   0.91609  22  14   7   2  4.26100  0.20000  4.182E-02       0             1.671
  13  21 Al   2.39316   0.39780   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   6  22 C    2.27155   0.37703   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   7  22 N    2.27155   0.37703   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   8  22 O    2.27155   0.37703   0.00000   1.00000   7   1   1   1  0.00000  0.00000                  0             0.000
   9  22 F    2.27155   0.37703  -2.29371   0.75579  22   8   7   1  2.57220  0.00000  5.218E-02   F   0             0.000
  10  22 Ne   2.27155   0.37703   0.39068   1.18365 104  50   7   7  9.25000  5.36320  4.690E-03 *     0             2.221
  11  22 Na   2.27155   0.37703  -2.38521   1.26877 152  42  19  16  6.09000  4.07156  2.970E-03 *     0             2.228
  12  22 Mg   2.27155   0.37703   0.26954   1.01201  68  26   7   4  7.81000  4.40200  9.210E-03 *     0             2.345
  13  22 Al   2.27155   0.37703   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
  14  22 Si   2.27155   0.37703   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   7  23 N    2.16783   0.35674   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   8  23 O    2.16783   0.35674   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   9  23 F    2.16783   0.35674   0.00000   1.00000  18   1   1   1  0.00000  0.00000                  0             0.000
  10  23 Ne   2.16783   0.35674  -1.59198   1.12441  51  36  14   2  6.09300  1.01695  6.190E-03 *     0             1.650
  11  23 Na   2.16783   0.35674  -0.62325   1.20582 227  73   7  16  8.66380  5.76603  4.500E-03 *     0             2.164
  12  23 Mg   2.16783   0.35674  -0.58482   1.02686 101  37   7   4  7.25800  2.35900  9.410E-03 *     0             2.157
  13  23 Al   2.16783   0.35674   0.00000   1.00000   8   1   1   2  0.00000  0.55000                  0             0.000
  14  23 Si   2.16783   0.35674   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   8  24 O    2.07899   0.33587   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   9  24 F    2.07899   0.33587   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
  10  24 Ne   2.07899   0.33587   0.00000   1.00000   9   1   1   5  0.00000  4.76400                  0             0.000
  11  24 Na   2.07899   0.33587  -2.76383   1.18405 103  53  20   4  5.47896  1.34143  3.740E-03 *     0             2.102
  12  24 Mg   2.07899   0.33587   2.78295   0.92171 180  28   7  11  9.53270  7.74770  5.190E-03 *     0             2.408
  13  24 Al   2.07899   0.33587  -2.22562   0.97822  46  24  14   3  4.46500  0.51000  4.570E-03 *     0             2.325
  14  24 Si   2.07899   0.33587   0.00000   1.00000   3   1   1   2  0.00000  1.86000                  0             0.000
   8  25 O    2.00241   0.31496   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   9  25 F    2.00241   0.31496   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  10  25 Ne   2.00241   0.31496   0.00000   1.00000   8   1   1   1  0.00000  0.00000                  0             0.000
  11  25 Na   2.00241   0.31496  -1.08427   0.94747  43  30  13   4  5.74600  2.20200  3.880E-03 *     0             1.708
  12  25 Mg   2.00241   0.31496  -0.92720   0.88041 130  33   7  16  6.16900  4.71140  8.210E-03 *     0             2.579
  13  25 Al   2.00241   0.31496  -1.06638   0.85914  65  30   7   3  6.12200  0.94480  1.021E-02 *     0             1.923
  14  25 Si   2.00241   0.31496   0.00000   1.00000  13   1   1   1  0.00000  0.00000                  0             0.000
  15  25 P    2.00241   0.31496   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   8  26 O    1.93591   0.29522   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   9  26 F    1.93591   0.29522   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  10  26 Ne   1.93591   0.29522   0.00000   1.00000   3   1   1   3  0.00000  3.69120                  0             0.000
  11  26 Na   1.93591   0.29522  -1.80968   0.70937  25  17   7   3  3.61800  0.23360  3.405E-02       0             0.000
  12  26 Mg   1.93591   0.29522   0.72252   0.88436 200  42   7  18  7.95300  6.62200  6.740E-03 *     0             2.289
  13  26 Al   1.93591   0.29522  -2.20433   1.03844 172  61  16  24  5.72638  3.75363  2.940E-03 *     0             2.387
  14  26 Si   1.93591   0.29522   0.09189   0.62811  29  10   7   4  4.44600  3.33250  4.444E-02       0             0.000
  15  26 P    1.93591   0.29522   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   9  27 F    1.87767   0.27815   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  10  27 Ne   1.87767   0.27815   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  11  27 Na   1.87767   0.27815   0.00000   1.00000   6   1   1   1  0.00000  0.00000                  0             0.000
  12  27 Mg   1.87767   0.27815  -0.52097   0.79966  56  31   9   4  5.92593  1.94035  5.250E-03 *     0             1.860
  13  27 Al   1.87767   0.27815  -0.16389   0.72609 244  24   7  39  5.82700  6.81380  1.038E-02 *     0             2.372
  14  27 Si   1.87767   0.27815  -0.26929   0.72593  83  24   7   5  5.61300  2.64760  1.048E-02 *     0             2.359
  15  27 P    1.87767   0.27815   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  16  27 S    1.87767   0.27815   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   9  28 F    1.82611   0.26520   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  10  28 Ne   1.82611   0.26520   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  11  28 Na   1.82611   0.26520   0.00000   1.00000   3   1   1   3  0.00000  2.92740                  0             0.000
  12  28 Mg   1.82611   0.26520   1.06552   0.62466  22  15   7   8  5.91700  5.17180  4.454E-02       0             1.578
  13  28 Al   1.82611   0.26520  -1.96971   0.88253 117  49  14  13  5.19044  2.65609  3.960E-03 *     0             2.158
  14  28 Si   1.82611   0.26520   3.45721   0.74031 286  30   7  17  9.79595  8.58871  5.010E-03 *     0             2.361
  15  28 P    1.82611   0.26520  -2.00552   0.77236  33  24  14   2  3.91100  0.10564  6.650E-03 *     0             1.973
  16  28 S    1.82611   0.26520   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
   9  29 F    1.77987   0.25737   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  10  29 Ne   1.77987   0.25737   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  11  29 Na   1.77987   0.25737   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  12  29 Mg   1.77987   0.25737   0.00000   1.00000  14   1   1   1  0.00000  0.00000                  0             0.000
  13  29 Al   1.77987   0.25737  -0.47470   0.74014  50  27  11   8  5.43300  3.43290  5.670E-03 *     0             2.079
  14  29 Si   1.77987   0.25737   0.93089   0.74085 132  35   7  20  7.19700  6.42400  5.560E-03 *     0             2.357
  15  29 P    1.77987   0.25737   0.71342   0.66232  68  22   7   8  6.32800  4.34300  3.930E-03 *     0             2.051
  16  29 S    1.77987   0.25737   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  17  29 Cl   1.77987   0.25737   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  10  30 Ne   1.73771   0.25483   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  11  30 Na   1.73771   0.25483   0.00000   1.00000   2   1   1   2  0.00000  0.15060                  0             0.000
  12  30 Mg   1.73771   0.25483   0.00000   1.00000  12   1   1   2  0.00000  1.48220                  0             0.000
  13  30 Al   1.73771   0.25483  -1.42446   0.52527  22   9   7   1  2.45400  0.00000  5.325E-02   F   0             0.000
  14  30 Si   1.73771   0.25483   1.60064   0.66377 136  23   7  30  7.07900  7.63400  1.036E-02 *     0             2.188
  15  30 P    1.73771   0.25483  -0.57753   0.87646 150  51  17  26  6.29930  4.94100  4.250E-03 *     0             2.317
  16  30 S    1.73771   0.25483   0.00000   1.00000   6   1   1   3  0.00000  3.40260                  0             0.000
  17  30 Cl   1.73771   0.25483   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   9  31 F    1.69850   0.25668   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  10  31 Ne   1.69850   0.25668   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  11  31 Na   1.69850   0.25668   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  12  31 Mg   1.69850   0.25668   0.00000   1.00000  11   1   1   1  0.00000  0.00000                  0             0.000
  13  31 Al   1.69850   0.25668   0.00000   1.00000  14   1   1   1  0.00000  0.00000                  0             0.000
  14  31 Si   1.69850   0.25668   0.52020   0.74260  69  36   7   4  6.60300  2.31694  4.710E-03 *     0             1.708
  15  31 P    1.69850   0.25668   0.51306   0.73244 172  34   7  18  6.50060  5.34310  5.170E-03 *     0             2.238
  16  31 S    1.69850   0.25668   0.39211   0.68104  59  25   7   4  5.89400  3.07900  6.000E-03 *     0             1.609
  17  31 Cl   1.69850   0.25668   0.31861   0.68617  25  15  14   1  4.90100  0.00000  6.456E-03       0             0.000
  18  31 Ar   1.69850   0.25668   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  10  32 Ne   1.66119   0.26107   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  11  32 Na   1.66119   0.26107   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  12  32 Mg   1.66119   0.26107   0.00000   1.00000   8   1   1   2  0.00000  0.88530                  0             0.000
  13  32 Al   1.66119   0.26107   0.00000   1.00000   5   1   1   1  0.00000  0.00000                  0             0.000
  14  32 Si   1.66119   0.26107   1.84120   0.63528  57  17   7   4  6.38800  4.98390  1.247E-02 *     0             1.963
  15  32 P    1.66119   0.26107  -1.11485   0.82612 140  37  14  16  4.87737  3.44300  3.820E-03 *     0             2.100
  16  32 S    1.66119   0.26107   2.17517   0.73798 302  32   7  12  7.97490  6.41100  6.680E-03 *     0             2.157
  17  32 Cl   1.66119   0.26107  -0.89488   0.77106  48  26  14   1  4.78800  0.00000  1.563E-02 *     0             1.760
  18  32 Ar   1.66119   0.26107   0.00000   1.00000   2   1   1   2  0.00000  1.86700                  0             0.000
  11  33 Na   1.62481   0.26559   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  12  33 Mg   1.62481   0.26559   0.00000   1.00000   7   1   1   1  0.00000  0.00000                  0             0.000
  13  33 Al   1.62481   0.26559   0.00000   1.00000  14   1   1   1  0.00000  0.00000                  0             0.000
  14  33 Si   1.62481   0.26559   0.00000   1.00000   8   1   1   1  0.00000  0.00000                  0             0.000
  15  33 P    1.62481   0.26559   0.80481   0.72418  36  28   7   4  6.18200  2.53860  1.026E-02 *     0             2.094
  16  33 S    1.62481   0.26559  -0.04257   0.76759 152  36   7  16  5.72600  4.37490  6.060E-03 *     0             1.984
  17  33 Cl   1.62481   0.26559  -0.03538   0.69494  85  24   7   4  5.10400  2.35180  1.229E-02 *     0             1.712
  18  33 Ar   1.62481   0.26559   0.00000   1.00000   8   1   1   1  0.00000  0.00000                  0             0.000
  19  33 K    1.62481   0.26559   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  10  34 Ne   1.58844   0.26768   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  11  34 Na   1.58844   0.26768   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  12  34 Mg   1.58844   0.26768   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  13  34 Al   1.58844   0.26768   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  14  34 Si   1.58844   0.26768   0.00000   1.00000   6   1   1   2  0.00000  3.32770                  0             0.000
  15  34 P    1.58844   0.26768   0.00000   1.00000  13   1   1   3  0.00000  1.60760                  0             0.000
  16  34 S    1.58844   0.26768   1.35638   0.77984 134  36   7  13  6.95422  5.38099  3.310E-03 *     0             2.091
  17  34 Cl   1.58844   0.26768  -1.18164   0.91556 119  44  20  18  4.82440  3.63140  3.030E-03 *     0             2.201
  18  34 Ar   1.58844   0.26768   1.52976   0.58267  21  11   7   4  5.31000  3.87100  1.102E-02       0             1.882
  19  34 K    1.58844   0.26768   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  20  34 Ca   1.58844   0.26768   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  11  35 Na   1.55125   0.26497   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  12  35 Mg   1.55125   0.26497   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  13  35 Al   1.55125   0.26497   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  14  35 Si   1.55125   0.26497   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  15  35 P    1.55125   0.26497   3.09384   0.70815  20  15  14   3  7.44000  3.85970  4.792E-02       0             1.586
  16  35 S    1.55125   0.26497  -0.15434   0.79936  53  32  12   7  5.54500  3.42100  9.320E-03 *     0             1.775
  17  35 Cl   1.55125   0.26497   0.35368   0.75660 235  34   7  15  5.82300  4.34770  7.620E-03 *     0             2.139
  18  35 Ar   1.55125   0.26497   0.52894   0.68733  38  23   7   2  5.59100  1.18400  1.291E-02 *     0             1.491
  19  35 K    1.55125   0.26497   0.00000   1.00000  14   1   1   1  0.00000  0.00000                  0             0.000
  20  35 Ca   1.55125   0.26497   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  12  36 Mg   1.51273   0.25596   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  13  36 Al   1.51273   0.25596   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  14  36 Si   1.51273   0.25596   0.00000   1.00000   2   1   1   2  0.00000  1.39900                  0             0.000
  15  36 P    1.51273   0.25596   0.00000   1.00000   6   1   1   1  0.00000  0.00000                  0             0.000
  16  36 S    1.51273   0.25596   1.82028   0.60386  24  15   7   9  5.83090  5.25120  5.120E-02   F   0             2.148
  17  36 Cl   1.51273   0.25596  -1.03970   0.81630 128  35  16  13  4.31565  2.89635  2.700E-03 *     0             2.062
  18  36 Ar   1.51273   0.25596   2.14978   0.70603 187  29   7   3  7.35390  4.17833  1.016E-02 *     0             2.425
  19  36 K    1.51273   0.25596   0.00000   1.00000  16   1   1   1  0.00000  0.00000                  0             0.000
  20  36 Ca   1.51273   0.25596   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  11  37 Na   1.47334   0.24137   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  12  37 Mg   1.47334   0.24137   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  13  37 Al   1.47334   0.24137   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  14  37 Si   1.47334   0.24137   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  15  37 P    1.47334   0.24137   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  16  37 S    1.47334   0.24137  -0.34630   0.61384  37  21   7   2  4.07200  0.64618  3.151E-02       0             2.045
  17  37 Cl   1.47334   0.24137   0.36237   0.79807  83  61   7   4  6.41500  3.10350  9.340E-03 *     0             2.386
  18  37 Ar   1.47334   0.24137  -0.00428   0.72499 101  33  11  14  5.12980  3.93670  2.510E-03 *     0             2.309
  19  37 K    1.47334   0.24137  -0.02461   0.69109  91  28  10   4  4.84240  2.17018  5.600E-03 *     0             1.849
  20  37 Ca   1.47334   0.24137   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  12  38 Mg   1.43375   0.22274   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  13  38 Al   1.43375   0.22274   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  14  38 Si   1.43375   0.22274   0.00000   1.00000   2   1   1   2  0.00000  1.08400                  0             0.000
  15  38 P    1.43375   0.22274   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  16  38 S    1.43375   0.22274   0.00000   1.00000  15   1   1   2  0.00000  1.29200                  0             0.000
  17  38 Cl   1.43375   0.22274  -0.75169   0.64911  40  24  14   5  3.86240  1.61741  9.930E-03 *     0             1.947
