id,distance_metric,distance_type,mt_strategy,normalizer,train_mae,train_mse,train_evs,train_mae_m,train_r2,val_mae,val_mse,val_evs,val_mae_m,val_r2,test_mae,test_mse,test_evs,test_mae_m,test_r2,model_path,training_time,scaler_path,run_name
11,euclidean,distance,one_hot,robust,0.025857197013552,0.010922740710847251,0.9858281665443368,0.0,0.9858281664173488,0.11547488596347165,0.05885589223248861,0.9219754372518136,0.041109712949684574,0.9219751453270176,0.11510317996878575,0.059201649064833564,0.921560336410472,0.04111644499278988,0.9215598590667604,E:\ML_Models_EXFOR\KNN_B1\k11_distance_euclidean_robust_one_hot_B1_v1\k11_distance_euclidean_robust_one_hot_B1_v1.joblib,1909.9010968208315,E:\ML_Models_EXFOR\KNN_B1\k11_distance_euclidean_robust_one_hot_B1_v1\scaler.pkl,k11_distance_euclidean_robust_one_hot_B1_v1
7,euclidean,distance,one_hot,robust,0.02594442873506565,0.011033016372612921,0.9856849670983622,0.0,0.98568496415171,0.116204053783459,0.06001149317298229,0.9213842729047418,0.04084510916520352,0.9213840623296364,0.1152751832765564,0.05951807830846963,0.9206464320444484,0.04067385291668685,0.9206450960900175,E:\ML_Models_EXFOR\KNN_B1\k7_distance_euclidean_robust_one_hot_B1_v1\k7_distance_euclidean_robust_one_hot_B1_v1.joblib,1823.889850616455,E:\ML_Models_EXFOR\KNN_B1\k7_distance_euclidean_robust_one_hot_B1_v1\scaler.pkl,k7_distance_euclidean_robust_one_hot_B1_v1
19,euclidean,distance,one_hot,robust,0.025823285321304446,0.010890229761228548,0.9858761180474258,0.0,0.9858761171680314,0.11624102186384296,0.05997649925534666,0.91949185093581,0.04236477928190263,0.919491515167154,0.115898620844086,0.0581437193545092,0.9224519413716736,0.042526287367865456,0.9224519321440702,E:\ML_Models_EXFOR\KNN_B1\k19_distance_euclidean_robust_one_hot_B1_v1\k19_distance_euclidean_robust_one_hot_B1_v1.joblib,1980.4546535015106,E:\ML_Models_EXFOR\KNN_B1\k19_distance_euclidean_robust_one_hot_B1_v1\scaler.pkl,k19_distance_euclidean_robust_one_hot_B1_v1
3,euclidean,distance,one_hot,robust,0.0265608006016336,0.012025976585963574,0.9844260952393036,0.0,0.9844260951503316,0.1208042087179284,0.06560002076528099,0.9143099549364879,0.04150613587452745,0.914309916872005,0.12092815396739065,0.06581346703498292,0.913373824632384,0.041503558196296766,0.913373025458274,E:\ML_Models_EXFOR\KNN_B1\k3_distance_euclidean_robust_one_hot_B1_v1\k3_distance_euclidean_robust_one_hot_B1_v1.joblib,2191.985467195511,E:\ML_Models_EXFOR\KNN_B1\k3_distance_euclidean_robust_one_hot_B1_v1\scaler.pkl,k3_distance_euclidean_robust_one_hot_B1_v1
11,manhattan,distance,one_hot,robust,0.025857197013552,0.010922740710847251,0.9858281665443368,0.0,0.9858281664173488,0.11547797272374595,0.05899249639413669,0.9217824615080756,0.04109843894584494,0.92178219299135,0.1150445657004215,0.059270942021760524,0.921456504366344,0.041114497438257125,0.9214561225067468,E:\ML_Models_EXFOR\KNN_B1\k11_distance_manhattan_robust_one_hot_B1_v1\k11_distance_manhattan_robust_one_hot_B1_v1.joblib,1805.8429982662199,E:\ML_Models_EXFOR\KNN_B1\k11_distance_manhattan_robust_one_hot_B1_v1\scaler.pkl,k11_distance_manhattan_robust_one_hot_B1_v1
15,euclidean,distance,one_hot,robust,0.025821266315991003,0.010888053307732121,0.9858707783850508,0.0,0.9858707776028622,0.11587703746248433,0.05916049103379769,0.9212289148771984,0.041882531046829034,0.9212275456170436,0.11618071318332004,0.060464186460379175,0.918910318483956,0.04170999421581294,0.9189102974192164,E:\ML_Models_EXFOR\KNN_B1\k15_distance_euclidean_robust_one_hot_B1_v1\k15_distance_euclidean_robust_one_hot_B1_v1.joblib,2039.994631767273,E:\ML_Models_EXFOR\KNN_B1\k15_distance_euclidean_robust_one_hot_B1_v1\scaler.pkl,k15_distance_euclidean_robust_one_hot_B1_v1
7,manhattan,distance,one_hot,robust,0.02594442873506565,0.011033016372612921,0.9856849670983622,0.0,0.9856849641517099,0.11618744124254199,0.0600639021207651,0.921315339104798,0.04083616456125305,0.9213151252126818,0.1153129614833335,0.05975004748341105,0.9202871601326188,0.04066377203889998,0.9202859622420928,E:\ML_Models_EXFOR\KNN_B1\k7_distance_manhattan_robust_one_hot_B1_v1\k7_distance_manhattan_robust_one_hot_B1_v1.joblib,2091.5351548194885,E:\ML_Models_EXFOR\KNN_B1\k7_distance_manhattan_robust_one_hot_B1_v1\scaler.pkl,k7_distance_manhattan_robust_one_hot_B1_v1
19,manhattan,distance,one_hot,robust,0.025823285321304446,0.010890229761228548,0.9858761180474258,0.0,0.9858761171680314,0.1161970703158455,0.06003968927789612,0.9194014077048644,0.0423378210689726,0.9194010936108712,0.11584234371177482,0.058156103255256726,0.922399893347205,0.04251977540499108,0.9223998762200568,E:\ML_Models_EXFOR\KNN_B1\k19_distance_manhattan_robust_one_hot_B1_v1\k19_distance_manhattan_robust_one_hot_B1_v1.joblib,2011.270656108856,E:\ML_Models_EXFOR\KNN_B1\k19_distance_manhattan_robust_one_hot_B1_v1\scaler.pkl,k19_distance_manhattan_robust_one_hot_B1_v1
3,manhattan,distance,one_hot,robust,0.0265608006016336,0.012025976585963574,0.9844260952393036,0.0,0.9844260951503316,0.12078971488711175,0.0655326387239754,0.9143890033687606,0.04150613587452745,0.914388977268056,0.12096376586905196,0.0659831078300468,0.9131166396590664,0.0414982753646575,0.913115933519124,E:\ML_Models_EXFOR\KNN_B1\k3_distance_manhattan_robust_one_hot_B1_v1\k3_distance_manhattan_robust_one_hot_B1_v1.joblib,2332.429553747177,E:\ML_Models_EXFOR\KNN_B1\k3_distance_manhattan_robust_one_hot_B1_v1\scaler.pkl,k3_distance_manhattan_robust_one_hot_B1_v1
12,euclidean,distance,one_hot,robust,0.025846383705623626,0.010902374646832948,0.9858544835945166,0.0,0.9858544835902521,0.11550256339785844,0.05874430838358975,0.9220675994911792,0.041162726787925034,0.9220673715400016,0.11515519346286655,0.059152745213826574,0.9215795395667644,0.0412495572055559,0.9215790845408204,E:\ML_Models_EXFOR\KNN_B1\k12_distance_euclidean_robust_one_hot_B1_v1\k12_distance_euclidean_robust_one_hot_B1_v1.joblib,1699.8117969036102,E:\ML_Models_EXFOR\KNN_B1\k12_distance_euclidean_robust_one_hot_B1_v1\scaler.pkl,k12_distance_euclidean_robust_one_hot_B1_v1
