id,distance_metric,distance_type,mt_strategy,normalizer,train_mae,train_mse,train_evs,train_mae_m,train_r2,val_mae,val_mse,val_evs,val_mae_m,val_r2,test_mae,test_mse,test_evs,test_mae_m,test_r2,model_path,training_time,scaler_path,MT_STRATEGY,run_name
11,manhattan,distance,,robust,0.02586380997565754,0.0109161196171739,0.9858334209515088,0.0,0.9858334201428192,0.11924799874117675,0.06365476487964243,0.9150763131103142,0.042236588711123485,0.9150731920685041,0.11901729451378075,0.06428374588466154,0.9149999846311156,0.04232663691320912,0.9149998097802906,E:\ML_Models_EXFOR\KNN_B0\k11_distance_manhattan_robust_one_hot_B0_v4\k11_distance_manhattan_robust_one_hot_B0_v4.joblib,9550.977643251419,E:\ML_Models_EXFOR\KNN_B0\k11_distance_manhattan_robust_one_hot_B0_v4\scaler.pkl,one_hot,
2,euclidean,distance,,robust,0.027641753732570783,0.01370899368457133,0.9822565281197742,0.0,0.9822564864541042,0.12748293783256615,0.07544961650689162,0.9012576173657416,0.04245292370349911,0.9012576016553172,0.12876193629029345,0.0781811858677426,0.8975354403807544,0.042470770853562,0.8975342628961152,E:\ML_Models_EXFOR\KNN_B0\k2_distance_euclidean_robust_one_hot_B0_v4\k2_distance_euclidean_robust_one_hot_B0_v4.joblib,10127.498994112017,E:\ML_Models_EXFOR\KNN_B0\k2_distance_euclidean_robust_one_hot_B0_v4\scaler.pkl,one_hot,
7,manhattan,distance,,standard,0.025959234651625928,0.0110879113424363,0.9856233978754656,0.0,0.9856233978297372,0.11837409507898372,0.06303393608168485,0.9158328876269988,0.04102950184535592,0.9158319384338768,0.1168441889718076,0.06065852593527341,0.9197207025346446,0.04101432276780692,0.9197203703855849,E:\ML_Models_EXFOR\KNN_B0\k7_distance_manhattan_standard_one_hot_B0_v4\k7_distance_manhattan_standard_one_hot_B0_v4.joblib,8614.74530673027,E:\ML_Models_EXFOR\KNN_B0\k7_distance_manhattan_standard_one_hot_B0_v4\scaler.pkl,one_hot,
7,euclidean,distance,,robust,0.02598715440393853,0.011080099561855456,0.9856431404507072,0.0,0.9856431350271758,0.11960348240656135,0.06707592917459257,0.9103863426471956,0.04167531619107023,0.9103856272209502,0.1212691154723608,0.06696037273399455,0.9113394762698616,0.042189538792843706,0.9113393418223018,E:\ML_Models_EXFOR\KNN_B0\k7_distance_euclidean_robust_one_hot_B0_v4\k7_distance_euclidean_robust_one_hot_B0_v4.joblib,10547.42614364624,E:\ML_Models_EXFOR\KNN_B0\k7_distance_euclidean_robust_one_hot_B0_v4\scaler.pkl,one_hot,
16,manhattan,distance,,standard,0.0258456332766593,0.010879987244997804,0.9858748021965714,0.0,0.9858747951311941,0.1175693388658361,0.060747821997445835,0.9189695753447488,0.042773787285190455,0.9189693422886034,0.1176044704166058,0.06210768611632004,0.9166907626431284,0.04228450922549487,0.9166905186061092,E:\ML_Models_EXFOR\KNN_B0\k16_distance_manhattan_standard_one_hot_B0_v4\k16_distance_manhattan_standard_one_hot_B0_v4.joblib,8681.835038185121,E:\ML_Models_EXFOR\KNN_B0\k16_distance_manhattan_standard_one_hot_B0_v4\scaler.pkl,one_hot,
13,euclidean,distance,,standard,0.025815658795795244,0.010836477057985313,0.9859383931547392,0.0,0.9859383925960726,0.1190722679828682,0.06327498544898036,0.91646056722554,0.042495802817720287,0.9164597101652288,0.11974249437436275,0.06488852417821396,0.913288822557994,0.042501187340652835,0.91328774623077,E:\ML_Models_EXFOR\KNN_B0\k13_distance_euclidean_standard_one_hot_B0_v4\k13_distance_euclidean_standard_one_hot_B0_v4.joblib,8003.673495531081,E:\ML_Models_EXFOR\KNN_B0\k13_distance_euclidean_standard_one_hot_B0_v4\scaler.pkl,one_hot,
3,euclidean,distance,,standard,0.0265877793354834,0.01203705561961554,0.9844058922303484,0.0,0.9844058922270392,0.12316443257769988,0.06958958822795966,0.9085108453154748,0.04187313956706931,0.90851083617416,0.12226839480828385,0.06730265222094711,0.911491519121237,0.042199087719304695,0.9114914145620132,E:\ML_Models_EXFOR\KNN_B0\k3_distance_euclidean_standard_one_hot_B0_v4\k3_distance_euclidean_standard_one_hot_B0_v4.joblib,8438.813445806503,E:\ML_Models_EXFOR\KNN_B0\k3_distance_euclidean_standard_one_hot_B0_v4\scaler.pkl,one_hot,
17,manhattan,distance,,robust,0.025803164217093368,0.010870613322968186,0.9859021904726626,0.0,0.9859021886839368,0.12011047087828808,0.06437579090095984,0.9136367936704759,0.04331066558006985,0.9136341765793848,0.12043875053522285,0.06423398074509462,0.9136719636925228,0.04353539814711449,0.9136715007794628,E:\ML_Models_EXFOR\KNN_B0\k17_distance_manhattan_robust_one_hot_B0_v4\k17_distance_manhattan_robust_one_hot_B0_v4.joblib,9534.862984895706,E:\ML_Models_EXFOR\KNN_B0\k17_distance_manhattan_robust_one_hot_B0_v4\scaler.pkl,one_hot,
8,euclidean,distance,,standard,0.025930846590695486,0.011043402547866921,0.9856783397103096,0.0,0.9856783391004648,0.11932072332874173,0.06424393776643461,0.9139835563516324,0.04143949954509857,0.9139831837926206,0.1178516122716328,0.0618849010357047,0.9179237082922808,0.041426282244744594,0.9179236893962904,E:\ML_Models_EXFOR\KNN_B0\k8_distance_euclidean_standard_one_hot_B0_v4\k8_distance_euclidean_standard_one_hot_B0_v4.joblib,7271.256266593933,E:\ML_Models_EXFOR\KNN_B0\k8_distance_euclidean_standard_one_hot_B0_v4\scaler.pkl,one_hot,
12,euclidean,distance,,robust,0.02585427101256831,0.010900018562245628,0.9858534113587571,0.0,0.9858534105796356,0.12165600109275093,0.06669389848469677,0.9106750313036148,0.04303378517228162,0.9106706666764174,0.12137855297701299,0.06740259361057674,0.9105894886736472,0.04304108873702917,0.9105891375337756,E:\ML_Models_EXFOR\KNN_B0\k12_distance_euclidean_robust_one_hot_B0_v4\k12_distance_euclidean_robust_one_hot_B0_v4.joblib,9726.60907793045,E:\ML_Models_EXFOR\KNN_B0\k12_distance_euclidean_robust_one_hot_B0_v4\scaler.pkl,one_hot,
