S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),Element_w_A
,,2111.91,9.53,-8220.46,9.76,,,15826.46,9.53,,,13O
1265.9,132.26,,,-11667.56,161.58,36934.61,132.25,,,15321.23,132.25,14Be
5848.35,21.25,39923.83,36.75,-11813.85,24.74,20800.27,21.21,-40606.17,73.15,12467.36,21.21,14B
13122.74,0.0,36635.81,1.91,-12012.51,0.08,-4987.89,0.03,-37928.15,10.18,-10396.91,0.27,14C
30617.29,1.0,25083.92,1.32,-11612.11,0.01,-29100.99,41.12,-20987.5,1.0,-28323.33,9.53,14N
40049.47,24.0,6570.16,0.03,-10115.81,0.07,,,-2406.2,0.03,,,14O
,,-48.39,41.13,-9260.54,402.11,,,19329.95,41.12,,,14F
-24.1,166.11,,,,,39952.67,165.8,,,18090.81,167.15,15Be
3746.34,21.06,42600.59,73.09,-14194.93,21.04,28856.8,21.03,,,17867.03,21.03,15B
9394.5,0.8,38363.87,10.21,-12728.94,0.83,7017.54,0.94,-37370.32,132.25,-1061.59,0.8,15C
21386.68,0.27,31038.45,1.0,-10991.18,0.01,-16465.31,14.0,-30851.22,21.21,-15977.66,0.03,15N
36402.46,9.54,14847.34,0.49,-10218.71,0.49,-37359.77,66.69,-7453.26,0.49,-37180.11,41.12,15O
,,3356.67,14.0,-10161.72,48.23,,,6414.36,14.0,,,15F
,,-2522.0,66.0,,,,,24918.62,66.68,,,15Ne
-1350.0,100.0,,,,,43753.0,165.84,,,20417.57,167.13,16Be
2693.81,32.46,,,-14321.98,38.78,31428.6,24.68,,,19168.05,24.58,16B
5468.39,3.58,40838.31,132.29,-13808.54,4.05,18431.13,3.58,-43420.65,165.84,5521.38,3.58,16C
13322.14,2.3,32557.72,21.34,-10110.41,2.65,-4996.35,8.63,-30563.31,21.16,-5243.02,2.35,16N
28887.42,0.03,22334.84,0.0,-7161.92,0.0,-28723.78,20.48,-21899.12,0.8,-29375.07,14.0,16O
37426.78,41.95,6761.11,8.32,-9082.73,8.38,,,3289.84,8.32,-37606.44,67.2,16F
,,-1401.05,20.48,-10352.75,31.55,,,13842.2,20.49,,,16Ne
1384.56,205.18,,,-15689.49,215.77,35846.24,204.65,,,21950.87,204.13,17B
4983.88,17.38,43371.86,166.7,-15052.09,20.13,21840.66,17.36,-43704.2,166.7,7276.67,17.52,17C
8373.99,15.0,35666.1,25.83,-11116.78,15.03,5918.38,15.0,-36531.4,28.79,4535.76,15.0,17N
19807.0,0.49,25259.85,0.8,-6358.69,0.0,-17309.21,0.35,-21791.87,3.58,-19560.33,8.32,17O
30757.68,14.0,12727.68,0.25,-5818.69,0.37,-33221.51,1001.36,-11021.18,2.31,-30106.39,20.48,17F
39857.56,66.68,933.1,0.61,-9039.9,9.53,,,13948.48,0.35,,,17Ne
,,-4028.52,1001.45,,,,,17203.99,1001.39,,,17Na
1462.51,205.64,,,,,38679.47,205.01,,,22689.42,204.9,18B
4917.5,30.21,47105.81,168.49,-17460.15,135.61,25702.08,30.0,,,8977.87,33.54,18C
8713.37,18.71,38577.28,30.8,-12975.43,28.19,12240.06,18.58,-37892.12,204.95,5850.61,18.57,18N
12188.45,0.0,29054.89,3.58,-6227.62,0.0,-6100.43,0.36,-29103.68,17.36,-10805.83,0.25,18O
25949.77,8.33,19388.74,2.35,-4415.22,0.46,-24164.87,93.88,-14285.94,15.01,-23698.65,0.58,18F
34811.8,20.48,4523.33,0.36,-5115.08,0.36,,,-1162.59,0.36,-37926.92,1001.36,18Ne
,,220.21,94.25,-9351.33,102.49,,,15797.32,93.88,,,18Na
88.71,563.62,,,,,43913.96,525.62,,,26779.66,526.22,19B
4760.78,99.91,,,-19836.98,192.79,29080.89,98.42,,,11229.27,100.13,19C
8156.43,22.23,42437.98,204.76,-15526.88,26.67,17343.73,16.4,-43225.32,204.82,8567.78,16.4,19N
12001.01,2.64,32276.98,17.56,-8965.2,2.76,1580.81,2.64,-28875.38,30.12,-5611.57,2.68,19O
19581.78,0.25,23935.46,15.0,-4013.8,0.0,-14416.83,10.54,-21889.58,18.57,-14876.38,0.36,19F
30891.03,0.39,12017.13,0.16,-3528.47,0.52,-30076.34,50.0,-4754.1,0.16,-31357.25,93.88,19Ne
38386.46,1001.41,3600.25,10.54,-6062.28,17.52,,,4767.31,10.55,,,19Na
,,-750.0,50.0,-10811.9,83.35,,,19221.8,50.0,,,19Mg
-515.0,826.0,,,,,46683.0,804.0,,,27965.0,806.0,20B
3558.34,232.57,,,-22368.49,284.04,33707.39,230.63,,,13575.96,231.21,20C
