S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),Element_w_A
16647.8,4.81,14392.39,1.62,-1614.08,1.61,-3817.18,3.8,-10451.31,1.62,-11328.61,7.75,140Ce
17696.8,12.61,12746.85,6.71,-1075.53,53.53,-6474.38,25.03,-4750.85,6.24,-10745.46,28.27,140Pr
18383.24,12.1,11265.93,6.02,-175.46,3.47,-8802.98,12.96,-4600.02,8.01,-14829.75,14.02,140Nd
19415.86,36.84,9657.73,26.69,701.73,26.82,-11227.78,56.96,-683.88,25.47,-13904.81,26.58,140Pm
20100.81,17.2,8015.57,17.05,1318.44,17.2,-13673.66,30.61,-730.96,30.3,-18129.21,18.14,140Sm
21378.9,58.63,6623.39,58.53,1759.06,86.18,-16503.66,802.15,3225.58,53.3,-17426.0,202.0,140Eu
22125.0,198.0,4862.45,30.34,2603.7,30.61,-18952.0,402.0,3308.98,29.99,-21723.0,299.0,140Gd
22956.0,854.0,3310.54,800.98,3336.0,824.0,-21223.0,945.0,7626.8,800.6,-20912.0,945.0,140Tb
24042.0,643.0,1608.0,446.0,3835.0,499.0,,,7512.0,446.0,,,140Dy
,,168.0,585.0,4446.0,709.0,,,11583.0,585.0,,,140Ho
5464.0,641.0,,,-6495.0,707.0,20817.0,500.0,,,9395.0,504.0,141Sb
6425.0,401.0,26625.0,641.0,-3124.0,566.0,17710.0,401.0,,,5048.0,401.0,141Te
7598.34,16.33,24716.0,401.0,-2291.19,54.51,14550.87,18.31,-23277.0,596.0,4988.48,16.01,141I
8695.36,3.6,22570.17,4.57,-1318.46,3.57,11535.33,6.05,-18910.04,62.48,781.49,8.69,141Xe
9919.24,9.72,20584.51,10.03,-546.18,12.44,8454.11,10.07,-18160.28,15.21,720.51,11.65,141Cs
10961.51,5.33,18665.99,5.73,225.86,5.32,5700.29,5.52,-14035.15,5.81,-3488.07,5.66,141Ba
11848.06,4.29,16808.66,5.26,1189.06,4.23,3084.01,4.1,-13170.5,9.2,-2926.86,3.93,141La
14627.69,7.16,15097.11,1.62,-136.6,1.62,-1240.29,3.06,-9452.53,8.01,-8816.14,6.0,141Ce
17339.48,7.81,13367.37,2.02,-1299.87,2.34,-5492.72,14.07,-8988.74,2.02,-9828.05,3.83,141Pr
18321.32,27.78,11822.71,7.76,-698.96,3.29,-8258.72,9.07,-3405.51,3.06,-14050.24,24.47,141Nd
19165.07,19.49,10282.06,16.01,253.86,16.17,-10597.29,18.84,-3123.8,15.29,-13138.3,18.75,141Pm
19696.32,13.83,8497.91,28.89,1225.74,14.51,-12709.69,21.53,1036.03,9.21,-17019.29,52.24,141Sm
20670.22,18.24,7003.09,18.56,1722.3,18.16,-15384.79,106.01,999.11,27.34,-16214.67,30.67,141Eu
21735.0,197.0,5421.95,22.56,2377.39,46.77,-17842.0,299.0,4942.74,23.38,-20813.27,800.73,141Gd
22553.0,316.0,3720.74,106.08,3180.14,105.35,-20176.0,414.0,5156.13,117.2,-19782.0,414.0,141Tb
23883.0,585.0,2329.0,357.0,3406.0,422.0,,,9111.0,299.0,-24195.0,585.0,141Dy
,,812.0,499.0,4178.0,567.0,,,8829.0,895.0,,,141Ho
5936.0,507.0,,,-3934.0,711.0,18860.0,503.0,,,5486.0,503.0,142Te
7306.41,374.66,25409.0,704.0,-2974.5,1128.19,15744.57,374.53,-22949.0,625.0,5356.0,374.47,142I
8385.82,3.57,23231.35,62.47,-1958.57,4.65,12612.62,6.51,-22032.0,401.0,1176.57,9.58,142Xe
9607.08,10.83,21486.28,14.02,-959.57,9.25,9509.68,9.42,-17876.86,17.34,1146.76,8.84,142Cs
10715.54,9.9,19433.75,6.36,-294.95,6.55,6690.92,6.38,-16933.94,6.59,-2981.95,7.26,142Ba
11850.99,6.49,17552.06,10.34,437.79,11.12,3763.25,6.32,-12835.67,11.15,-2662.63,6.32,142La
12599.73,2.52,15841.78,8.28,1303.53,2.53,1416.79,2.2,-12089.53,5.87,-6588.86,2.5,142Ce
15242.02,6.12,14049.55,2.02,306.79,3.19,-2645.43,23.65,-8144.81,4.1,-7666.16,2.81,142Pr
17833.7,3.71,12451.83,1.58,-803.97,4.98,-6963.51,2.81,-7806.03,1.58,-13498.38,14.04,142Nd
19070.97,33.83,11031.9,24.4,-433.04,26.1,-9828.57,38.26,-2415.37,23.65,-13279.45,25.09,142Pm
19673.17,12.87,9305.5,4.62,606.92,12.0,-12026.95,28.11,-2082.81,4.21,-17132.16,12.99,142Sm
20470.17,59.71,7677.7,38.7,1202.1,40.97,-14753.95,701.21,1920.48,33.24,-16160.56,36.05,142Eu
21319.88,39.52,6081.52,30.61,2113.33,30.34,-16840.0,728.0,1685.42,29.22,-20490.0,108.91,142Gd
22219.88,1063.75,4151.52,702.45,2765.24,701.11,-19309.0,807.0,6077.14,700.67,-19248.0,761.0,142Tb
23432.0,831.0,2915.0,729.0,3256.0,754.0,-22090.0,884.0,5816.0,729.0,-23826.0,831.0,142Dy
24134.0,643.0,1346.0,895.0,3993.0,499.0,,,10001.0,414.0,,,142Ho
,,-223.0,641.0,4477.0,709.0,,,10064.0,582.0,,,142Er
5933.0,643.0,,,-4263.0,709.0,19925.0,503.0,,,6421.0,627.0,143Te
6846.0,201.0,26099.0,539.0,-3267.0,448.0,17045.0,200.0,,,6528.0,200.0,143I
8148.21,5.48,24294.0,401.0,-2422.72,5.85,13734.32,8.21,-21122.0,503.0,2240.36,8.46,143Xe
9340.62,11.91,22326.79,17.55,-1629.47,8.57,10496.01,10.54,-20194.5,374.54,2095.44,9.61,143Cs
10347.2,8.6,20317.84,7.35,-717.54,7.09,7669.47,7.21,-15996.53,7.28,-1984.29,9.24,143Ba
11382.51,8.43,18271.93,11.76,104.49,7.97,4896.73,7.49,-14945.94,10.18,-1709.64,7.6,143La
12316.39,2.52,16451.99,5.87,882.16,2.52,2395.56,2.2,-11053.38,6.38,-5890.51,2.5,143Ce
13195.24,1.92,14714.55,4.4,1733.05,2.48,-107.6,3.01,-10332.99,6.11,-5189.58,1.37,143Pr
15952.24,3.15,13147.26,1.58,520.71,7.27,-4485.08,2.47,-6758.02,2.2,-10931.51,23.63,143Nd
18580.36,14.29,11522.95,3.03,-566.77,8.29,-8719.35,11.39,-6462.15,3.03,-12045.5,3.82,143Pm
19725.88,8.85,9902.46,3.99,71.87,27.74,-11285.85,200.32,-856.14,2.47,-16275.0,30.21,143Sm
20458.31,16.75,8296.32,17.77,834.27,17.48,-13822.12,52.4,-388.23,26.03,-15353.1,30.03,143Eu
21149.71,201.27,6875.33,200.48,1724.0,200.6,-16062.36,200.73,3466.2,200.33,-19743.1,728.63,143Gd
22020.98,117.06,5071.5,52.77,2553.94,52.89,-18372.0,302.0,3605.32,59.45,-18371.0,730.0,143Tb
22929.0,298.0,3522.66,23.68,3038.0,196.0,-20909.0,400.0,7501.6,30.84,-22990.0,401.0,143Dy
23826.0,499.0,2085.0,316.0,3658.0,422.0,,,7223.0,761.0,-22089.0,582.0,143Ho
,,456.0,499.0,3957.0,642.0,,,11571.0,831.0,,,143Er
6653.0,548.0,,,-3766.0,718.0,17991.0,401.0,,,6852.0,401.0,144I
7785.29,5.96,25080.0,503.0,-2720.98,62.64,14894.83,8.89,-23883.0,503.0,2731.9,9.25,144Xe
8899.44,21.18,23079.31,375.0,-2090.06,23.49,11578.3,23.93,-19930.0,201.0,2594.53,21.24,144Cs
10067.49,9.27,21115.42,7.63,-1205.59,7.51,8664.75,7.7,-18853.22,8.52,-1666.92,10.23,144Ba
10968.06,14.39,18913.04,14.74,-224.46,15.32,5900.86,13.23,-14463.11,14.99,-1314.3,13.18,144La
12041.32,3.36,17167.55,6.57,412.57,8.41,3316.09,2.54,-13783.64,7.35,-5434.94,2.89,144Ce
13105.68,2.79,15304.23,6.65,1140.44,3.21,665.58,3.57,-9867.97,7.79,-4819.6,2.4,144Pr
13940.61,0.09,13792.71,2.2,1903.22,1.58,-1782.42,0.79,-9430.26,2.2,-8858.62,2.68,144Nd
16416.68,23.77,12206.56,3.0,847.08,6.74,-5796.96,11.12,-5636.82,2.98,-9970.26,3.53,144Pm
19121.7,2.71,10593.5,0.8,-131.54,3.78,-10206.03,27.99,-5252.27,0.79,-15795.55,11.09,144Sm
20448.3,32.0,9055.03,25.94,169.66,26.54,-13250.95,29.96,52.55,11.13,-15459.15,200.59,144Eu
20942.62,39.52,7350.98,28.11,1271.52,30.61,-15189.42,28.85,468.68,28.09,-19411.64,58.36,144Gd
21951.3,701.11,5632.65,41.11,2192.84,58.63,-17758.67,29.2,4584.15,30.03,-18270.56,30.84,144Tb
22593.0,729.0,4188.51,28.85,2787.27,28.85,-19962.0,196.0,4372.25,200.43,-22594.0,298.0,144Dy
23502.0,401.0,2627.94,700.61,3447.84,800.53,-22350.0,400.0,8520.7,51.93,-21421.0,400.0,144Ho
24721.0,537.0,1066.0,754.0,3797.0,446.0,,,8272.0,196.0,,,144Er
,,-413.0,566.0,4575.0,643.0,,,12500.0,499.0,,,144Tm
6451.0,541.0,,,-4254.0,709.0,19115.0,503.0,,,7862.0,503.0,145I
7433.09,12.11,25793.0,503.0,-3431.0,401.0,16022.85,14.03,,,3706.71,23.03,145Xe
8521.54,11.81,24002.0,200.0,-2552.67,18.25,12780.9,15.26,-22063.0,401.0,3641.39,11.49,145Cs
9721.61,10.84,21891.24,9.67,-1743.79,8.95,9550.85,34.95,-17932.85,10.0,-737.84,15.47,145Ba
10806.44,14.29,19737.75,14.42,-782.71,15.33,6790.62,14.15,-16852.93,23.58,-474.76,12.6,145La
11602.98,33.96,17707.77,34.57,240.69,34.32,4364.93,33.89,-12588.87,34.65,-4387.82,33.98,145Ce
12700.33,7.17,16032.37,10.22,880.78,8.21,1641.53,7.48,-12065.26,14.79,-3949.3,7.04,145Pr
13572.35,0.24,14403.22,2.21,1576.05,1.59,-780.63,0.87,-8289.05,2.55,-8087.18,2.66,145Nd
14449.46,2.05,12777.17,2.87,2323.25,2.89,-3275.97,3.71,-7805.93,3.48,-7373.26,2.54,145Pm
17276.8,2.37,11227.02,0.84,1116.4,3.25,-7725.0,19.77,-4192.33,0.84,-13103.5,10.82,145Sm
19892.84,11.42,9608.8,3.83,106.5,14.31,-11603.1,109.22,-3864.38,3.8,-14303.32,28.12,145Eu
20837.65,201.27,7987.11,19.91,582.67,21.48,-14683.72,20.76,1750.24,19.77,-18629.46,34.2,145Gd
22111.86,120.6,6725.05,109.73,1112.3,109.9,-17268.31,109.43,1941.75,109.71,-17889.65,109.41,145Tb
22216.29,14.58,4589.24,200.41,2556.71,20.81,-19002.0,200.0,6227.93,28.7,-21704.4,10.69,145Dy
23215.0,298.0,3278.86,51.77,2995.82,105.52,-21537.0,196.0,5959.11,28.92,-20584.0,196.0,145Ho
24123.0,447.0,1649.0,201.0,3717.0,359.0,,,10041.0,200.0,-25052.0,447.0,145Er
,,113.0,357.0,4357.0,446.0,,,9738.0,196.0,,,145Tm
7225.28,24.79,,,-4010.0,504.0,16992.14,31.97,,,4028.15,25.86,146Xe
8181.65,20.34,24608.0,401.0,-2965.3,374.47,13739.91,33.74,-21660.0,503.0,4134.49,8.96,146Cs
9322.6,22.05,22652.73,21.53,-2142.36,21.04,10688.3,25.7,-20742.73,23.67,-183.09,24.2,146Ba
10343.27,36.02,20356.87,39.18,-960.65,34.35,7630.72,46.66,-16284.84,34.82,-54.58,47.74,146La
11346.15,16.55,18446.21,17.8,-218.04,17.35,5290.48,16.36,-15408.18,18.38,-4080.77,17.81,146Ce
12073.12,34.91,16409.3,37.14,918.31,35.37,2773.3,35.07,-11134.66,36.91,-3320.37,34.83,146Pr
13320.54,0.24,15071.94,2.55,1182.41,2.21,70.44,2.82,-11147.82,33.89,-7729.71,2.54,146Nd
14180.85,4.87,13281.73,4.76,1908.25,4.34,-2336.77,6.59,-7117.34,8.15,-6874.31,4.14,146Pm
15173.41,2.85,11826.29,2.81,2528.76,2.81,-4910.53,4.78,-6853.33,2.82,-11076.12,3.92,146Sm
17641.04,12.31,10279.39,6.49,1599.59,24.35,-9353.93,45.24,-3139.04,6.44,-12262.54,20.61,146Eu
20468.91,28.25,8698.19,3.84,475.77,4.65,-13530.86,7.85,-2723.44,3.85,-17768.69,109.25,146Gd
21538.06,52.85,6722.42,46.13,1124.94,54.02,-16525.39,45.34,2938.93,44.93,-17592.33,45.33,146Tb
22127.47,9.81,5373.36,28.74,1979.68,28.74,-18232.91,9.47,3082.43,20.82,-21506.13,10.02,146Dy
22771.34,10.73,3447.98,28.71,2896.38,700.59,-20183.0,200.0,7861.22,109.37,-20069.0,200.0,146Ho
23857.0,196.0,2329.87,9.82,3373.0,729.0,,,6631.62,9.35,-24811.0,196.0,146Er
24939.0,447.0,1024.0,201.0,3770.0,448.0,,,10776.0,200.0,,,146Tm
7009.0,201.0,,,-4507.0,541.0,17904.0,201.0,,,4879.0,200.0,147Xe
8008.28,12.35,25559.0,503.0,-3715.0,200.0,14758.33,13.6,,,4955.7,22.48,147Cs
8890.49,21.49,23348.64,22.69,-2486.07,20.29,11749.86,21.53,-19598.06,31.25,714.94,38.99,147Ba
9985.71,16.29,21201.92,14.03,-1427.8,13.12,8765.68,19.14,-18656.99,11.1,885.68,19.51,147La
11089.5,34.97,19075.66,12.06,-501.61,10.92,6132.86,8.67,-14355.78,22.56,-3404.2,35.86,147Ce
11960.76,17.35,17186.69,20.05,302.53,17.46,3598.19,15.86,-13682.75,37.17,-2589.52,15.86,147Pr
12857.43,0.12,15657.67,33.89,1035.01,2.22,1119.61,0.42,-9800.33,16.36,-6763.76,4.12,147Nd
13917.42,2.56,13994.26,7.05,1601.07,1.43,-1497.5,2.3,-9650.23,34.83,-6117.27,2.84,147Pm
14757.67,0.91,12412.34,0.41,2310.96,0.35,-3909.41,1.46,-5629.46,0.41,-10220.13,5.95,147Sm
15695.88,3.58,10855.22,3.12,2990.98,3.11,-6802.09,8.4,-5379.42,4.69,-9530.29,4.5,147Eu
18573.26,19.81,9283.57,1.26,1735.29,2.0,-11160.91,9.06,-1649.61,3.1,-15664.65,44.86,147Gd
20496.89,109.47,7329.1,8.55,1073.72,13.65,-14985.57,9.52,-914.09,10.02,-16259.06,10.51,147Tb
22096.07,10.99,5847.66,21.6,1610.35,200.5,-17588.23,39.2,4600.77,9.76,-21029.14,11.03,147Dy
22779.62,8.97,3946.62,109.29,2237.18,51.48,-19782.69,8.47,4717.55,45.14,-19506.4,8.36,147Ho
23510.0,204.0,2943.15,38.74,3136.22,40.36,,,8658.14,38.77,-23624.0,204.0,147Er
24534.0,196.0,1432.24,10.11,3648.0,298.0,,,7974.85,9.49,,,147Tm
6788.0,301.0,,,,,18994.0,307.0,,,5249.0,300.0,148Xe
7743.2,13.36,,,-4056.0,401.0,15797.79,23.43,,,5281.77,23.67,148Cs
8789.28,66.44,24216.73,67.57,-3146.36,63.3,12804.67,64.07,-22523.0,210.0,1013.34,63.98,148Ba
9801.09,38.85,21976.3,19.68,-1862.3,28.01,9826.69,24.6,-18077.64,21.2,1233.84,21.28,148La
10905.65,19.78,20029.26,23.68,-1056.2,13.28,7009.59,11.34,-17423.35,22.7,-3025.66,19.4,148Ce
11997.05,37.92,18063.08,36.83,-110.69,19.84,4330.29,16.06,-13146.0,18.47,-2459.99,15.06,148Pr
12624.76,1.65,16350.55,16.44,598.96,3.04,1928.27,1.7,-12683.08,8.82,-6437.05,1.71,148Nd
13554.04,6.98,14762.65,35.27,1459.89,6.14,-566.38,11.48,-8710.62,16.82,-5670.68,5.64,148Pm
14482.59,2.83,12988.34,0.42,1986.78,0.36,-3066.94,0.86,-8478.49,0.43,-9862.83,2.29,148Sm
15324.42,11.62,11422.96,10.81,2691.85,10.28,-5762.25,15.97,-4546.04,10.02,-9013.7,10.09,148Eu
16326.18,3.84,9850.96,2.85,3271.29,0.03,-8409.78,8.83,-4291.95,0.86,-13597.98,8.11,148Gd
18916.11,46.55,7997.48,13.82,2657.14,16.48,-12545.92,84.76,-281.3,12.71,-14412.36,15.29,148Tb
21447.27,11.0,6351.71,9.62,1475.04,29.28,-16380.56,13.46,208.42,8.91,-20173.78,10.06,148Dy
22895.57,84.09,4805.49,95.08,1952.11,88.37,-19226.13,84.46,5462.54,84.22,-19454.67,92.12,148Ho
23299.61,12.25,3502.01,12.24,2666.18,12.51,-21149.0,400.0,5428.08,13.54,-23575.91,12.32,148Er
23852.0,201.0,2104.75,12.18,3419.57,13.3,,,9703.09,11.4,,,148Tm
,,586.0,400.0,3852.0,445.0,,,8988.0,401.0,,,148Yb
7473.0,400.0,,,-4736.0,642.0,16970.0,447.0,,,6272.0,405.0,149Cs
8998.91,438.25,25339.0,481.0,-4051.9,437.94,13549.6,437.92,-21809.0,531.0,1517.11,438.23,149Ba
9684.16,200.55,22877.79,200.44,-2590.41,200.47,10819.45,200.51,-20597.94,200.69,2107.18,200.57,149La
10798.66,13.36,20983.83,22.25,-1578.65,13.3,7705.55,10.47,-16365.15,63.91,-2205.81,18.2,149Ce
11737.93,18.68,18938.92,14.57,-628.96,15.75,5024.89,10.13,-15619.6,21.83,-1702.69,10.1,149Pr
12371.35,1.66,16939.52,8.82,266.64,33.93,2760.27,1.86,-11266.03,11.34,-5581.07,5.87,149Nd
13164.63,2.05,15198.13,15.98,1136.77,7.33,376.86,4.22,-10817.8,15.17,-4799.31,2.03,149Pm
14012.02,0.91,13566.93,0.96,1871.3,0.96,-2008.73,3.2,-7016.71,1.86,-8907.72,10.03,149Sm
15038.99,4.43,11976.79,3.84,2401.45,4.57,-4952.44,5.03,-6864.37,6.74,-8243.1,3.87,149Eu
15912.7,3.36,10438.6,3.17,3099.39,3.13,-7431.1,9.6,-3079.72,3.17,-12661.25,12.88,149Gd
16888.64,8.77,8521.85,4.08,4077.92,2.17,-9842.09,12.31,-2478.31,10.55,-11700.44,9.39,149Tb
19642.51,12.78,6916.91,9.22,2805.5,21.76,-13954.29,29.43,1284.45,9.14,-17776.07,84.34,149Dy
22032.12,12.99,5481.85,14.44,2316.92,109.83,-17764.0,196.0,1601.53,15.47,-18238.91,15.77,149Ho
23276.44,47.32,4123.52,29.31,2076.07,28.7,-20543.0,301.0,6828.96,29.28,-23047.91,29.76,149Er
24051.0,196.0,2704.0,196.0,2813.0,196.0,,,6820.0,213.0,-21624.0,445.0,149Tm
,,1169.0,302.0,3617.0,361.0,,,10992.0,300.0,,,149Yb
7402.0,400.0,,,,,17960.0,591.0,,,6879.0,593.0,150Cs
8449.0,307.0,25878.0,424.0,-4370.0,301.0,14947.0,300.0,,,2248.0,361.0,150Ba
9563.86,435.91,23796.96,435.67,-3244.51,435.48,12170.51,435.57,-20169.0,591.0,2468.63,435.59,150La
10591.08,16.19,21831.06,64.15,-2324.68,23.92,8832.9,11.77,-19015.52,437.96,-1878.81,15.31,150Ce
11907.69,17.53,20169.68,21.45,-1675.11,34.8,5296.66,21.97,-15369.54,200.47,-1996.33,9.25,150Pr
12414.39,1.87,17859.29,11.25,-469.28,16.35,3371.38,0.2,-14298.81,10.33,-5686.82,1.92,150Nd
12874.06,20.76,15639.66,25.04,658.95,40.16,1195.1,20.93,-9846.74,22.34,-4532.72,20.0,150Pm
13857.51,0.89,14221.08,1.86,1449.81,0.96,-1287.2,6.01,-9964.64,1.86,-8681.34,3.78,150Sm
14635.54,11.75,12504.46,8.33,2237.16,6.96,-3686.51,8.67,-6016.95,6.46,-7736.54,6.91,150Eu
15637.24,6.04,11005.61,6.01,2807.46,6.02,-6454.33,7.29,-5917.17,6.02,-12346.58,6.89,150Gd
16711.27,14.47,9384.33,12.38,3586.9,4.93,-9159.84,15.95,-1953.58,8.23,-11481.13,11.7,150Tb
17592.68,9.72,7618.21,4.1,4351.27,1.54,-11478.29,17.51,-1471.56,5.16,-15734.34,12.69,150Dy
20097.36,85.02,5986.74,18.86,3392.81,46.97,-15455.0,196.0,2253.82,14.59,-16275.58,31.33,150Ho
22494.96,20.02,4549.7,19.28,2298.69,18.45,-19193.0,300.0,2575.63,19.49,-22020.0,196.0,150Er
23868.0,196.0,3078.0,213.0,2322.0,196.0,-21851.0,358.0,7867.0,196.0,-21364.0,358.0,150Tm
24451.0,500.0,1737.0,300.0,3259.0,300.0,,,7814.0,301.0,,,150Yb
,,453.0,300.0,3991.0,361.0,,,11954.0,358.0,,,150Lu
7122.0,640.0,,,,,19081.0,663.0,,,7599.0,583.0,151Cs
7962.0,593.0,,,-5005.0,447.0,16285.0,400.0,,,3119.0,591.0,151Ba
9233.05,479.31,24638.0,591.0,-3815.18,435.55,13469.3,435.63,-22429.0,591.0,3465.2,435.63,151La
10697.77,20.45,22682.68,438.16,-3385.94,26.52,9717.94,17.75,-18614.0,300.0,-995.89,19.86,151Ce
11882.9,15.27,21137.66,200.6,-2526.16,15.83,6606.43,12.51,-17938.63,435.63,-1171.19,11.69,151Pr
12710.16,1.88,18851.02,10.33,-1354.01,8.67,3633.29,0.24,-13385.1,11.77,-5417.17,20.0,151Nd
13464.44,4.86,16924.64,10.92,-366.91,16.49,1266.79,4.51,-12374.55,10.13,-4406.24,4.47,151Pm
13583.18,0.39,14778.75,1.87,1145.55,0.96,-387.54,2.82,-8185.5,0.22,-7855.36,6.18,151Sm
14354.38,3.77,13166.54,1.98,1964.49,1.07,-3029.35,3.98,-8344.69,20.01,-6960.24,6.01,151Eu
15204.36,4.22,11630.94,2.84,2652.7,2.91,-5436.33,4.17,-4426.57,2.82,-11154.33,7.85,151Gd
16277.47,5.24,9760.33,5.45,3496.34,3.93,-8000.77,9.19,-4120.24,7.32,-10385.22,5.75,151Tb
17199.13,9.59,8203.34,4.28,4179.62,2.64,-10486.12,16.8,-277.44,6.7,-14877.84,14.5,151Dy
18118.79,14.56,6712.01,8.95,4695.01,1.82,-12849.98,21.08,194.01,11.04,-13862.74,19.05,151Ho
20667.3,32.44,5148.32,18.88,3504.84,18.7,-16723.94,300.94,3754.35,17.03,-19847.0,196.0,151Er
23033.0,197.0,3704.12,22.81,2559.42,20.05,-20664.0,301.0,3884.15,16.31,-20206.0,301.0,151Tm
24487.0,425.0,2378.67,301.79,2640.55,302.91,,,9000.0,300.0,-24974.0,425.0,151Yb
,,804.0,358.0,3441.0,300.0,,,9093.0,358.0,,,151Lu
6903.0,640.0,,,,,20360.0,583.0,,,7938.0,640.0,152Cs
7953.0,500.0,,,-5535.0,500.0,17270.0,447.0,,,3529.0,591.0,152Ba
9303.0,529.0,25698.0,500.0,-4804.0,300.0,14468.0,301.0,-22349.0,583.0,3864.0,300.0,152La
10276.0,201.0,23658.0,361.0,-3812.0,210.0,11169.0,202.0,-21329.0,447.0,-272.0,201.0,152Ce
11600.22,20.61,22206.04,435.87,-3474.24,26.88,7496.12,31.86,-17736.7,435.87,-886.39,18.58,152Pr
12612.29,24.45,19880.49,27.13,-2175.92,26.92,4613.2,24.46,-16213.33,30.21,-4834.66,24.86,152Nd
13799.68,32.71,17531.65,27.43,-1143.68,29.95,1634.07,25.89,-11763.53,28.4,-4749.22,25.89,152Pm
13854.1,0.61,15660.79,0.65,220.48,1.94,-55.69,0.18,-11108.59,0.65,-8181.07,0.69,152Sm
14238.66,6.18,13869.06,20.01,1552.55,5.61,-2171.34,40.01,-6791.16,4.51,-6770.83,2.78,152Eu
15085.62,6.03,12233.72,0.63,2204.43,1.04,-4589.04,4.55,-7419.61,0.63,-11154.73,4.01,152Gd
15753.83,40.67,10502.62,40.48,3157.5,41.24,-7112.15,41.93,-3353.03,40.01,-10035.83,40.13,152Tb
16950.91,5.98,8931.88,7.44,3726.54,4.35,-9617.5,9.94,-3218.11,5.29,-14566.45,9.38,152Dy
17801.52,18.91,7076.99,14.52,4507.4,1.34,-11884.5,55.46,729.76,13.17,-13409.8,20.69,152Ho
18811.7,19.33,5768.72,9.82,4934.26,1.62,-14230.0,149.97,963.06,9.39,-17798.94,21.33,152Er
21372.0,203.0,4352.33,55.85,3845.97,99.74,-18298.0,203.0,4613.49,54.66,-18249.25,305.31,152Tm
23775.0,335.0,3017.01,150.69,2783.69,150.06,,,4706.93,150.61,-24233.0,335.0,152Yb
24925.0,358.0,1509.0,277.0,2918.0,196.0,,,10062.0,197.0,,,152Lu
7673.0,565.0,,,,,18440.0,447.0,,,4749.0,500.0,153Ba
8892.0,529.0,26408.0,583.0,-5234.0,500.0,15509.0,300.0,-24418.0,583.0,4849.0,361.0,153La
9827.0,201.0,24548.0,447.0,-4214.0,481.0,12421.0,200.0,-20488.0,447.0,777.0,201.0,153Ce
10931.47,16.64,22836.07,435.64,-3773.47,200.61,9079.36,14.94,-19567.0,300.0,509.63,27.22,153Pr
12529.94,3.03,20683.19,17.91,-3085.3,10.61,5229.39,3.0,-15639.0,200.0,-4147.43,26.06,153Nd
13404.4,10.15,18446.14,14.76,-2033.37,13.4,2719.4,9.11,-14178.73,20.63,-3956.54,9.09,153Pm
14126.04,0.62,16194.64,0.67,-609.14,1.94,322.87,0.25,-9699.25,24.46,-7742.75,0.7,153Sm
14857.0,0.16,14559.1,4.51,272.12,1.99,-2053.88,3.88,-9402.01,25.89,-6731.62,0.71,153Eu
14836.45,2.86,12884.21,0.64,1828.27,0.74,-3739.61,3.91,-5408.92,0.22,-10236.95,40.0,153Gd
15832.47,5.51,11238.43,3.88,2702.86,5.02,-6301.23,6.15,-5714.05,3.88,-9266.78,5.86,153Tb
16533.17,4.91,9532.15,4.8,3559.15,3.62,-8674.34,10.0,-1725.0,3.91,-13609.49,13.14,153Dy
17532.0,9.63,7966.54,6.32,4051.65,3.54,-11038.77,12.81,-1584.16,40.31,-12583.04,10.12,153Ho
18344.95,18.92,6294.14,9.69,4802.39,1.4,-13260.0,196.0,2360.3,10.21,-16819.65,54.82,153Er
19343.21,22.81,4928.53,14.55,5248.33,1.45,-15600.48,150.51,2342.47,15.5,-15774.27,150.19,153Tm
21808.0,359.0,3520.0,196.0,4109.0,198.0,-19908.0,358.0,6003.0,196.0,-21857.0,277.0,153Yb
24407.0,335.0,2178.03,151.29,3085.0,247.0,,,6058.46,139.97,,,153Lu
,,336.0,425.0,3473.0,424.0,,,11681.0,335.0,,,153Hf
7252.0,640.0,,,,,19399.0,539.0,,,5168.0,583.0,154Ba
8382.0,424.0,27177.0,583.0,-5785.0,500.0,16575.0,321.0,,,5309.0,361.0,154La
9382.0,283.0,25087.0,447.0,-4744.0,361.0,13605.0,207.0,-23039.0,447.0,1278.0,201.0,154Ce
10489.55,114.52,23393.0,321.0,-4399.93,449.9,10407.0,103.08,-19334.0,321.0,1154.0,113.04,154Pr
11818.2,58.03,21423.0,207.0,-3403.04,53.93,6630.2,52.62,-18204.0,207.0,-3248.47,53.4,154Nd
13400.42,53.05,19331.85,49.9,-2636.41,47.19,3226.14,46.32,-14232.48,47.83,-4023.61,46.31,154Pm
13835.21,0.84,16883.71,24.47,-1200.34,1.05,1250.78,0.86,-12413.85,3.11,-7159.27,1.08,154Sm
14992.5,0.27,15061.88,25.89,-565.9,20.01,-1581.82,45.3,-8379.27,9.11,-6926.89,0.74,154Eu
15141.67,0.21,13521.29,0.27,920.27,0.66,-3312.05,7.42,-8435.24,0.3,-10463.93,3.85,154Gd
15582.02,60.43,11845.99,45.3,2211.02,45.72,-5516.99,46.04,-4078.05,45.3,-9084.68,45.47,154Tb
16418.67,8.61,10264.93,7.41,2945.11,4.95,-7788.89,8.82,-4800.33,7.42,-13453.12,8.87,154Dy
17177.17,14.97,8500.34,40.83,4041.49,3.63,-10212.18,16.57,-614.94,9.02,-12242.02,12.33,154Ho
18247.28,10.11,7065.09,6.46,4279.66,2.61,-12672.94,17.77,-751.05,6.19,-16703.01,12.92,154Er
18849.49,55.92,5400.3,19.09,5093.83,2.64,-14712.0,197.0,3296.0,15.25,-15290.0,196.0,154Tm
