N,Z,A,EL,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,Element_w_A
9,3,12,Li,-n,49009.570999999996,30.006,3791.6,2.501,23931.812,30.066999999999997,12052613.941,32.213,12Li
8,4,12,Be,,25077.76,1.909,5720.722,0.159,11708.363,2.3209999999999997,12026922.083,2.048,12Be
7,5,12,B,,13369.396999999999,1.321,6631.223000000001,0.11,13369.397,1.321,12014352.638,1.4180000000000001,12B
6,6,12,C,,0.0,0.0,7680.144,0.0,-17338.068,1.0,12000000.0,0.0,12C
5,7,12,N,,17338.068,1.0,6170.109,0.083,-14576.544,24.021,12018613.182,1.073,12N
4,8,12,O,-pp,31914.612999999998,24.0,4890.202,2.0,,,12034261.747,25.765,12O
10,3,13,Li,-nn,56980.888,70.003,3507.63,5.385,23321.812,70.73899999999999,13061171.503,75.15,13Li
9,4,13,Be,-n,33659.077000000005,10.18,5241.435,0.7829999999999999,17097.13,10.23,13036134.507,10.929,13Be
8,5,13,B,-nn,16561.947,1.0,6496.419,0.077,13436.938,1.0,13017779.981,1.073,13B
7,6,13,C,,3125.00888,0.00021,7469.849,0.0,-2220.472,0.27,13003354.83521,0.00022999999999999998,13C
6,7,13,N,,5345.481,0.27,7238.863,0.021,-17769.951,9.53,13005738.609,0.289,13N
5,8,13,O,+3n,23115.432,9.526,5811.763000000001,0.733,,,13024815.437,10.226,13O
10,4,14,Be,x,39954.498,132.245,4993.897,9.446,16290.813,133.936,14042892.92,141.97,14Be
9,5,14,B,,23663.685,21.213,6101.644,1.515,20643.792,21.213,14025404.012,22.773000000000003,14B
8,6,14,C,,3019.89278,0.0037600000000000003,7520.319,0.0,156.476,0.004,14003241.98843,0.00403,14C
7,7,14,N,,2863.4167199999997,0.00018999999999999998,7475.6140000000005,0.0,-5144.364,0.025,14003074.00446,0.00021,14N
6,8,14,O,,8007.781,0.025,7052.278,0.002,-23956.622,41.119,14008596.706,0.027000000000000003,14O
5,9,14,F,-p,31964.402000000002,41.119,5285.2080000000005,2.937,,,14034315.199,44.141999999999996,14F
11,4,15,Be,-n,49825.815,165.797,4540.97,11.052999999999999,20867.573,167.12599999999998,15053490.215,177.99,15Be
10,5,15,B,,28958.242000000002,21.031999999999996,5879.985,1.402,19085.098,21.046999999999997,15031087.953,22.578000000000003,15B
9,6,15,C,-n,9873.144,0.8,7100.169,0.053,9771.705,0.8,15010599.256,0.858,15C
8,7,15,N,,101.43871,0.0006,7699.46,0.0,-2754.166,0.491,15000108.89894,0.00065,15N
7,8,15,O,,2855.605,0.491,7463.691999999999,0.033,-13711.146,14.009,15003065.618,0.526,15O
6,9,15,F,-p,16566.751,14.0,6497.459,0.9329999999999999,-23648.622,68.138,15017785.139,15.029000000000002,15F
5,10,15,Ne,-pp,40215.373,66.684,4868.728,4.446000000000001,,,15043172.98,71.58800000000001,15Ne
12,4,16,Be,-nn,57447.132000000005,165.797,4285.285,10.362,20334.623,167.608,16061672.036,177.99,16Be
11,5,16,B,,37112.51,24.569000000000003,5507.302,1.536,23418.378,24.828000000000003,16039841.92,26.375,16B
10,6,16,C,-nn,13694.132,3.5780000000000003,6922.054,0.22399999999999998,8010.225,4.254,16014701.256,3.84,16C
9,7,16,N,-n,5683.906999999999,2.301,7373.795999999999,0.14400000000000002,10420.908,2.301,16006101.925,2.47,16N
8,8,16,O,,-4737.00135,0.00016,7976.206,0.0,-15417.254,8.321,15994914.6196,0.00016999999999999999,16O
7,9,16,F,-,10680.253,8.321,6963.731,0.52,-13306.523,22.105999999999998,16011465.723,8.932,16F
6,10,16,Ne,--,23986.776,20.48,6083.177,1.28,,,16025750.864,21.986,16Ne
12,5,17,B,x,43716.317,204.104,5269.6669999999995,12.005999999999998,22684.419,204.84099999999998,17046931.399,219.114,17B
11,6,17,C,2p-n,21031.897999999997,17.365,6558.024,1.021,13161.82,22.945999999999998,17022578.672,18.641,17C
10,7,17,N,+p,7870.079000000001,15.0,7286.229,0.882,8678.842,15.0,17008448.877,16.102999999999998,17N
9,8,17,O,,-808.76348,0.00066,7750.728,0.0,-2760.465,0.248,16999131.75664,0.0007,17O
8,9,17,F,,1951.7020000000002,0.248,7542.328,0.015,-14548.746,0.43200000000000005,17002095.238,0.266,17F
7,10,17,Ne,,16500.447,0.354,6640.499,0.021,-18672.766,1001.3560000000001,17017713.959,0.38,17Ne
6,11,17,Na,x,35173.214,1001.3560000000001,5496.08,58.903,,,17037760.0,1075.0,17Na
13,5,18,B,-n,51792.634000000005,204.165,4976.63,11.342,26873.37,206.357,18055601.682,219.18,18B
12,6,18,C,++,24919.264,30.0,6426.130999999999,1.6669999999999998,11806.096,35.282,18026751.932,32.205999999999996,18C
11,7,18,N,+,13113.168,18.57,7038.562,1.032,13895.984,18.57,18014077.565,19.935,18N
10,8,18,O,,-782.8156,0.0007099999999999999,7767.097,0.0,-1655.929,0.46299999999999997,17999159.61284,0.0007599999999999999,18O
