id,max_depth,num_estimator,lr,train_mae,train_mse,train_evs,train_mae_m,train_r2,test_mae,test_mse,test_evs,test_mae_m,test_r2,model_path,training_time
33,35,40,0.05,0.18635739095258386,0.09477478398256642,0.8221481200603051,0.0989298907140309,0.8204998834964972,0.1881191328556019,0.09734671901490115,0.8161322226742245,0.09914386304769629,0.8144427604266313,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md35_ne40_lr0.05.joblib,998.4552719593048
34,35,40,0.1,0.16370628534499382,0.08147687467251767,0.8799230578104017,0.07816527918002197,0.879907216416544,0.16683438647928586,0.08528106027430318,0.8734501595291287,0.07951878235685728,0.8734320500519525,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md35_ne40_lr0.1.joblib,1306.5343160629272
35,35,60,0.05,0.16723545222952987,0.08315936781676252,0.8691240951265249,0.08243841735150065,0.8689513443654879,0.16989408506886589,0.08657057682365354,0.8628262889875252,0.08331678549594113,0.862644812522205,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md35_ne60_lr0.05.joblib,1719.728481054306
36,35,60,0.1,0.16318136573362052,0.08123291678242338,0.8836197174925033,0.07761221250157807,0.8836195425485305,0.16665469551490342,0.08530304049895818,0.8769554917781037,0.0792417445490955,0.8769549781341253,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md35_ne60_lr0.1.joblib,2250.2563025951385
37,35,80,0.05,0.1638158371674921,0.08152640082246357,0.8794149958569467,0.07827340952483386,0.8793950216200982,0.1669251533631706,0.08532662289361209,0.8729296010783744,0.07966121290659067,0.872906980042238,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md35_ne80_lr0.05.joblib,2596.4837486743927
38,35,80,0.1,0.16313535140654412,0.08122236201898067,0.884083229779759,0.07757384683921342,0.8840832247018268,0.1667196585650522,0.0853685139738864,0.8773425350229284,0.0792912470651268,0.8773424164686613,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md35_ne80_lr0.1.joblib,2910.712146997452
39,35,100,0.05,0.16327514736394205,0.08127804029667139,0.882480915215299,0.07769294920961439,0.8824786213355522,0.16662007614078894,0.0852643127841632,0.8758774601603682,0.07923771050192396,0.8758742086833565,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md35_ne100_lr0.05.joblib,3585.835676908493
40,35,100,0.1,0.16311923806968778,0.0812213475130719,0.8841439557242885,0.07756781716979616,0.8841439172927995,0.16673771255156725,0.08538907920092116,0.8773787165587638,0.07932661469120728,0.8773786241389604,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md35_ne100_lr0.1.joblib,3226.6920986175537
41,45,20,0.05,0.2794936305114762,0.18098364100760866,0.38890458392410787,0.17157508520715686,0.3649973671731117,0.27995195737214135,0.1815332502187046,0.3837446978177287,0.17157414579751507,0.3594895098187303,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md45_ne20_lr0.05.joblib,436.29045701026917
42,45,20,0.1,0.18435346969660313,0.09343053309695562,0.8272920031889275,0.09731105511217628,0.8258407380121106,0.18615462329371021,0.09602556497817383,0.8213347587668729,0.09752329015254524,0.81984606215772,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md45_ne20_lr0.1.joblib,511.1572320461273
43,45,40,0.05,0.186357698222612,0.09477449743188714,0.8221483222175825,0.09893035623058621,0.8205001704170569,0.18812054344974444,0.09734740554218742,0.816130565137308,0.09914386304769629,0.8144411324688239,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md45_ne40_lr0.05.joblib,1023.1264324188232
44,45,40,0.1,0.16370268257364054,0.0814755544648748,0.8799245421415516,0.07816267580585656,0.8799086796584543,0.16683725942763372,0.08528390838417779,0.8734444281059155,0.07951719625320164,0.8734263507190644,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md45_ne40_lr0.1.joblib,1326.821593761444
45,45,60,0.05,0.16723346037386,0.08315766790718751,0.8691260504699747,0.08243874661259948,0.868953343012023,0.1698978231677845,0.08657453370422873,0.8628194817087164,0.08332629243411749,0.8626380524388535,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md45_ne60_lr0.05.joblib,1773.0784080028534
46,45,60,0.1,0.16317151585683223,0.08123158376489942,0.883620547980011,0.07759788986220353,0.8836203371051456,0.16666371735885302,0.08531110421234123,0.8769420595149087,0.07924818531762456,0.8769415591028923,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md45_ne60_lr0.1.joblib,2509.017274618149
47,45,80,0.05,0.16381245610944595,0.08152496302872415,0.8794166135738619,0.0782680359907606,0.8793966372586659,0.16692795993066503,0.08533188599123419,0.8729214963302108,0.07966003010464551,0.8728989326580973,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md45_ne80_lr0.05.joblib,2628.482047557831
48,45,80,0.1,0.16312782808349288,0.08122192059703966,0.8840842243619201,0.0775698360027132,0.8840841652553058,0.16672835028510008,0.08537436483347502,0.8773353450349629,0.07929365368740005,0.8773352798580263,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md45_ne80_lr0.1.joblib,3044.7667644023895
49,45,100,0.05,0.16326973626471064,0.08127673899422058,0.8824816754834858,0.07768235339432417,0.8824793797630628,0.16662507003704738,0.08526850797168448,0.8758697130401595,0.07922848818543504,0.8758664480309496,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md45_ne100_lr0.05.joblib,3639.8306136131287
50,45,100,0.1,0.16311817423445021,0.08122131331598917,0.8841330204804193,0.07756541207780482,0.8841329905555926,0.16673928976050356,0.08538697624378803,0.8773700239377605,0.07931605593859281,0.8773699433321697,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md45_ne100_lr0.1.joblib,3284.0809450149536
51,55,20,0.05,0.2794936305114762,0.18098364100760866,0.38890458392410787,0.17157508520715686,0.3649973671731117,0.27995195737214135,0.1815332502187046,0.3837446978177287,0.17157414579751507,0.3594895098187303,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md55_ne20_lr0.05.joblib,445.1173138618469
52,55,20,0.1,0.18435346969660313,0.09343053309695562,0.8272920031889275,0.09731105511217628,0.8258407380121106,0.18615462329371021,0.09602556497817383,0.8213347587668729,0.09752329015254524,0.81984606215772,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md55_ne20_lr0.1.joblib,513.8837354183197
53,55,40,0.05,0.186357703366457,0.09477449369619897,0.8221483290784488,0.09893035623058621,0.8205001761563526,0.18812055409076006,0.09734740871520378,0.8161305602967541,0.09914386304769629,0.8144411383180927,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md55_ne40_lr0.05.joblib,1028.4152507781982
54,55,40,0.1,0.16370256691794383,0.08147552557533287,0.8799246366382477,0.07816267580585656,0.8799086936710332,0.1668372897967156,0.08528412012509479,0.8734441689894156,0.07951648588469196,0.8734260938586289,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md55_ne40_lr0.1.joblib,1383.895628452301
55,55,60,0.05,0.16723349407053587,0.08315766276649636,0.8691260073227041,0.08243934621464122,0.868953323639655,0.16989803113281993,0.08657449158598976,0.8628195065904322,0.08332615271329469,0.8626380922214273,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md55_ne60_lr0.05.joblib,1793.927990436554
56,55,60,0.1,0.16317100799484616,0.08123153829657949,0.8836204039994618,0.0775965554656628,0.8836202007133942,0.16666423587697782,0.08531174149894467,0.8769410760485558,0.07924818531762456,0.8769405841184982,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md55_ne60_lr0.1.joblib,2384.802407979965
57,55,80,0.05,0.16381236919499872,0.08152493874348515,0.8794166704868012,0.07826626212507128,0.8793966719819367,0.16692791288231468,0.08533194032937315,0.8729212445995754,0.07966121290659067,0.8728986792769022,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md55_ne80_lr0.05.joblib,2725.544609069824
58,55,80,0.1,0.1631276249578474,0.0812219139230822,0.88408416485461,0.07757000803532874,0.8840841316155056,0.16672875207453872,0.08537457948939377,0.8773353412942917,0.07930103925471577,0.8773352263131096,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md55_ne80_lr0.1.joblib,3598.293994665146
59,55,100,0.05,0.16326961208583596,0.0812767103143979,0.882481696555496,0.07768203213386571,0.8824794092434453,0.1666255953961252,0.08526916722155749,0.8758683638514447,0.07923447442894238,0.8758651365035452,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md55_ne100_lr0.05.joblib,4177.646332502365
60,55,100,0.1,0.16311808104253778,0.08122131124079102,0.8841330234401977,0.07756536944290027,0.8841329909012348,0.16673964492887658,0.08538703387423084,0.8773704347122889,0.07932208982707789,0.8773703432785036,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md55_ne100_lr0.1.joblib,3870.1753900051117
