#       Excited-level deformation parameters
#  Z   A El        Ex     J  P L       beta  Reference   
#                [MeV]
#------------------------------------------------------  
  20  48 Ca   4.507000  3.0 -1 3   0.230032  Kibedi      
  20  48 Ca   9.290001  2.0  1 2   0.023099  ENSDF(BE2)  
  21  43 Sc   3.123200  5.5  1 2  -0.266653  ENSDF(Q)    
  21  44 Sc   0.067868  1.0 -1 2   0.178906  ENSDF(Q)    
  21  44 Sc   0.270950  6.0  1 2   0.188562  ENSDF(Q)    
  22  42 Ti   1.554900  2.0  1 2   0.319000  Raman2      
  22  43 Ti   3.066000  0.0  1 2   0.028988  ENSDF(Q)    
  22  44 Ti   1.082990  2.0  1 2   0.268000  Raman2      
  22  46 Ti   0.889286  2.0  1 2   0.230262  ENSDF(Q)    
  22  46 Ti   0.889286  2.0  1 2   0.308972  ENSDF(BE2)  
  22  46 Ti   0.889286  2.0  1 2   0.317000  Raman2      
  22  46 Ti   3.059000  3.0 -1 3   0.141701  Kibedi      
  22  48 Ti   0.983519  2.0  1 2   0.189833  ENSDF(Q)    
  22  48 Ti   0.983519  2.0  1 2   0.269000  Raman2      
  22  48 Ti   3.062000  2.0  1 2   0.033503  ENSDF(BE2)  
  22  48 Ti   3.359000  3.0 -1 3   0.197457  Kibedi      
  22  48 Ti   5.313000  2.0  1 2   0.040541  ENSDF(BE2)  
  22  48 Ti   5.571000  2.0  1 2   0.030529  ENSDF(BE2)  
  22  48 Ti   5.619540  2.0  1 2   0.043407  ENSDF(BE2)  
  22  48 Ti   5.764000  2.0  1 2   0.017626  ENSDF(BE2)  
  22  48 Ti   5.916201  2.0  1 2   0.019515  ENSDF(BE2)  
  22  48 Ti   5.996000  2.0  1 2   0.022608  ENSDF(BE2)  
  22  48 Ti   6.246000  3.0 -1 3   0.135805  ENSDF(BE3)  
  22  48 Ti   7.358920  2.0  1 2   0.029187  ENSDF(BE2)  
  22  50 Ti   1.553778  2.0  1 2  -0.087251  ENSDF(Q)    
  22  50 Ti   1.553778  2.0  1 2   0.021435  ENSDF(Q)    
  22  50 Ti   1.553778  2.0  1 2   0.166000  Raman2      
