    |           |     |   |           |   |  |  11|      0.504|  7.186E-01| | 7.197E-01  1.520E-03
    |           |     |   |           |   |  |   5|      1.189|  0.000E+00| | 0.000E+00  1.420E-04
    |           |     |   |           |   |  |   1|      1.555|  2.803E-01| | 2.803E-01  1.750E-04
 29 |  1.605620 |  3.0|  1|           |  3| u|    |           |       3+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   7|      1.148|  0.000E+00| | 0.000E+00  1.490E-04
    |           |     |   |           |   |  |   4|      1.495|  7.406E-01| | 7.407E-01  1.600E-04
    |           |     |   |           |   |  |   1|      1.606|  2.592E-01| | 2.593E-01  1.900E-04
 30 |  1.669900 |  3.0|  1|           |  1| u|    |           |       3+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  11|      0.620|  9.992E-01| | 1.000E+00  8.100E-04
 31 |  1.729240 |  1.0|  1|           |  3| u|    |           |       1+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   6|      1.356|  1.567E-01| | 1.567E-01  3.690E-04
    |           |     |   |           |   |  |   5|      1.363|  7.461E-01| | 7.462E-01  1.540E-04
    |           |     |   |           |   |  |   1|      1.731|  9.700E-02| | 9.702E-02  2.300E-04
 32 |  1.740500 |  5.0|  1|           |  1| g|    |           |           |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   4|      1.629|  9.998E-01| | 1.000E+00  2.160E-04
 33 |  1.749350 |  4.0|  1|           |  3| c|    |           |   (3,4)+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   8|      0.863|  4.628E-01| | 4.630E-01  2.800E-04
    |           |     |   |           |   |  |   3|      1.697|  2.453E-01| | 2.454E-01  2.190E-04
    |           |     |   |           |   |  |   1|      1.749|  2.916E-01| | 2.917E-01  2.590E-04
 34 |  1.757200 |  1.0|  1|           |  2| c|    |           |(1+,2,3+)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  11|      0.707|  4.082E-01| | 4.083E-01  4.500E-04
    |           |     |   |           |   |  |   4|      1.645|  5.915E-01| | 5.917E-01  2.210E-04
 35 |  1.778000 |  5.0|  1|           |  0| c|    |           | 3+,4+,5+  |0|                                                                                                                                                                                                                              0.000000       
 36 |  1.813300 |  0.0|  1|           |  1| u|    |           |       0+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   1|      1.817|  9.997E-01| | 1.000E+00  2.860E-04
 37 |  1.828000 |  0.0| -1|           |  0| n|    |           |           |0|                                                                                                                                                                                                                              0.000000       
 38 |  1.843000 |  3.0|  1|           |  0| u|    |           |       3+  |0|                                                                                                                                                                                                                              0.000000       
 39 |  1.865800 |  2.0|  1|           |  4| c|    |           |(2+,3,4+)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   8|      0.980|  0.000E+00| | 0.000E+00  2.070E-04
    |           |     |   |           |   |  |   7|      1.408|  0.000E+00| | 0.000E+00  1.590E-04
    |           |     |   |           |   |  |   3|      1.813|  0.000E+00| | 0.000E+00  2.840E-04
    |           |     |   |           |   |  |   1|      1.866|  0.000E+00| | 0.000E+00  2.800E-04
 40 |  1.867700 |  1.0|  1|           |  3| u|    |           |       1+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  11|      0.820|  0.000E+00| | 0.000E+00  3.100E-04
    |           |     |   |           |   |  |   3|      1.815|  4.011E-01| | 4.012E-01  2.160E-04
    |           |     |   |           |   |  |   1|      1.868|  5.987E-01| | 5.988E-01  2.800E-04
 41 |  1.925000 |  2.0|  1|           |  0| c|    |          (|1+,2+,3+)  |0|                                                                                                                                                                                                                              0.000000       
 42 |  1.929030 |  7.0|  1|  2.770E-13|  2| u|    |           |     (7+)  |0|                                                                                                                                                                                                                              0.000000  2    
    |           |     |   |           |   |  |  22|      0.505|  7.288E-01| | 7.296E-01  1.100E-03
    |           |     |   |           |   |  |   6|      1.555|  2.704E-01| | 2.704E-01  1.920E-04
 43 |  1.978800 |  3.0|  1|           |  1| u|    |           |       3+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  10|      0.935|  9.998E-01| | 1.000E+00  2.300E-04
 44 |  2.007000 |  3.0|  1|           |  0| c|    |           | 2+,3+,4+  |0|                                                                                                                                                                                                                              0.000000       
 45 |  2.070000 |  4.0|  1|           |  0| u|    |           |       4+  |0|                                                                                                                                                                                                                              0.000000       
 46 |  2.080500 |  6.0|  1|           |  1| u|    |           |     (6+)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  14|      0.895|  9.998E-01| | 1.000E+00  2.500E-04
 47 |  2.105000 |  4.0| -1|           |  0| n|    |           |           |0|                                                                                                                                                                                                                              0.000000       
 48 |  2.166000 |  3.0|  1|           |  0| u|    |           |       3+  |0|                                                                                                                                                                                                                              0.000000       
 49 |  2.184800 |  6.0|  1|           |  1| g|    |           |           |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  14|      1.000|  9.998E-01| | 1.000E+00  1.980E-04
 50 |  2.225000 |  5.0|  1|           |  0| c|    |          (|5+,6+,7+)  |0|                                                                                                                                                                                                                              0.000000       
 51 |  2.248800 |  1.0|  1|           |  1| u|    |           |       1+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   1|      2.248|  9.996E-01| | 1.000E+00  4.400E-04
 52 |  2.260000 |  3.0| -1|           |  0| n|    |           |           |0|                                                                                                                                                                                                                              0.000000       
 53 |  2.314100 |  7.0|  1|  1.600E-13|  1|  |    |           |     (7+)  |0|                                                                                                                                                                                                                              0.000000  3    
    |           |     |   |           |   |  |  12|      1.238|  9.999E-01| | 1.000E+00  1.380E-04
 54 |  2.335300 | -1.0|  0|           |  1|  |    |           | 1+,2+,3+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   1|      2.335|  1.000E+00| | 1.000E+00  0.000E+00
 55 |  2.415200 |  7.0|  1|           |  1|  |    |           |     (7+)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  22|      0.990|  9.998E-01| | 1.000E+00  2.020E-04
 56 |  2.425500 |  7.0|  1|           |  1|  |    |           |     (7+)  |0|                                                                                                                                                                                                                              0.000000  4    
    |           |     |   |           |   |  |  22|      1.001|  9.998E-01| | 1.000E+00  1.970E-04
 57 |  2.444000 | -1.0|  0|           |  0|  |    |           |  (1+,2+)  |0|                                                                                                                                                                                                                              0.000000       
 58 |  2.456000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 59 |  2.477000 |  2.0|  1|           |  0|  |    |           |       2+  |0|                                                                                                                                                                                                                              0.000000       
 60 |  2.510000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 61 |  2.534400 |  1.0|  1|           |  1|  |    |           |       1+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  17|      1.181|  9.999E-01| | 1.000E+00  1.430E-04
 62 |  2.605000 | -1.0|  0|           |  0|  |    |          (|3+,4+,5+)  |0|                                                                                                                                                                                                                              0.000000       
 63 |  2.625000 | -1.0|  0|           |  0|  |    |           | 0+,1+,2+  |0|                                                                                                                                                                                                                              0.000000       
 64 |  2.631000 |  3.0|  1|           |  0|  |    |           |       3+  |0|                                                                                                                                                                                                                              0.000000       
 65 |  2.640700 |  1.0|  1|           |  1|  |    |           |       1+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  11|      1.591|  9.998E-01| | 1.000E+00  1.850E-04
 66 |  2.646000 |  2.0|  1|           |  0|  |    |           |     (2)+  |0|                                                                                                                                                                                                                              0.000000       
 67 |  2.692000 |  7.0|  1|           |  0|  |    |           |       7+  |0|                                                                                                                                                                                                                              0.000000       
 68 |  2.695000 | -1.0|  0|           |  0|  |    |           | 0+,1+,2+  |0|                                                                                                                                                                                                                              0.000000       
 69 |  2.695300 |  6.0|  1|           |  2|  |    |           |     (6+)  |0|                                                                                                                                                                                                                              0.000000  1    
    |           |     |   |           |   |  |  22|      1.270|  2.646E-01| | 2.646E-01  1.370E-04
    |           |     |   |           |   |  |   2|      2.671|  7.349E-01| | 7.354E-01  6.200E-04
 70 |  2.733000 |  2.0|  1|           |  0|  |    |           |     (2+)  |0|                                                                                                                                                                                                                              0.000000       
 71 |  2.733600 | -1.0|  0|           |  1|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  42|      0.804|  1.000E+00| | 1.000E+00  0.000E+00
 72 |  2.735550 |  6.0|  1|  1.700E-13|  4|  |    |           |     (6+)  |0|                                                                                                                                                                                                                              0.000000  5    
    |           |     |   |           |   |  |  14|      1.551|  9.468E-02| | 9.469E-02  1.740E-04
    |           |     |   |           |   |  |  12|      1.659|  5.569E-01| | 5.570E-01  2.060E-04
    |           |     |   |           |   |  |   6|      2.361|  2.896E-01| | 2.897E-01  4.900E-04
    |           |     |   |           |   |  |   2|      2.710|  5.848E-02| | 5.852E-02  6.400E-04
 73 |  2.741000 |  5.0|  1|           |  0|  |    |           |       5+  |0|                                                                                                                                                                                                                              0.000000       
 74 |  2.761000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 75 |  2.768500 |  8.0|  1|           |  1|  |    |           |     (8+)  |0|                                                                                                                                                                                                                              0.000000  6    
    |           |     |   |           |   |  |  42|      0.839|  9.997E-01| | 1.000E+00  3.000E-04
 76 |  2.781000 |  1.0|  1|           |  0|  |    |           |     (1)+  |0|                                                                                                                                                                                                                              0.000000       
 77 |  2.792000 |  1.0|  1|           |  0|  |    |           |     (1+)  |0|                                                                                                                                                                                                                              0.000000       
 78 |  2.819000 | -1.0|  0|           |  0|  |    |           | 3+,4+,5+  |0|                                                                                                                                                                                                                              0.000000       
 79 |  2.837000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 80 |  2.844000 | -1.0|  0|           |  0|  |    |           | 3-,4-,5-  |0|                                                                                                                                                                                                                              0.000000       
 81 |  2.849000 | -1.0|  0|           |  0|  |    |           | 3+,4+,5+  |0|                                                                                                                                                                                                                              0.000000       
 82 |  2.865000 |  1.0|  1|           |  0|  |    |           |     (1+)  |0|                                                                                                                                                                                                                              0.000000       
 83 |  2.884000 | -1.0|  0|           |  0|  |    |           | 0+,1+,2+  |0|                                                                                                                                                                                                                              0.000000       
 84 |  2.907000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 85 |  2.931000 |  7.0|  1|           |  0|  |    |           |       7+  |0|                                                                                                                                                                                                                              0.000000       
 86 |  2.946000 | -1.0|  0|           |  0|  |    |           |    2+,3+  |0|                                                                                                                                                                                                                              0.000000       
 87 |  2.987000 | -1.0|  0|           |  0|  |    |           | 1+,2+,3+  |0|                                                                                                                                                                                                                              0.000000       
 88 |  2.995000 | -1.0|  0|           |  0|  |    |           |  (0-,1-)  |0|                                                                                                                                                                                                                              0.000000       
 89 |  3.010000 |  2.0|  1|           |  0|  |    |           |       2+  |0|                                                                                                                                                                                                                              0.000000       
 90 |  3.044000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 91 |  3.062000 | -1.0|  0|           |  0|  |    |           | 2+,3+,4+  |0|                                                                                                                                                                                                                              0.000000       
 92 |  3.068570 |  7.0|  1|  7.600E-14|  3|  |    |           |     (7+)  |0|                                                                                                                                                                                                                              0.000000  5    
    |           |     |   |           |   |  |  72|      0.333|  4.863E-01| | 4.882E-01  3.900E-03
    |           |     |   |           |   |  |  22|      1.644|  3.502E-02| | 3.502E-02  2.020E-04
    |           |     |   |           |   |  |  12|      1.992|  4.766E-01| | 4.768E-01  3.300E-04
 93 |  3.072000 |  5.0|  1|           |  0|  |    |           |       5+  |0|                                                                                                                                                                                                                              0.000000       
 94 |  3.096000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 95 |  3.118000 |  1.0|  1|           |  0|  |    |           |     (1)+  |0|                                                                                                                                                                                                                              0.000000       
 96 |  3.123000 |  2.0|  1|           |  0|  |    |           |       2+  |0|                                                                                                                                                                                                                              0.000000       
 97 |  3.146000 | -1.0|  0|           |  0|  |    |          (|1+,2+,3+)  |0|                                                                                                                                                                                                                              0.000000       
 98 |  3.169000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 99 |  3.184000 |  1.0|  1|           |  0|  |    |           |       1+  |0|                                                                                                                                                                                                                              0.000000       
100 |  3.186000 | -1.0|  0|           |  0|  |    |           | 2+,3+,4+  |0|                                                                                                                                                                                                                              0.000000       
101 |  3.199000 | -1.0|  0|           |  0|  |    |           |    0-,1-  |0|                                                                                                                                                                                                                              0.000000       
102 |  3.214000 |  3.0|  1|           |  0|  |    |           |       3+  |0|                                                                                                                                                                                                                              0.000000       
103 |  3.226000 |  2.0|  1|           |  0|  |    |           |     (2)+  |0|                                                                                                                                                                                                                              0.000000       
104 |  3.232000 | -1.0|  0|           |  0|  |    |          (|0-,1-,2-)  |0|                                                                                                                                                                                                                              0.000000       
105 |  3.243000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
106 |  3.261000 |  2.0|  1|           |  0|  |    |           |     (2)+  |0|                                                                                                                                                                                                                              0.000000       
107 |  3.281100 | -1.0|  0|           |  1|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  75|      0.513|  1.000E+00| | 1.000E+00  0.000E+00
108 |  3.284000 |  1.0|  1|           |  3|  |    |           |       1+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  40|      1.416|  0.000E+00| | 0.000E+00  1.460E-04
    |           |     |   |           |   |  |   5|      2.918|  0.000E+00| | 0.000E+00  7.690E-04
    |           |     |   |           |   |  |   1|      3.284|  0.000E+00| | 0.000E+00  8.700E-04
109 |  3.337000 | -1.0|  0|           |  0|  |    |           |    1+,2+  |0|                                                                                                                                                                                                                              0.000000       
110 |  3.376000 |  2.0|  1|           |  0|  |    |           |       2+  |0|                                                                                                                                                                                                                              0.000000       
111 |  3.394700 |  8.0|  1|  7.000E-14|  1|  |    |           |     (8+)  |0|                                                                                                                                                                                                                              0.000000  2    
    |           |     |   |           |   |  |  42|      1.465|  9.998E-01| | 1.000E+00  1.540E-04
112 |  3.403000 | -1.0|  0|           |  0|  |    |           |    4+,5+  |0|                                                                                                                                                                                                                              0.000000       
113 |  3.410000 | -1.0|  0|           |  0|  |    |          (|0-,1-,2-)  |0|                                                                                                                                                                                                                              0.000000       
114 |  3.414000 |  2.0|  1|           |  0|  |    |           |     (2)+  |0|                                                                                                                                                                                                                              0.000000       
115 |  3.427000 |  3.0|  1|           |  0|  |    |           |       3+  |0|                                                                                                                                                                                                                              0.000000       
116 |  3.442000 |  1.0|  1|           |  0|  |    |           |     (1)+  |0|                                                                                                                                                                                                                              0.000000       
117 |  3.455000 | -1.0|  0|           |  0|  |    |           | 2+,3+,4+  |0|                                                                                                                                                                                                                              0.000000       
118 |  3.470000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
119 |  3.484000 | -1.0|  0|           |  0|  |    |           | 3+,4+,5+  |0|                                                                                                                                                                                                                              0.000000       
120 |  3.507000 | -1.0|  0|           |  0|  |    |          (|2-,3-,4-)  |0|                                                                                                                                                                                                                              0.000000       
121 |  3.512000 |  1.0|  1|           |  0|  |    |           |     (1)+  |0|                                                                                                                                                                                                                              0.000000       
122 |  3.518000 | -1.0|  0|           |  0|  |    |          (|3+,4+,5+)  |0|                                                                                                                                                                                                                              0.000000       
123 |  3.526000 |  2.0|  1|           |  0|  |    |           |     (2+)  |0|                                                                                                                                                                                                                              0.000000       
124 |  3.533800 |  9.0|  1|           |  1|  |    |           |     (9+)  |0|                                                                                                                                                                                                                              0.000000  6    
    |           |     |   |           |   |  |  75|      0.765|  9.996E-01| | 1.000E+00  3.700E-04
125 |  3.548000 | -1.0|  0|           |  0|  |    |           |    1+,2+  |0|                                                                                                                                                                                                                              0.000000       
126 |  3.559000 | -1.0|  0|           |  0|  |    |           |  (0-,1-)  |0|                                                                                                                                                                                                                              0.000000       
127 |  3.574000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
128 |  3.604000 | -1.0|  0|           |  0|  |    |          (|3+,4+,5+)  |0|                                                                                                                                                                                                                              0.000000       
129 |  3.607000 |  2.0|  1|           |  0|  |    |           |     (2+)  |0|                                                                                                                                                                                                                              0.000000       
130 |  3.616000 |  1.0|  1|           |  0|  |    |           |       1+  |0|                                                                                                                                                                                                                              0.000000       
131 |  3.639000 | -1.0|  0|           |  3|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  23|      2.205|  0.000E+00| | 0.000E+00  0.000E+00
    |           |     |   |           |   |  |  19|      2.261|  0.000E+00| | 0.000E+00  0.000E+00
    |           |     |   |           |   |  |  11|      2.591|  0.000E+00| | 0.000E+00  0.000E+00
132 |  3.659000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
133 |  3.669000 |  1.0|  1|           |  0|  |    |           |       1+  |0|                                                                                                                                                                                                                              0.000000       
134 |  3.685000 | -1.0|  0|           |  0|  |    |           | 0+,1+,2+  |0|                                                                                                                                                                                                                              0.000000       
135 |  3.689000 | -1.0|  0|           |  0|  |    |          (|2-,3-,4-)  |0|                                                                                                                                                                                                                              0.000000       
136 |  3.720000 |  3.0|  1|           |  0|  |    |           |     (3+)  |0|                                                                                                                                                                                                                              0.000000       
137 |  3.720500 | -1.0|  0|           |  2|  |    |           |           |0|                                                                                                                                                                                                                              0.000000  3    
    |           |     |   |           |   |  |  53|      1.406|  6.211E-01| | 6.211E-01  0.000E+00
    |           |     |   |           |   |  |  42|      1.791|  3.789E-01| | 3.789E-01  0.000E+00
138 |  3.725000 |  2.0|  1|           |  0|  |    |           |     (2)+  |0|                                                                                                                                                                                                                              0.000000       
139 |  3.736000 | -1.0|  0|           |  0|  |    |          (|0-,1-,2-)  |0|                                                                                                                                                                                                                              0.000000       
140 |  3.750000 |  8.0| -1|           |  0|  |    |           |     (8)-  |0|                                                                                                                                                                                                                              0.000000       
141 |  3.759000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
142 |  3.775000 | -1.0|  0|           |  0|  |    |           | 0+,1+,2+  |0|                                                                                                                                                                                                                              0.000000       
143 |  3.776100 |  8.0|  1|  7.600E-14|  2|  |    |           |     (8+)  |0|                                                                                                                                                                                                                              0.000000  5    
    |           |     |   |           |   |  |  92|      0.708|  8.981E-01| | 8.985E-01  4.500E-04
    |           |     |   |           |   |  |  53|      1.461|  1.015E-01| | 1.015E-01  1.530E-04
