    |           |     |   |           |   |  |   8|      0.906|  7.721E-01| | 7.729E-01  9.830E-04
    |           |     |   |           |   |  |   3|      1.627|  2.270E-01| | 2.271E-01  4.080E-04
 39 |  3.243200 |  5.0|  1|  9.200E-14|  1| u|    |           |     (5)+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   3|      1.669|  9.996E-01| | 1.000E+00  4.120E-04
 40 |  3.260900 |  1.0| -1|  4.000E-14|  2| u|    |           |       1-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      2.393|  4.007E-01| | 4.011E-01  9.530E-04
    |           |     |   |           |   |  |   1|      3.261|  5.981E-01| | 5.989E-01  1.399E-03
 41 |  3.307100 |  2.0|  1|  4.000E-13|  1| u|    |           |     (2)+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      2.436|  9.994E-01| | 1.000E+00  6.300E-04
 42 |  3.320000 |  0.0|  1|           |  0| u|    |           |       0+  |0|                                                                                                                                                                                                                              0.000000       
 43 |  3.320700 |  6.0|  1|           |  1| g|    |           |           |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  25|      0.365|  9.881E-01| | 1.000E+00  1.200E-02
 44 |  3.331740 |  3.0|  1|  5.200E-14|  3| u|    |           |       3+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   5|      1.467|  3.088E-01| | 3.089E-01  3.200E-04
    |           |     |   |           |   |  |   3|      1.758|  6.432E-01| | 6.435E-01  4.180E-04
    |           |     |   |           |   |  |   2|      2.461|  4.760E-02| | 4.763E-02  6.390E-04
 45 |  3.339540 |  6.0|  1|  1.260E-13|  2| u|    |           |       6+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  11|      0.916|  9.625E-01| | 9.634E-01  9.900E-04
    |           |     |   |           |   |  |   3|      1.766|  3.657E-02| | 3.659E-02  4.370E-04
 46 |  3.359800 |  8.0|  1|           |  1| u|    |           |     (8+)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  11|      0.936|  9.991E-01| | 1.000E+00  9.100E-04
