 66 |  6.710530 |  4.0|  1|  1.100E-14|  4|  |    |           |       4+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  22|      1.525|  2.104E-01| | 2.104E-01  1.290E-04
    |           |     |   |           |   |  |  13|      2.300|  2.038E-01| | 2.040E-01  8.550E-04
    |           |     |   |           |   |  |  10|      2.538|  3.287E-01| | 3.289E-01  5.500E-04
    |           |     |   |           |   |  |   2|      5.156|  2.564E-01| | 2.568E-01  1.529E-03
 67 |  6.729820 |  3.0| -1|           |  2|  |    |           |       3-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   5|      2.867|  4.588E-01| | 4.593E-01  1.177E-03
    |           |     |   |           |   |  |   3|      4.055|  5.398E-01| | 5.407E-01  1.700E-03
 68 |  6.770000 | -1.0|  0|           |  0|  |    |           |   (0:7)+  |0|                                                                                                                                                                                                                              0.000000       
 69 |  6.770400 |  9.0|  1|           |  1|  |    |           |     (9)+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  60|      0.230|  9.977E-01| | 1.000E+00  2.330E-03
 70 |  6.837600 | -1.0|  0|           |  2|  |    |           |(2+,3,4+)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  25|      1.458|  2.481E-01| | 2.481E-01  0.000E+00
    |           |     |   |           |   |  |   2|      5.283|  7.519E-01| | 7.519E-01  0.000E+00
 71 |  6.849000 |  5.0| -1|           |  2|  |    |           |       5-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   9|      2.701|  5.910E-01| | 5.916E-01  1.085E-03
    |           |     |   |           |   |  |   4|      3.650|  4.078E-01| | 4.084E-01  1.538E-03
 72 |  6.864000 | -1.0|  0|           |  0|  |    |           |   (2:5)+  |0|                                                                                                                                                                                                                              0.000000       
 73 |  6.933000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 74 |  6.975000 | -1.0|  0|           |  0|  |    |           |    3-,4-  |0|                                                                                                                                                                                                                              0.000000       
 75 |  7.029370 | -1.0|  0|           |  1|  |    |           | 2+,3+,4+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  12|      2.719|  1.000E+00| | 1.000E+00  0.000E+00
 76 |  7.047000 |  3.0| -1|           |  0|  |    |           |     (3)-  |0|                                                                                                                                                                                                                              0.000000       
 77 |  7.049000 | -1.0|  0|           |  0|  |    |           |   (2:5)+  |0|                                                                                                                                                                                                                              0.000000       
 78 |  7.078680 |  3.0| -1|           |  2|  |    |           |       3-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   3|      4.402|  5.253E-01| | 5.262E-01  1.830E-03
    |           |     |   |           |   |  |   2|      5.526|  4.727E-01| | 4.738E-01  2.170E-03
 79 |  7.094000 | -1.0|  0|           |  0|  |    |           |   (1:6)-  |0|                                                                                                                                                                                                                              0.000000       
 80 |  7.115000 |  1.0|  1|           |  0|  |    |           |     (1)+  |0|                                                                                                                                                                                                                              0.000000       
 81 |  7.132000 |  3.0| -1|           |  0|  |    |           |       3-  |0|                                                                                                                                                                                                                              0.000000       
 82 |  7.190000 |  0.0|  1|           |  0|  |    |           |       0+  |0|                                                                                                                                                                                                                              0.000000       
 83 |  7.210000 |  3.0| -1|           |  0|  |    |           |     (3)-  |0|                                                                                                                                                                                                                              0.000000       
 84 |  7.232160 |  2.0|  1|           |  2|  |    |           |     (2)+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  25|      1.853|  7.688E-01| | 7.690E-01  2.740E-04
    |           |     |   |           |   |  |   2|      5.678|  2.306E-01| | 2.310E-01  1.600E-03
 85 |  7.249000 | -1.0|  0|           |  0|  |    |           |   (2:5)+  |0|                                                                                                                                                                                                                              0.000000       
 86 |  7.280000 | -1.0|  0|           |  0|  |    |           |   (1:7)+  |0|                                                                                                                                                                                                                              0.000000       
 87 |  7.293000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 88 |  7.335000 |  2.0|  1|           |  0|  |    |           |     (2)+  |0|                                                                                                                                                                                                                              0.000000       
