 60 |  4.379000 | -1.0|  0|           |  0|  |    |           |3/2+,5/2+  |0|                                                                                                                                                                                                                              0.000000       
 61 |  4.492000 | -1.0|  0|           |  0|  |    |           |3/2+,5/2+  |0|                                                                                                                                                                                                                              0.000000       
 62 |  4.681000 | -1.0|  0|           |  0|  |    |           |1/2-,3/2-  |0|                                                                                                                                                                                                                              0.000000       
 63 |  4.862000 | -1.0|  0|           |  0|  |    |  (1/2+)&(3|/2+,5/2+)  |0|                                                                                                                                                                                                                              0.000000       
 64 |  4.941000 |  0.5|  1|           |  0|  |    |           |     1/2+  |0|                                                                                                                                                                                                                              0.000000       
 65 |  5.118000 | -1.0|  0|           |  0|  |    |           |3/2+,5/2+  |0|                                                                                                                                                                                                                              0.000000       
 66 |  5.196000 |  0.5|  1|           |  0|  |    |           |     1/2+  |0|                                                                                                                                                                                                                              0.000000       
 67 |  5.233000 | -1.0|  0|           |  0|  |    |           |3/2+,5/2+  |0|                                                                                                                                                                                                                              0.000000       
 68 |  5.316000 | -1.0|  0|           |  0|  |    |           |3/2+,5/2+  |0|                                                                                                                                                                                                                              0.000000       
 69 |  5.347000 | -1.0|  0|           |  0|  |    |           |3/2+,5/2+  |0|                                                                                                                                                                                                                              0.000000       
 70 |  5.491000 | -1.0|  0|           |  0|  |    |           |3/2+,5/2+  |0|                                                                                                                                                                                                                              0.000000       
 71 |  5.542000 | -1.0|  0|           |  0|  |    |  (1/2+)&(3|/2+,5/2+)  |0|                                                                                                                                                                                                                              0.000000       
 72 |  5.634000 |  0.5|  1|           |  0|  |    |           |     1/2+  |0|                                                                                                                                                                                                                              0.000000       
 73 |  5.750000 |  0.5|  1|           |  0|  |    |           |     1/2+  |0|                                                                                                                                                                                                                              0.000000       
 74 |  5.802000 | -1.0|  0|           |  0|  |    |  (1/2+)&(3|/2+,5/2+)  |0|                                                                                                                                                                                                                              0.000000       
 75 |  5.845000 | -1.0|  0|           |  0|  |    |           |3/2+,5/2+  |0|                                                                                                                                                                                                                              0.000000       
 76 |  5.884000 | -1.0|  0|           |  0|  |    |           |3/2+,5/2+  |0|                                                                                                                                                                                                                              0.000000       
 77 |  5.978000 | -1.0|  0|           |  0|  |    |           |3/2+,5/2+  |0|                                                                                                                                                                                                                              0.000000       
 78 |  6.018000 |  0.5|  1|           |  0|  |    |           |     1/2+  |0|                                                                                                                                                                                                                              0.000000       
 79 |  6.089000 | -1.0|  0|           |  0|  |    |           |3/2+,5/2+  |0|                                                                                                                                                                                                                              0.000000       
 80 |  6.176000 |  0.5|  1|           |  0|  |    |           |     1/2+  |0|                                                                                                                                                                                                                              0.000000       
 81 |  6.206000 | -1.0|  0|           |  0|  |    |           |3/2+,5/2+  |0|                                                                                                                                                                                                                              0.000000       
 82 |  6.307000 | -1.0|  0|           |  0|  |    |           |3/2+,5/2+  |0|                                                                                                                                                                                                                              0.000000       
 83 |  6.375000 | -1.0|  0|           |  0|  |    |  (1/2+)&(3|/2+,5/2+)  |0|                                                                                                                                                                                                                              0.000000       
 84 |  6.468000 |  0.5|  1|           |  0|  |    |           |     1/2+  |0|                                                                                                                                                                                                                              0.000000       
 85 |  6.512000 | -1.0|  0|           |  0|  |    |           |3/2+,5/2+  |0|                                                                                                                                                                                                                              0.000000       
 86 |  6.548000 |  0.5|  1|           |  0|  |    |           |     1/2+  |0|                                                                                                                                                                                                                              0.000000       
 87 |  6.618000 | -1.0|  0|           |  0|  |    |           |3/2+,5/2+  |0|                                                                                                                                                                                                                              0.000000       
 88 |  6.652000 | -1.0|  0|           |  0|  |    |           |3/2+,5/2+  |0|                                                                                                                                                                                                                              0.000000       
 89 |  6.744000 | -1.0|  0|           |  0|  |    |           |3/2+,5/2+  |0|                                                                                                                                                                                                                              0.000000       
 90 |  6.791000 | -1.0|  0|           |  0|  |    |  (1/2+)&(3|/2+,5/2+)  |0|                                                                                                                                                                                                                              0.000000       
 91 |  6.838000 |  0.5|  1|           |  0|  |    |           |     1/2+  |0|                                                                                                                                                                                                                              0.000000       
 92 |  6.989000 |  0.5|  1|           |  0|  |    |           |     1/2+  |0|                                                                                                                                                                                                                              0.000000       
 93 | 13.968000 |  2.5|  1|  1.267E-20|  0|  |    |           |     5/2+  |0|                                                                                                                                                                                                                              0.000000       
 94 | 14.490000 |  0.5|  1|  5.925E-21|  0|  |    |           |     1/2+  |0|                                                                                                                                                                                                                              0.000000       
 95 | 15.446000 | -1.0|  0|  9.198E-21|  0|  |    |           |3/2+,5/2+  |0|                                                                                                                                                                                                                              0.000000       
 96 | 15.854000 | -1.0|  0|  1.521E-20|  0|  |    |           |3/2+,5/2+  |0|                                                                                                                                                                                                                              0.000000       
 97 | 15.968000 | -1.0|  0|  1.267E-20|  0|  |    |           |3/2+,5/2+  |0|                                                                                                                                                                                                                              0.000000       
 98 | 16.040000 |  0.5|  1|  7.604E-21|  0|  |    |           |     1/2+  |0|                                                                                                                                                                                                                              0.000000       
 99 | 16.083000 | -1.0|  0|  7.359E-21|  0|  |    |           |3/2+,5/2+  |0|                                                                                                                                                                                                                              0.000000       
100 | 16.240000 | -1.0|  0|  1.014E-20|  0|  |    |          9|/2-,11/2-  |0|                                                                                                                                                                                                                              0.000000       
101 | 16.512000 |  3.5|  1|  1.521E-20|  0|  |    |           |     7/2+  |0|                                                                                                                                                                                                                              0.000000       
102 | 16.762000 | -1.0|  0|  7.019E-21|  0|  |    |           |3/2+,5/2+  |0|                                                                                                                                                                                                                              0.000000       
103 | 16.883000 | -1.0|  0|  7.019E-21|  0|  |    |           |3/2+,5/2+  |0|                                                                                                                                                                                                                              0.000000       
104 | 16.994000 | -1.0|  0|  1.304E-20|  0|  |    |           |5/2-,7/2-  |0|                                                                                                                                                                                                                              0.000000       
105 | 17.193000 |  0.5|  1|  6.518E-21|  0|  |    |           |     1/2+  |0|                                                                                                                                                                                                                              0.000000       
106 | 17.513000 | -1.0|  0|  1.201E-20|  0|  |    |           |3/2+,5/2+  |0|                                                                                                                                                                                                                              0.000000       
