id,max_depth,mss,msl,mt_strategy,normalizer,train_mae,train_mse,train_evs,train_mae_m,train_r2,val_mae,val_mse,val_evs,val_mae_m,val_r2,test_mae,test_mse,test_evs,test_mae_m,test_r2,model_path,training_time,scaler_path
501,310,2,1,one_hot,maxabs,0.02581026159383538,0.010781308989592332,0.9860131573302804,0.0,0.9860131573302804,0.13453283102317914,0.0798323142666653,0.8961340991808645,0.04684494100118936,0.8961338894009254,0.1365546491343291,0.08229468376093396,0.894332986977973,0.04756074812040356,0.8943313598352656,E:\ML_Models_EXFOR\DT_B3\DT310_MSS2_MSL1_maxabs_one_hot_B3_v1\DT310_MSS2_MSL1_maxabs_one_hot_B3_v1.joblib,91.07122039794922,E:\ML_Models_EXFOR\DT_B3\DT310_MSS2_MSL1_maxabs_one_hot_B3_v1\scaler.pkl
496,300,15,1,one_hot,robust,0.07933755976617969,0.027804335957159268,0.9631306993009162,0.029216903236457707,0.9631306993009162,0.12246923908707062,0.06346989968510733,0.9153841418064884,0.04601204638182016,0.9153839529349604,0.12354581807493607,0.06574091050740001,0.9131805147181654,0.0462204372370138,0.9131761918344876,E:\ML_Models_EXFOR\DT_B3\DT300_MSS15_MSL1_robust_one_hot_B3_v1\DT300_MSS15_MSL1_robust_one_hot_B3_v1.joblib,84.99430966377257,E:\ML_Models_EXFOR\DT_B3\DT300_MSS15_MSL1_robust_one_hot_B3_v1\scaler.pkl
531,320,10,1,one_hot,standard,0.07001037192183833,0.02338535814404078,0.9691848487012334,0.02417576732823279,0.9691848487012334,0.12402475759206988,0.06691770322213113,0.9114590037686228,0.04550253347914535,0.9114574639959558,0.12473865828993284,0.06680513094146485,0.9111249800851552,0.045994007002280735,0.9111248405905428,E:\ML_Models_EXFOR\DT_B3\DT320_MSS10_MSL1_standard_one_hot_B3_v1\DT320_MSS10_MSL1_standard_one_hot_B3_v1.joblib,86.49286842346191,E:\ML_Models_EXFOR\DT_B3\DT320_MSS10_MSL1_standard_one_hot_B3_v1\scaler.pkl
506,310,5,1,one_hot,maxabs,0.05183060660428687,0.016436354061638424,0.9785191433401659,0.013978217052941666,0.978519143340166,0.12988604098035975,0.07366439165431449,0.9034079386985682,0.046207745429032936,0.9034079214340556,0.1316984729234669,0.07575974211923624,0.9018127842452636,0.046507967014346674,0.9018121075107772,E:\ML_Models_EXFOR\DT_B3\DT310_MSS5_MSL1_maxabs_one_hot_B3_v1\DT310_MSS5_MSL1_maxabs_one_hot_B3_v1.joblib,89.16188621520996,E:\ML_Models_EXFOR\DT_B3\DT310_MSS5_MSL1_maxabs_one_hot_B3_v1\scaler.pkl
476,290,15,1,one_hot,quantilenormal,0.07949284198045449,0.0279587792405491,0.9628950523342416,0.029253475484959164,0.9628950523342416,0.12303308946473132,0.06344205639971215,0.9165220324017797,0.046365329533627264,0.9165215496805841,0.12316980447954633,0.06587320869090105,0.9127753616345448,0.045854332858360936,0.91277535000359,E:\ML_Models_EXFOR\DT_B3\DT290_MSS15_MSL1_quantilenormal_one_hot_B3_v1\DT290_MSS15_MSL1_quantilenormal_one_hot_B3_v1.joblib,87.88509392738342,E:\ML_Models_EXFOR\DT_B3\DT290_MSS15_MSL1_quantilenormal_one_hot_B3_v1\scaler.pkl
511,310,10,1,one_hot,maxabs,0.0699339132871992,0.02333125702581644,0.9692308552460938,0.024149566823017832,0.9692308552460938,0.12468604629796735,0.0672879727479765,0.9109451820379608,0.04554584749783242,0.91094516767767,0.1262926392143513,0.06929438226814312,0.9093185326285292,0.045851050360889316,0.9093181335518942,E:\ML_Models_EXFOR\DT_B3\DT310_MSS10_MSL1_maxabs_one_hot_B3_v1\DT310_MSS10_MSL1_maxabs_one_hot_B3_v1.joblib,87.93087792396545,E:\ML_Models_EXFOR\DT_B3\DT310_MSS10_MSL1_maxabs_one_hot_B3_v1\scaler.pkl
516,310,15,1,one_hot,minmax,0.07947348437244646,0.027956594010506656,0.9629155603511363,0.029231043070285286,0.9629155603511363,0.12300204630460045,0.06456140458994925,0.9144920917648368,0.0460645801411132,0.9144899294532258,0.1223137175591161,0.0631380226750655,0.9159801290988936,0.04601718403619326,0.9159800718330748,E:\ML_Models_EXFOR\DT_B3\DT310_MSS15_MSL1_minmax_one_hot_B3_v1\DT310_MSS15_MSL1_minmax_one_hot_B3_v1.joblib,88.70534014701843,E:\ML_Models_EXFOR\DT_B3\DT310_MSS15_MSL1_minmax_one_hot_B3_v1\scaler.pkl
536,320,15,1,one_hot,standard,0.07946878359419864,0.027905294646719158,0.9630085571969832,0.029263518605165045,0.9630085571969832,0.1219168047128161,0.06360938706237433,0.9153573642111444,0.04584428931453788,0.915355622013978,0.12259288327540906,0.06325321900618573,0.915311709014216,0.04600656822028632,0.9153116119196508,E:\ML_Models_EXFOR\DT_B3\DT320_MSS15_MSL1_standard_one_hot_B3_v1\DT320_MSS15_MSL1_standard_one_hot_B3_v1.joblib,86.91813659667969,E:\ML_Models_EXFOR\DT_B3\DT320_MSS15_MSL1_standard_one_hot_B3_v1\scaler.pkl
501,310,2,1,one_hot,robust,0.02582617573643991,0.010793154422469406,0.9860037040800008,0.0,0.9860037040800008,0.13530635485952702,0.08093652415329697,0.8948870301425785,0.047496993506389966,0.8948870192617204,0.13607581026388876,0.08279914956198305,0.8933026156135477,0.04757582199498733,0.8932968954884757,E:\ML_Models_EXFOR\DT_B3\DT310_MSS2_MSL1_robust_one_hot_B3_v1\DT310_MSS2_MSL1_robust_one_hot_B3_v1.joblib,89.74373316764832,E:\ML_Models_EXFOR\DT_B3\DT310_MSS2_MSL1_robust_one_hot_B3_v1\scaler.pkl
506,310,5,1,one_hot,robust,0.05181394132331839,0.016414886620196013,0.9785572604811096,0.013994283099451998,0.9785572604811096,0.13051866945528273,0.07464418643545634,0.9021960858704284,0.046681748733081035,0.9021958679402682,0.1312348329930585,0.07601262654037262,0.9011930896325602,0.046717715297525116,0.901187874966554,E:\ML_Models_EXFOR\DT_B3\DT310_MSS5_MSL1_robust_one_hot_B3_v1\DT310_MSS5_MSL1_robust_one_hot_B3_v1.joblib,86.73523783683777,E:\ML_Models_EXFOR\DT_B3\DT310_MSS5_MSL1_robust_one_hot_B3_v1\scaler.pkl
516,310,15,1,one_hot,maxabs,0.07939082567442897,0.02789290925382026,0.9629923373570092,0.029244534098287644,0.9629923373570092,0.12243934650990305,0.06376614308032827,0.9150823101775238,0.04579676819630951,0.9150822225225156,0.12416992711639804,0.0661326912785638,0.9129633752923167,0.04607429120915363,0.9129630286352446,E:\ML_Models_EXFOR\DT_B3\DT310_MSS15_MSL1_maxabs_one_hot_B3_v1\DT310_MSS15_MSL1_maxabs_one_hot_B3_v1.joblib,87.26806950569153,E:\ML_Models_EXFOR\DT_B3\DT310_MSS15_MSL1_maxabs_one_hot_B3_v1\scaler.pkl
481,300,2,1,one_hot,quantilenormal,0.025862699704512448,0.010837195042119744,0.9859371719934268,0.0,0.9859371719934268,0.13532196050450554,0.08026952999451513,0.8969970617409934,0.04759921981205738,0.8969963178847155,0.13538148444586912,0.08186910703503829,0.8942711012334836,0.04752651329952173,0.894270861948329,E:\ML_Models_EXFOR\DT_B3\DT300_MSS2_MSL1_quantilenormal_one_hot_B3_v1\DT300_MSS2_MSL1_quantilenormal_one_hot_B3_v1.joblib,92.35703659057616,E:\ML_Models_EXFOR\DT_B3\DT300_MSS2_MSL1_quantilenormal_one_hot_B3_v1\scaler.pkl
511,310,10,1,one_hot,robust,0.06986711670711232,0.023278078782156868,0.9693167973258954,0.024109371788183058,0.9693167973258954,0.1248916522037357,0.06738660600290773,0.9108426832764434,0.04580618597486103,0.9108425292630712,0.1258032893169819,0.06894566779538347,0.9094803618185084,0.04607973118670428,0.9094759737408019,E:\ML_Models_EXFOR\DT_B3\DT310_MSS10_MSL1_robust_one_hot_B3_v1\DT310_MSS10_MSL1_robust_one_hot_B3_v1.joblib,86.50825190544128,E:\ML_Models_EXFOR\DT_B3\DT310_MSS10_MSL1_robust_one_hot_B3_v1\scaler.pkl
521,320,2,1,one_hot,minmax,0.02586272830478061,0.010831547415717272,0.9859510860381364,0.0,0.9859510860381364,0.13489427541913393,0.08072165002876534,0.8957988288598008,0.04727495661301151,0.8957965137376888,0.13425471312104711,0.07908784563037534,0.8973367459659447,0.04725928442784405,0.8973366666660564,E:\ML_Models_EXFOR\DT_B3\DT320_MSS2_MSL1_minmax_one_hot_B3_v1\DT320_MSS2_MSL1_minmax_one_hot_B3_v1.joblib,91.70114374160768,E:\ML_Models_EXFOR\DT_B3\DT320_MSS2_MSL1_minmax_one_hot_B3_v1\scaler.pkl
486,300,5,1,one_hot,quantilenormal,0.051884602840589655,0.01648692812996896,0.9784478196745121,0.013999016320368264,0.9784478196745121,0.13045767314995302,0.07360163717325155,0.9047774813931422,0.046728564889392636,0.9047768039080178,0.13062709579073928,0.07592182353601967,0.9011678420226896,0.04649157938162002,0.9011678263521614,E:\ML_Models_EXFOR\DT_B3\DT300_MSS5_MSL1_quantilenormal_one_hot_B3_v1\DT300_MSS5_MSL1_quantilenormal_one_hot_B3_v1.joblib,89.66712403297424,E:\ML_Models_EXFOR\DT_B3\DT300_MSS5_MSL1_quantilenormal_one_hot_B3_v1\scaler.pkl
541,330,2,1,one_hot,standard,0.02590147334817836,0.010844323905233048,0.9859426163344138,0.0,0.9859426163344138,0.13380596456439164,0.07956093756725438,0.8964869215335087,0.04698815260182379,0.8964857063445462,0.13470175244585833,0.07997298368278294,0.8956040633979092,0.04750870958417705,0.8956036596437115,E:\ML_Models_EXFOR\DT_B3\DT330_MSS2_MSL1_standard_one_hot_B3_v1\DT330_MSS2_MSL1_standard_one_hot_B3_v1.joblib,89.59104681015016,E:\ML_Models_EXFOR\DT_B3\DT330_MSS2_MSL1_standard_one_hot_B3_v1\scaler.pkl
526,320,5,1,one_hot,minmax,0.051881673248376815,0.016524304515981234,0.9784079418513102,0.0139998888379409,0.9784079418513102,0.13027374571698944,0.0745801728795453,0.9029611288349608,0.04658116128562178,0.9029585778933852,0.12955657749963048,0.07269118382749545,0.9048391994455968,0.0464270640067975,0.9048391248336416,E:\ML_Models_EXFOR\DT_B3\DT320_MSS5_MSL1_minmax_one_hot_B3_v1\DT320_MSS5_MSL1_minmax_one_hot_B3_v1.joblib,89.46522045135498,E:\ML_Models_EXFOR\DT_B3\DT320_MSS5_MSL1_minmax_one_hot_B3_v1\scaler.pkl
546,330,5,1,one_hot,standard,0.05188782766677906,0.016490190186549698,0.9784663410162282,0.014002846482057185,0.9784663410162282,0.12914770416843446,0.07352080680530369,0.9035965279735628,0.0462040719418142,0.9035959030287048,0.1300795007723636,0.07335380983337814,0.9035657480116759,0.046571451686348735,0.9035654545154632,E:\ML_Models_EXFOR\DT_B3\DT330_MSS5_MSL1_standard_one_hot_B3_v1\DT330_MSS5_MSL1_standard_one_hot_B3_v1.joblib,87.9927339553833,E:\ML_Models_EXFOR\DT_B3\DT330_MSS5_MSL1_standard_one_hot_B3_v1\scaler.pkl
491,300,10,1,one_hot,quantilenormal,0.06999322357952198,0.023389429452125302,0.96914627642321,0.02413670909698606,0.96914627642321,0.1252035111386735,0.06694054136877862,0.91255310190963,0.04602237041791435,0.9125523444991392,0.1252965320438894,0.06908576903315634,0.9092134879452972,0.0457120092723885,0.9092134843069712,E:\ML_Models_EXFOR\DT_B3\DT300_MSS10_MSL1_quantilenormal_one_hot_B3_v1\DT300_MSS10_MSL1_quantilenormal_one_hot_B3_v1.joblib,87.90401649475098,E:\ML_Models_EXFOR\DT_B3\DT300_MSS10_MSL1_quantilenormal_one_hot_B3_v1\scaler.pkl
531,320,10,1,one_hot,minmax,0.06994592039780323,0.02338097925894761,0.9691722271047652,0.024123210881445645,0.9691722271047652,0.125226288563466,0.0679162996710711,0.910706565409785,0.0458116202604964,0.9107038647120882,0.12453161290986715,0.06646155132892698,0.9120742485837068,0.045879968413546635,0.9120742311173284,E:\ML_Models_EXFOR\DT_B3\DT320_MSS10_MSL1_minmax_one_hot_B3_v1\DT320_MSS10_MSL1_minmax_one_hot_B3_v1.joblib,88.16131019592285,E:\ML_Models_EXFOR\DT_B3\DT320_MSS10_MSL1_minmax_one_hot_B3_v1\scaler.pkl
516,310,15,1,one_hot,robust,0.07933370498200426,0.027803024378686248,0.9631325026089348,0.029215348203436294,0.9631325026089348,0.1224873070419464,0.06349287228513036,0.9153561727419512,0.0460115471305263,0.915355996953074,0.12355193780723525,0.06571942087045582,0.9132158872062772,0.04622036135053237,0.9132115159848821,E:\ML_Models_EXFOR\DT_B3\DT310_MSS15_MSL1_robust_one_hot_B3_v1\DT310_MSS15_MSL1_robust_one_hot_B3_v1.joblib,85.11923241615295,E:\ML_Models_EXFOR\DT_B3\DT310_MSS15_MSL1_robust_one_hot_B3_v1\scaler.pkl
521,320,2,1,one_hot,maxabs,0.02580842024362039,0.010780695566127927,0.9860139642690008,0.0,0.9860139642690008,0.1345028945260074,0.07983088997601256,0.8960963528358343,0.0468408557439807,0.8960960975696936,0.13659027968686754,0.08237139048805679,0.8942524942329391,0.04756074812040356,0.8942507959400766,E:\ML_Models_EXFOR\DT_B3\DT320_MSS2_MSL1_maxabs_one_hot_B3_v1\DT320_MSS2_MSL1_maxabs_one_hot_B3_v1.joblib,90.24262523651123,E:\ML_Models_EXFOR\DT_B3\DT320_MSS2_MSL1_maxabs_one_hot_B3_v1\scaler.pkl
