id,max_depth,mss,mslmt_strategy,normalizer,train_mae,train_mse,train_evs,train_mae_m,train_r2,val_mae,val_mse,val_evs,val_mae_m,val_r2,test_mae,test_mse,test_evs,test_mae_m,test_r2,model_path,training_time,scaler_path,mt_strategy,msl
361,240,2,,minmax,0.025894215425878917,0.010877532558794208,0.9858913558884326,0.0,0.9858913558884326,0.1355186073564034,0.08009329332670262,0.8964734791959897,0.04763354107531825,0.896470660233942,0.13508794470668606,0.08013467670514328,0.8970587586007371,0.047622603034332515,0.8970570526132553,E:\ML_Models_EXFOR\DT_B1\DT240_MSS2_MSL1_minmax_one_hot_B1_v1\DT240_MSS2_MSL1_minmax_one_hot_B1_v1.joblib,47.0966317653656,E:\ML_Models_EXFOR\DT_B1\DT240_MSS2_MSL1_minmax_one_hot_B1_v1\scaler.pkl,one_hot,1.0
486,300,5,,standard,0.051892379919102984,0.01657678519898291,0.97834281047267,0.0139783664251939,0.97834281047267,0.13080543841579167,0.07412555251533072,0.9031684354477826,0.04655670906621552,0.9031659988640558,0.12981962099665892,0.07317724217346548,0.9041160214876428,0.04624026803561443,0.904115321398682,E:\ML_Models_EXFOR\DT_B1\DT300_MSS5_MSL1_standard_one_hot_B1_v1\DT300_MSS5_MSL1_standard_one_hot_B1_v1.joblib,46.4594886302948,E:\ML_Models_EXFOR\DT_B1\DT300_MSS5_MSL1_standard_one_hot_B1_v1\scaler.pkl,one_hot,1.0
491,300,10,,maxabs,0.07001383121011154,0.023497599745748846,0.9690187202448703,0.024098149846321748,0.9690187202448703,0.12534886037869425,0.06887661475282704,0.9093145325084059,0.0455865460291178,0.9093134387213926,0.12489978568225416,0.06763051363194057,0.9106257970711183,0.04561767287502705,0.9106245443131646,E:\ML_Models_EXFOR\DT_B1\DT300_MSS10_MSL1_maxabs_one_hot_B1_v1\DT300_MSS10_MSL1_maxabs_one_hot_B1_v1.joblib,44.49704456329346,E:\ML_Models_EXFOR\DT_B1\DT300_MSS10_MSL1_maxabs_one_hot_B1_v1\scaler.pkl,one_hot,1.0
486,300,5,,robust,0.05187086228692726,0.01654644716015114,0.9783792904213636,0.01398534484052538,0.9783792904213636,0.13148223808800136,0.07575893362438461,0.9025198395731676,0.04662463979896754,0.9025180154449842,0.13035894408824114,0.07362543474977981,0.9035205536053378,0.0467246425299693,0.9035156994987316,E:\ML_Models_EXFOR\DT_B1\DT300_MSS5_MSL1_robust_one_hot_B1_v1\DT300_MSS5_MSL1_robust_one_hot_B1_v1.joblib,45.78833699226379,E:\ML_Models_EXFOR\DT_B1\DT300_MSS5_MSL1_robust_one_hot_B1_v1\scaler.pkl,one_hot,1.0
366,240,5,,minmax,0.05190616296599946,0.016612439392049358,0.978291448818575,0.01396876738749886,0.978291448818575,0.13081295861234715,0.07371145472557243,0.90386390316647,0.046718969050738614,0.9038617466823212,0.1303836092855941,0.07394580947827044,0.90432720398906,0.04640491955995818,0.9043257517797484,E:\ML_Models_EXFOR\DT_B1\DT240_MSS5_MSL1_minmax_one_hot_B1_v1\DT240_MSS5_MSL1_minmax_one_hot_B1_v1.joblib,45.12419962882996,E:\ML_Models_EXFOR\DT_B1\DT240_MSS5_MSL1_minmax_one_hot_B1_v1\scaler.pkl,one_hot,1.0
491,300,10,,quantilenormal,0.07000095297289054,0.02352925449342476,0.9689925645361268,0.024092811515218138,0.9689925645361268,0.1250296659548486,0.06729962535766196,0.9110930760814748,0.04575749056067524,0.9110914558065764,0.12541081161987713,0.06812126003487128,0.9099371534843722,0.04568263773397596,0.9099371517243672,E:\ML_Models_EXFOR\DT_B1\DT300_MSS10_MSL1_quantilenormal_one_hot_B1_v1\DT300_MSS10_MSL1_quantilenormal_one_hot_B1_v1.joblib,44.91814970970154,E:\ML_Models_EXFOR\DT_B1\DT300_MSS10_MSL1_quantilenormal_one_hot_B1_v1\scaler.pkl,one_hot,1.0
491,295,10,,poweryeo,0.06999697364214083,0.0235361195884151,0.968966191432494,0.024061844699922563,0.968966191432494,0.12503420560834647,0.06654429388521711,0.91242877519875,0.04592440094647743,0.9124246297454954,0.12462010169537195,0.06714962967254133,0.9112386611846912,0.04569258720143499,0.911238128115506,E:\ML_Models_EXFOR\DT_B1\DT295_MSS10_MSL1_poweryeo_one_hot_B1_v1\DT295_MSS10_MSL1_poweryeo_one_hot_B1_v1.joblib,44.59606742858887,E:\ML_Models_EXFOR\DT_B1\DT295_MSS10_MSL1_poweryeo_one_hot_B1_v1\scaler.pkl,one_hot,1.0
491,300,10,,standard,0.06997967863746994,0.02357220840483771,0.9689193937087852,0.024072650938260498,0.9689193937087852,0.1253622368891396,0.06724154485995279,0.9113842825814376,0.04580484480285585,0.9113821443550734,0.1244228184116862,0.06664463324655212,0.9118752328255608,0.04543803046686426,0.9118746470099932,E:\ML_Models_EXFOR\DT_B1\DT300_MSS10_MSL1_standard_one_hot_B1_v1\DT300_MSS10_MSL1_standard_one_hot_B1_v1.joblib,45.80334997177124,E:\ML_Models_EXFOR\DT_B1\DT300_MSS10_MSL1_standard_one_hot_B1_v1\scaler.pkl,one_hot,1.0
491,300,10,,robust,0.06998853323566033,0.023528175902370118,0.9689734412476998,0.024094425304873383,0.9689734412476998,0.1259765257540331,0.0683075925604089,0.9111029144383314,0.04569461350706769,0.9111012823454308,0.12526741337396696,0.06733440852037602,0.9107448107331064,0.04589427069357122,0.9107400732765264,E:\ML_Models_EXFOR\DT_B1\DT300_MSS10_MSL1_robust_one_hot_B1_v1\DT300_MSS10_MSL1_robust_one_hot_B1_v1.joblib,44.98316359519959,E:\ML_Models_EXFOR\DT_B1\DT300_MSS10_MSL1_robust_one_hot_B1_v1\scaler.pkl,one_hot,1.0
371,240,10,,minmax,0.07001972131556138,0.02356532072913116,0.9689233122007191,0.02407970905033541,0.9689233122007191,0.1254148735224503,0.06736238327749522,0.9112678932202852,0.045966706720169885,0.9112656085870792,0.12498662690665395,0.06727177320344778,0.9120654969826841,0.045642847783409546,0.9120640587914356,E:\ML_Models_EXFOR\DT_B1\DT240_MSS10_MSL1_minmax_one_hot_B1_v1\DT240_MSS10_MSL1_minmax_one_hot_B1_v1.joblib,44.49604439735413,E:\ML_Models_EXFOR\DT_B1\DT240_MSS10_MSL1_minmax_one_hot_B1_v1\scaler.pkl,one_hot,1.0
