id,distance_metric,mt_strategy,normalizer,train_mae,train_mse,train_evs,train_mae_m,train_r2,val_mae,val_mse,val_evs,val_mae_m,val_r2,test_mae,test_mse,test_evs,test_mae_m,test_r2,model_path,training_time,scaler_path,run_name
17,manhattan,one_hot,standard,0.025822854150864667,0.010850450779293471,0.9859318756877179,0.0,0.9859318740152117,0.1178812510682522,0.06138328507233073,0.91724245662781,0.042648888594364665,0.9172416530842792,0.1186264764355622,0.06304562138969988,0.9151504086085384,0.042710126690820034,0.9151502205605972,E:\ML_Models_EXFOR\KNN_B0\k17_distance_manhattan_standard_one_hot_B0_v1\k17_distance_manhattan_standard_one_hot_B0_v1.joblib,5645.423438310622,E:\ML_Models_EXFOR\KNN_B0\k17_distance_manhattan_standard_one_hot_B0_v1\scaler.pkl,k17_distance_manhattan_standard_one_hot_B0_v1
2,manhattan,one_hot,standard,0.027640340001528558,0.013688807947528343,0.9823200299827416,0.0,0.9823200248420398,0.12579387822492608,0.074417268287614,0.9033726313926476,0.041730921577445235,0.9033724356210959,0.12564163159983485,0.07261958488834364,0.9040821216115124,0.04189706616231914,0.9040810020081299,E:\ML_Models_EXFOR\KNN_B0\k2_distance_manhattan_standard_one_hot_B0_v1\k2_distance_manhattan_standard_one_hot_B0_v1.joblib,5854.9637491703015,E:\ML_Models_EXFOR\KNN_B0\k2_distance_manhattan_standard_one_hot_B0_v1\scaler.pkl,k2_distance_manhattan_standard_one_hot_B0_v1
14,euclidean,one_hot,standard,0.025775327913787345,0.010811260725444152,0.9859726363849516,0.0,0.9859726344568248,0.11992078329838267,0.0647305386673785,0.9139789331217356,0.042641598572079775,0.9139756955065012,0.11953270859731115,0.06330345091507991,0.9153868981066346,0.042747400893328964,0.9153866816524296,E:\ML_Models_EXFOR\KNN_B0\k14_distance_euclidean_standard_one_hot_B0_v1\k14_distance_euclidean_standard_one_hot_B0_v1.joblib,4941.183096885681,E:\ML_Models_EXFOR\KNN_B0\k14_distance_euclidean_standard_one_hot_B0_v1\scaler.pkl,k14_distance_euclidean_standard_one_hot_B0_v1
6,euclidean,one_hot,standard,0.02600676697772096,0.011167297161285984,0.985533357500726,0.0,0.9855333569457484,0.11967692863447148,0.06506691933134047,0.9141184820908336,0.04139268515822492,0.9141184262960448,0.1186870954724914,0.06382970281703454,0.9143569028289352,0.041225270674276115,0.9143568875196544,E:\ML_Models_EXFOR\KNN_B0\k6_distance_euclidean_standard_one_hot_B0_v1\k6_distance_euclidean_standard_one_hot_B0_v1.joblib,5664.860280036926,E:\ML_Models_EXFOR\KNN_B0\k6_distance_euclidean_standard_one_hot_B0_v1\scaler.pkl,k6_distance_euclidean_standard_one_hot_B0_v1
10,euclidean,one_hot,standard,0.025869439336426967,0.010941067714085744,0.9857974803632982,0.0,0.9857974803541212,0.11862276186784745,0.06385013905963803,0.9151795188481708,0.04168205090616955,0.9151792560285621,0.11859871313976107,0.06285950221743747,0.9164616682340936,0.04176077927405808,0.9164616662043,E:\ML_Models_EXFOR\KNN_B0\k10_distance_euclidean_standard_one_hot_B0_v1\k10_distance_euclidean_standard_one_hot_B0_v1.joblib,5642.140955448151,E:\ML_Models_EXFOR\KNN_B0\k10_distance_euclidean_standard_one_hot_B0_v1\scaler.pkl,k10_distance_euclidean_standard_one_hot_B0_v1
18,euclidean,one_hot,standard,0.025815062310802283,0.010840267139218223,0.9859462292140776,0.0,0.9859462284212628,0.11963210127183775,0.0638177271723884,0.9137337049000848,0.04315450341617366,0.9137325405435208,0.1204430153602341,0.0652653620038961,0.9119505228993636,0.04325309506704916,0.9119501747996598,E:\ML_Models_EXFOR\KNN_B0\k18_distance_euclidean_standard_one_hot_B0_v1\k18_distance_euclidean_standard_one_hot_B0_v1.joblib,5954.172144651414,E:\ML_Models_EXFOR\KNN_B0\k18_distance_euclidean_standard_one_hot_B0_v1\scaler.pkl,k18_distance_euclidean_standard_one_hot_B0_v1
3,euclidean,one_hot,standard,0.026580241135823416,0.012035809703623584,0.9844262392264728,0.0,0.9844262283808234,0.12263646623187242,0.07064266208895174,0.9075465431910832,0.04195554868455453,0.9075465380949505,0.1224678619727332,0.06901376449763974,0.908061306409854,0.04189339288394034,0.9080611190366162,E:\ML_Models_EXFOR\KNN_B0\k3_distance_euclidean_standard_one_hot_B0_v1\k3_distance_euclidean_standard_one_hot_B0_v1.joblib,6074.78590631485,E:\ML_Models_EXFOR\KNN_B0\k3_distance_euclidean_standard_one_hot_B0_v1\scaler.pkl,k3_distance_euclidean_standard_one_hot_B0_v1
14,manhattan,one_hot,standard,0.025775327913787345,0.01081126072544415,0.9859726363849516,0.0,0.9859726344568248,0.11850707339436455,0.06279587538508938,0.9166453265803416,0.042327524855052485,0.9166429328953386,0.11809409837677053,0.061326768582967074,0.9181025276628536,0.04238472037655738,0.9181023901423816,E:\ML_Models_EXFOR\KNN_B0\k14_distance_manhattan_standard_one_hot_B0_v1\k14_distance_manhattan_standard_one_hot_B0_v1.joblib,5291.978785514832,E:\ML_Models_EXFOR\KNN_B0\k14_distance_manhattan_standard_one_hot_B0_v1\scaler.pkl,k14_distance_manhattan_standard_one_hot_B0_v1
6,manhattan,one_hot,standard,0.02600676697772096,0.011167297161285984,0.985533357500726,0.0,0.9855333569457484,0.1185002368729263,0.0631713008228524,0.9166922120843932,0.0411309177501117,0.9166922119307004,0.11777406341899516,0.06276829936690054,0.9158328775502604,0.04098706741761489,0.9158327948370112,E:\ML_Models_EXFOR\KNN_B0\k6_distance_manhattan_standard_one_hot_B0_v1\k6_distance_manhattan_standard_one_hot_B0_v1.joblib,6098.52504825592,E:\ML_Models_EXFOR\KNN_B0\k6_distance_manhattan_standard_one_hot_B0_v1\scaler.pkl,k6_distance_manhattan_standard_one_hot_B0_v1
10,manhattan,one_hot,standard,0.025869439336426967,0.010941067714085744,0.9857974803632982,0.0,0.9857974803541212,0.11735499148081276,0.06188053634120427,0.9178911352243956,0.04141867129013288,0.917891078056858,0.11735270595021127,0.06130610388250829,0.9186213950327404,0.04141843445745935,0.9186213805099478,E:\ML_Models_EXFOR\KNN_B0\k10_distance_manhattan_standard_one_hot_B0_v1\k10_distance_manhattan_standard_one_hot_B0_v1.joblib,6132.149936676025,E:\ML_Models_EXFOR\KNN_B0\k10_distance_manhattan_standard_one_hot_B0_v1\scaler.pkl,k10_distance_manhattan_standard_one_hot_B0_v1
