N,Z,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),A,EL,S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)",Neutrons,Mass_Number
4,3,Other,14907.10529,0.004229999999999999,5606.439,0.001,-861.893,0.071,7016003.436660001,0.00454,12914.42,50.0,32563.28,89.44,-2467.62,0.0,-12769.44,25.15,-34257.59,254.13,-11539.24,5.45,7,Li,7251.09,0.0,9973.96,0.05,23496.050000000003,136.595,14386.68,20.0,17346.24,0.0,-4067.62,100.0,-9973.96,-7251.09,-11684.4139,-9459.8479,-2467.624899999999,-24645.2394,-32563.28,-12914.42,-2467.62,-1644.2395,-9973.96,-7251.09,-5026.524,-12321.5865,-4432.625099999998,-3966.373500000001,-33475.2435,-9973.96,-7749.393999999998,-7251.09,-3202.6189000000013,-24845.2396,-993.861,-4480.485599999999,-880.485,13326.5294,9839.9049,4,7
3,4,Other,15768.999,0.071,5371.548000000002,0.01,-11907.551000000001,25.15,7016928.717,0.076,37512.0,2003.0,10040.18,20.0,-1587.13,0.07,15000.39777777778,55.19111111111111,-9112.07,0.09,-39622.0,2003.0,7,Be,10677.35,5.45,5606.85,0.07,28961.57,100.374,14800.92,50.0,-4690.13,212.13,18990.48,0.07,-5606.85,-10677.35,-11270.1739,-9045.6079,-24503.9949,-1587.1394,-10040.18,-37512.0,-1587.13,-12689.8975,-5606.85,-10677.35,-8452.784,-40404.3465,-29030.2051,-3552.1335000000013,-8329.7235,-5606.85,-3382.284000000001,-10677.35,-2788.378900000001,-2322.1396000000004,-4420.121,-113.3756000000003,-11926.143,9900.2694,14207.0149,3,7
2,5,p4n,27676.55,25.15,3558.705,3.593,13945.281999999997,210.5587142857143,7029712.0,27.0,11086.659285714286,353.54285714285714,-1419.72,55.97,-3415.0,2000.0,21930.739166666666,263.75416666666666,6300.7,25.15,8694.510769230768,212.2976923076923,7,B,27715.0,2003.0,-2012.55,25.73,41288.6075,341.38874999999996,1249.0,2003.0,5254.024166666667,261.415,7999.76,213.62,2012.55,-27715.0,-24822.0939,-22597.5279,-14559.840733333336,-12577.8594,1419.72,-11086.659285714286,-3415.0,13162.935500000001,2012.55,-27715.0,-25490.433999999997,7912.16426923077,-2604.8643857142847,-17104.0535,7083.0465,2012.55,4237.116,-27715.0,-16340.298900000002,9137.7604,-21457.771,7506.0244,13926.690000000002,-7137.3806,21826.4149,2,7
6,2,Other,31609.681,0.08900000000000001,3924.52,0.011,10663.878,0.1,8033934.39,0.095,2125.05,0.1,7718.04,0.0,367.5,10.0,26668.01,0.1,0.0,0.0,8631.26,0.09,8,He,2534.76,7.56,24814.0,1004.0,-3454.59,18.24,444.77,254.13,3581.29,89.44,10288.81,0.0,-24814.0,-2534.76,-25626.3239,-23401.7579,-16232.5749,-10288.8094,-7718.04,-2125.05,367.5,9881.5315,-24814.0,-2534.76,-310.19400000000036,7848.9135000000015,6356.7449000000015,-17908.2835,0.0,-24814.0,-22589.433999999997,-2534.76,-17144.5289,0.0003999999998995918,3722.469,-19320.5256,10645.286,18042.8594,-5000.1351,6,8
5,3,Other,20945.804,0.047,5159.712,0.006,16004.133,0.059000000000000004,8022486.246,0.05,9283.71,0.05,35507.86,254.13,-6100.24,100.0,-1975.76,1.0,-35478.0,1004.0,-2894.51,0.09,8,Li,2032.62,0.05,12416.29,7.56,23496.050000000003,136.595,14064.51,0.07,14578.63,20.0,-6300.24,89.44,-12416.29,-2032.62,-12006.5839,-9782.0179,-5235.234900000001,-26877.8594,-35507.86,-9283.71,-6100.24,15221.7865,-12416.29,-2032.62,191.9459999999999,-3676.8565,-801.9150999999983,-4288.543500000002,-34695.6535,-12416.29,-10191.724000000002,-2032.62,-3524.7889000000014,-27789.819600000006,4224.609,-6922.815600000001,15985.541000000001,18544.9994,7397.5749,5,8
4,4,-a,4941.6709999999985,0.035,7062.435,0.004,-17979.896,1.0,8005305.102000001,0.037000000000000005,29576.0,5.45,27228.37,0.06,91.84,0.04,-30122.6,18.24,-28420.43,7.56,-30806.2,25.15,8,Be,18898.64,0.08,17254.4,0.04,28961.57,100.374,1565.6,0.04,-1873.16,50.0,-643.16,20.0,-17254.4,-18898.64,-24505.4939,-22280.9279,-21687.0249,-21220.7794,-27228.37,-29576.0,91.84,-18762.2425,-17254.4,-18898.64,-16674.074,-31588.5465,-21094.2051,-16787.453500000003,-27638.0835,-17254.4,-15029.834000000004,-18898.64,-16023.6989,-19510.3296,-12641.411,-11760.925600000002,-17998.488,1678.9794000000004,2559.464899999999,4,8
3,5,Other,22921.567000000006,1.0,4717.155,0.125,-12142.701000000001,18.27,8024607.316000001,1.073,40541.0,2003.0,5743.25,1.0,-4826.54,212.13,21930.739166666666,263.75416666666666,725.49,1.0,8694.510769230768,212.2976923076923,8,B,12826.3,25.17,136.4,1.0,41288.6075,341.38874999999996,15257.34,5.54,-9353.0,2003.0,16889.08,50.01,-136.4,-12826.3,-10813.7539,-8589.1879,-29166.8649,-3688.5393999999983,-5743.25,-40541.0,-4826.54,-12925.0475,-136.4,-12826.3,-10601.733999999999,7912.16426923077,-32059.2051,-3095.713500000001,1507.8365,-136.4,2088.166,-12826.3,-2331.958900000001,1974.7904,-6569.070999999999,5357.0744,-12161.293,7751.3194,19677.4649,3,8
2,6,Other,35064.268,18.243,3101.524000000001,2.28,6328.157,204.16192857142855,8037643.042,19.584,12299.278571428573,156.4257142857143,-2111.29,19.04,-12881.7875,220.51583333333335,17528.744166666667,187.74,12006.3,18.24,360.7238461538463,209.28461538461536,8,C,6130.900666666666,181.59733333333332,-98.75,31.07,26782.37111111111,254.26111111111115,-1545.0,2003.0,-2481.4453333333336,332.72333333333336,3572.0,2003.0,98.75,-6130.900666666666,-27616.0939,-25391.5279,-22295.310233333334,-17005.6194,2111.29,-12299.278571428573,-12881.7875,5545.8105000000005,98.75,-6130.900666666666,-3906.334666666667,-421.62265384615364,-3817.483671428571,-19898.0535,12788.6465,98.75,2323.3160000000003,-6130.900666666666,-19134.2989,9829.3304,126.3283333333334,5592.2244,6309.5650000000005,14446.718733333333,19912.6149,2,8
7,2,Other,40935.826,46.816,3349.0370000000007,5.202000000000001,15980.923999999999,46.817,9043946.419,50.25899999999999,1279.93,47.42,7718.04,0.0,367.5,10.0,29587.37,46.82,0.0,0.0,11918.7,46.82,9,He,-1254.83,46.82,19413.51166666667,241.61,12024.85,46.87,2512.0,1005.0,3924.16,258.4,10288.81,0.0,-19413.51166666667,1254.83,-23559.0939,-21334.5279,-15889.7049,-10288.8094,-7718.04,-1279.93,367.5,15198.5775,-19413.51166666667,1254.83,3479.396,11136.3535,7201.864900000001,-15841.053500000002,0.0,-19413.51166666667,-17188.945666666667,1254.83,-15077.298900000002,0.0003999999998995918,7512.059,-13920.037266666666,15962.332,21832.4494,400.353233333333,7,9
6,3,-3n,24954.902,0.18600000000000005,5037.768,0.021,13606.448999999999,0.201,9026790.191,0.2,6094.84,0.19,38758.0,1004.0,-10362.46,89.44,12538.41,0.92,-17455.821666666667,611.9166666666666,11941.91,0.19,9,Li,4062.22,0.19,13943.75,0.21,23496.050000000003,136.595,9592.58,7.56,12226.86,0.19,-11274.42,254.13,-13943.75,-4062.22,-16478.513899999998,-14253.9479,-7587.0049,-31852.0394,-38758.0,-6094.84,-10362.46,12824.1025,-13943.75,-4062.22,-1837.654,11159.5635,2386.954900000001,-8760.473500000002,-16673.475166666667,-13943.75,-11719.184,-4062.22,-7996.718900000003,-31039.9596,2195.0090000000005,-8450.2756,13587.857,16515.3994,5870.114900000001,6,9
